strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
belief,0,16,8,16,1.0,True,876.689230153548,14027.027682456768,11770.027682456768,58850.13841228383,1815.0,363,310,0.8539944903581267,53,0,362,16,16,16,9,9,1854.8247800502265,7313.088343503601,732.5178416586765,14027.027682456768,60,0.07240920700132847
belief,1,11,7,11,1.0,True,1390.288575447855,15293.174329926405,12419.174329926405,62095.871649632034,2350.0,470,436,0.9276595744680851,34,0,469,11,11,11,10,10,679.1931737674793,2029.041123431137,828.891632455818,15293.174329926405,60,0.04748076300165849
belief,2,16,6,16,1.0,True,852.2703274725392,13636.325239560627,11758.325239560627,58791.62619780313,1500.0,300,249,0.83,51,0,298,16,16,16,4,4,1076.6278537332778,8133.045659732445,3240.871205977701,13636.325239560627,169,0.06728739000027417
belief,3,11,2,11,1.0,True,1221.5139518720437,13436.65347059248,10856.653470592484,54283.26735296241,2105.0,421,382,0.9073634204275535,39,0,420,11,11,11,1,1,589.6398324714362,2746.2690118234004,2123.370738048845,13436.65347059248,131,0.04415128699838533
belief,4,11,5,11,1.0,True,1203.245963749721,13235.705601246933,10499.705601246933,52498.52800623466,2235.0,447,416,0.930648769574944,31,0,446,11,11,11,8,8,866.2506844093627,2123.2250462078987,1852.4263121323172,13235.705601246933,116,0.04249539599913987
belief,5,14,6,14,1.0,True,921.4197197075753,12899.876075906053,10688.876075906053,53444.38037953027,1785.0,357,314,0.8795518207282913,43,0,356,14,14,14,6,6,1055.6229039805542,4719.899304422043,2019.2075633011423,12899.876075906053,112,0.051661040997714736
belief,6,16,6,16,1.0,True,892.3548150946367,14277.677041514187,12272.677041514187,61363.38520757095,1605.0,321,271,0.8442367601246106,50,0,320,16,16,16,8,8,843.9325265577063,4016.4057908189643,772.4057748100362,14277.677041514187,58,0.07307961300102761
belief,7,12,7,12,1.0,True,1294.6632153186995,15535.958583824395,12519.958583824395,62599.792919121996,2465.0,493,456,0.9249492900608519,37,0,491,12,12,12,9,9,1515.4545414904585,4399.99475877255,2994.7065695733927,15535.958583824395,151,0.08080311199955759
belief,8,11,6,11,1.0,True,1397.5006968240577,15372.507665064635,12201.507665064632,61007.53832532317,2600.0,520,490,0.9423076923076923,30,0,516,11,11,11,8,8,981.3636363636364,1589.0,3183.279046199471,15372.507665064635,188,0.0619188380005653
belief,9,13,8,13,1.0,True,1195.2097398330488,15537.726617829636,12763.726617829634,63818.633089148185,2260.0,452,416,0.9203539823008849,36,0,449,13,13,13,10,10,1566.581451152608,4844.364549401294,2135.7507877642647,15537.726617829636,114,0.0734287389968813
belief,10,14,8,14,1.0,True,1013.2924159203383,14186.093822884735,11769.093822884735,58845.46911442369,1960.0,392,348,0.8877551020408163,44,0,387,14,14,14,11,11,1120.2733383552559,7061.252972744012,1170.5912286025382,14186.093822884735,77,0.10022339500210364
belief,11,13,8,13,1.0,True,1173.1607490484544,15251.089737629905,12289.089737629905,61445.448688149525,2420.0,484,442,0.9132231404958677,42,0,477,13,13,13,12,12,928.1778321108629,4518.773526716422,5153.729234130461,15251.089737629905,266,0.16945173099884414
belief,12,13,10,13,1.0,True,1224.8282975928016,15922.767868706422,13052.767868706422,65263.839343532105,2340.0,468,432,0.9230769230769231,36,0,465,13,13,13,11,11,2075.5781546433373,7448.169761564861,3642.6510517636552,15922.767868706422,190,0.0791838570003165
belief,13,12,6,12,1.0,True,1214.0670565518521,14568.804678622226,11845.804678622226,59229.023393111136,2220.0,444,413,0.9301801801801802,31,0,443,12,12,12,6,6,1710.0357449083,6323.436961517487,2317.735641935049,14568.804678622226,131,0.032212354002695065
belief,14,10,6,10,1.0,True,1384.4090035640427,13844.090035640427,10687.090035640427,53435.45017820215,2590.0,518,490,0.9459459459459459,28,0,517,10,10,10,7,7,504.76182448312903,1687.6936950968443,755.1815465057355,13844.090035640427,60,0.05850494200058165
belief,15,11,5,11,1.0,True,1459.46417852066,16054.10596372726,13169.10596372726,65845.5298186363,2360.0,472,438,0.9279661016949152,34,0,470,11,11,11,9,9,824.4515042554198,4779.116854782134,726.2858146485994,16054.10596372726,59,0.057967791999544716
belief,16,12,8,12,1.0,True,1296.6829923763376,15560.19590851605,12280.19590851605,61400.97954258027,2685.0,537,498,0.9273743016759777,39,0,535,12,12,12,14,14,1183.1458558145202,2640.3529387167546,2051.716325505715,15560.19590851605,116,0.10900439900069614
belief,17,14,8,14,1.0,True,1140.0318645912398,15960.446104277356,13617.446104277356,68087.23052138677,1895.0,379,341,0.899736147757256,38,0,378,14,14,14,8,8,1522.1791810631723,4247.93741060995,487.394693171665,15960.446104277356,40,0.042060741001478164
belief,18,11,4,11,1.0,True,1332.2660494195147,14654.926543614662,11780.926543614662,58904.63271807331,2350.0,470,436,0.9276595744680851,34,0,469,11,11,11,5,5,1121.2674166290083,3362.1344307314316,1735.4386224168793,14654.926543614662,113,0.04578447300082189
belief,19,15,10,15,1.0,True,1033.2431351954876,15498.647027932315,12849.647027932318,64248.23513966159,2150.0,430,382,0.8883720930232558,48,0,424,15,15,15,11,11,2109.960950068405,5642.398186431043,451.0442774097888,15498.647027932315,40,0.11919584099814529
