strategy,seed,channel,first_seen_time_s,directional
belief,0,5,29.0,False
belief,0,6,35.0,False
belief,0,13,77.0,False
belief,0,20,119.0,False
belief,0,1,305.0,False
belief,0,4,323.0,False
belief,0,10,359.0,False
belief,0,12,371.0,True
belief,0,3,617.0,True
belief,0,18,2256.515990538118,False
belief,0,8,2460.515990538118,True
belief,0,9,2466.515990538118,True
belief,0,14,3006.515990538118,True
belief,0,16,4857.494122368746,True
belief,0,2,5081.550052778805,True
belief,0,7,7313.088343503601,True
belief,1,7,41.0,False
belief,1,13,77.0,True
belief,1,14,83.0,False
belief,1,19,113.0,False
belief,1,8,347.0,True
belief,1,17,401.0,True
belief,1,11,665.0,False
belief,1,4,1124.3612626703782,True
belief,1,16,1184.3612626703782,True
belief,1,3,1406.3612626703782,True
belief,1,9,2029.041123431137,True
belief,2,6,35.0,False
belief,2,13,77.0,False
belief,2,15,89.0,True
belief,2,3,317.0,False
belief,2,5,329.0,False
belief,2,10,359.0,False
belief,2,11,365.0,False
belief,2,14,383.0,True
belief,2,20,419.0,True
belief,2,2,611.0,False
belief,2,4,623.0,True
belief,2,16,689.0,False
belief,2,17,695.0,False
belief,2,1,1901.0,False
belief,2,12,2201.0,True
belief,2,19,8133.045659732445,True
belief,3,1,5.0,False
belief,3,2,11.0,True
belief,3,8,47.0,False
belief,3,16,95.0,False
belief,3,19,113.0,False
belief,3,12,371.0,False
belief,3,14,383.0,False
belief,3,5,629.0,False
belief,3,11,665.0,False
belief,3,18,1420.769145362398,False
belief,3,10,2746.2690118234004,True
belief,4,2,11.0,False
belief,4,4,23.0,True
belief,4,9,53.0,False
belief,4,17,101.0,True
belief,4,15,389.0,False
belief,4,7,641.0,True
belief,4,1,1324.769145362398,False
belief,4,10,1372.769145362398,True
belief,4,16,1408.769145362398,False
belief,4,5,2081.2250462078987,False
belief,4,13,2123.2250462078987,True
belief,5,3,17.0,False
belief,5,8,47.0,False
belief,5,9,53.0,False
belief,5,12,71.0,False
belief,5,17,101.0,True
belief,5,13,377.0,False
belief,5,15,389.0,False
belief,5,1,1156.5382907247958,True
belief,5,2,1162.5382907247958,False
belief,5,6,1186.5382907247958,True
belief,5,7,1192.5382907247958,False
belief,5,11,1210.5382907247958,True
belief,5,4,3095.1298976817357,True
belief,5,18,4719.899304422043,True
belief,6,2,11.0,False
belief,6,3,17.0,False
belief,6,4,23.0,True
belief,6,6,35.0,True
belief,6,9,53.0,False
belief,6,10,59.0,True
belief,6,14,83.0,True
belief,6,15,89.0,False
belief,6,16,395.0,False
belief,6,1,605.0,True
belief,6,19,701.0,False
belief,6,12,1765.378658526084,False
belief,6,18,1801.378658526084,False
belief,6,20,1813.378658526084,False
belief,6,11,2035.378658526084,False
belief,6,8,4016.4057908189643,True
belief,7,1,5.0,False
belief,7,9,53.0,False
belief,7,13,77.0,False
belief,7,19,113.0,True
belief,7,2,742.7691453623979,False
belief,7,5,1192.5382907247958,True
belief,7,4,1480.5382907247958,False
belief,7,6,1918.3074360871938,True
belief,7,10,2236.3074360871938,True
belief,7,18,2850.54267207882,True
belief,7,16,3116.4564680477542,True
belief,7,3,4399.99475877255,True
belief,8,4,323.0,False
belief,8,19,413.0,False
belief,8,3,617.0,True
belief,8,16,695.0,False
belief,8,5,929.0,True
belief,8,7,941.0,False
belief,8,9,953.0,True
belief,8,13,1271.0,True
belief,8,2,1505.0,False
belief,8,12,1559.0,True
belief,8,17,1589.0,True
belief,9,2,11.0,False
belief,9,9,53.0,False
belief,9,19,113.0,False
belief,9,12,371.0,True
belief,9,16,826.7691453623979,True
belief,9,6,1192.5382907247958,True
belief,9,8,1204.5382907247958,False
belief,9,11,1222.5382907247958,True
belief,9,5,2246.2602881708563,True
belief,9,14,2276.2602881708563,True
belief,9,18,2840.2602881708563,True
belief,9,1,3164.029433533254,False
belief,9,20,4844.364549401294,True
belief,10,2,11.0,False
belief,10,7,41.0,False
belief,10,10,59.0,False
belief,10,13,77.0,False
belief,10,14,83.0,True
belief,10,16,95.0,True
belief,10,5,329.0,True
belief,10,1,736.7691453623979,True
belief,10,8,778.7691453623979,False
belief,10,15,820.7691453623979,True
belief,10,11,1084.769145362398,False
belief,10,17,2247.248591389989,True
belief,10,19,2259.248591389989,True
belief,10,3,7061.252972744012,True
belief,11,3,17.0,False
belief,11,7,41.0,True
belief,11,8,47.0,True
belief,11,17,101.0,False
belief,11,18,107.0,False
belief,11,2,311.0,True
belief,11,9,353.0,False
belief,11,20,713.0,True
belief,11,10,1241.0,True
belief,11,19,1283.0,False
belief,11,11,1660.769145362398,True
belief,11,13,1672.769145362398,True
belief,11,15,4518.773526716422,True
belief,12,5,29.0,False
belief,12,6,35.0,False
belief,12,8,47.0,False
belief,12,15,89.0,True
belief,12,17,101.0,True
belief,12,4,323.0,True
belief,12,11,796.7691453623979,True
belief,12,13,1240.5382907247958,True
belief,12,16,2428.3074360871938,True
belief,12,1,4032.1653802108376,True
belief,12,12,4584.165380210838,True
belief,12,19,5828.400616202463,True
belief,12,9,7448.169761564861,True
belief,13,5,29.0,False
belief,13,8,47.0,True
belief,13,12,71.0,False
belief,13,11,365.0,False
belief,13,13,377.0,True
belief,13,2,611.0,False
belief,13,3,1385.0,False
belief,13,18,1751.0,False
belief,13,4,2141.0,True
belief,13,10,3260.1114160098573,True
belief,13,9,4159.880561372255,True
belief,13,6,6323.436961517487,True
belief,14,9,53.0,True
belief,14,18,107.0,False
belief,14,19,113.0,True
belief,14,20,119.0,True
belief,14,5,329.0,False
belief,14,17,401.0,True
belief,14,8,647.0,False
belief,14,11,665.0,False
belief,14,2,925.9245497344464,True
belief,14,12,1687.6936950968443,True
belief,15,1,5.0,False
belief,15,8,47.0,False
belief,15,11,65.0,True
belief,15,17,101.0,False
belief,15,20,119.0,False
belief,15,2,311.0,False
belief,15,3,617.0,False
belief,15,19,707.0,True
belief,15,6,928.0402733325424,True
belief,15,13,1389.8094186949402,True
belief,15,15,4779.116854782134,True
belief,16,7,41.0,False
belief,16,11,65.0,True
belief,16,16,95.0,True
belief,16,20,119.0,False
belief,16,8,778.7691453623979,True
belief,16,4,1186.5382907247958,True
belief,16,5,1192.5382907247958,False
belief,16,19,1270.5382907247958,True
belief,16,10,1936.3074360871938,False
belief,16,14,2424.3529387167546,True
belief,16,18,2448.3529387167546,True
belief,16,1,2640.3529387167546,True
belief,17,9,53.0,False
belief,17,11,65.0,False
belief,17,14,83.0,True
belief,17,15,89.0,False
belief,17,5,329.0,False
belief,17,6,335.0,True
belief,17,13,895.0316024659527,False
belief,17,19,931.0316024659527,False
belief,17,18,1219.0316024659526,True
belief,17,12,1477.0316024659526,True
belief,17,1,3186.569893190748,True
belief,17,2,4181.93741060995,True
belief,17,10,4217.93741060995,True
belief,17,20,4247.93741060995,True
belief,18,3,17.0,False
belief,18,5,29.0,False
belief,18,8,47.0,False
belief,18,11,65.0,False
belief,18,17,401.0,False
belief,18,7,772.7691453623979,True
belief,18,19,844.7691453623979,False
belief,18,15,1396.769145362398,False
belief,18,4,2336.3652853690337,True
belief,18,13,3062.1344307314316,True
belief,18,18,3362.1344307314316,True
belief,19,4,23.0,False
belief,19,5,29.0,True
belief,19,11,65.0,False
belief,19,19,113.0,False
belief,19,20,119.0,False
belief,19,6,796.6337680079494,True
belief,19,7,802.6337680079494,False
belief,19,12,826.6337680079494,True
belief,19,17,856.6337680079494,True
belief,19,16,3389.585583290227,True
belief,19,9,4061.585583290227,True
belief,19,2,4862.955819775869,True
belief,19,18,4922.955819775869,True
belief,19,3,5138.398186431043,True
belief,19,10,5642.398186431043,True
belief,20,1,5.0,False
belief,20,3,17.0,True
belief,20,5,29.0,False
belief,20,8,47.0,False
belief,20,9,53.0,False
belief,20,16,95.0,False
belief,20,6,760.7691453623979,True
belief,20,7,766.7691453623979,False
belief,20,12,796.7691453623979,False
belief,20,14,808.7691453623979,False
belief,20,20,1138.769145362398,False
belief,20,18,1689.0660856473169,True
belief,20,11,1923.0660856473169,True
belief,20,2,2157.066085647317,True
belief,20,4,3723.321656055661,True
belief,21,8,47.0,True
belief,21,10,59.0,False
belief,21,14,83.0,True
belief,21,15,89.0,False
belief,21,16,95.0,False
belief,21,20,119.0,False
belief,21,9,353.0,False
belief,21,13,677.0,True
belief,21,12,1263.4825292552737,False
belief,21,3,1497.4825292552737,True
belief,21,7,2974.583171748013,True
belief,22,5,29.0,False
belief,22,6,35.0,False
belief,22,17,101.0,False
belief,22,1,305.0,False
belief,22,4,323.0,False
belief,22,16,395.0,True
belief,22,11,665.0,False
belief,22,8,1078.769145362398,False
belief,22,12,1102.769145362398,False
belief,22,2,1336.769145362398,False
belief,22,15,4419.763752675496,True
belief,23,1,5.0,True
belief,23,2,11.0,True
belief,23,3,17.0,True
belief,23,5,29.0,True
belief,23,11,65.0,False
belief,23,17,101.0,False
belief,23,9,353.0,False
belief,23,14,383.0,False
belief,23,18,407.0,True
belief,23,7,635.0,False
belief,23,20,995.0,False
belief,23,10,1223.0,False
belief,23,19,2081.0,True
belief,23,4,2279.0,True
belief,23,6,3760.62831522104,True
belief,23,8,3766.62831522104,True
belief,24,3,17.0,False
belief,24,7,41.0,False
belief,24,15,89.0,True
belief,24,2,311.0,True
belief,24,14,383.0,True
belief,24,19,413.0,True
belief,24,4,623.0,False
belief,24,17,701.0,False
belief,24,5,929.0,True
belief,24,6,935.0,True
belief,24,18,1007.0,True
belief,24,1,1398.6642988557105,True
belief,24,11,1452.6642988557105,True
belief,24,20,1506.6642988557105,False
belief,24,13,3831.4774357706647,True
belief,25,1,5.0,False
belief,25,2,11.0,True
belief,25,5,29.0,False
belief,25,7,41.0,False
