strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
deferred,0,16,8,16,1.0,True,588.1522967298662,9410.436747677859,6505.436747677854,32527.183738389285,2355.0,471,408,0.8662420382165605,63,0,470,16,16,16,4,4,2375.375,6617.0,7299.237075469031,9410.436747677859,471,0.034166412999184104
deferred,1,11,7,11,1.0,True,1153.475430663688,12688.229737300568,8602.229737300568,43011.148686502835,3360.0,672,627,0.9330357142857143,45,0,671,11,11,11,9,9,2046.6363636363637,5723.0,10635.286015699268,12688.229737300568,672,0.027753435002523474
deferred,2,16,6,16,1.0,True,513.3682271341456,8213.89163414633,5584.89163414633,27924.458170731643,2125.0,425,357,0.84,68,0,424,16,16,16,7,7,1684.625,5897.0,6588.8774471243405,8213.89163414633,425,0.03612304400303401
deferred,3,11,2,11,1.0,True,1118.7341173416614,12306.075290758276,8046.075290758276,40230.376453791374,3505.0,701,651,0.9286733238231099,50,0,700,11,11,11,4,4,1259.0,5639.0,10711.274865495798,12306.075290758276,701,0.03070176400069613
deferred,4,11,5,11,1.0,True,1113.4591166122507,12248.050282734757,7970.050282734753,39850.25141367376,3520.0,704,651,0.9247159090909091,53,0,703,11,11,11,8,8,827.5454545454545,3623.0,10739.430949563375,12248.050282734757,704,0.03458989900173037
deferred,5,14,6,14,1.0,True,920.4894091899233,12886.851728658927,8821.851728658927,44109.25864329463,3330.0,666,605,0.9084084084084084,61,0,665,14,14,14,10,10,2984.0,7259.0,10785.302246640544,12886.851728658927,666,0.05874048199984827
deferred,6,16,6,16,1.0,True,574.3713987989486,9189.942380783177,6602.94238078318,33014.71190391589,2090.0,418,358,0.8564593301435407,60,0,417,16,16,16,8,8,1274.375,5189.0,6686.139011918035,9189.942380783177,418,0.030495539998810273
deferred,7,12,7,12,1.0,True,1022.021283218861,12264.255398626332,8191.255398626329,40956.27699313165,3345.0,669,620,0.9267563527653214,49,0,668,12,12,12,7,7,2461.5,8879.0,10488.615620692704,12264.255398626332,669,0.02809725200131652
deferred,8,11,6,11,1.0,True,1150.7181543470274,12657.899697817302,8187.8996978173045,40939.49848908651,3680.0,736,697,0.9470108695652174,39,0,735,11,11,11,5,5,3922.4545454545455,8549.0,10863.564511642751,12657.899697817302,736,0.021376132001023507
deferred,9,13,8,13,1.0,True,898.4644702892582,11680.038113760356,7956.038113760357,39780.19056880178,3050.0,610,564,0.9245901639344263,46,0,609,13,13,13,7,7,2301.6153846153848,6947.0,10072.831636200794,11680.038113760356,610,0.024307408999447944
deferred,10,14,8,14,1.0,True,859.8497833155009,12037.896966417013,7978.896966417011,39894.48483208506,3325.0,665,607,0.912781954887218,58,0,664,14,14,14,6,6,2327.8571428571427,6995.0,10410.991917384814,12037.896966417013,665,0.031341719997726614
deferred,11,13,8,13,1.0,True,890.8629732873591,11581.218652735668,7869.218652735671,39346.093263678355,3040.0,608,559,0.9194078947368421,49,0,607,13,13,13,7,7,2063.0,5597.0,10165.19279129747,11581.218652735668,608,0.02598414100066293
deferred,12,13,10,13,1.0,True,941.4209755128052,12238.472681666468,8472.47268166647,42362.36340833235,3085.0,617,566,0.9173419773095624,51,0,616,13,13,13,8,8,1879.3076923076924,5813.0,10161.625778150108,12238.472681666468,617,0.03147322600125335
deferred,13,12,6,12,1.0,True,1015.1797289359698,12182.156747231638,8403.156747231642,42015.78373615819,3100.0,620,575,0.9274193548387096,45,0,619,12,12,12,7,7,2332.5,7049.0,10270.630641401061,12182.156747231638,620,0.023530108999693766
deferred,14,10,6,10,1.0,True,1182.4014021503422,11824.01402150342,7551.0140215034235,37755.07010751711,3520.0,704,667,0.9474431818181818,37,0,703,10,10,10,6,6,1701.2,5165.0,10697.720509563129,11824.01402150342,704,0.019906678000552347
deferred,15,11,5,11,1.0,True,1165.3962597270076,12819.358856997085,8727.358856997082,43636.7942849854,3365.0,673,629,0.9346210995542348,44,0,672,11,11,11,4,4,2018.8181818181818,7259.0,10625.767625075505,12819.358856997085,673,0.03558672099825344
deferred,16,12,8,12,1.0,True,973.7731663472341,11685.27799616681,8158.277996166808,40791.38998083405,2890.0,578,535,0.9256055363321799,43,0,577,12,12,12,8,8,1414.0,3659.0,10006.680587135425,11685.27799616681,578,0.021345687000575708
deferred,17,14,8,14,1.0,True,883.3383200566244,12366.736480792742,8253.736480792744,41268.682403963736,3370.0,674,612,0.9080118694362018,62,0,673,14,14,14,7,7,3456.714285714286,7469.0,10446.104130564476,12366.736480792742,674,0.03773734399874229
deferred,18,11,4,11,1.0,True,1073.044731365128,11803.492045016408,7801.492045016407,39007.46022508204,3290.0,658,612,0.9300911854103343,46,0,657,11,11,11,3,3,1784.8181818181818,4955.0,10363.01708830544,11803.492045016408,658,0.027142523002112284
deferred,19,15,10,15,1.0,True,794.3921081148275,11915.881621722412,8193.881621722414,40969.40810861207,3040.0,608,552,0.9078947368421053,56,0,607,15,15,15,8,8,3236.2,8273.0,10187.267941169826,11915.881621722412,608,0.030474179999146145
deferred,20,15,6,15,1.0,True,764.2147378020848,11463.22106703127,8167.22106703127,40836.105335156346,2685.0,537,478,0.8901303538175046,59,0,536,15,15,15,5,5,1900.2,7265.0,9670.688044752651,11463.22106703127,537,0.03305212000122992
deferred,21,11,5,11,1.0,True,1082.7625297632294,11910.387827395523,7902.387827395521,39511.939136977606,3295.0,659,617,0.936267071320182,42,0,658,11,11,11,3,3,2181.3636363636365,6653.0,10519.716267029542,11910.387827395523,659,0.024275574996863725
deferred,22,11,2,11,1.0,True,1112.609265545059,12238.70192099565,8122.701920995652,40613.50960497825,3385.0,677,623,0.9202363367799113,54,0,676,11,11,11,1,1,2460.6363636363635,5645.0,10529.022217295233,12238.70192099565,677,0.03785900399816455
deferred,23,16,9,16,1.0,True,662.6671745084145,10602.674792134632,7313.67479213463,36568.373960673154,2675.0,535,471,0.8803738317757009,64,0,534,16,16,16,13,13,1894.625,7037.0,8705.380924114324,10602.674792134632,535,0.03398975399977644
deferred,24,15,10,15,1.0,True,797.7599343560976,11966.399015341463,8454.399015341462,42271.995076707295,2865.0,573,508,0.8865619546247818,65,0,572,15,15,15,10,10,2023.8,6551.0,9837.211964987531,11966.399015341463,573,0.038261683999735396
deferred,25,13,7,13,1.0,True,925.9118426465652,12036.853954405347,8234.853954405346,41174.269772026724,3115.0,623,574,0.9213483146067416,49,0,622,13,13,13,7,7,1644.3846153846155,5699.0,10214.391760312381,12036.853954405347,623,0.026114431999303633
deferred,26,15,7,15,1.0,True,834.6126497146796,12519.189745720194,9085.189745720196,45425.94872860096,2800.0,560,501,0.8946428571428572,59,0,559,15,15,15,7,7,2147.0,6785.0,9847.582463664787,12519.189745720194,560,0.03355170299983001
deferred,27,15,6,15,1.0,True,839.7517895422208,12596.276843133312,9090.276843133313,45451.38421566656,2860.0,572,510,0.8916083916083916,62,0,571,15,15,15,7,7,1819.0,6851.0,9932.127251693946,12596.276843133312,572,0.03474617300162208
deferred,28,10,6,10,1.0,True,1228.4717862472157,12284.717862472158,8089.717862472157,40448.589312360775,3455.0,691,652,0.9435600578871202,39,0,690,10,10,10,6,6,1444.4,7175.0,10782.297103759163,12284.717862472158,691,0.023215042001538677
deferred,29,14,7,14,1.0,True,858.7205735936697,12022.088030311375,8809.088030311375,44045.44015155688,2620.0,524,474,0.9045801526717557,50,0,523,14,14,14,6,6,1654.5714285714287,5435.0,9719.059167547162,12022.088030311375,524,0.027515885998582235
deferred,30,14,5,14,1.0,True,891.8379147099433,12485.730805939207,8582.73080593921,42913.654029696045,3195.0,639,584,0.9139280125195618,55,0,638,14,14,14,5,5,3223.5714285714284,8801.0,10252.69246117818,12485.730805939207,639,0.02985691899812082
deferred,31,10,5,10,1.0,True,1242.4558469742788,12424.558469742788,8223.558469742786,41117.79234871393,3460.0,692,648,0.9364161849710982,44,0,691,10,10,10,7,7,1230.2,5603.0,10839.062068901905,12424.558469742788,692,0.028762721001839964
deferred,32,10,6,10,1.0,True,1264.8408774130091,12648.408774130092,8261.408774130092,41307.043870650465,3615.0,723,686,0.9488243430152143,37,0,722,10,10,10,1,1,3783.2,8561.0,10839.494161486495,12648.408774130092,723,0.021489000999281416
deferred,33,14,6,14,1.0,True,832.0170700129862,11648.238980181806,8243.238980181804,41216.194900909024,2780.0,556,509,0.9154676258992805,47,0,555,14,14,14,5,5,1169.0,5417.0,9907.38995039145,11648.238980181806,556,0.02340560399898095
deferred,34,14,10,14,1.0,True,871.0394675397348,12194.552545556287,8363.552545556284,41817.76272778143,3135.0,627,568,0.9059011164274322,59,0,626,14,14,14,11,11,2080.1428571428573,7289.0,10226.362849696723,12194.552545556287,627,0.035440350002318155
deferred,35,14,9,14,1.0,True,852.9611394985371,11941.45595297952,8308.455952979519,41542.27976489759,2970.0,594,539,0.9074074074074074,55,0,593,14,14,14,12,12,2327.0,7169.0,9993.15013779106,11941.45595297952,594,0.030362035002326593
deferred,36,12,7,12,1.0,True,1022.6048368477865,12271.258042173438,8390.25804217344,41951.29021086719,3185.0,637,589,0.9246467817896389,48,0,636,12,12,12,7,7,2275.5,8015.0,10251.881247507124,12271.258042173438,637,0.02870906499811099
deferred,37,15,9,15,1.0,True,805.9988759499894,12089.98313924984,8553.98313924984,42769.915696249205,2885.0,577,506,0.8769497400346621,71,0,576,15,15,15,12,12,1583.0,6329.0,9999.180076675999,12089.98313924984,577,0.047900277000735514
deferred,38,15,9,15,1.0,True,820.8908041284906,12313.362061927359,8939.362061927359,44696.810309636785,2750.0,550,489,0.889090909090909,61,0,549,15,15,15,9,9,2449.8,5321.0,9842.959308661195,12313.362061927359,550,0.03349337600229774
deferred,39,11,4,11,1.0,True,1090.713557003603,11997.849127039633,7941.8491270396335,39709.24563519817,3335.0,667,629,0.9430284857571214,38,0,666,11,11,11,2,2,1614.090909090909,8135.0,10448.737695287076,11997.849127039633,667,0.019926498000131687
