strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
opportunistic,0,16,8,16,1.0,True,855.2134743982404,13683.415590371846,11084.415590371847,55422.077951859224,2100.0,420,372,0.8857142857142857,48,0,419,16,16,16,9,9,2183.4541698345115,6974.4147265487145,2550.060894089462,13683.415590371846,170,0.03599988499991014
opportunistic,1,11,7,11,1.0,True,1136.0265233383009,12496.29175672131,9472.29175672131,47361.45878360655,2475.0,495,463,0.9353535353535354,32,0,494,11,11,11,6,6,1768.545215533408,5420.452364129669,3073.192310540185,12496.29175672131,204,0.01496430399856763
opportunistic,2,16,6,16,1.0,True,817.4009309465622,13078.414895144995,10816.414895144995,54082.074475724985,1820.0,364,312,0.8571428571428571,52,0,362,16,16,16,10,10,1874.2378268094944,6563.507727081571,787.4552429991446,13078.414895144995,60,0.03416848699998809
opportunistic,3,11,2,11,1.0,True,1113.1720013072395,12244.892014379635,8974.892014379637,44874.46007189819,2680.0,536,495,0.9235074626865671,41,0,535,11,11,11,4,4,2318.9677719411484,5844.787017539514,2556.39116350071,12244.892014379635,175,0.022688552999170497
opportunistic,4,11,5,11,1.0,True,1129.4096440402418,12423.506084442659,9213.506084442655,46067.53042221328,2630.0,526,493,0.9372623574144486,33,0,525,11,11,11,6,6,2081.9250263053414,5802.391763119585,2898.3368696864995,12423.506084442659,194,0.01596687799974461
opportunistic,5,14,6,14,1.0,True,904.1129039731433,12657.580655624006,9684.580655624008,48422.90327812004,2420.0,484,436,0.9008264462809917,48,0,483,14,14,14,4,4,2991.5914766118253,7402.787986257773,2936.009599779546,12657.580655624006,194,0.02358900199760683
opportunistic,6,16,6,16,1.0,True,857.1019519472137,13713.63123115542,11264.63123115542,56323.156155777106,1975.0,395,345,0.8734177215189873,50,0,394,16,16,16,8,8,1580.542175692497,5117.668702769988,2804.9639885750717,13713.63123115542,167,0.03642239400141989
opportunistic,7,12,7,12,1.0,True,1000.9314735029365,12011.177682035237,8800.177682035239,44000.888410176194,2630.0,526,487,0.9258555133079848,39,0,521,12,12,12,9,9,2670.0239351694986,5531.869154494362,2807.336170011785,12011.177682035237,193,0.06905126600031508
opportunistic,8,11,6,11,1.0,True,1190.4852145989032,13095.337360587935,9570.337360587933,47851.68680293968,2895.0,579,551,0.9516407599309153,28,0,575,11,11,11,8,8,3606.5072216254853,5230.763239646723,3430.6706892363577,13095.337360587935,222,0.03480761700120638
opportunistic,9,13,8,13,1.0,True,1078.4608213638821,14019.990677730468,10627.990677730466,53139.95338865234,2775.0,555,521,0.9387387387387387,34,0,552,13,13,13,11,11,2627.427830938469,7649.3668765918555,3208.230095017017,14019.990677730468,211,0.04639144400061923
opportunistic,10,14,8,14,1.0,True,903.9913339535864,12655.87867535021,9460.878675350214,47304.39337675106,2605.0,521,476,0.9136276391554703,45,0,520,14,14,14,9,9,1882.993871537019,6561.708245059645,3459.0475722039114,12655.87867535021,240,0.029715926000790205
opportunistic,11,13,8,13,1.0,True,1008.1106562745176,13105.438531568729,9651.43853156873,48257.19265784365,2830.0,566,525,0.9275618374558304,41,0,559,13,13,13,13,13,2228.98753950331,5487.639668923838,831.9927148966772,13105.438531568729,59,0.10131009800170432
