strategy,seed,channel,first_seen_time_s,directional
opportunistic,0,5,29.0,False
opportunistic,0,6,35.0,False
opportunistic,0,13,77.0,False
opportunistic,0,20,119.0,False
opportunistic,0,10,359.0,False
opportunistic,0,7,635.0,True
opportunistic,0,2,905.0,True
opportunistic,0,12,959.0,True
opportunistic,0,16,1571.0,True
opportunistic,0,4,2087.0,False
opportunistic,0,1,2662.11002100732,False
opportunistic,0,3,3237.4704643050745,True
opportunistic,0,8,5079.090501830359,True
opportunistic,0,9,5085.090501830359,True
opportunistic,0,18,5121.090501830359,False
opportunistic,0,14,6974.4147265487145,True
opportunistic,1,7,41.0,False
opportunistic,1,13,77.0,True
opportunistic,1,14,83.0,False
opportunistic,1,19,113.0,False
opportunistic,1,8,347.0,True
opportunistic,1,17,401.0,True
opportunistic,1,11,2117.0,False
opportunistic,1,16,2723.0,True
opportunistic,1,4,3279.7725033689103,True
opportunistic,1,3,4851.77250336891,True
opportunistic,1,9,5420.452364129669,True
opportunistic,2,6,35.0,False
opportunistic,2,13,77.0,False
opportunistic,2,15,89.0,True
opportunistic,2,2,311.0,False
opportunistic,2,4,323.0,True
opportunistic,2,16,395.0,False
opportunistic,2,17,401.0,False
opportunistic,2,14,990.3803412845334,True
opportunistic,2,20,1026.3803412845334,True
opportunistic,2,5,2076.380341284533,False
opportunistic,2,10,2106.380341284533,False
opportunistic,2,3,2628.380341284533,False
opportunistic,2,11,2676.380341284533,False
opportunistic,2,12,5045.507727081571,True
opportunistic,2,1,5243.507727081571,False
opportunistic,2,19,6563.507727081571,True
opportunistic,3,1,5.0,False
opportunistic,3,2,11.0,True
opportunistic,3,8,47.0,False
opportunistic,3,16,95.0,False
opportunistic,3,19,113.0,False
opportunistic,3,18,1007.0,False
opportunistic,3,14,2752.3007635187796,False
opportunistic,3,12,5023.9836752153105,False
opportunistic,3,5,5286.787017539514,False
opportunistic,3,11,5322.787017539514,False
opportunistic,3,10,5844.787017539514,True
opportunistic,4,2,11.0,False
opportunistic,4,4,23.0,True
opportunistic,4,9,53.0,False
opportunistic,4,17,101.0,True
opportunistic,4,5,329.0,False
opportunistic,4,10,359.0,True
opportunistic,4,7,2411.0,True
opportunistic,4,15,2753.0,False
opportunistic,4,1,5502.391763119585,False
opportunistic,4,16,5556.391763119585,False
opportunistic,4,13,5802.391763119585,True
opportunistic,5,3,17.0,False
opportunistic,5,8,47.0,False
opportunistic,5,9,53.0,False
opportunistic,5,12,71.0,False
opportunistic,5,17,101.0,True
opportunistic,5,15,2753.0,False
opportunistic,5,18,2771.0,True
opportunistic,5,13,3322.42269002871,False
opportunistic,5,1,4942.8139992558135,True
opportunistic,5,2,4948.8139992558135,False
opportunistic,5,6,4966.8139992558135,True
opportunistic,5,7,5236.8139992558135,False
opportunistic,5,11,5248.8139992558135,True
opportunistic,5,4,7402.787986257773,True
opportunistic,6,2,11.0,False
opportunistic,6,3,17.0,False
opportunistic,6,4,23.0,True
opportunistic,6,6,35.0,True
opportunistic,6,9,53.0,False
opportunistic,6,10,59.0,True
opportunistic,6,14,83.0,True
opportunistic,6,15,89.0,False
opportunistic,6,16,395.0,False
opportunistic,6,1,893.0,True
opportunistic,6,8,1751.0,True
opportunistic,6,19,2075.0,False
opportunistic,6,12,4877.668702769988,False
opportunistic,6,18,4901.668702769988,False
opportunistic,6,20,4907.668702769988,False
opportunistic,6,11,5117.668702769988,False
opportunistic,7,1,5.0,False
opportunistic,7,9,53.0,False
opportunistic,7,13,77.0,False
opportunistic,7,19,113.0,True
opportunistic,7,10,2141.0,True
opportunistic,7,6,2411.0,True
opportunistic,7,2,2681.0,False
opportunistic,7,3,3589.8106040565367,True
opportunistic,7,4,4697.869154494362,False
opportunistic,7,5,5219.869154494362,True
opportunistic,7,16,5519.869154494362,True
opportunistic,7,18,5531.869154494362,True
opportunistic,8,4,323.0,False
opportunistic,8,19,413.0,False
opportunistic,8,12,2117.0,True
opportunistic,8,2,2639.0,False
opportunistic,8,17,3299.0,True
opportunistic,8,13,4936.763239646723,True
opportunistic,8,3,5164.763239646723,True
opportunistic,8,5,5170.763239646723,True
opportunistic,8,7,5182.763239646723,False
opportunistic,8,9,5194.763239646723,True
opportunistic,8,16,5230.763239646723,False
opportunistic,9,2,11.0,False
opportunistic,9,9,53.0,False
opportunistic,9,19,113.0,False
opportunistic,9,12,371.0,True
opportunistic,9,5,629.0,True
opportunistic,9,20,713.0,True
opportunistic,9,6,2693.0,True
