label,strategy,cases,all_clear_case_rate,mean_virtual_time_s,delta_mean_virtual_vs_baseline_pct,p95_virtual_time_s,max_virtual_time_s,mean_movement_distance_m,mean_measure_count,mean_no_signal_count,mean_no_signal_rate,mean_first_clear_time_s,mean_measurements_before_first_clear,mean_wall_time_s,strategy_config
w16,belief,100,1.0,10065.2299271523,-25.134052239302473,10938.444541181074,11358.481118510535,36701.6496357615,443.73,399.83,0.8971668968033117,730.6830029747368,58.15,0.07270321871976193,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 16.0}"
w40,belief,100,1.0,10075.826994982217,-25.05523044066369,11124.322317712638,11874.993533882953,36669.434974911084,446.57,402.66,0.8980337422794055,730.6830029747368,58.15,0.07260845650002011,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 40.0}"
w24,belief,100,1.0,10079.609813900362,-25.027093545077218,11085.294510407912,11358.481118510535,36717.74906950182,445.59,401.63,0.8977477117779058,730.6830029747368,58.15,0.07594300023985852,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 24.0}"
w80,belief,100,1.0,10080.350914880288,-25.021581179473053,11138.396056260746,11874.993533882953,36687.85457440143,446.71,402.81,0.8980022378777732,730.6830029747368,58.15,0.07467573304995312,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 80.0}"
w12,belief,100,1.0,10087.40024438346,-24.969147729054917,11136.567625524844,11442.731034917182,36833.801221917296,443.02,399.16,0.897172827004163,730.6830029747368,58.15,0.07239288816967018,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 12.0}"
w8,belief,100,1.0,10183.555272050828,-24.253939300596272,11432.656490612577,11707.645082844125,37331.67636025413,442.46,398.61,0.8969640445159215,730.6830029747368,58.15,0.07311641164003958,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 8.0}"
w6,belief,100,1.0,10390.778946659822,-22.71259380622205,11537.18150110796,12272.903932239353,38371.59473329911,442.33,398.52,0.8968939749840503,734.1507248051302,58.34,0.07298287277011696,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 6.0}"
w4,belief,100,1.0,10874.419450638614,-19.115238855774553,12271.746582766127,13071.041131879649,40922.64725319307,437.9,394.3,0.8962559066678476,750.2415505272329,58.14,0.0700164350601699,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 4.0}"
w2.5,belief,100,1.0,12006.998981134217,-10.691025938771793,13622.444249752018,14763.728185386855,46700.29490567108,434.08,389.92,0.8935298547132663,785.733979315758,58.52,0.07073123772999679,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 2.5}"
w1.5,belief,100,1.0,13444.336481687149,0.0,15134.915630336043,15448.225960980319,53632.18240843576,442.57,398.21,0.8948933352008533,827.1150599469854,59.1,0.07097293406990503,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 1.5}"
