strategy,seed,channel,first_seen_time_s,directional
belief,0,5,29.0,False
belief,0,6,35.0,False
belief,0,13,77.0,False
belief,0,20,119.0,False
belief,0,1,277.0,False
belief,0,3,289.0,True
belief,0,4,295.0,False
belief,0,12,343.0,True
belief,0,10,603.0,False
belief,0,16,639.0,True
belief,0,8,1879.9391204797823,True
belief,0,9,1885.9391204797823,True
belief,0,18,2305.2108432302516,False
belief,0,2,2875.2108432302516,True
belief,0,14,4797.321135111082,True
belief,0,7,9136.563267323865,True
belief,1,7,41.0,False
belief,1,13,77.0,True
belief,1,14,83.0,False
belief,1,19,113.0,False
belief,1,4,295.0,True
belief,1,11,337.0,False
belief,1,16,367.0,True
belief,1,8,1161.4548698056628,True
belief,1,17,1850.8791901798231,True
belief,1,3,3383.968455526159,True
belief,1,9,8629.658706164199,True
belief,2,6,35.0,False
belief,2,13,77.0,False
belief,2,15,89.0,True
belief,2,3,289.0,False
belief,2,5,301.0,False
belief,2,10,331.0,False
belief,2,11,337.0,False
belief,2,14,355.0,True
belief,2,20,391.0,True
belief,2,16,639.0,False
belief,2,17,645.0,False
belief,2,4,1000.9406925967451,True
belief,2,2,1345.715947227638,False
belief,2,12,2697.0747419177455,True
belief,2,1,4607.559703409219,False
belief,2,19,8134.301421632868,True
belief,3,1,5.0,False
belief,3,2,11.0,True
belief,3,8,47.0,False
belief,3,16,95.0,False
belief,3,19,113.0,False
belief,3,5,301.0,False
belief,3,11,337.0,False
belief,3,12,343.0,False
belief,3,14,1045.0,False
belief,3,18,1335.0,False
belief,3,10,5252.093198149115,True
belief,4,2,11.0,False
belief,4,4,23.0,True
belief,4,9,53.0,False
belief,4,17,101.0,True
belief,4,15,361.0,False
belief,4,7,772.9060336094702,True
belief,4,1,1114.1777563599396,False
belief,4,10,1162.1777563599396,True
belief,4,16,1198.1777563599396,False
belief,4,5,2297.603678392227,False
belief,4,13,2605.603678392227,True
belief,5,3,17.0,False
belief,5,8,47.0,False
belief,5,9,53.0,False
belief,5,12,71.0,False
belief,5,17,101.0,True
belief,5,1,660.2717227504693,True
belief,5,6,690.2717227504693,True
belief,5,7,696.2717227504693,False
belief,5,2,1149.5097069675771,False
belief,5,11,1203.5097069675771,True
belief,5,13,1215.5097069675771,False
belief,5,15,1493.5097069675771,False
belief,5,18,3770.918414880363,True
belief,5,4,6107.399601084098,True
belief,6,2,11.0,False
belief,6,3,17.0,False
belief,6,4,23.0,True
belief,6,6,35.0,True
belief,6,9,53.0,False
belief,6,10,59.0,True
belief,6,14,83.0,True
belief,6,15,89.0,False
belief,6,16,367.0,False
belief,6,19,880.8331071523228,False
belief,6,11,1649.156754479108,False
belief,6,18,1691.156754479108,False
belief,6,20,1703.156754479108,False
belief,6,12,2544.007974621426,False
belief,6,1,4361.698818178937,True
belief,6,8,4379.698818178937,True
belief,7,1,5.0,False
belief,7,9,53.0,False
belief,7,13,77.0,False
belief,7,19,113.0,True
belief,7,2,283.0,False
belief,7,6,307.0,True
belief,7,5,1389.9631472822489,True
belief,7,18,1873.5421880505469,True
belief,7,4,3011.747824862381,False
belief,7,10,5922.7284778632065,True
belief,7,3,6240.000200613676,True
belief,7,16,8303.057031563589,True
belief,8,4,295.0,False
belief,8,19,385.0,False
belief,8,2,666.2717227504693,False
belief,8,12,726.2717227504693,True
belief,8,17,756.2717227504693,True
belief,8,3,1055.5434455009386,True
belief,8,5,1067.5434455009386,True
belief,8,7,1079.5434455009386,False
belief,8,9,1091.5434455009386,True
belief,8,16,1133.5434455009386,False
belief,8,13,5645.764640487847,True
belief,9,2,11.0,False
belief,9,9,53.0,False
belief,9,19,113.0,False
belief,9,6,307.0,True
belief,9,8,319.0,False
belief,9,11,337.0,True
belief,9,12,731.2734611718389,True
belief,9,16,1132.5451839223083,True
belief,9,14,1386.5451839223083,True
belief,9,18,1410.5451839223083,True
belief,9,1,2340.828833640909,False
belief,9,5,3768.466121602627,True
belief,9,20,4187.737844353096,True
belief,10,2,11.0,False
belief,10,7,41.0,False
belief,10,10,59.0,False
belief,10,13,77.0,False
belief,10,14,83.0,True
belief,10,16,95.0,True
belief,10,1,277.0,True
belief,10,8,319.0,False
belief,10,11,337.0,False
belief,10,15,361.0,True
belief,10,5,1040.7593577956236,True
belief,10,17,2313.0185351841023,True
belief,10,19,2325.0185351841023,True
belief,10,3,4724.363861920233,True
belief,11,3,17.0,False
belief,11,7,41.0,True
belief,11,8,47.0,True
belief,11,17,101.0,False
belief,11,18,107.0,False
belief,11,9,325.0,False
belief,11,20,391.0,True
belief,11,2,555.0,True
belief,11,11,933.4027123186951,True
belief,11,13,945.4027123186951,True
belief,11,10,1964.5409599322431,True
belief,11,19,2743.846688696869,False
belief,11,15,5083.938290403581,True
belief,12,5,29.0,False
belief,12,6,35.0,False
belief,12,8,47.0,False
belief,12,15,89.0,True
belief,12,17,101.0,True
belief,12,13,349.0,True
belief,12,4,772.812862810913,True
belief,12,11,814.812862810913,True
belief,12,9,2884.8047544500223,True
belief,12,1,3292.153941874996,True
belief,12,12,6510.10332456006,True
belief,12,16,8003.198275694286,True
belief,12,19,12611.189413942167,True
belief,13,5,29.0,False
belief,13,8,47.0,True
belief,13,12,71.0,False
belief,13,11,337.0,False
belief,13,13,349.0,True
belief,13,2,666.2717227504693,False
belief,13,3,672.2717227504693,False
belief,13,18,762.2717227504693,False
belief,13,4,2861.6233959259785,True
belief,13,6,4953.7705409515265,True
belief,13,10,4971.7705409515265,True
belief,13,9,13439.021170739104,True
belief,14,9,53.0,True
belief,14,18,107.0,False
belief,14,19,113.0,True
belief,14,20,119.0,True
belief,14,5,301.0,False
belief,14,17,373.0,True
belief,14,2,666.2717227504693,True
belief,14,8,702.2717227504693,False
belief,14,11,720.2717227504693,False
belief,14,12,1883.6993130224596,True
belief,15,1,5.0,False
belief,15,8,47.0,False
belief,15,11,65.0,True
belief,15,17,101.0,False
belief,15,20,119.0,False
belief,15,2,283.0,False
belief,15,3,672.2717227504693,False
belief,15,6,690.2717227504693,True
belief,15,19,1563.5434455009386,True
belief,15,13,5128.635367416743,True
belief,15,15,6946.4585958005,True
belief,16,7,41.0,False
belief,16,11,65.0,True
belief,16,16,95.0,True
belief,16,20,119.0,False
belief,16,8,786.0387776363148,True
belief,16,14,822.0387776363148,True
belief,16,4,1381.4116154331357,True
belief,16,5,1387.4116154331357,False
belief,16,19,1459.4116154331357,True
belief,16,10,2036.683338183605,False
belief,16,1,3298.837537465423,True
belief,16,18,3960.347437668668,True
belief,17,9,53.0,False
belief,17,11,65.0,False
belief,17,14,83.0,True
belief,17,15,89.0,False
belief,17,5,301.0,False
belief,17,6,307.0,True
belief,17,13,732.2717227504693,False
belief,17,19,768.2717227504693,False
belief,17,12,1575.504177817944,True
belief,17,10,2488.9501584893387,True
belief,17,20,4191.629533598665,True
belief,17,18,4663.629533598665,True
belief,17,2,4993.240447769751,True
belief,17,1,6174.302471135692,True
belief,18,3,17.0,False
belief,18,5,29.0,False
belief,18,8,47.0,False
belief,18,11,65.0,False
belief,18,15,1115.5434455009386,False
belief,18,17,1127.5434455009386,False
belief,18,13,1500.9860285913946,True
belief,18,18,1530.9860285913946,True
belief,18,4,2093.780559222972,True
belief,18,7,2105.780559222972,True
belief,18,19,2165.780559222972,False
belief,19,4,23.0,False
belief,19,5,29.0,True
belief,19,11,65.0,False
belief,19,19,113.0,False
belief,19,20,119.0,False
belief,19,6,794.3086519061949,True
belief,19,7,800.3086519061949,False
belief,19,12,824.3086519061949,True
belief,19,17,854.3086519061949,True
belief,19,2,1639.7345739384818,True
belief,19,3,1899.7345739384818,True
belief,19,18,1983.7345739384818,True
belief,19,16,4855.369986985498,True
belief,19,9,5348.641709735967,True
belief,19,10,6407.943014312001,True
belief,20,1,5.0,False
belief,20,3,17.0,True
belief,20,5,29.0,False
belief,20,8,47.0,False
belief,20,9,53.0,False
belief,20,16,95.0,False
belief,20,6,812.4080049445399,True
belief,20,7,818.4080049445399,False
belief,20,12,848.4080049445399,False
belief,20,14,860.4080049445399,False
belief,20,18,1144.40800494454,True
belief,20,20,1568.40800494454,False
belief,20,11,2203.2211392929435,True
belief,20,4,3137.462477614431,True
belief,20,2,4449.502921817362,True
belief,21,8,47.0,True
belief,21,10,59.0,False
belief,21,14,83.0,True
belief,21,15,89.0,False
belief,21,16,95.0,False
belief,21,20,119.0,False
belief,21,12,821.4924343064054,False
belief,21,13,827.4924343064054,True
belief,21,3,1144.7641570568746,True
belief,21,9,1764.1959400259304,False
belief,21,7,4259.97753173522,True
belief,22,5,29.0,False
belief,22,6,35.0,False
belief,22,17,101.0,False
belief,22,1,277.0,False
belief,22,4,295.0,False
belief,22,16,367.0,True
belief,22,8,702.2717227504693,False
belief,22,11,720.2717227504693,False
belief,22,12,726.2717227504693,False
belief,22,2,1206.7508664803315,False
belief,22,15,6637.603575903452,True
belief,23,1,5.0,True
belief,23,2,11.0,True
belief,23,3,17.0,True
belief,23,5,29.0,True
belief,23,11,65.0,False
belief,23,17,101.0,False
belief,23,7,313.0,False
belief,23,9,325.0,False
belief,23,10,714.2717227504693,False
belief,23,20,774.2717227504693,False
belief,23,18,1145.5434455009386,True
belief,23,14,2258.412223915188,False
belief,23,19,2282.412223915188,True
belief,23,4,2458.412223915188,True
belief,23,6,5528.974445671288,True
belief,23,8,5534.974445671288,True
belief,24,3,17.0,False
belief,24,7,41.0,False
belief,24,15,89.0,True
belief,24,2,283.0,True
belief,24,14,355.0,True
belief,24,19,385.0,True
belief,24,11,609.0,True
belief,24,1,932.2717227504693,True
belief,24,20,1046.2717227504693,False
belief,24,4,1333.5434455009386,False
