strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
belief,0,16,8,16,1.0,True,593.2672236135083,9492.275577816134,7349.275577816133,36746.377889080664,1720.0,344,286,0.8313953488372093,58,0,343,16,16,16,11,11,1622.0155157889344,8969.935602338222,709.2434365832637,9492.275577816134,60,0.07696030100123608
belief,1,11,7,11,1.0,True,1125.2014295339795,12377.215724873775,9479.215724873775,47396.07862436888,2370.0,474,440,0.9282700421940928,34,0,473,11,11,11,9,9,1406.655118671459,7542.625292859025,711.09091271852,11730.83545914601,60,0.03644124999846099
belief,2,16,6,16,1.0,True,603.1813197492634,9650.901115988214,7711.90111598821,38559.505579941055,1550.0,310,258,0.832258064516129,52,0,309,16,16,16,8,8,1246.360722101665,6199.6993415268225,742.4039783730525,9650.901115988214,60,0.06415819999892847
belief,3,11,2,11,1.0,True,1118.692099947545,12305.613099422997,9545.613099423,47728.06549711501,2255.0,451,404,0.8957871396895787,47,0,450,11,11,11,3,3,594.1758516996204,2903.9343686958237,1729.2043438525695,12305.613099422997,117,0.05521268300071824
belief,4,11,5,11,1.0,True,1186.503275755149,13051.536033306638,10183.536033306638,50917.68016653318,2345.0,469,429,0.9147121535181236,40,0,468,11,11,11,8,8,875.7067046071567,3086.5613107162626,504.8013426403657,11017.358827815213,40,0.0551214400002209
belief,5,14,6,14,1.0,True,792.1100069912338,11089.540097877274,8806.540097877272,44032.700489386356,1845.0,369,324,0.8780487804878049,45,0,368,14,14,14,5,5,953.3172460642262,4038.66255431695,725.3101799013434,8966.950927249232,60,0.05594997899970622
belief,6,16,6,16,1.0,True,673.2443847852,10771.9101565632,8774.910156563203,43874.55078281601,1600.0,320,265,0.828125,55,0,317,16,16,16,7,7,693.0609387099748,3779.1376011451794,511.26431934647314,10771.9101565632,40,0.1145631740000681
belief,7,12,7,12,1.0,True,1117.6147400188133,13411.37688022576,10352.376880225762,51761.88440112882,2500.0,500,457,0.914,43,0,499,12,12,12,9,9,1938.6900800812864,6315.568104098189,822.4385325445493,13411.37688022576,60,0.0730317150009796
belief,8,11,6,11,1.0,True,1101.51805351694,12116.698588686339,9248.698588686339,46243.492943431695,2345.0,469,435,0.9275053304904051,34,0,468,11,11,11,7,7,1288.2942791105627,5453.273968186089,1079.0223657425688,9179.832832839746,80,0.049157575998833636
belief,9,13,8,13,1.0,True,980.3401569552366,12744.422040418076,9866.422040418078,49332.11020209037,2345.0,469,429,0.9147121535181236,40,0,468,13,13,13,12,12,1258.7405132735717,4140.94441298838,556.5983241377172,12449.816197960348,40,0.06776020699908258
