strategy,seed,channel,first_seen_time_s,directional
belief,0,5,29.0,False
belief,0,6,35.0,False
belief,0,13,77.0,False
belief,0,20,119.0,False
belief,0,1,277.0,False
belief,0,3,289.0,True
belief,0,4,295.0,False
belief,0,12,343.0,True
belief,0,10,603.0,False
belief,0,16,639.0,True
belief,0,2,2045.7605125887264,True
belief,0,9,3134.164767251159,True
belief,0,18,3170.164767251159,False
belief,0,8,3346.164767251159,True
belief,0,14,3817.177052372841,True
belief,0,7,6960.1513847348715,True
belief,1,7,41.0,False
belief,1,13,77.0,True
belief,1,14,83.0,False
belief,1,19,113.0,False
belief,1,4,295.0,True
belief,1,11,337.0,False
belief,1,16,367.0,True
belief,1,3,994.5573305576426,True
belief,1,8,1408.8910031886514,True
belief,1,17,1698.8910031886514,True
belief,1,9,8363.16328666705,True
belief,2,6,35.0,False
belief,2,13,77.0,False
belief,2,15,89.0,True
belief,2,3,289.0,False
belief,2,5,301.0,False
belief,2,10,331.0,False
belief,2,11,337.0,False
belief,2,14,355.0,True
belief,2,20,391.0,True
belief,2,16,639.0,False
belief,2,17,645.0,False
belief,2,4,1000.9406925967451,True
belief,2,2,1345.715947227638,False
belief,2,12,4118.343431148851,True
belief,2,1,4288.343431148851,False
belief,2,19,5112.913498359857,True
belief,3,1,5.0,False
belief,3,2,11.0,True
belief,3,8,47.0,False
belief,3,16,95.0,False
belief,3,19,113.0,False
belief,3,5,301.0,False
belief,3,11,337.0,False
belief,3,12,343.0,False
belief,3,14,1045.0,False
belief,3,18,1335.0,False
belief,3,10,3013.0751391809463,True
belief,4,2,11.0,False
belief,4,4,23.0,True
belief,4,9,53.0,False
belief,4,17,101.0,True
belief,4,15,361.0,False
belief,4,1,665.3448516239321,False
belief,4,10,713.3448516239321,True
belief,4,16,749.3448516239321,False
belief,4,5,955.3448516239321,False
belief,4,7,1233.344851623932,True
belief,4,13,5101.663397713045,True
belief,5,3,17.0,False
belief,5,8,47.0,False
belief,5,9,53.0,False
belief,5,12,71.0,False
belief,5,17,101.0,True
belief,5,13,621.0,False
belief,5,15,633.0,False
belief,5,1,988.4869690703433,True
belief,5,2,994.4869690703433,False
belief,5,6,1012.4869690703433,True
belief,5,7,1018.4869690703433,False
belief,5,11,1036.4869690703433,True
belief,5,18,2320.07308723311,True
belief,5,4,4136.9261095124675,True
belief,6,2,11.0,False
belief,6,3,17.0,False
belief,6,4,23.0,True
belief,6,6,35.0,True
belief,6,9,53.0,False
belief,6,10,59.0,True
belief,6,14,83.0,True
belief,6,15,89.0,False
belief,6,16,367.0,False
belief,6,11,619.4230650116957,False
belief,6,18,661.4230650116957,False
belief,6,20,673.4230650116957,False
belief,6,12,1715.5115981280449,False
belief,6,19,3236.9047931554587,False
belief,6,1,3495.672574767196,True
belief,6,8,4014.1851621038086,True
belief,7,1,5.0,False
belief,7,9,53.0,False
belief,7,13,77.0,False
belief,7,19,113.0,True
belief,7,2,283.0,False
belief,7,6,307.0,True
belief,7,4,1257.6773661143864,False
belief,7,5,1523.6773661143864,True
belief,7,18,2007.2564068826844,True
belief,7,16,4778.06966698902,True
belief,7,10,6540.06966698902,True
belief,7,3,7512.802321190008,True
belief,8,4,295.0,False
belief,8,19,385.0,False
belief,8,3,561.0,True
belief,8,5,573.0,True
belief,8,16,639.0,False
belief,8,7,857.0,False
belief,8,9,869.0,True
belief,8,17,1482.7898024612884,True
belief,8,2,1664.7898024612884,False
belief,8,12,1712.7898024612884,True
belief,8,13,4446.327651789267,True
belief,9,2,11.0,False
belief,9,9,53.0,False
belief,9,19,113.0,False
belief,9,6,307.0,True
belief,9,8,319.0,False
belief,9,11,337.0,True
belief,9,12,731.2734611718389,True
belief,9,16,1132.5451839223083,True
belief,9,14,1386.5451839223083,True
belief,9,18,1410.5451839223083,True
belief,9,1,2340.828833640909,False
belief,9,5,4872.775964332681,True
belief,9,20,4926.775964332681,True
belief,10,2,11.0,False
belief,10,7,41.0,False
belief,10,10,59.0,False
belief,10,13,77.0,False
belief,10,14,83.0,True
belief,10,16,95.0,True
belief,10,1,277.0,True
belief,10,8,319.0,False
belief,10,11,337.0,False
belief,10,15,361.0,True
belief,10,5,1040.7593577956236,True
belief,10,17,2717.276464049725,True
belief,10,19,2729.276464049725,True
belief,10,3,4685.276464049724,True
belief,11,3,17.0,False
belief,11,7,41.0,True
belief,11,8,47.0,True
belief,11,17,101.0,False
belief,11,18,107.0,False
belief,11,9,325.0,False
belief,11,20,391.0,True
belief,11,2,555.0,True
belief,11,11,933.4027123186951,True
belief,11,13,945.4027123186951,True
belief,11,10,1348.943258753337,True
belief,11,19,1974.5498923766697,False
belief,11,15,5393.6071204498485,True
belief,12,5,29.0,False
belief,12,6,35.0,False
belief,12,8,47.0,False
belief,12,15,89.0,True
belief,12,17,101.0,True
belief,12,13,349.0,True
belief,12,4,692.6474852048219,True
belief,12,11,1223.7240438949286,True
belief,12,9,1731.7240438949286,True
belief,12,12,2310.0931741287404,True
belief,12,1,6404.523002923603,True
belief,12,19,6664.523002923603,True
belief,12,16,7288.523002923603,True
belief,13,5,29.0,False
belief,13,8,47.0,True
belief,13,12,71.0,False
belief,13,11,337.0,False
belief,13,13,349.0,True
belief,13,2,555.0,False
belief,13,4,1264.3037442866437,True
belief,13,3,1974.4633891615117,False
belief,13,18,2300.4633891615117,False
belief,13,9,3521.7318146568887,True
belief,13,6,5691.366182444613,True
belief,13,10,5709.366182444613,True
belief,14,9,53.0,True
belief,14,18,107.0,False
belief,14,19,113.0,True
belief,14,20,119.0,True
belief,14,5,301.0,False
belief,14,17,373.0,True
belief,14,8,591.0,False
belief,14,11,609.0,False
belief,14,2,876.5233882167896,True
belief,14,12,2279.1548900410194,True
belief,15,1,5.0,False
belief,15,8,47.0,False
belief,15,11,65.0,True
belief,15,17,101.0,False
belief,15,20,119.0,False
belief,15,2,283.0,False
belief,15,3,561.0,False
belief,15,19,657.0,True
belief,15,6,1320.5740008185155,True
belief,15,13,3513.6057010604,True
belief,15,15,7720.00714808433,True
belief,16,7,41.0,False
belief,16,11,65.0,True
belief,16,16,95.0,True
belief,16,20,119.0,False
belief,16,4,730.6445998963652,True
belief,16,5,736.6445998963652,False
belief,16,14,790.6445998963652,True
belief,16,8,1020.6445998963652,True
belief,16,10,1566.3593162039022,False
belief,16,19,2390.3467897495634,True
belief,16,18,5005.4807528301235,True
belief,16,1,5510.7524755805925,True
belief,17,9,53.0,False
belief,17,11,65.0,False
belief,17,14,83.0,True
belief,17,15,89.0,False
belief,17,5,301.0,False
belief,17,6,307.0,True
belief,17,19,657.0,False
belief,17,13,893.0,False
belief,17,12,1743.5812639461938,True
belief,17,18,2691.241876810992,True
belief,17,10,2909.241876810992,True
belief,17,1,3435.854873957983,True
belief,17,2,6205.8727200377025,True
belief,17,20,6265.8727200377025,True
belief,18,3,17.0,False
belief,18,5,29.0,False
belief,18,8,47.0,False
belief,18,11,65.0,False
belief,18,17,645.0,False
belief,18,15,899.0,False
belief,18,7,1652.787040194636,True
belief,18,19,1712.787040194636,False
belief,18,4,2301.0731442737083,True
belief,18,13,5287.153994837436,True
belief,18,18,5311.153994837436,True
belief,19,4,23.0,False
belief,19,5,29.0,True
belief,19,11,65.0,False
belief,19,19,113.0,False
belief,19,20,119.0,False
belief,19,6,794.3086519061949,True
belief,19,7,800.3086519061949,False
belief,19,12,824.3086519061949,True
belief,19,17,854.3086519061949,True
belief,19,2,1024.3086519061949,True
belief,19,3,1284.3086519061949,True
belief,19,18,1368.3086519061949,True
belief,19,10,2216.3193609931395,True
belief,19,9,2440.3193609931395,True
belief,19,16,2936.3193609931395,True
belief,20,1,5.0,False
belief,20,3,17.0,True
belief,20,5,29.0,False
belief,20,8,47.0,False
belief,20,9,53.0,False
belief,20,16,95.0,False
belief,20,11,719.8592558724996,True
belief,20,18,761.8592558724996,True
belief,20,6,1067.130978622969,True
belief,20,7,1073.130978622969,False
belief,20,12,1103.130978622969,False
belief,20,14,1115.130978622969,False
belief,20,20,1411.130978622969,False
belief,20,4,1734.0130776260157,True
belief,20,2,4308.909890639448,True
belief,21,8,47.0,True
belief,21,10,59.0,False
belief,21,14,83.0,True
belief,21,15,89.0,False
belief,21,16,95.0,False
belief,21,20,119.0,False
belief,21,3,566.3536510547245,True
belief,21,12,1063.9584255953228,False
belief,21,13,1069.9584255953228,True
belief,21,9,2713.198807010763,False
belief,21,7,3004.018924564828,True
belief,22,5,29.0,False
belief,22,6,35.0,False
belief,22,17,101.0,False
belief,22,1,277.0,False
belief,22,4,295.0,False
belief,22,16,367.0,True
belief,22,11,609.0,False
belief,22,8,1298.3904366676425,False
belief,22,12,1322.3904366676425,False
belief,22,2,1528.3904366676425,False
belief,22,15,5565.157734084439,True
belief,23,1,5.0,True
belief,23,2,11.0,True
belief,23,3,17.0,True
belief,23,5,29.0,True
belief,23,11,65.0,False
belief,23,17,101.0,False
belief,23,7,313.0,False
belief,23,9,325.0,False
belief,23,20,663.0,False
belief,23,10,963.4150916685235,False
belief,23,18,1376.6868144189928,True
belief,23,4,3274.9807612005343,True
belief,23,14,3558.9807612005343,False
belief,23,19,3582.9807612005343,True
belief,23,6,5158.73092801575,True
belief,23,8,5164.73092801575,True
belief,24,3,17.0,False
belief,24,7,41.0,False
belief,24,15,89.0,True
belief,24,2,283.0,True
belief,24,14,355.0,True
belief,24,19,385.0,True
belief,24,11,609.0,True
belief,24,20,935.0,False
belief,24,1,1093.0,True
belief,24,4,1383.0,False
belief,24,5,1389.0,True
belief,24,6,1395.0,True
belief,24,18,1467.0,True
belief,24,17,1733.0,False
belief,24,13,3588.9282900259605,True
belief,25,1,5.0,False
