strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
lattice,0,16,8,16,1.0,True,607.6781399353414,9722.850238965462,6931.850238965466,34659.251194827324,2260.0,452,393,0.8694690265486725,59,0,451,16,16,16,10,10,2071.0,5199.0,7567.787701246896,9722.850238965462,452,0.03140689799693064
lattice,1,11,7,11,1.0,True,967.3217654722358,10640.539420194595,7412.539420194595,37062.69710097297,2645.0,529,491,0.9281663516068053,38,0,528,11,11,11,8,8,1776.6363636363637,4243.0,8962.244679035794,10640.539420194595,529,0.0200930069986498
lattice,2,16,6,16,1.0,True,490.7077726781654,7851.324362850646,5450.324362850645,27251.62181425323,1935.0,387,326,0.8423772609819121,61,0,386,16,16,16,6,6,2034.125,4291.0,6046.0903972869755,7851.324362850646,387,0.03164853799898992
lattice,3,11,2,11,1.0,True,931.903803931359,10250.94184324495,7274.94184324495,36374.709216224735,2435.0,487,441,0.9055441478439425,46,0,486,11,11,11,1,1,1382.6363636363637,4395.0,8736.762152156158,10250.94184324495,487,0.027196171999094076
lattice,4,11,5,11,1.0,True,932.5682284675423,10258.250513142966,7294.250513142969,36471.25256571484,2425.0,485,446,0.9195876288659793,39,0,484,11,11,11,7,7,1159.5454545454545,4075.0,8740.423369636306,10258.250513142966,485,0.020729413998196833
lattice,5,14,6,14,1.0,True,797.4143644406543,11163.80110216916,8046.801102169161,40234.005510845804,2540.0,508,457,0.8996062992125984,51,0,507,14,14,14,7,7,2104.1428571428573,5871.0,8835.866498054436,11163.80110216916,508,0.026463310998224188
lattice,6,16,6,16,1.0,True,691.7045802959856,11067.27328473577,8668.273284735766,43341.36642367883,1935.0,387,329,0.8501291989664083,58,0,384,16,16,16,8,8,1309.625,4979.0,8634.940868110813,11067.27328473577,387,0.0679238720003923
lattice,7,12,7,12,1.0,True,966.8611304253378,11602.333565104054,8225.333565104058,41126.66782552028,2765.0,553,509,0.9204339963833634,44,0,552,12,12,12,8,8,2797.8333333333335,8457.0,9565.337508770235,11602.333565104054,553,0.03410732399788685
lattice,8,11,6,11,1.0,True,1004.5235901281386,11049.759491409524,7779.759491409524,38898.797457047614,2680.0,536,502,0.9365671641791045,34,0,535,11,11,11,5,5,2990.6363636363635,6991.0,9008.136222094194,11049.759491409524,536,0.015443611999216955
lattice,9,13,8,13,1.0,True,785.7806353686805,10215.148259792846,7367.148259792843,36835.74129896423,2320.0,464,423,0.9116379310344828,41,0,463,13,13,13,6,6,1874.5384615384614,4093.0,8668.41706195054,10215.148259792846,464,0.019768834001297364
lattice,10,14,8,14,1.0,True,751.1062760627717,10515.487864878804,7362.4878648788035,36812.43932439403,2570.0,514,459,0.8929961089494164,55,0,513,14,14,14,12,12,1588.5714285714287,4019.0,8969.776606523821,10515.487864878804,514,0.029178387001593364
lattice,11,13,8,13,1.0,True,785.7593430726023,10214.87145994383,7432.871459943827,37164.35729971914,2265.0,453,411,0.9072847682119205,42,0,452,13,13,13,12,12,1250.5384615384614,4123.0,8689.878077669866,10214.87145994383,453,0.019045172000915045
lattice,12,13,10,13,1.0,True,830.7035735218275,10799.146455783757,7861.146455783756,39305.7322789188,2395.0,479,438,0.9144050104384134,41,0,478,13,13,13,10,10,1817.3076923076924,6945.0,8788.156372816202,10799.146455783757,479,0.020805749998544343
lattice,13,12,6,12,1.0,True,892.7165724607411,10712.598869528892,7617.598869528895,38087.994347644475,2530.0,506,465,0.9189723320158103,41,0,505,12,12,12,7,7,1541.0,4177.0,8831.679319528957,10712.598869528892,506,0.02026116699926206
lattice,14,10,6,10,1.0,True,1005.8850728101155,10058.850728101155,6991.850728101156,34959.25364050577,2515.0,503,469,0.9324055666003976,34,0,502,10,10,10,3,3,1509.6,3809.0,8997.708975983778,10058.850728101155,503,0.017789680998248514
