strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
opportunistic,0,16,8,16,1.0,True,552.7619817751677,8844.191708402683,6311.191708402681,31555.958542013403,2045.0,409,352,0.8606356968215159,57,0,408,16,16,16,10,10,1826.4652230201943,7349.040135872746,498.546789927813,8844.191708402683,40,0.029715058000874706
opportunistic,1,11,7,11,1.0,True,903.1991845727115,9935.191030299826,6761.191030299828,33805.95515149913,2600.0,520,482,0.926923076923077,38,0,519,11,11,11,8,8,2155.371907121734,8177.079378457478,2882.8540398029345,9004.035303231465,211,0.02212981599950581
opportunistic,2,16,6,16,1.0,True,429.6894327120692,6875.0309233931075,4882.0309233931075,24410.154616965534,1595.0,319,262,0.8213166144200627,57,0,318,16,16,16,5,5,1861.9993251148544,6402.454866851474,1060.5889235937477,6875.0309233931075,80,0.026438518001668854
opportunistic,3,11,2,11,1.0,True,910.4576908801431,10015.034599681574,6967.034599681574,34835.17299840787,2495.0,499,457,0.9158316633266533,42,0,498,11,11,11,1,1,1332.9237956781874,4538.372533670734,827.4747369724788,7287.3239639525,60,0.02196367500073393
opportunistic,4,11,5,11,1.0,True,916.8426181081605,10085.268799189766,7109.268799189766,35546.343995948824,2435.0,487,445,0.9137577002053389,42,0,486,11,11,11,7,7,1283.5002892095797,5511.8607111395195,1370.78410830228,9820.99012786736,100,0.022937475998332957
opportunistic,5,14,6,14,1.0,True,762.7728914603359,10678.820480444703,7651.820480444703,38259.102402223514,2465.0,493,445,0.9026369168356998,48,0,492,14,14,14,4,4,2336.0040610036194,7894.835154069398,2604.6557703015674,10678.820480444703,200,0.023620314997970127
opportunistic,6,16,6,16,1.0,True,626.7202543405773,10027.524069449237,7568.524069449236,37842.62034724619,1985.0,397,343,0.8639798488664987,54,0,394,16,16,16,5,5,981.4880426587273,5183.189141191712,511.26431934647314,10027.524069449237,40,0.06718212900159415
opportunistic,7,12,7,12,1.0,True,891.5841182593459,10699.009419112152,7361.009419112151,36805.04709556076,2735.0,547,504,0.9213893967093236,43,0,543,12,12,12,7,7,2911.5530063447986,8004.162161229859,2002.7181457627007,10699.009419112152,136,0.05686276800042833
opportunistic,8,11,6,11,1.0,True,874.3484353914105,9617.832789305516,6257.832789305514,31289.163946527577,2755.0,551,522,0.9473684210526315,29,0,550,11,11,11,3,3,3630.1656582011055,7533.514713440203,733.6474890207196,9617.832789305516,60,0.013213550002546981
opportunistic,9,13,8,13,1.0,True,792.9113051418325,10307.846966843823,7327.846966843823,36639.23483421911,2430.0,486,443,0.911522633744856,43,0,485,13,13,13,6,6,2129.650248528291,5622.213256720616,497.2718362947012,10307.846966843823,40,0.02133909899930586
opportunistic,10,14,8,14,1.0,True,756.3734140192233,10589.227796269126,7364.227796269127,36821.13898134563,2630.0,526,472,0.8973384030418251,54,0,525,14,14,14,10,10,2376.948009392679,8474.51147261377,2272.9250111496026,9168.529162892486,158,0.028233860000909772
opportunistic,11,13,8,13,1.0,True,733.1071735969774,9530.393256760706,6916.393256760706,34581.96628380354,2125.0,425,381,0.8964705882352941,44,0,424,13,13,13,8,8,1222.2977071955968,5734.491037702186,548.0493950939903,7591.115539479066,40,0.0205747899999551
opportunistic,12,13,10,13,1.0,True,808.9867743520698,10516.828066576907,7536.828066576906,37684.14033288453,2430.0,486,445,0.9156378600823045,41,0,485,13,13,13,5,5,2117.5913246714854,7212.161451794593,499.54345495147425,10516.828066576907,40,0.019808016997558298
opportunistic,13,12,6,12,1.0,True,846.8297568798625,10161.95708255835,7198.957082558351,35994.78541279175,2420.0,484,447,0.9235537190082644,37,0,483,12,12,12,4,4,1909.0717514168384,5281.607072074917,789.8455205597066,10161.95708255835,60,0.016711607000615913
opportunistic,14,10,6,10,1.0,True,939.2744362594603,9392.744362594603,5959.744362594602,29798.721812972995,2820.0,564,526,0.9326241134751773,38,0,563,10,10,10,7,7,1982.4247146533594,4992.376753275573,410.21618345655924,8784.225556208907,40,0.021824592997290893
opportunistic,15,11,5,11,1.0,True,954.568753355728,10500.256286913007,7074.256286913009,35371.28143456504,2810.0,562,518,0.9217081850533808,44,0,561,11,11,11,7,7,2129.2740634909565,4958.816004685167,2241.0516994754944,10500.256286913007,160,0.03295504199923016
opportunistic,16,12,8,12,1.0,True,811.984463655811,9743.813563869733,7038.813563869734,35194.06781934867,2205.0,441,402,0.9115646258503401,39,0,440,12,12,12,5,5,1419.645123610995,3712.6135991773467,533.8754302272474,8885.713695167206,40,0.018529536999267293
opportunistic,17,14,8,14,1.0,True,761.1492489542003,10656.089485358803,7575.089485358804,37875.44742679401,2510.0,502,453,0.9023904382470119,49,0,501,14,14,14,7,7,3124.6719507220123,8144.099497325893,821.1278246743193,10656.089485358803,60,0.025591719000658486
opportunistic,18,11,4,11,1.0,True,978.704167381124,10765.745841192364,7711.745841192364,38558.72920596183,2500.0,500,455,0.91,45,0,499,11,11,11,2,2,1634.0127187880173,4655.455859966856,810.3377661127647,10765.745841192364,60,0.026543018997472245
opportunistic,19,15,10,15,1.0,True,740.3628082059478,11105.442123089217,8164.4421230892185,40822.2106154461,2390.0,478,431,0.9016736401673641,47,0,476,15,15,15,7,7,3717.650382344691,8287.661767040718,420.26142057363137,11105.442123089217,40,0.05780087200037087
opportunistic,20,15,6,15,1.0,True,653.9326864273032,9808.990296409549,7190.99029640955,35954.951482047756,2120.0,424,371,0.875,53,0,423,15,15,15,8,8,2001.656250745617,6220.560064285678,510.9455258903922,9011.255996682185,40,0.02978457800054457
opportunistic,21,11,5,11,1.0,True,902.4964547984061,9927.461002782467,6807.461002782467,34037.30501391234,2555.0,511,475,0.9295499021526419,36,0,510,11,11,11,5,5,1844.24776668083,7537.0401989330085,473.66519052028946,8507.98767324927,40,0.018338941998081282
opportunistic,22,11,2,11,1.0,True,886.7084545414954,9753.79299995645,6705.792999956447,33528.964999782234,2495.0,499,461,0.9238476953907816,38,0,498,11,11,11,4,4,1923.4950212804163,4980.068449393021,734.7605723987325,8350.163386593085,60,0.019305221001559403
opportunistic,23,16,9,16,1.0,True,531.5173140983364,8504.277025573383,5929.277025573383,29646.385127866917,2080.0,416,356,0.8557692307692307,60,0,415,16,16,16,9,9,1714.7086885979284,6612.811887569787,2089.926027600235,8504.277025573383,155,0.030926504998205928
