strategy,seed,channel,first_seen_time_s,directional
opportunistic,0,5,29.0,False
opportunistic,0,6,35.0,False
opportunistic,0,13,77.0,False
opportunistic,0,20,119.0,False
opportunistic,0,10,331.0,False
opportunistic,0,12,343.0,True
opportunistic,0,1,557.2865374847535,False
opportunistic,0,4,575.2865374847535,False
opportunistic,0,2,829.2865374847535,True
opportunistic,0,7,1385.2865374847534,True
opportunistic,0,18,1705.2865374847534,False
opportunistic,0,14,2201.2865374847534,True
opportunistic,0,16,3450.366197722953,True
opportunistic,0,3,3649.494071223972,True
opportunistic,0,8,6586.823938594919,True
opportunistic,0,9,7349.040135872746,True
opportunistic,1,7,41.0,False
opportunistic,1,13,77.0,True
opportunistic,1,14,83.0,False
opportunistic,1,19,113.0,False
opportunistic,1,17,373.0,True
opportunistic,1,8,591.0,True
opportunistic,1,9,1661.0,True
opportunistic,1,4,4173.6705332938645,True
opportunistic,1,11,4197.6705332938645,False
opportunistic,1,16,4221.6705332938645,True
opportunistic,1,3,8177.079378457478,True
opportunistic,2,6,35.0,False
opportunistic,2,13,77.0,False
opportunistic,2,15,89.0,True
opportunistic,2,2,283.0,False
opportunistic,2,4,295.0,True
opportunistic,2,16,367.0,False
opportunistic,2,17,373.0,False
opportunistic,2,14,1478.8926857410956,True
opportunistic,2,20,1514.8926857410956,True
opportunistic,2,10,1757.7758409031878,False
opportunistic,2,3,2070.6104257566153,False
opportunistic,2,5,2076.6104257566153,False
opportunistic,2,11,2368.2866229645774,False
opportunistic,2,12,5216.732824061504,True
opportunistic,2,1,5386.732824061504,False
opportunistic,2,19,6402.454866851474,True
opportunistic,3,1,5.0,False
opportunistic,3,2,11.0,True
opportunistic,3,8,47.0,False
opportunistic,3,16,95.0,False
opportunistic,3,19,113.0,False
opportunistic,3,18,978.3373479976188,False
opportunistic,3,10,1728.337347997619,True
opportunistic,3,5,1964.337347997619,False
opportunistic,3,11,2000.337347997619,False
opportunistic,3,12,3181.439826798853,False
opportunistic,3,14,4538.372533670734,False
opportunistic,4,2,11.0,False
opportunistic,4,4,23.0,True
opportunistic,4,9,53.0,False
opportunistic,4,17,101.0,True
opportunistic,4,5,301.0,False
opportunistic,4,10,331.0,True
opportunistic,4,13,1165.0,True
opportunistic,4,1,1508.417533809873,False
opportunistic,4,16,1592.417533809873,False
opportunistic,4,15,3520.807402546111,False
opportunistic,4,7,5511.8607111395195,True
opportunistic,5,3,17.0,False
opportunistic,5,8,47.0,False
opportunistic,5,9,53.0,False
opportunistic,5,12,71.0,False
opportunistic,5,17,101.0,True
opportunistic,5,7,1945.0,False
opportunistic,5,1,2453.0,True
opportunistic,5,6,2483.0,True
opportunistic,5,2,2791.100858154641,False
opportunistic,5,11,2845.100858154641,True
opportunistic,5,13,3312.783881921344,False
opportunistic,5,15,3324.783881921344,False
opportunistic,5,18,5365.452219829305,True
opportunistic,5,4,7894.835154069398,True
opportunistic,6,2,11.0,False
opportunistic,6,3,17.0,False
opportunistic,6,4,23.0,True
opportunistic,6,6,35.0,True
opportunistic,6,9,53.0,False
opportunistic,6,10,59.0,True
opportunistic,6,14,83.0,True
opportunistic,6,15,89.0,False
opportunistic,6,16,367.0,False
opportunistic,6,11,619.4230650116957,False
opportunistic,6,18,661.4230650116957,False
opportunistic,6,20,673.4230650116957,False
opportunistic,6,1,2121.3058542683366,True
opportunistic,6,19,2603.7659523539437,False
opportunistic,6,8,3104.2785396905565,True
opportunistic,6,12,5183.189141191712,False
opportunistic,7,1,5.0,False
opportunistic,7,9,53.0,False
opportunistic,7,13,77.0,False
opportunistic,7,19,113.0,True
opportunistic,7,18,1449.0,True
opportunistic,7,16,2153.298634359795,True
opportunistic,7,5,2747.031333490928,True
opportunistic,7,4,4306.144940635253,False
opportunistic,7,2,4914.528902889944,False
opportunistic,7,6,5180.528902889944,True
opportunistic,7,10,5935.94120064186,True
opportunistic,7,3,8004.162161229859,True
opportunistic,8,4,295.0,False
opportunistic,8,19,385.0,False
opportunistic,8,12,2998.049581808993,True
opportunistic,8,2,3204.049581808993,False
opportunistic,8,17,3869.368060525662,True
opportunistic,8,3,4305.368060525661,True
opportunistic,8,5,4311.368060525661,True
opportunistic,8,7,4323.368060525661,False
opportunistic,8,9,4335.368060525661,True
opportunistic,8,16,4371.368060525661,False
opportunistic,8,13,7533.514713440203,True
opportunistic,9,2,11.0,False
opportunistic,9,9,53.0,False
opportunistic,9,19,113.0,False
opportunistic,9,12,343.0,True
