strategy,seed,channel,first_seen_time_s,directional
clear_probe,0,5,29.0,False
clear_probe,0,6,35.0,False
clear_probe,0,13,77.0,False
clear_probe,0,20,119.0,False
clear_probe,0,12,319.0,True
clear_probe,0,10,331.0,False
clear_probe,0,1,494.4637186641315,False
clear_probe,0,4,512.4637186641314,False
clear_probe,0,2,850.2524310942483,True
clear_probe,0,7,1340.2524310942483,True
clear_probe,0,18,1788.2524310942483,False
clear_probe,0,14,2969.7582191599295,True
clear_probe,0,8,3483.7582191599295,True
clear_probe,0,9,3961.7582191599295,True
clear_probe,0,3,5996.141073446015,True
clear_probe,0,16,6221.141073446015,True
clear_probe,1,7,41.0,False
clear_probe,1,13,77.0,True
clear_probe,1,14,83.0,False
clear_probe,1,19,113.0,False
clear_probe,1,17,289.0,True
clear_probe,1,8,579.0,True
clear_probe,1,11,1652.618159864412,False
clear_probe,1,16,1876.4682278655664,True
clear_probe,1,4,1930.4682278655664,True
clear_probe,1,3,4422.489434022895,True
clear_probe,1,9,5711.168628028636,True
clear_probe,2,6,35.0,False
clear_probe,2,13,77.0,False
clear_probe,2,15,89.0,True
clear_probe,2,17,289.0,False
clear_probe,2,16,295.0,False
clear_probe,2,4,367.0,True
clear_probe,2,2,379.0,False
clear_probe,2,20,1295.4812243659749,True
clear_probe,2,14,1331.4812243659749,True
clear_probe,2,10,1355.4812243659749,False
clear_probe,2,5,1906.7793863617505,False
clear_probe,2,3,2076.7793863617508,False
clear_probe,2,11,2118.7793863617508,False
clear_probe,2,12,5344.431175928541,True
clear_probe,2,19,5714.431175928541,True
clear_probe,2,1,5756.431175928541,False
clear_probe,3,1,5.0,False
clear_probe,3,2,11.0,True
clear_probe,3,8,47.0,False
clear_probe,3,16,95.0,False
clear_probe,3,19,113.0,False
clear_probe,3,18,1342.0,False
clear_probe,3,14,3000.0263164854555,False
clear_probe,3,12,4550.322472704085,False
clear_probe,3,5,5701.59193027275,False
clear_probe,3,11,5737.59193027275,False
clear_probe,3,10,7313.669645050218,True
clear_probe,4,2,11.0,False
clear_probe,4,4,23.0,True
clear_probe,4,9,53.0,False
clear_probe,4,17,101.0,True
clear_probe,4,10,331.0,True
clear_probe,4,5,361.0,False
clear_probe,4,7,1945.0,True
clear_probe,4,15,2725.0,False
clear_probe,4,1,6172.408483213551,False
clear_probe,4,16,6390.408483213551,False
clear_probe,4,13,7033.832844813026,True
clear_probe,5,3,17.0,False
clear_probe,5,8,47.0,False
clear_probe,5,9,53.0,False
clear_probe,5,12,71.0,False
clear_probe,5,17,101.0,True
clear_probe,5,15,2470.2991303946515,False
clear_probe,5,13,2482.2991303946515,False
clear_probe,5,18,2778.2991303946515,True
clear_probe,5,1,4693.256085365619,True
clear_probe,5,6,4717.256085365619,True
clear_probe,5,11,5016.16043938356,True
clear_probe,5,7,5028.16043938356,False
clear_probe,5,2,5052.16043938356,False
clear_probe,5,4,5753.604203267361,True
clear_probe,6,2,11.0,False
clear_probe,6,3,17.0,False
clear_probe,6,4,23.0,True
clear_probe,6,6,35.0,True
clear_probe,6,9,53.0,False
clear_probe,6,10,59.0,True
clear_probe,6,14,83.0,True
clear_probe,6,15,89.0,False
clear_probe,6,16,295.0,False
clear_probe,6,11,560.7389155774529,False
clear_probe,6,18,602.7389155774529,False
clear_probe,6,20,771.805283798371,False
clear_probe,6,12,819.805283798371,False
clear_probe,6,19,2948.5976814706273,False
clear_probe,6,1,3172.5976814706273,True
clear_probe,6,8,5433.94406551498,True
clear_probe,7,1,5.0,False
clear_probe,7,9,53.0,False
clear_probe,7,13,77.0,False
clear_probe,7,19,113.0,True
clear_probe,7,10,1631.0,True
clear_probe,7,6,1909.0,True
clear_probe,7,2,1933.0,False
clear_probe,7,3,3891.509634915205,True
clear_probe,7,4,4181.5096349152045,False
clear_probe,7,5,5470.887515239128,True
clear_probe,7,16,6300.887515239128,True
clear_probe,7,18,6724.887515239128,True
clear_probe,8,19,277.0,False
clear_probe,8,4,367.0,False
clear_probe,8,12,2917.2216677010733,True
clear_probe,8,2,2971.2216677010733,False
clear_probe,8,17,3727.2216677010733,True
clear_probe,8,13,4980.298292048893,True
clear_probe,8,7,5010.298292048893,False
clear_probe,8,9,7056.347924093859,True
clear_probe,8,16,7086.347924093859,False
clear_probe,8,3,8170.671451757399,True
clear_probe,8,5,8359.636630891839,True
clear_probe,9,2,11.0,False
clear_probe,9,9,53.0,False
clear_probe,9,19,113.0,False
clear_probe,9,12,319.0,True
clear_probe,9,8,535.115779811765,False
clear_probe,9,20,1147.635607543593,True
clear_probe,9,5,1583.635607543593,True
clear_probe,9,6,3035.614995048194,True
clear_probe,9,11,3767.614995048194,True
clear_probe,9,1,4217.858966996338,False
clear_probe,9,16,4471.858966996338,True
clear_probe,9,18,4943.858966996338,True
clear_probe,9,14,4967.858966996338,True
clear_probe,10,2,11.0,False
clear_probe,10,7,41.0,False
