strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
integrated_route,0,16,8,16,1.0,True,520.5650382086196,8329.040611337914,5598.040611337914,27990.203056689574,2210.0,442,381,0.8619909502262444,61,0,441,16,16,16,8,8,1825.776242519063,6340.80116549221,490.4637186641315,8329.040611337914,40,0.046856949003995396
integrated_route,1,11,7,11,1.0,True,853.1654492841021,9384.819942125123,6396.819942125124,31984.099710625615,2445.0,489,451,0.9222903885480572,38,0,488,11,11,11,7,7,1545.575249475421,5782.552334306965,1319.9869784557202,9384.819942125123,98,0.04241031200217549
integrated_route,2,16,6,16,1.0,True,521.4439123562362,8343.102597699779,5936.102597699779,29680.512988498893,1940.0,388,326,0.8402061855670103,62,0,387,16,16,16,6,6,1842.2506208323553,6031.502680045639,1033.6309582310344,8343.102597699779,80,0.05974964999768417
integrated_route,3,11,2,11,1.0,True,861.5512053456198,9477.063258801818,6147.06325880182,30735.31629400909,2730.0,546,504,0.9230769230769231,42,0,545,11,11,11,4,4,2570.6383253623553,7455.4889292508715,1750.6791874398764,9477.063258801818,137,0.04563116300414549
integrated_route,4,11,5,11,1.0,True,875.5325716133398,9630.858287746738,6090.858287746739,30454.291438733704,2905.0,581,537,0.9242685025817556,44,0,580,11,11,11,5,5,2321.6831506486083,7563.6976907075905,3677.0418794916563,9499.730329872575,272,0.047427541998331435
integrated_route,5,14,6,14,1.0,True,675.355060269563,9454.970843773881,6385.970843773883,31929.854218869412,2500.0,500,451,0.902,49,0,499,14,14,14,5,5,2942.3937507277055,5965.521165951717,1818.1265583866993,8953.927844055665,140,0.04646124300052179
integrated_route,6,16,6,16,1.0,True,594.6496896545642,9514.395034473027,6797.395034473027,33986.975172365135,2200.0,440,377,0.8568181818181818,63,0,437,16,16,16,7,7,1031.3538559031024,6102.400256265493,502.7389155774529,9514.395034473027,40,0.11528849000023911
integrated_route,7,12,7,12,1.0,True,799.4603684759945,9593.524421711934,6426.524421711935,32132.62210855967,2590.0,518,475,0.916988416988417,43,0,517,12,12,12,7,7,2705.1130322012855,6874.112372195005,2000.3282122706578,9217.220925576972,153,0.0676698069946724
integrated_route,8,11,6,11,1.0,True,829.1086584153603,9120.195242568963,5616.195242568963,28080.976212844816,2875.0,575,544,0.9460869565217391,31,0,574,11,11,11,5,5,4474.481945771092,8243.442824615684,726.2713812523642,8897.225181292544,60,0.046878852997906506
integrated_route,9,13,8,13,1.0,True,751.51551712501,9769.70172262513,6663.70172262513,33318.508613125654,2535.0,507,462,0.9112426035502958,45,0,506,13,13,13,8,8,2056.325934002455,4978.2134188904865,489.11577981176504,9769.70172262513,40,0.044693805000861175
