strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,0,16,8,16,1.0,True,541.1285012044667,8658.056019271467,5783.056019271469,28915.280096357335,2330.0,466,407,0.8733905579399142,59,0,465,16,16,16,7,7,1624.0847745708932,5031.408149135605,490.4637186641315,8658.056019271467,40,0.04750559000240173
clear_probe,1,11,7,11,1.0,True,846.4821471478269,9311.303618626096,6089.303618626092,30446.518093130468,2640.0,528,486,0.9204545454545454,42,0,527,11,11,11,7,7,1665.3620244467434,6546.131796455303,1319.9869784557202,9311.303618626096,98,0.04424886600463651
clear_probe,2,16,6,16,1.0,True,537.6261864033797,8602.018982454076,5908.018982454073,29540.094912270364,2180.0,436,373,0.8555045871559633,63,0,434,16,16,16,6,6,1729.1867935748692,5598.491632925252,1033.6309582310344,8602.018982454076,80,0.07820341500337236
clear_probe,3,11,2,11,1.0,True,846.3407448702133,9309.748193572346,5883.748193572348,29418.740967861733,2810.0,562,517,0.9199288256227758,45,0,561,11,11,11,4,4,2425.213271183055,5982.667319104365,1750.6791874398764,8586.088598476139,137,0.048435918004543055
clear_probe,4,11,5,11,1.0,True,821.8186000560049,9040.004600616054,5638.004600616054,28190.023003080263,2790.0,558,511,0.9157706093189965,47,0,557,11,11,11,8,8,1957.0878946976757,5531.6556138914775,3677.0418794916563,8219.877174862448,272,0.04805758499423973
clear_probe,5,14,6,14,1.0,True,667.433985545844,9344.075797641817,6275.07579764182,31375.378988209093,2500.0,500,445,0.89,55,0,499,14,14,14,7,7,2741.4639345238024,5732.604203267361,1818.1265583866993,9344.075797641817,140,0.05678416600130731
clear_probe,6,16,6,16,1.0,True,590.1614890640077,9442.583825024123,7079.583825024121,35397.919125120614,1905.0,381,316,0.8293963254593176,65,0,378,16,16,16,7,7,924.8907879521788,4935.102416006732,502.7389155774529,9442.583825024123,40,0.08477522699831752
clear_probe,7,12,7,12,1.0,True,786.8602517550444,9442.323021060532,6269.323021060531,31346.61510530266,2595.0,519,474,0.9132947976878613,45,0,518,12,12,12,6,6,2640.2435421826563,6691.1356533679445,2000.3282122706578,9442.323021060532,153,0.05814975200337358
clear_probe,8,11,6,11,1.0,True,799.2721773148357,8791.993950463193,5701.993950463193,28509.969752315956,2530.0,506,473,0.9347826086956522,33,0,505,11,11,11,7,7,2602.4755213733365,4960.167734617828,726.2713812523642,8791.993950463193,60,0.0308931740000844
clear_probe,9,13,8,13,1.0,True,749.3253009599503,9741.228912479353,6517.228912479353,32586.144562396767,2635.0,527,481,0.9127134724857685,46,0,524,13,13,13,8,8,2264.0040656138995,5045.858966996338,489.11577981176504,9741.228912479353,40,0.06160038700181758
clear_probe,10,14,8,14,1.0,True,639.2270088032318,8949.178123245245,5754.178123245241,28770.890616226217,2605.0,521,463,0.8886756238003839,58,0,520,14,14,14,8,8,1846.3520557262316,5584.508111706178,3925.2492465730984,8913.178123245245,300,0.05853685300098732
clear_probe,11,13,8,13,1.0,True,696.81736936796,9058.62580178348,6264.6258017834825,31323.129008917407,2275.0,455,411,0.9032967032967033,44,0,454,13,13,13,10,10,1575.3905543156527,5303.058429613398,733.7348583470529,7847.8514862068005,59,0.03826520200527739
clear_probe,12,13,10,13,1.0,True,758.651965429426,9862.475550582538,6758.475550582537,33792.37775291269,2535.0,507,462,0.9112426035502958,45,0,504,13,13,13,11,11,1998.1654280001592,6159.70019609633,491.2435141061389,9862.475550582538,40,0.06488664299831726
clear_probe,13,12,6,12,1.0,True,770.5029147406871,9246.034976888244,6019.034976888241,30095.174884441203,2640.0,528,487,0.9223484848484849,41,0,527,12,12,12,5,5,2287.8734560290136,6713.826314443989,776.8433221086632,9066.621398162857,60,0.04790131100162398
clear_probe,14,10,6,10,1.0,True,901.2581730347505,9012.581730347505,5819.581730347504,29097.908651737525,2620.0,524,489,0.933206106870229,35,0,523,10,10,10,4,4,1787.0423855880279,7326.637829490239,403.94169435937135,7984.588137916203,40,0.03339696300099604
clear_probe,15,11,5,11,1.0,True,806.1168647315276,8867.285512046803,5591.2855120468,27956.427560234002,2685.0,537,497,0.925512104283054,40,0,536,11,11,11,4,4,2251.5073266777017,8121.274458433522,1755.398523545633,8867.285512046803,138,0.06496508899726905
clear_probe,16,12,8,12,1.0,True,751.7781089575409,9021.33730749049,6100.3373074904885,30501.68653745245,2385.0,477,434,0.909853249475891,43,0,476,12,12,12,6,6,1722.252040189201,4561.712660376004,524.7521508905238,8266.643009076854,40,0.0657664760001353
clear_probe,17,14,8,14,1.0,True,639.1960350310944,8948.744490435321,5729.7444904353215,28648.722452176607,2625.0,525,472,0.8990476190476191,53,0,524,14,14,14,8,8,3005.7988210265526,6792.8425584909055,1550.8480493243965,8948.744490435321,117,0.04670893099682871
clear_probe,18,11,4,11,1.0,True,863.5070046981633,9498.577051679797,6180.577051679796,30902.885258398983,2720.0,544,499,0.9172794117647058,45,0,543,11,11,11,1,1,2022.1938942742638,6778.058722645263,2026.1024995929724,8842.375809324805,153,0.04140487800032133
clear_probe,19,15,10,15,1.0,True,634.3534108265972,9515.301162398957,6520.301162398958,32601.505811994783,2435.0,487,432,0.8870636550308009,55,0,485,15,15,15,6,6,3685.921059155552,8119.010295521658,448.98378313357387,9515.301162398957,40,0.08967202599887969
clear_probe,20,15,6,15,1.0,True,593.709632983449,8905.644494751734,5987.644494751733,29938.222473758662,2370.0,474,418,0.8818565400843882,56,0,473,15,15,15,4,4,1998.0329394696614,6709.442692213954,501.9904123080294,8905.644494751734,40,0.04273416600335622
clear_probe,21,11,5,11,1.0,True,869.8960396076944,9568.856435684638,6310.856435684639,31554.2821784232,2670.0,534,493,0.9232209737827716,41,0,533,11,11,11,8,8,1960.6063188125997,7272.982058376921,466.4593564062068,8694.652429460493,40,0.051386920000368264
clear_probe,22,11,2,11,1.0,True,741.5638014680054,8157.20181614806,5067.201816148059,25336.00908074029,2530.0,506,469,0.9268774703557312,37,0,505,11,11,11,2,2,2097.9532677532743,5684.7268811380245,719.3933322121983,7539.485637628024,60,0.04300593399966601
clear_probe,23,16,9,16,1.0,True,536.5766961512909,8585.227138420654,5956.227138420653,29781.13569210327,2125.0,425,369,0.8682352941176471,56,0,424,16,16,16,8,8,1760.0854024387006,6335.378418648054,1498.8333434968235,8585.227138420654,117,0.04677394800091861
clear_probe,24,15,10,15,1.0,True,634.3136321752953,9514.70448262943,6686.704482629429,33433.52241314715,2295.0,459,400,0.8714596949891068,59,0,458,15,15,15,9,9,2007.269646324282,4553.2116694847155,1208.9736937949199,9184.502634320295,97,0.07335539599444019
clear_probe,25,13,7,13,1.0,True,693.9377453853433,9021.190690009464,5952.1906900094655,29760.953450047327,2505.0,501,458,0.9141716566866267,43,0,499,13,13,13,7,7,1495.9425508516515,6751.881152204788,510.8329947836284,9021.190690009464,40,0.09141677499428624
clear_probe,26,15,7,15,1.0,True,619.4382735277774,9291.57410291666,6279.574102916661,31397.870514583305,2450.0,490,432,0.8816326530612245,58,0,487,15,15,15,9,9,1846.6662416368554,5798.1985381606755,453.24033488166896,9291.57410291666,40,0.09157171800325159
clear_probe,27,15,6,15,1.0,True,633.0820377697097,9496.230566545646,6657.230566545647,33286.15283272824,2305.0,461,400,0.8676789587852495,61,0,459,15,15,15,9,9,1693.1063767611663,5859.202763716395,523.300445590628,9496.230566545646,40,0.07980348799901549
clear_probe,28,10,6,10,1.0,True,902.2940163147059,9022.94016314706,5541.94016314706,27709.7008157353,2860.0,572,538,0.9405594405594405,34,0,571,10,10,10,8,8,1578.3083493509732,7622.96213719509,481.6410238406226,8962.94016314706,40,0.04120632400008617
clear_probe,29,14,7,14,1.0,True,659.3783422476915,9231.296791467681,6235.296791467683,31176.48395733841,2440.0,488,435,0.8913934426229508,53,0,486,14,14,14,6,6,2115.014942648785,8321.79873314039,762.1706040277918,9231.296791467681,60,0.06658043999777874
clear_probe,30,14,5,14,1.0,True,613.6636057064813,8591.290479890738,5342.290479890738,26711.452399453687,2650.0,530,481,0.9075471698113208,49,0,529,14,14,14,4,4,3017.1078534872554,7240.1639066732905,1537.3505361176833,8323.951368792073,120,0.044637703998887446
clear_probe,31,10,5,10,1.0,True,879.8419983101178,8798.419983101177,5989.419983101177,29947.099915505896,2300.0,460,423,0.9195652173913044,37,0,459,10,10,10,6,6,373.597236953255,1165.216846891715,458.74753210903236,5089.902471458043,40,0.04126082600123482
clear_probe,32,10,6,10,1.0,True,914.8911916713838,9148.911916713838,5781.911916713835,28909.559583569182,2765.0,553,521,0.9421338155515371,32,0,552,10,10,10,3,3,3217.836638288267,7944.353019764806,1744.9644347851222,8844.435420599917,133,0.03303459299786482
clear_probe,33,14,6,14,1.0,True,646.6768878689766,9053.476430165672,6237.476430165673,31187.382150828373,2290.0,458,404,0.8820960698689956,54,0,456,14,14,14,8,8,1188.9484480724682,5264.551406234295,467.78001383009047,9053.476430165672,40,0.06979949399828911
clear_probe,34,14,10,14,1.0,True,734.1923052185599,10278.692273059838,7144.692273059839,35723.4613652992,2555.0,511,457,0.8943248532289628,54,0,509,14,14,14,14,14,1272.0720936029647,6398.599351849128,507.24872845484845,10278.692273059838,40,0.05037691199686378
clear_probe,35,14,9,14,1.0,True,669.5132257480063,9373.185160472089,6364.185160472087,31820.925802360438,2450.0,490,441,0.9,48,1,489,14,14,14,10,10,2514.3947474184974,6639.780944340367,2577.3183456678876,9373.185160472089,188,0.05649172799894586
clear_probe,36,12,7,12,1.0,True,774.3475484402503,9292.170581283004,5923.170581283007,29615.85290641502,2760.0,552,510,0.9239130434782609,42,0,549,12,12,12,7,7,2512.1526147119653,8222.389774098157,430.46870354063634,9292.170581283004,40,0.068623616003606
clear_probe,37,15,9,15,1.0,True,653.7321495335926,9805.98224300389,6822.982243003888,34114.91121501944,2425.0,485,426,0.8783505154639175,59,0,483,15,15,15,13,13,1330.380720205769,5170.278103296957,1523.867894525041,9805.98224300389,120,0.07855394600483123
clear_probe,38,15,9,15,1.0,True,649.8173023643353,9747.25953546503,6877.259535465029,34386.29767732514,2330.0,466,402,0.8626609442060086,64,0,465,15,15,15,13,13,1882.097365373638,6827.924998685131,803.7411600715145,9747.25953546503,60,0.07563451099849772
clear_probe,39,11,4,11,1.0,True,791.4073093889183,8705.480403278101,5501.480403278101,27507.4020163905,2625.0,525,487,0.9276190476190476,38,0,524,11,11,11,3,3,2356.930501047605,6620.700760707697,737.5647702531049,8705.480403278101,60,0.044048354000551626
clear_probe,40,13,5,13,1.0,True,654.0901693692314,8503.172201800007,5733.172201800006,28665.861009000033,2255.0,451,400,0.8869179600886918,51,0,450,13,13,13,3,3,1742.47670237523,5662.439506430467,432.1955215423772,7542.242735833313,40,0.04511633299989626
clear_probe,41,13,9,13,1.0,True,736.1364232460783,9569.773502199017,6691.773502199017,33458.86751099507,2345.0,469,420,0.8955223880597015,49,0,468,13,13,13,8,8,1997.0045220718507,8086.941196459186,743.7115553941263,9569.773502199017,60,0.04988015299750259
clear_probe,42,15,6,15,1.0,True,654.6540327272182,9819.810490908274,6379.810490908275,31899.052454541375,2805.0,561,496,0.8841354723707665,65,0,560,15,15,15,10,10,1953.1619728397507,7508.738055905305,520.6467308598617,9819.810490908274,40,0.09020769400376594
clear_probe,43,10,8,10,1.0,True,913.8253278206619,9138.25327820662,5789.253278206621,28946.2663910331,2750.0,550,513,0.9327272727272727,37,0,549,10,10,10,10,10,3243.2157345288942,6585.213774946449,448.5995400087695,8103.274727137968,40,0.03461605199845508
clear_probe,44,13,7,13,1.0,True,716.254868111706,9311.313285452177,6483.313285452174,32416.56642726087,2305.0,461,414,0.8980477223427332,47,0,458,13,13,13,11,11,1063.9854155320866,5258.82426738148,523.896436872775,9311.313285452177,40,0.07244757599983132
clear_probe,45,12,6,12,1.0,True,747.1146483804282,8965.375780565138,5792.375780565139,28961.87890282569,2595.0,519,476,0.9171483622350675,43,0,518,12,12,12,7,7,1729.5609348771532,5484.633007525257,744.0154418131798,8965.375780565138,60,0.03616370999952778
clear_probe,46,10,4,10,1.0,True,993.714556903083,9937.14556903083,6102.14556903083,30510.727845154146,3155.0,631,582,0.9223454833597464,49,0,630,10,10,10,9,9,1776.5,4271.0,4716.1686766020875,9397.986767554119,350,0.0569993870012695
clear_probe,47,12,5,12,1.0,True,706.3548244328667,8476.2578931944,5159.257893194402,25796.289465972004,2715.0,543,495,0.9116022099447514,48,0,542,12,12,12,5,5,2450.459689773262,5393.713623854513,1733.330648851871,8476.2578931944,134,0.05138554100267356
clear_probe,48,14,5,14,1.0,True,632.5744302491954,8856.042023488735,6165.042023488735,30825.21011744368,2185.0,437,386,0.8832951945080092,51,0,436,14,14,14,6,6,1266.8425697868229,6856.633889518193,474.1941975964953,8856.042023488735,40,0.0462017649988411
clear_probe,49,10,6,10,1.0,True,871.242953779653,8712.42953779653,5423.429537796531,27117.14768898266,2700.0,540,499,0.924074074074074,41,0,539,10,10,10,11,11,1040.316791945727,4827.42723827834,449.6746953257205,8712.42953779653,40,0.044015712999680545
clear_probe,50,13,5,13,1.0,True,712.7782850345612,9266.117705449296,6100.117705449294,30500.58852724647,2585.0,517,462,0.8936170212765957,55,0,516,13,13,13,5,5,2159.259913830677,6118.2717318383475,1804.3778869271423,9266.117705449296,136,0.05181722799898125
clear_probe,51,11,4,11,1.0,True,794.2718052494779,8736.989857744256,5454.989857744254,27274.94928872127,2690.0,538,496,0.9219330855018587,42,0,537,11,11,11,8,8,2229.0254173873523,5923.827496254185,476.1536344689191,8736.989857744256,40,0.04488057399430545
clear_probe,52,12,6,12,1.0,True,767.9980110776493,9215.976132931792,6150.976132931791,30754.880664658955,2505.0,501,457,0.9121756487025948,44,0,500,12,12,12,7,7,2305.1338825117655,8387.160893958871,1853.4224637348368,9215.976132931792,138,0.040549711004132405
clear_probe,53,14,6,14,1.0,True,622.7067341283256,8717.894277796559,5780.894277796557,28904.471388982787,2390.0,478,422,0.8828451882845189,56,0,477,14,14,14,8,8,2862.8713539495975,7279.577541200216,498.1153121603504,8717.894277796559,40,0.05542095800046809
clear_probe,54,11,8,11,1.0,True,903.9036008140156,9942.939608954171,6324.939608954172,31624.698044770863,2970.0,594,546,0.9191919191919192,48,0,593,11,11,11,12,12,1942.1558639326902,5391.428625814898,1791.6075369769442,9942.939608954171,140,0.06349598199449247
clear_probe,55,10,5,10,1.0,True,892.9835952320063,8929.835952320063,5658.835952320065,28294.179761600324,2685.0,537,505,0.9404096834264432,32,0,536,10,10,10,6,6,2198.274683730575,5652.78156558338,794.3109085448798,7232.67053123578,60,0.032642386002407875
clear_probe,56,16,10,16,1.0,True,519.8892394745565,8318.227831592903,5821.227831592906,29106.139157964535,2015.0,403,341,0.8461538461538461,62,0,402,16,16,16,16,16,1426.3346861560258,4817.648982852934,417.43765552074206,8318.227831592903,40,0.043411744001787156
clear_probe,57,10,5,10,1.0,True,865.4643869470987,8654.643869470987,5521.643869470987,27608.219347354927,2570.0,514,480,0.933852140077821,34,0,513,10,10,10,3,3,2093.554083930426,7942.650805636677,1546.2456673960062,8234.184324493399,119,0.03551652999885846
