strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,3000,15,15,15,1.0,True,644.3131498822563,9664.697248233844,6722.697248233845,33613.48624116923,2390.0,478,428,0.895397489539749,50,0,477,15,15,15,16,16,2253.429415190802,7757.365392363503,1050.7279968107696,9664.697248233844,80,0.037908477999735624
clear_probe,3001,12,12,12,1.0,True,749.4003569801158,8992.80428376139,6047.804283761391,30239.02141880696,2405.0,481,438,0.9106029106029107,43,0,480,12,12,12,11,11,1250.0032594353906,4597.414978239865,430.17298411077303,8992.80428376139,40,0.05098513400298543
clear_probe,3002,11,11,11,1.0,True,929.3552499419169,10222.907749361086,6388.9077493610885,31944.538746805432,3150.0,630,593,0.9412698412698413,37,0,629,11,11,11,13,13,2556.192959706929,9112.427397668234,519.4900944353928,10222.907749361086,40,0.04644017700047698
clear_probe,3003,14,14,14,1.0,True,715.5948523643619,10018.327933101067,6769.327933101069,33846.63966550534,2650.0,530,477,0.9,53,0,529,14,14,14,18,18,1890.8842959856397,4885.998669399629,711.0012091836629,10018.327933101067,60,0.07399532000272302
clear_probe,3004,13,13,13,1.0,True,742.0270352985704,9646.351458881414,6601.351458881413,33006.75729440706,2485.0,497,449,0.903420523138833,48,0,495,13,13,13,17,17,1725.9432594341818,5739.161135472856,1504.8982112489066,9646.351458881414,119,0.08386417099973187
clear_probe,3005,15,15,15,1.0,True,649.4093094843586,9741.139642265378,6457.139642265375,32285.698211326882,2675.0,535,479,0.8953271028037383,56,0,534,15,15,15,26,26,1782.8235764756648,5925.534354688092,1829.023113279799,8782.706755468838,140,0.0465649649995612
clear_probe,3006,15,15,15,1.0,True,662.3115775946833,9934.67366392025,6806.673663920248,34033.36831960125,2545.0,509,456,0.8958742632612967,53,0,508,15,15,15,13,13,3728.608470705195,7264.920941354126,1241.2008056153593,9934.67366392025,100,0.04933098200126551
clear_probe,3007,15,15,15,1.0,True,655.156215816794,9827.34323725191,6519.343237251909,32596.716186259557,2695.0,539,482,0.8942486085343229,57,0,538,15,15,15,25,25,2892.1863248284517,7605.666788928951,2087.0717933691913,9827.34323725191,160,0.05070282499946188
clear_probe,3008,12,12,12,1.0,True,817.7110177452561,9812.532212943073,6334.5322129430715,31672.661064715357,2850.0,570,530,0.9298245614035088,40,0,568,12,12,12,16,16,1692.031893039918,4769.7496293686345,531.8849402672122,9812.532212943073,40,0.05587700599426171
clear_probe,3009,13,13,13,1.0,True,859.1181435236601,11168.535865807582,7746.535865807581,38732.679329037914,2800.0,560,515,0.9196428571428571,45,0,557,13,13,13,14,14,3266.929975725306,6534.24728694868,1564.9120474542772,11168.535865807582,120,0.08054603899654467
clear_probe,3010,15,15,15,1.0,True,654.3416787160689,9815.125180741034,6933.125180741035,34665.62590370518,2340.0,468,416,0.8888888888888888,52,0,467,15,15,15,15,15,2590.585867412907,5958.329429340919,1547.6951153035877,9815.125180741034,120,0.04754106299515115
clear_probe,3011,11,11,11,1.0,True,812.7802636979872,8940.582900677859,5754.582900677861,28772.9145033893,2610.0,522,483,0.9252873563218391,39,0,521,11,11,11,9,9,1804.4022118492444,4503.35550026035,1866.2981341094478,8528.81142240983,140,0.04285526600142475
clear_probe,3012,12,12,12,1.0,True,873.3918024462322,10480.701629354786,6943.701629354784,34718.50814677392,2900.0,580,537,0.9258620689655173,43,0,577,12,12,12,14,14,3402.557481268361,8581.436872543767,1320.3343317944566,10480.701629354786,100,0.053580434003379196
clear_probe,3013,15,15,15,1.0,True,644.8887432874926,9673.33114931239,6287.331149312391,31436.655746561955,2760.0,552,496,0.8985507246376812,56,0,551,15,15,15,18,18,3480.0222723045968,7248.898121749276,3966.435656360889,9673.33114931239,300,0.050021849005133845
clear_probe,3014,10,10,10,1.0,True,923.9810775299932,9239.810775299931,6082.810775299934,30414.05387649967,2590.0,518,487,0.9401544401544402,31,0,517,10,10,10,7,7,1962.1837383017767,5819.371981501737,1285.9983170217322,9239.810775299931,100,0.034233926999149844
clear_probe,3015,15,15,15,1.0,True,654.6830504701024,9820.245757051536,6638.245757051537,33191.22878525769,2590.0,518,468,0.9034749034749034,50,0,517,15,15,15,18,18,3011.649369987827,7507.529473598193,3637.8860341182,9820.245757051536,266,0.04811192899796879
clear_probe,3016,15,15,15,1.0,True,666.557062443775,9998.355936656624,6750.355936656621,33751.779683283115,2645.0,529,474,0.8960302457466919,55,0,528,15,15,15,22,22,2243.5389676374884,6608.575099525484,1334.6293197207222,9998.355936656624,100,0.04482826900493819
clear_probe,3017,15,15,15,1.0,True,639.2812808749802,9589.219213124703,6773.219213124702,33866.09606562352,2285.0,457,405,0.8862144420131292,52,0,456,15,15,15,15,15,2231.2632336134716,6518.823982526481,1224.8674434446941,9589.219213124703,99,0.043511201001820154
clear_probe,3018,13,13,13,1.0,True,804.3871207072741,10457.032569194564,6835.032569194562,34175.162845972816,2965.0,593,542,0.9139966273187183,51,0,592,13,13,13,16,16,2812.431134398582,7069.290692869268,1871.689866447692,10457.032569194564,140,0.05354908699519001
clear_probe,3019,12,12,12,1.0,True,815.0968311224901,9781.161973469882,6392.161973469879,31960.80986734939,2775.0,555,514,0.9261261261261261,41,0,554,12,12,12,17,17,2481.8008336153575,4670.9231307560785,1815.7347620744465,9781.161973469882,138,0.03552747100184206
clear_probe,3020,13,13,13,1.0,True,757.1131986126517,9842.471581964472,6502.4715819644725,32512.357909822367,2730.0,546,499,0.9139194139194139,47,0,545,13,13,13,19,19,2276.7081824204947,6411.005075960734,726.9832181454274,9842.471581964472,60,0.05008081900450634
clear_probe,3021,14,14,14,1.0,True,714.7112676127852,10005.957746578992,6672.957746578992,33364.788732894966,2720.0,544,495,0.9099264705882353,49,0,543,14,14,14,20,20,2765.9621507253,8812.858970439003,457.0628558105269,10005.957746578992,40,0.04206804400018882
clear_probe,3022,13,13,13,1.0,True,759.1997953482597,9869.597339527376,6439.597339527377,32197.986697636883,2805.0,561,516,0.9197860962566845,45,0,560,13,13,13,16,16,2315.6483128204027,7164.115385515378,763.7796686007703,9869.597339527376,60,0.053442766999069136
clear_probe,3023,14,14,14,1.0,True,700.0967422454081,9801.354391435714,6612.354391435712,33061.77195717856,2600.0,520,473,0.9096153846153846,47,0,519,14,14,14,15,15,3066.661323118316,6662.8969996277465,1308.0691991998206,9801.354391435714,98,0.0642925069987541
clear_probe,3024,11,11,11,1.0,True,849.9971843299041,9349.969027628946,5947.969027628946,29739.845138144738,2790.0,558,516,0.9247311827956989,42,0,557,11,11,11,9,9,3509.6449399279877,7547.636423755181,2074.803373669183,8713.22513847681,159,0.04989869000564795
clear_probe,3025,10,10,10,1.0,True,969.4611788520513,9694.611788520513,6207.611788520511,31038.058942602558,2865.0,573,537,0.93717277486911,36,0,572,10,10,10,11,11,1695.576074776999,8293.823708060736,1492.3924526540038,9694.611788520513,116,0.037977126994519494
clear_probe,3026,14,14,14,1.0,True,713.4813483881946,9988.738877434726,6523.7388774347255,32618.694387173633,2830.0,566,517,0.9134275618374559,49,0,565,14,14,14,20,20,3310.248413254084,7315.765062310688,2134.944217425095,9731.762366242274,160,0.06825394699990284
clear_probe,3027,11,11,11,1.0,True,1040.880701739777,11449.687719137546,8013.687719137545,40068.43859568774,2820.0,564,523,0.9273049645390071,41,0,561,11,11,11,16,16,2178.876726182747,7540.406963811892,2056.904009136178,11449.687719137546,159,0.09463871300249593
clear_probe,3028,15,15,15,1.0,True,603.6638651100005,9054.957976650008,6244.95797665001,31224.789883250058,2280.0,456,407,0.8925438596491229,49,0,455,15,15,15,14,14,2255.338051465506,6890.508934328483,1463.4711089701084,8856.378041219506,112,0.04392021399689838
