strategy,seed,channel,first_seen_time_s,directional
clear_probe,3000,12,71.0,True
clear_probe,3000,14,83.0,True
clear_probe,3000,8,314.0,True
clear_probe,3000,19,380.0,True
clear_probe,3000,20,386.0,True
clear_probe,3000,6,569.0,True
clear_probe,3000,16,629.0,True
clear_probe,3000,4,1979.0745938510624,True
clear_probe,3000,11,2009.0745938510624,True
clear_probe,3000,15,2033.0745938510624,True
clear_probe,3000,18,2051.0745938510627,True
clear_probe,3000,9,4881.925820031426,True
clear_probe,3000,5,5094.925820031426,True
clear_probe,3000,10,5562.925820031426,True
clear_probe,3000,3,7757.365392363503,True
clear_probe,3001,5,29.0,True
clear_probe,3001,12,71.0,True
clear_probe,3001,15,89.0,True
clear_probe,3001,19,113.0,True
clear_probe,3001,11,332.0,True
clear_probe,3001,17,368.0,True
clear_probe,3001,6,948.4106829469945,True
clear_probe,3001,10,972.4106829469945,True
clear_probe,3001,20,1530.4106829469945,True
clear_probe,3001,7,2838.1960430719196,True
clear_probe,3001,13,3111.1960430719196,True
clear_probe,3001,8,4597.414978239865,True
clear_probe,3002,13,77.0,True
clear_probe,3002,6,302.0,True
clear_probe,3002,12,338.0,True
clear_probe,3002,2,642.9564513011409,True
clear_probe,3002,19,738.9564513011409,True
clear_probe,3002,1,897.9564513011409,True
clear_probe,3002,20,2826.956451301141,True
clear_probe,3002,3,3246.956451301141,True
clear_probe,3002,14,4065.956451301141,True
clear_probe,3002,17,5868.956451301141,True
clear_probe,3002,15,9112.427397668234,True
clear_probe,3003,4,23.0,True
clear_probe,3003,13,77.0,True
clear_probe,3003,19,113.0,True
clear_probe,3003,6,302.0,True
clear_probe,3003,15,356.0,True
clear_probe,3003,17,368.0,True
clear_probe,3003,3,551.0,True
clear_probe,3003,12,875.9165743547031,True
clear_probe,3003,8,2034.4702224461073,True
clear_probe,3003,18,3535.9986693996293,True
clear_probe,3003,20,4258.998669399629,True
clear_probe,3003,9,4435.998669399629,True
clear_probe,3003,2,4654.998669399629,True
clear_probe,3003,1,4885.998669399629,True
clear_probe,3004,3,17.0,True
clear_probe,3004,6,35.0,True
clear_probe,3004,7,41.0,True
clear_probe,3004,15,89.0,True
clear_probe,3004,17,101.0,True
clear_probe,3004,20,119.0,True
clear_probe,3004,16,362.0,True
clear_probe,3004,1,2104.115325788598,True
clear_probe,3004,8,3006.341890064866,True
clear_probe,3004,19,3054.341890064866,True
clear_probe,3004,18,3298.5249314609723,True
clear_probe,3004,10,4470.777199792206,True
clear_probe,3004,11,5739.161135472856,True
clear_probe,3005,1,5.0,True
clear_probe,3005,6,35.0,True
clear_probe,3005,11,65.0,True
clear_probe,3005,12,71.0,True
clear_probe,3005,13,77.0,True
clear_probe,3005,16,95.0,True
clear_probe,3005,9,320.0,True
clear_probe,3005,19,380.0,True
clear_probe,3005,7,575.0,True
clear_probe,3005,2,2521.396977261801,True
clear_probe,3005,4,2533.396977261801,True
clear_probe,3005,14,4450.008445974427,True
clear_probe,3005,20,4729.008445974427,True
clear_probe,3005,17,4960.008445974427,True
clear_probe,3005,10,5925.534354688092,True
clear_probe,3006,12,71.0,True
clear_probe,3006,9,320.0,True
clear_probe,3006,3,551.0,True
clear_probe,3006,4,557.0,True
clear_probe,3006,11,1406.4708626585589,True
clear_probe,3006,8,2120.1140338522464,True
clear_probe,3006,17,3308.9070998368256,True
clear_probe,3006,13,4316.493939943685,True
clear_probe,3006,18,4340.493939943685,True
clear_probe,3006,1,5581.294786760182,True
clear_probe,3006,14,5860.294786760182,True
clear_probe,3006,20,6115.294786760182,True
clear_probe,3006,6,7033.920941354126,True
clear_probe,3006,19,7081.920941354126,True
clear_probe,3006,10,7264.920941354126,True
clear_probe,3007,2,11.0,True
clear_probe,3007,3,17.0,True
clear_probe,3007,7,41.0,True
clear_probe,3007,8,47.0,True
clear_probe,3007,13,77.0,True
clear_probe,3007,5,296.0,True
clear_probe,3007,16,1430.0,True
clear_probe,3007,19,1982.0,True
clear_probe,3007,11,4249.292258913775,True
clear_probe,3007,12,4255.292258913775,True
clear_probe,3007,4,4717.292258913775,True
clear_probe,3007,14,5524.292258913775,True
clear_probe,3007,6,5731.292258913775,True
clear_probe,3007,17,7398.666788928951,True
clear_probe,3007,18,7605.666788928951,True
clear_probe,3008,6,35.0,True
clear_probe,3008,10,59.0,True
clear_probe,3008,2,278.0,True
clear_probe,3008,3,284.0,True
clear_probe,3008,12,338.0,True
clear_probe,3008,1,537.8849402672122,True
clear_probe,3008,13,1094.749629368634,True
clear_probe,3008,11,1343.749629368634,True
clear_probe,3008,15,3020.749629368634,True
clear_probe,3008,14,4259.7496293686345,True
clear_probe,3008,18,4283.7496293686345,True
clear_probe,3008,16,4769.7496293686345,True
clear_probe,3009,13,77.0,True
clear_probe,3009,11,332.0,True
clear_probe,3009,1,539.0,True
clear_probe,3009,8,848.0,True
clear_probe,3009,5,1364.0,True
clear_probe,3009,4,2969.4151635076323,True
clear_probe,3009,12,3260.4151635076323,True
clear_probe,3009,14,4043.1351048095003,True
clear_probe,3009,3,4244.1351048095,True
clear_probe,3009,10,5610.24728694868,True
clear_probe,3009,19,6321.24728694868,True
clear_probe,3009,20,6327.24728694868,True
clear_probe,3009,17,6534.24728694868,True
clear_probe,3010,1,5.0,True
clear_probe,3010,4,23.0,True
clear_probe,3010,11,65.0,True
clear_probe,3010,13,611.0,True
clear_probe,3010,19,914.0,True
clear_probe,3010,3,1085.0,True
clear_probe,3010,20,1454.0,True
clear_probe,3010,16,2203.0580852173493,True
clear_probe,3010,7,2556.998198236946,True
