strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,3000,15,0,15,1.0,True,537.5951944199707,8063.927916299559,5793.927916299558,28969.63958149779,1830.0,366,310,0.8469945355191257,56,0,365,15,15,15,0,0,492.8656822217426,1967.6280894212305,530.4063412239734,8063.927916299559,40,0.04709327300224686
clear_probe,3001,12,0,12,1.0,True,710.3461288762688,8524.153546515226,5645.1535465152265,28225.767732576118,2350.0,470,424,0.902127659574468,46,0,469,12,12,12,0,0,1807.6119080995913,5869.433814641047,478.1993490215286,7552.424044886809,40,0.055440666001231875
clear_probe,3002,11,0,11,1.0,True,785.1661716752695,8636.827888427964,5444.827888427963,27224.13944213982,2615.0,523,482,0.9216061185468452,41,0,522,11,11,11,0,0,1056.0645523150297,5073.086024779995,519.4900944353928,7698.208905324372,40,0.0586421909974888
clear_probe,3003,14,0,14,1.0,True,583.3778402263707,8167.28976316919,5662.289763169191,28311.448815845957,2030.0,406,353,0.8694581280788177,53,0,405,14,14,14,0,0,1112.098551804664,4752.136024172366,783.0052460276551,8167.28976316919,60,0.056855811999412253
clear_probe,3004,13,0,13,1.0,True,653.8400996789834,8499.921295826784,5963.9212958267835,29819.606479133923,2060.0,412,366,0.8883495145631068,46,0,411,13,13,13,0,0,790.1047361169959,3137.9377154912436,464.63091621856717,8165.5265670888,40,0.047363115001644474
clear_probe,3005,15,0,15,1.0,True,537.9255753927588,8068.883630891382,5324.883630891381,26624.418154456907,2225.0,445,386,0.8674157303370786,59,0,444,15,15,15,0,0,1846.4815557136667,5525.934969746203,761.6442826369291,7400.602424867348,60,0.04440144899854204
clear_probe,3006,15,0,15,1.0,True,567.9191978974452,8518.787968461678,5840.787968461679,29203.93984230839,2170.0,434,376,0.8663594470046083,58,0,433,15,15,15,0,0,1900.146406280032,5384.991035938198,1255.4166243902184,7591.638615602011,97,0.048710055998526514
clear_probe,3007,15,0,15,1.0,True,557.3797114542551,8360.695671813826,5250.695671813828,26253.47835906914,2530.0,506,444,0.8774703557312253,62,0,505,15,15,15,0,0,1760.4200646603467,5493.7586819948465,1775.4100109861004,8005.189001339205,138,0.054283488003420644
clear_probe,3008,12,0,12,1.0,True,709.7987318639119,8517.584782366943,5782.584782366944,28912.923911834718,2230.0,446,396,0.8878923766816144,50,0,445,12,12,12,0,0,1329.415642426806,5864.895898185662,454.8520259371514,7885.572723695267,40,0.051504242001101375
clear_probe,3009,13,0,13,1.0,True,650.0940159829513,8451.222207778366,5663.222207778367,28316.11103889184,2270.0,454,412,0.9074889867841409,42,0,453,13,13,13,0,0,1508.443266359376,6669.194710586641,414.51855554582374,7826.00880575683,40,0.04711600900191115
clear_probe,3010,15,0,15,1.0,True,539.2371144369887,8088.55671655483,5410.556716554831,27052.783582774162,2170.0,434,371,0.8548387096774194,63,0,433,15,15,15,0,0,1573.1439630871776,5681.730717754882,493.4904655029452,7910.201229544385,40,0.0679677680018358
clear_probe,3011,11,0,11,1.0,True,791.5814299914472,8707.395729905918,5461.395729905916,27306.97864952958,2660.0,532,492,0.924812030075188,40,0,531,11,11,11,0,0,2667.9307617404124,5499.611925815822,757.1308394947174,8478.654943051803,60,0.036805187999561895
clear_probe,3012,12,0,12,1.0,True,703.3443848219949,8440.13261786394,5327.13261786394,26635.6630893197,2545.0,509,457,0.8978388998035364,52,0,508,12,12,12,0,0,1500.6314133862413,4052.5468527232997,1064.1362726582297,7704.922658256732,80,0.047193821003020275
clear_probe,3013,15,0,15,1.0,True,539.4158340188203,8091.237510282304,5293.237510282304,26466.187551411516,2270.0,454,397,0.8744493392070485,57,0,453,15,15,15,0,0,1457.1713867763103,6446.437330238809,1756.9984466157348,7915.23425332496,133,0.055287923001742456
clear_probe,3014,10,0,10,1.0,True,867.5898535922312,8675.898535922312,5614.898535922312,28074.492679611558,2510.0,502,464,0.9243027888446215,38,0,501,10,10,10,0,0,1493.812857060349,6650.917450978648,733.1286065247955,7904.221921903453,60,0.052250925997213926
clear_probe,3015,15,0,15,1.0,True,567.5708928619546,8513.563392929318,5535.563392929315,27677.816964646572,2420.0,484,419,0.8657024793388429,65,0,483,15,15,15,0,0,1722.2561662885355,7032.968537134064,2280.9476693346965,8483.563392929318,178,0.057838483997329604
clear_probe,3016,15,0,15,1.0,True,526.910783554347,7903.661753315204,5549.661753315203,27748.308766576018,1900.0,380,320,0.8421052631578947,60,0,379,15,15,15,0,0,383.53096161988844,1420.9805038307616,419.0362910634167,7903.661753315204,40,0.05144576799648348
clear_probe,3017,15,0,15,1.0,True,569.2147544998523,8538.221317497786,5782.221317497791,28911.106587488954,2235.0,447,387,0.8657718120805369,60,0,446,15,15,15,0,0,2101.6655041696927,6232.247349813681,2031.3902848330888,8313.402340482036,155,0.04772180500003742
clear_probe,3018,13,0,13,1.0,True,640.3230266085247,8324.199345910822,5458.199345910822,27290.9967295541,2335.0,467,424,0.9079229122055674,43,0,466,13,13,13,0,0,2291.9499188459845,5152.038404085475,1039.6964321533765,7589.269155594896,80,0.035212982998928055
clear_probe,3019,12,0,12,1.0,True,664.1783992688668,7970.140791226401,5463.140791226402,27315.70395613201,2040.0,408,360,0.8823529411764706,48,0,407,12,12,12,0,0,270.0005350682515,1850.0064208190179,686.3621027042994,5823.572929651969,60,0.07861676799802808
clear_probe,3020,13,0,13,1.0,True,653.5591194534869,8496.26855289533,5660.26855289533,28301.34276447665,2310.0,462,414,0.8961038961038961,48,0,461,13,13,13,0,0,809.2357253846197,4513.804103481757,482.2083648570784,8260.792371629515,40,0.04466617699654307
clear_probe,3021,14,0,14,1.0,True,595.661442019248,8339.260188269473,5684.260188269471,28421.300941347356,2155.0,431,380,0.8816705336426914,51,0,430,14,14,14,0,0,1129.8030287158772,4506.967110288328,447.14433716875294,7665.0762355027355,40,0.04992370000400115
clear_probe,3022,13,0,13,1.0,True,630.7397541091439,8199.61680341887,5339.616803418871,26698.084017094352,2330.0,466,411,0.8819742489270386,55,0,465,13,13,13,0,0,1164.3468748139321,2183.0361394562606,743.0610852340941,8073.958996723714,60,0.04616915399674326
clear_probe,3023,14,0,14,1.0,True,560.9564209914778,7853.389893880689,5504.389893880689,27521.94946940345,1900.0,380,322,0.8473684210526315,58,0,379,14,14,14,0,0,167.79672565193314,706.154159127064,503.0205346485533,6389.251157977175,40,0.05075249399669701
clear_probe,3024,11,0,11,1.0,True,795.8847211233763,8754.73193235714,5586.731932357138,27933.659661785692,2595.0,519,474,0.9132947976878613,45,0,518,11,11,11,0,0,1815.5854804815297,5971.489015437,2074.5702935922195,7904.763701238213,159,0.05053906799730612
clear_probe,3025,10,0,10,1.0,True,881.2736697388797,8812.736697388797,5871.736697388796,29358.68348694398,2410.0,482,451,0.9356846473029046,31,0,481,10,10,10,0,0,1692.426492372511,4268.849628302286,1511.0463476542864,7822.587942876377,119,0.03610803899937309
clear_probe,3026,14,0,14,1.0,True,601.8123043909225,8425.372261472914,6022.372261472916,30111.861307364576,1945.0,389,335,0.8611825192802056,54,0,388,14,14,14,0,0,612.9011306397919,2729.3434613969275,423.9560446546691,8425.372261472914,40,0.054060028996900655
clear_probe,3027,11,0,11,1.0,True,764.1731500575005,8405.904650632505,5399.904650632504,26999.523253162515,2460.0,492,444,0.9024390243902439,48,0,491,11,11,11,0,0,443.9487835516668,1786.4672735477545,513.541776470383,7949.924737635856,40,0.05694462899555219
clear_probe,3028,15,0,15,1.0,True,565.6886073875187,8485.32911081278,6185.3291108127805,30926.645554063904,1855.0,371,315,0.8490566037735849,56,0,370,15,15,15,0,0,1091.3150960853204,5904.130661914956,750.5157095850263,8009.809685533607,59,0.048833381006261334
clear_probe,3029,14,0,14,1.0,True,625.4464945022959,8756.250923032143,6293.250923032143,31466.25461516072,1995.0,399,349,0.87468671679198,50,0,398,14,14,14,0,0,1149.5458327271695,3874.313861202759,445.8355396075847,7276.687155274957,40,0.04863124700204935
clear_probe,3030,11,0,11,1.0,True,788.7175105813625,8675.892616394987,5519.892616394989,27599.463081974944,2585.0,517,471,0.9110251450676983,46,0,516,11,11,11,0,0,600.0141204299429,5505.9478047144985,448.88197813769654,6783.577417432543,40,0.05399745600152528
clear_probe,3031,15,0,15,1.0,True,524.9507354121088,7874.261031181632,5466.261031181632,27331.305155908158,1945.0,389,324,0.8329048843187661,65,0,388,15,15,15,0,0,770.337235788564,4474.987272395277,1767.266709420938,6979.318355783399,133,0.06008635499892989
clear_probe,3032,11,0,11,1.0,True,857.2297344559832,9429.527079015816,5859.527079015816,29297.63539507908,2930.0,586,541,0.9232081911262798,45,0,585,11,11,11,0,0,2795.312102421647,6266.265548288975,1035.278484655724,8363.444766470786,80,0.03831759899912868
clear_probe,3033,16,0,16,1.0,True,471.76594333803473,7548.255093408556,5081.255093408556,25406.275467042782,1990.0,398,336,0.8442211055276382,62,0,397,16,16,16,0,0,2084.6506745485335,4814.447796068728,482.80216468452153,7548.255093408556,40,0.06066525599453598
clear_probe,3034,14,0,14,1.0,True,620.6214219244049,8688.699906941669,6147.699906941667,30738.499534708335,2060.0,412,362,0.8786407766990292,50,0,411,14,14,14,0,0,1094.2930691165895,3757.6201224414567,412.9019565758849,7078.589776181565,40,0.04999210700043477
clear_probe,3035,14,0,14,1.0,True,577.9124534873869,8090.774348823416,5447.774348823417,27238.871744117077,2145.0,429,378,0.8811188811188811,51,0,428,14,14,14,0,0,1589.6838014586754,5761.519349548286,710.7202708005078,7266.219970641154,58,0.04845124900020892
clear_probe,3036,15,0,15,1.0,True,529.2418078884266,7938.627118326399,5560.627118326399,27803.135591631988,1920.0,384,327,0.8515625,57,0,383,15,15,15,0,0,1457.3776867220517,5301.688275746608,689.9514303142164,6840.644686758579,59,0.054851094995683525
clear_probe,3037,15,0,15,1.0,True,516.0744046930788,7741.116070396181,5675.11607039618,28375.58035198089,1660.0,332,277,0.8343373493975904,55,0,331,15,15,15,0,0,650.2749933868213,2968.52468362218,739.4997811586707,6866.4564173825565,60,0.04686485200363677
clear_probe,3038,11,0,11,1.0,True,775.3500369515276,8528.850406466803,5444.850406466804,27224.252032334018,2525.0,505,459,0.9089108910891089,46,0,504,11,11,11,0,0,1324.5823061071778,4893.2350802266155,778.5996514787515,8159.26965816304,60,0.09087262499815552
clear_probe,3039,10,0,10,1.0,True,852.3534477522751,8523.534477522751,5366.534477522751,26832.672387613755,2590.0,518,474,0.915057915057915,44,0,517,10,10,10,0,0,265.45134306605496,987.7567153302749,533.4703036153921,7317.482745689472,40,0.04663256499770796
clear_probe,3040,14,0,14,1.0,True,573.2931088619067,8026.103524066693,5485.103524066692,27425.517620333463,2060.0,412,361,0.8762135922330098,51,0,411,14,14,14,0,0,963.1579676480823,3740.2803180849833,403.2704980741084,7667.317342429776,40,0.04798348999611335
clear_probe,3041,10,0,10,1.0,True,825.640164530351,8256.40164530351,5303.401645303509,26517.00822651755,2420.0,484,449,0.9276859504132231,35,0,483,10,10,10,0,0,1462.7796187511601,4027.311988236031,1752.784230287955,7593.460876732271,129,0.0679547640029341
clear_probe,3042,13,0,13,1.0,True,628.2261531359834,8166.9399907677835,5834.939990767783,29174.699953838914,1890.0,378,334,0.8835978835978836,44,0,377,13,13,13,0,0,680.9247635096143,3835.1578085090855,484.2519709669432,6094.65272483581,40,0.07150226300291251
clear_probe,3043,14,0,14,1.0,True,584.3183475953175,8180.456866334444,5489.456866334445,27447.28433167223,2185.0,437,378,0.8649885583524027,59,0,436,14,14,14,0,0,1001.0780599036785,5064.532179720815,420.3728822967254,6918.678315435375,40,0.08979623000050196
clear_probe,3044,13,0,13,1.0,True,667.2667094356628,8674.467222663618,5886.467222663618,29432.336113318088,2270.0,454,406,0.8942731277533039,48,0,453,13,13,13,0,0,1826.3189197218162,6360.314393430859,737.4711577348138,8222.347166184854,60,0.05786020200321218
clear_probe,3045,12,0,12,1.0,True,711.1888556100804,8534.266267320965,6135.266267320965,30676.331336604824,1950.0,390,347,0.8897435897435897,43,0,389,12,12,12,0,0,448.77610404428833,2273.5822974180446,500.8687786345615,7404.315924327308,40,0.044889302997034974
clear_probe,3046,10,0,10,1.0,True,873.7579816476015,8737.579816476014,5346.579816476014,26732.89908238007,2785.0,557,518,0.9299820466786356,39,0,556,10,10,10,0,0,2070.3859027356893,6763.112596233797,1280.927293442702,8174.180449617131,99,0.042365408000478055
clear_probe,3047,12,0,12,1.0,True,689.0407304637824,8268.48876556539,5227.48876556539,26137.443827826955,2485.0,497,445,0.8953722334004024,52,0,496,12,12,12,0,0,1066.4186734860718,5566.322945852389,479.37819012808427,8268.48876556539,40,0.05578828499710653
clear_probe,3048,11,0,11,1.0,True,764.2166275923572,8406.382903515929,5358.382903515929,26791.91451757964,2495.0,499,458,0.9178356713426854,41,0,498,11,11,11,0,0,1398.0195690035662,6841.104880147954,516.7018394107564,7820.08759784868,40,0.043204196997976396
clear_probe,3049,13,0,13,1.0,True,674.9529564683659,8774.388434088756,5566.388434088757,27831.942170443766,2620.0,524,473,0.9026717557251909,51,0,523,13,13,13,0,0,1332.845269716733,5483.470013759802,1809.533945894042,7985.894073114064,136,0.05214952499954961
clear_probe,3050,14,0,14,1.0,True,570.2719935472498,7983.807909661498,5364.807909661499,26824.039548307504,2125.0,425,373,0.8776470588235294,52,0,424,14,14,14,0,0,1508.7575112356496,4624.900779172192,498.26998070129935,7810.334017476286,40,0.0477786159972311
clear_probe,3051,16,0,16,1.0,True,399.16224715402257,6386.595954464361,5065.595954464361,25327.979772321807,1035.0,207,152,0.7342995169082126,55,0,206,16,16,16,0,0,232.44653304010757,1463.144528641721,725.416303864001,6386.595954464361,60,0.051591615003417246
clear_probe,3052,10,0,10,1.0,True,900.1783111124435,9001.783111124434,5808.783111124435,29043.915555622174,2620.0,524,479,0.9141221374045801,45,0,523,10,10,10,0,0,1181.9656516692303,5443.634477427586,1253.881206972124,8184.866844522466,98,0.04483238099783193
clear_probe,3053,13,0,13,1.0,True,638.3867617292867,8299.027902480728,5643.027902480728,28215.13951240363,2160.0,432,382,0.8842592592592593,50,0,431,13,13,13,0,0,1307.8746527744622,5290.366781117887,1044.1175595771433,8127.921540439736,80,0.04335523000190733
clear_probe,3054,10,0,10,1.0,True,856.9188042448404,8569.188042448404,5652.188042448404,28260.940212242018,2390.0,478,444,0.9288702928870293,34,0,477,10,10,10,0,0,983.6303343366419,5249.04027117256,512.0669569752943,8278.844532491008,40,0.04127297100058058
clear_probe,3055,14,0,14,1.0,True,592.5734510082918,8296.028314116085,5917.028314116084,29585.141570580425,1925.0,385,334,0.8675324675324675,51,0,384,14,14,14,0,0,533.3586279718503,1759.6465769193924,426.7511293660108,7166.7867870357395,40,0.04516293599590426
clear_probe,3056,12,0,12,1.0,True,711.0453669165114,8532.544402998137,5731.544402998138,28657.72201499069,2285.0,457,414,0.9059080962800875,43,0,456,12,12,12,0,0,967.8665866647749,4710.050285825383,1496.395962354324,6667.323562607593,117,0.04539183300221339
clear_probe,3057,14,0,14,1.0,True,596.1837189197846,8346.572064876984,5397.572064876982,26987.86032438491,2400.0,480,431,0.8979166666666667,49,0,479,14,14,14,0,0,2297.182265112654,5779.586098017797,482.5158566217482,8130.874072201078,40,0.038956962001975626
clear_probe,3058,14,0,14,1.0,True,572.4390150331163,8014.146210463629,5359.146210463629,26795.731052318144,2155.0,431,380,0.8816705336426914,51,0,430,14,14,14,0,0,957.0137325404831,4967.501952986084,464.00432233421685,7826.205183649125,40,0.04049087299790699
