strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,0,16,8,16,1.0,True,510.3041098279233,8164.865757246773,5433.865757246775,27169.328786233866,2210.0,442,381,0.8619909502262444,61,0,441,16,16,16,9,9,1787.6400959364266,6279.141073446015,490.4637186641315,8164.865757246773,40,0.05069277999427868
clear_probe,1,11,7,11,1.0,True,848.6760214406175,9335.436235846793,6347.436235846795,31737.18117923397,2445.0,489,451,0.9222903885480572,38,0,488,11,11,11,7,7,1537.655697967916,5733.168628028636,1319.9869784557202,9335.436235846793,98,0.04367600100522395
clear_probe,2,16,6,16,1.0,True,505.75194334891756,8092.031093582681,5679.031093582681,28395.155467913406,1945.0,389,328,0.8431876606683805,61,0,388,16,16,16,7,7,1786.19220999805,5780.431175928541,1033.6309582310344,8092.031093582681,80,0.07916332299646456
clear_probe,3,11,2,11,1.0,True,852.251491950028,9374.766411450308,6044.766411450308,30223.832057251537,2730.0,546,504,0.9230769230769231,42,0,545,11,11,11,4,4,2560.1092995259323,7339.669645050218,1750.6791874398764,9374.766411450308,137,0.05542970300302841
clear_probe,4,11,5,11,1.0,True,864.3765750284202,9508.142325312623,5926.142325312622,29630.71162656312,2940.0,588,542,0.9217687074829932,46,0,587,11,11,11,6,6,2278.0590737491025,7083.832844813026,3677.0418794916563,9454.142325312623,272,0.05220364600245375
clear_probe,5,14,6,14,1.0,True,655.2259443705182,9173.163221187255,6170.163221187257,30850.816105936276,2445.0,489,439,0.8977505112474438,50,0,488,14,14,14,5,5,2741.4639345238024,5732.604203267361,1818.1265583866993,8673.823689388884,140,0.06240509900089819
clear_probe,6,16,6,16,1.0,True,569.731299608291,9115.700793732656,6740.700793732656,33703.50396866329,1915.0,383,318,0.8302872062663186,65,0,380,16,16,16,8,8,955.2642392004926,5450.94406551498,502.7389155774529,9115.700793732656,40,0.11067329700017581
clear_probe,7,12,7,12,1.0,True,803.7464730788092,9644.95767694571,6471.957676945711,32359.78838472856,2595.0,519,475,0.9152215799614644,44,0,518,12,12,12,7,7,2688.0568179623165,6805.887515239128,2000.3282122706578,9644.95767694571,153,0.05949956300173653
clear_probe,8,11,6,11,1.0,True,831.8377147891259,9150.214862680385,5622.214862680381,28111.074313401907,2895.0,579,547,0.9447322970639033,32,0,578,11,11,11,5,5,4637.11504709436,8393.63663089184,726.2713812523642,8927.74196734467,60,0.06206997799745295
clear_probe,9,13,8,13,1.0,True,749.3253009599503,9741.228912479353,6517.228912479353,32586.144562396767,2635.0,527,481,0.9127134724857685,46,0,524,13,13,13,8,8,2264.0040656138995,5045.858966996338,489.11577981176504,9741.228912479353,40,0.06797951699991245
clear_probe,10,14,8,14,1.0,True,651.2566849458856,9117.593589242399,5922.5935892423995,29612.967946212,2605.0,521,463,0.8886756238003839,58,0,520,14,14,14,8,8,1846.3695088955722,5584.624547377867,3925.2492465730984,9081.593589242399,300,0.07927031400322448
clear_probe,11,13,8,13,1.0,True,690.4173518464723,8975.42557400414,6241.425574004141,31207.127870020708,2225.0,445,402,0.903370786516854,43,0,444,13,13,13,9,9,1575.3905543156527,5303.058429613398,733.7348583470529,7736.105098820758,59,0.03859416699560825
