strategy,seed,channel,first_seen_time_s,directional
clear_probe,0,5,29.0,False
clear_probe,0,6,35.0,False
clear_probe,0,13,77.0,False
clear_probe,0,20,119.0,False
clear_probe,0,10,326.0,False
clear_probe,0,12,338.0,True
clear_probe,0,1,496.4637186641315,False
clear_probe,0,4,514.4637186641314,False
clear_probe,0,2,757.2524310942483,True
clear_probe,0,7,1303.2524310942483,True
clear_probe,0,18,1873.2524310942483,False
clear_probe,0,14,3017.262003406113,True
clear_probe,0,8,3810.7966804229795,True
clear_probe,0,9,3816.7966804229795,True
clear_probe,0,3,4848.408149135605,True
clear_probe,0,16,5133.408149135605,True
clear_probe,1,7,41.0,False
clear_probe,1,13,77.0,True
clear_probe,1,14,83.0,False
clear_probe,1,19,113.0,False
clear_probe,1,17,368.0,True
clear_probe,1,8,581.0,True
clear_probe,1,11,1766.618159864412,False
clear_probe,1,4,1877.206150812337,True
clear_probe,1,16,2129.2250725881686,True
clear_probe,1,3,5294.704705453143,True
clear_probe,1,9,6882.540645045118,True
clear_probe,2,6,35.0,False
clear_probe,2,13,77.0,False
clear_probe,2,15,89.0,True
clear_probe,2,2,278.0,False
clear_probe,2,4,290.0,True
clear_probe,2,16,362.0,False
clear_probe,2,17,368.0,False
clear_probe,2,10,1348.4812243659749,False
clear_probe,2,14,1372.4812243659749,True
clear_probe,2,20,1408.4812243659749,True
clear_probe,2,3,1803.2504993124792,False
clear_probe,2,5,1809.2504993124792,False
clear_probe,2,11,1996.1889402773534,False
clear_probe,2,12,5637.610082536991,True
clear_probe,2,1,6003.610082536991,False
clear_probe,2,19,6045.610082536991,True
clear_probe,3,1,5.0,False
clear_probe,3,2,11.0,True
clear_probe,3,8,47.0,False
clear_probe,3,16,95.0,False
clear_probe,3,19,113.0,False
clear_probe,3,18,1430.0,False
clear_probe,3,14,3061.6767065961467,False
clear_probe,3,12,4680.667319104365,False
clear_probe,3,5,5835.667319104365,False
clear_probe,3,11,5871.667319104365,False
clear_probe,3,10,6096.667319104365,True
clear_probe,4,2,11.0,False
clear_probe,4,4,23.0,True
clear_probe,4,9,53.0,False
clear_probe,4,17,101.0,True
clear_probe,4,5,296.0,False
clear_probe,4,10,326.0,True
clear_probe,4,7,1904.0,True
clear_probe,4,15,2735.0,False
clear_probe,4,1,5432.6556138914775,False
clear_probe,4,16,5498.6556138914775,False
clear_probe,4,13,5723.6556138914775,True
clear_probe,5,3,17.0,False
clear_probe,5,8,47.0,False
clear_probe,5,9,53.0,False
clear_probe,5,12,71.0,False
clear_probe,5,17,101.0,True
clear_probe,5,18,2373.782011300964,True
clear_probe,5,13,2617.2991303946515,False
clear_probe,5,15,2629.2991303946515,False
clear_probe,5,1,4903.224767454781,True
clear_probe,5,6,4927.224767454781,True
clear_probe,5,2,5275.129121472722,False
clear_probe,5,7,5299.129121472722,False
clear_probe,5,11,5311.129121472722,True
clear_probe,5,4,7468.54500172638,True
clear_probe,6,2,11.0,False
clear_probe,6,3,17.0,False
clear_probe,6,4,23.0,True
clear_probe,6,6,35.0,True
clear_probe,6,9,53.0,False
clear_probe,6,10,59.0,True
clear_probe,6,14,83.0,True
clear_probe,6,15,89.0,False
clear_probe,6,16,362.0,False
clear_probe,6,11,562.7389155774529,False
clear_probe,6,18,604.7389155774529,False
clear_probe,6,12,834.805283798371,False
clear_probe,6,20,882.805283798371,False
clear_probe,6,1,4428.9784929658035,True
clear_probe,6,19,4882.778354544806,False
clear_probe,6,8,5382.569961906881,True
clear_probe,7,1,5.0,False
clear_probe,7,9,53.0,False
clear_probe,7,13,77.0,False
clear_probe,7,19,113.0,True
clear_probe,7,10,1637.0,True
clear_probe,7,2,1850.0,False
clear_probe,7,6,1874.0,True
clear_probe,7,3,4162.757773044021,True
clear_probe,7,4,4399.757773044021,False
clear_probe,7,5,5773.132582911971,True
clear_probe,7,16,6691.132582911971,True
clear_probe,7,18,7141.132582911971,True
clear_probe,8,4,290.0,False
clear_probe,8,19,380.0,False
clear_probe,8,2,2922.7861706319172,False
clear_probe,8,12,2976.7861706319172,True
clear_probe,8,17,3771.7861706319172,True
clear_probe,8,7,5215.862794979737,False
clear_probe,8,13,5245.862794979737,True
clear_probe,8,9,7363.6280763406685,True
clear_probe,8,16,7393.6280763406685,False
clear_probe,8,3,8428.951604004209,True
clear_probe,8,5,8672.91678313865,True
clear_probe,9,2,11.0,False
clear_probe,9,9,53.0,False
clear_probe,9,19,113.0,False
clear_probe,9,12,338.0,True
clear_probe,9,8,537.115779811765,False
clear_probe,9,20,1151.635607543593,True
clear_probe,9,5,1589.635607543593,True
clear_probe,9,6,3111.614995048194,True
clear_probe,9,11,3888.614995048194,True
clear_probe,9,1,4701.654611013875,False
clear_probe,9,16,5022.654611013875,True
clear_probe,9,14,5496.654611013875,True
clear_probe,9,18,7409.732110860061,True
clear_probe,10,2,11.0,False
clear_probe,10,7,41.0,False
