strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,0,16,8,16,1.0,True,603.1315765523798,9650.105224838077,6557.105224838075,32785.52612419037,2515.0,503,441,0.8767395626242545,62,0,498,16,16,16,10,10,1841.1533998129853,7296.15694584251,490.4637186641315,9650.105224838077,40,0.10203489400009857
clear_probe,1,11,7,11,1.0,True,857.599777834296,9433.597556177256,6259.597556177259,31297.98778088629,2600.0,520,479,0.9211538461538461,41,0,519,11,11,11,6,6,1704.7156025892668,6315.817027978247,1319.9869784557202,9433.597556177256,98,0.07144831999903545
clear_probe,2,16,6,16,1.0,True,615.7778249795525,9852.44519967284,7204.445199672841,36022.22599836421,2145.0,429,368,0.8578088578088578,61,0,423,16,16,16,7,7,1716.5572553032155,6416.023253259601,1033.6309582310344,9852.44519967284,80,0.1449597629980417
clear_probe,3,11,2,11,1.0,True,792.7926519940356,8720.719171934392,5540.7191719343955,27703.595859671972,2605.0,521,475,0.9117082533589251,46,0,520,11,11,11,4,4,2210.259202394917,5221.591162926615,1750.6791874398764,8720.719171934392,137,0.045657196002139244
clear_probe,4,11,5,11,1.0,True,838.5675295874742,9224.242825462215,5907.242825462214,29536.21412731107,2720.0,544,503,0.9246323529411765,41,0,542,11,11,11,7,7,1875.0109637244802,5167.706866989761,3677.0418794916563,9224.242825462215,272,0.06203314300364582
clear_probe,5,14,6,14,1.0,True,669.7333743044853,9376.267240262794,6434.267240262793,32171.33620131397,2395.0,479,430,0.8977035490605428,49,0,477,14,14,14,9,9,2731.5520927518664,5426.457428708041,1818.1265583866993,9376.267240262794,140,0.08013427900004899
clear_probe,6,16,6,16,1.0,True,495.1912383831151,7923.0598141298415,5600.05981412984,28000.299070649202,1870.0,374,308,0.8235294117647058,66,0,373,16,16,16,7,7,1114.9716010304455,5333.542683411244,502.7389155774529,7923.0598141298415,40,0.06000840199703816
clear_probe,7,12,7,12,1.0,True,723.3136787952661,8679.764145543193,5590.764145543195,27953.820727715978,2525.0,505,458,0.906930693069307,47,0,504,12,12,12,7,7,2566.3958253577944,6412.138379686147,2000.3282122706578,8679.764145543193,153,0.05999299399991287
clear_probe,8,11,6,10,0.9090909090909091,False,802.7804040177523,8027.804040177522,5134.804040177522,25674.020200887608,2370.0,474,443,0.9345991561181435,31,0,473,10,10,10,4,4,2351.712009506412,4278.918957335769,726.2713812523642,7713.264047564086,60,0.03151988700119546
clear_probe,9,13,8,13,1.0,True,728.9205196656775,9475.966755653808,6099.966755653808,30499.833778269043,2760.0,552,506,0.9166666666666666,46,0,551,13,13,13,8,8,2705.4340562658076,6582.101907167093,489.11577981176504,9475.966755653808,40,0.052297277994512115
clear_probe,10,14,8,14,1.0,True,638.6111442427421,8940.55601939839,5931.556019398391,29657.780096991963,2450.0,490,435,0.8877551020408163,55,0,489,14,14,14,7,7,1838.8522124462284,5407.510305786132,3925.2492465730984,8462.49806197984,300,0.055566121998708695
clear_probe,11,13,8,13,1.0,True,719.4999838263419,9353.499789742446,6332.4997897424455,31662.498948712233,2465.0,493,445,0.9026369168356998,48,0,491,13,13,13,13,13,1618.0376712903837,6811.349568391374,733.7348583470529,9353.499789742446,59,0.08634835500561167
