strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
early_stop,0,16,8,16,1.0,True,552.7619817751677,8844.191708402683,6311.191708402681,31555.958542013403,2045.0,409,352,0.8606356968215159,57,0,408,16,16,16,10,10,1826.4652230201943,7349.040135872746,498.546789927813,8844.191708402683,40,0.02997367399802897
early_stop,1,11,7,10,0.9090909090909091,False,736.2834699421685,7362.8346994216845,4829.834699421685,24149.173497108433,2070.0,414,380,0.9178743961352657,34,0,413,10,10,10,8,8,1553.2011599881594,4221.6705332938645,2882.8540398029345,7362.8346994216845,211,0.018399251996015664
early_stop,2,16,6,16,1.0,True,429.6894327120692,6875.0309233931075,4882.0309233931075,24410.154616965534,1595.0,319,262,0.8213166144200627,57,0,318,16,16,16,5,5,1861.9993251148544,6402.454866851474,1060.5889235937477,6875.0309233931075,80,0.026876775998971425
early_stop,3,11,2,11,1.0,True,662.4839967229545,7287.3239639525,4779.323963952499,23896.619819762494,2045.0,409,367,0.8973105134474327,42,0,408,11,11,11,1,1,1332.9237956781874,4538.372533670734,827.4747369724788,7287.3239639525,60,0.022729922995495144
early_stop,4,11,5,11,1.0,True,737.3451686772037,8110.79685544924,5512.79685544924,27563.9842772462,2120.0,424,382,0.9009433962264151,42,0,423,11,11,11,7,7,1283.5002892095797,5511.8607111395195,1370.78410830228,8110.79685544924,100,0.022077194997109473
early_stop,5,14,6,14,1.0,True,660.1572257041246,9242.201159857745,6395.2011598577465,31976.00579928873,2315.0,463,415,0.896328293736501,48,0,462,14,14,14,4,4,2336.0040610036194,7894.835154069398,2604.6557703015674,9242.201159857745,200,0.024076376997982152
early_stop,6,16,6,16,1.0,True,626.7202543405773,10027.524069449237,7568.524069449236,37842.62034724619,1985.0,397,343,0.8639798488664987,54,0,394,16,16,16,5,5,981.4880426587273,5183.189141191712,511.26431934647314,10027.524069449237,40,0.06916599700343795
early_stop,7,12,7,12,1.0,True,891.5841182593459,10699.009419112152,7361.009419112151,36805.04709556076,2735.0,547,504,0.9213893967093236,43,0,543,12,12,12,7,7,2911.5530063447986,8004.162161229859,2002.7181457627007,10699.009419112152,136,0.05769672499445733
early_stop,8,11,6,11,1.0,True,874.3484353914105,9617.832789305516,6257.832789305514,31289.163946527577,2755.0,551,522,0.9473684210526315,29,0,550,11,11,11,3,3,3630.1656582011055,7533.514713440203,733.6474890207196,9617.832789305516,60,0.012918724001792725
early_stop,9,13,8,13,1.0,True,709.0123986667822,9217.16118266817,6405.16118266817,32025.80591334085,2290.0,458,415,0.9061135371179039,43,0,457,13,13,13,6,6,2129.650248528291,5622.213256720616,497.2718362947012,9217.16118266817,40,0.020524804000160657
