strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
integrated_route,0,16,8,16,1.0,True,570.0482117047293,9120.771387275669,6401.7713872756685,32008.85693637835,2200.0,440,375,0.8522727272727273,65,0,439,16,16,16,5,5,2086.174403269934,8225.592546328846,485.88727717018105,9120.771387275669,40,0.06645125900104176
integrated_route,1,11,7,11,1.0,True,1021.0247188866434,11231.271907753078,7397.271907753078,36986.3595387654,3150.0,630,587,0.9317460317460318,43,0,629,11,11,11,9,9,1941.5133353973354,4653.2517474123,3067.947288947868,11231.271907753078,229,0.08231673800037242
integrated_route,2,16,6,16,1.0,True,482.30162811790075,7716.826049886412,5447.826049886412,27239.130249432063,1825.0,365,306,0.8383561643835616,59,0,364,16,16,16,6,6,2035.061970538731,7268.684948978114,1016.5319974711217,7716.826049886412,80,0.07892045300104655
integrated_route,3,11,2,11,1.0,True,934.4570440809115,10279.027484890026,6823.027484890026,34115.13742445012,2835.0,567,520,0.9171075837742504,47,0,566,11,11,11,1,1,1539.8373119015198,5098.730943003394,2278.3444339005305,9912.129805480672,174,0.07488066500081914
integrated_route,4,11,5,11,1.0,True,948.3465859582714,10431.812445540985,7005.812445540983,35029.06222770492,2810.0,562,519,0.9234875444839857,43,0,561,11,11,11,5,5,1312.5355703133077,6566.46820868236,661.0404535860157,9001.331656440589,60,0.0501084549978259
integrated_route,5,14,6,14,1.0,True,745.7600238491742,10440.64033388844,7107.640333888442,35538.201669442205,2720.0,544,493,0.90625,51,0,543,14,14,14,3,3,2424.8593786223532,7908.69602673486,2794.7153763515735,9976.060758114963,220,0.051441042000078596
integrated_route,6,16,6,16,1.0,True,478.95235063689773,7663.237610190364,5424.237610190363,27121.188050951812,1800.0,360,304,0.8444444444444444,56,0,359,16,16,16,4,4,1020.6588198395709,5582.37334659674,497.7212259719323,7663.237610190364,40,0.05964777299959678
integrated_route,7,12,7,12,1.0,True,871.8664925257373,10462.397910308848,6857.397910308846,34286.98955154423,2955.0,591,547,0.9255499153976311,44,0,590,12,12,12,5,5,3116.917833561339,8652.896045242624,2548.3969908511026,9047.366698821115,197,0.03682303999812575
integrated_route,8,11,6,11,1.0,True,974.8476564827848,10723.324221310633,7051.324221310634,35256.62110655317,3015.0,603,567,0.9402985074626866,36,0,602,11,11,11,3,3,3748.9369175451156,8990.87162475593,1256.9039057238958,9297.778518790712,98,0.0309180549957091
integrated_route,9,13,8,13,1.0,True,844.4944867927978,10978.428328306372,7656.4283283063705,38282.14164153186,2715.0,543,495,0.9116022099447514,48,0,542,13,13,13,11,11,1761.3267290617198,5809.690729403661,483.4573828576781,9745.557309774618,40,0.051001858002564404
