strategy,seed,channel,first_seen_time_s,directional
clear_probe_multistart,0,5,29.0,False
clear_probe_multistart,0,6,35.0,False
clear_probe_multistart,0,13,77.0,False
clear_probe_multistart,0,20,119.0,False
clear_probe_multistart,0,12,319.0,True
clear_probe_multistart,0,10,331.0,False
clear_probe_multistart,0,1,494.4637186641315,False
clear_probe_multistart,0,4,512.4637186641314,False
clear_probe_multistart,0,2,850.2524310942483,True
clear_probe_multistart,0,7,1340.2524310942483,True
clear_probe_multistart,0,18,1612.2524310942483,False
clear_probe_multistart,0,14,2587.7553589345853,True
clear_probe_multistart,0,9,3597.4627256824797,True
clear_probe_multistart,0,8,3815.4627256824797,True
clear_probe_multistart,0,3,6013.987695125235,True
clear_probe_multistart,0,16,6608.987695125235,True
clear_probe_multistart,1,7,41.0,False
clear_probe_multistart,1,13,77.0,True
clear_probe_multistart,1,14,83.0,False
clear_probe_multistart,1,19,113.0,False
clear_probe_multistart,1,17,289.0,True
clear_probe_multistart,1,8,579.0,True
clear_probe_multistart,1,9,1625.0,True
clear_probe_multistart,1,3,3858.5117176376707,True
clear_probe_multistart,1,4,4035.0715956907757,True
clear_probe_multistart,1,11,4059.0715956907757,False
clear_probe_multistart,1,16,4083.0715956907757,True
clear_probe_multistart,2,6,35.0,False
clear_probe_multistart,2,13,77.0,False
clear_probe_multistart,2,15,89.0,True
clear_probe_multistart,2,17,289.0,False
clear_probe_multistart,2,16,295.0,False
clear_probe_multistart,2,4,367.0,True
clear_probe_multistart,2,2,379.0,False
clear_probe_multistart,2,1,1457.3544887375306,False
clear_probe_multistart,2,19,2213.3544887375306,True
clear_probe_multistart,2,12,2898.4791586794604,True
clear_probe_multistart,2,3,5118.559121831613,False
clear_probe_multistart,2,11,5160.559121831613,False
clear_probe_multistart,2,20,5348.559121831613,True
clear_probe_multistart,2,14,5378.559121831613,True
clear_probe_multistart,2,10,5390.559121831613,False
clear_probe_multistart,2,5,5414.559121831613,False
clear_probe_multistart,3,1,5.0,False
clear_probe_multistart,3,2,11.0,True
clear_probe_multistart,3,8,47.0,False
clear_probe_multistart,3,16,95.0,False
clear_probe_multistart,3,19,113.0,False
clear_probe_multistart,3,10,1390.0,True
clear_probe_multistart,3,5,1608.0,False
clear_probe_multistart,3,11,1644.0,False
clear_probe_multistart,3,12,2951.3871987575585,False
clear_probe_multistart,3,14,4494.519673294275,False
clear_probe_multistart,3,18,5233.078306969543,False
clear_probe_multistart,4,2,11.0,False
clear_probe_multistart,4,4,23.0,True
clear_probe_multistart,4,9,53.0,False
clear_probe_multistart,4,17,101.0,True
clear_probe_multistart,4,10,331.0,True
clear_probe_multistart,4,5,361.0,False
clear_probe_multistart,4,13,1377.0,True
clear_probe_multistart,4,1,1601.0,False
clear_probe_multistart,4,16,1685.0,False
clear_probe_multistart,4,15,4399.192376860493,False
clear_probe_multistart,4,7,6520.483572450106,True
clear_probe_multistart,5,3,17.0,False
clear_probe_multistart,5,8,47.0,False
clear_probe_multistart,5,9,53.0,False
clear_probe_multistart,5,12,71.0,False
clear_probe_multistart,5,17,101.0,True
clear_probe_multistart,5,6,2163.0,True
clear_probe_multistart,5,7,2169.0,False
clear_probe_multistart,5,1,2665.0,True
clear_probe_multistart,5,11,3039.580055158349,True
clear_probe_multistart,5,2,3093.580055158349,False
clear_probe_multistart,5,13,3435.78213555982,False
clear_probe_multistart,5,15,5005.190698796141,False
clear_probe_multistart,5,18,5017.190698796141,True
clear_probe_multistart,5,4,7918.300159356764,True
clear_probe_multistart,6,2,11.0,False
clear_probe_multistart,6,3,17.0,False
clear_probe_multistart,6,4,23.0,True
clear_probe_multistart,6,6,35.0,True
clear_probe_multistart,6,9,53.0,False
clear_probe_multistart,6,10,59.0,True
clear_probe_multistart,6,14,83.0,True
clear_probe_multistart,6,15,89.0,False
clear_probe_multistart,6,16,295.0,False
clear_probe_multistart,6,11,560.7389155774529,False
clear_probe_multistart,6,18,602.7389155774529,False
clear_probe_multistart,6,20,771.805283798371,False
clear_probe_multistart,6,12,819.805283798371,False
clear_probe_multistart,6,19,4671.232198981842,False
clear_probe_multistart,6,1,4889.232198981842,True
clear_probe_multistart,6,8,6078.4893197812125,True
clear_probe_multistart,7,1,5.0,False
clear_probe_multistart,7,9,53.0,False
clear_probe_multistart,7,13,77.0,False
clear_probe_multistart,7,19,113.0,True
clear_probe_multistart,7,18,1685.0,True
clear_probe_multistart,7,16,2123.5249153980253,True
clear_probe_multistart,7,5,3506.241202875997,True
clear_probe_multistart,7,4,3977.867946754684,False
clear_probe_multistart,7,2,4445.347402372211,False
clear_probe_multistart,7,6,4743.288260832629,True
clear_probe_multistart,7,10,5905.11279680405,True
clear_probe_multistart,7,3,6903.821459618996,True
clear_probe_multistart,8,19,277.0,False
clear_probe_multistart,8,4,367.0,False
clear_probe_multistart,8,16,2190.004886370039,False
clear_probe_multistart,8,9,2656.004886370039,True
clear_probe_multistart,8,3,2912.063577750446,True
clear_probe_multistart,8,7,3380.2234485785975,False
clear_probe_multistart,8,5,3580.2234485785975,True
