strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
certified_clear_probe,0,16,8,16,1.0,True,515.9020075620758,8254.432120993213,5551.432120993213,27757.160604966066,2210.0,442,381,0.8619909502262444,61,0,413,16,16,16,9,9,1783.0150959364266,6221.141073446015,489.4637186641315,8254.432120993213,40,0.04347631600103341
certified_clear_probe,1,11,7,11,1.0,True,845.4032941678903,9299.436235846793,6347.436235846795,31737.18117923397,2445.0,489,451,0.9222903885480572,38,0,452,11,11,11,7,7,1525.0193343315523,5711.168628028636,1315.9869784557202,9299.436235846793,98,0.03793843599851243
certified_clear_probe,2,16,6,16,1.0,True,517.6527436102566,8282.443897764106,5910.443897764106,29552.219488820527,1940.0,388,326,0.8402061855670103,62,0,352,16,16,16,6,6,1833.0021145944165,5980.843980109966,1030.6309582310344,8282.443897764106,80,0.05363497199869016
certified_clear_probe,3,11,2,11,1.0,True,854.3212510167687,9397.533761184455,6101.533761184455,30507.66880592227,2730.0,546,504,0.9230769230769231,42,0,511,11,11,11,4,4,2547.533518109127,7420.336049465356,1745.6791874398764,9397.533761184455,137,0.042258651003066916
certified_clear_probe,4,11,5,11,1.0,True,862.0125766037326,9482.138342641058,5935.138342641057,29675.69171320529,2940.0,588,542,0.9217687074829932,46,0,552,11,11,11,6,6,2286.0590737491025,7033.832844813026,3664.0418794916563,9429.138342641058,272,0.04444354699808173
certified_clear_probe,5,14,6,14,1.0,True,672.7836316981345,9418.970843773883,6385.970843773883,31929.854218869412,2500.0,500,451,0.902,49,0,463,14,14,14,5,5,2934.822322156278,5986.521165951719,1812.1265583866993,8920.927844055666,140,0.04335922699829098
certified_clear_probe,6,16,6,16,1.0,True,585.9185465397525,9374.69674463604,7095.6967446360395,35478.4837231802,1865.0,373,308,0.8257372654155496,65,0,334,16,16,16,8,8,901.5013778883583,4882.738284520831,501.7389155774529,9374.69674463604,40,0.0801444190001348
certified_clear_probe,7,12,7,12,1.0,True,790.8582970630047,9490.299564756056,6358.2995647560565,31791.497823780286,2590.0,518,475,0.916988416988417,43,0,482,12,12,12,7,7,2690.8901512956495,6724.887515239128,1993.3282122706578,9114.996068621094,153,0.03868199199496303
certified_clear_probe,8,11,6,11,1.0,True,832.731455564065,9160.046011204715,5674.046011204715,28370.230056023574,2890.0,578,546,0.9446366782006921,32,0,541,11,11,11,6,6,4486.410191968432,8405.653532786419,724.2713812523642,8938.573115869,60,0.0366515130008338
certified_clear_probe,9,13,8,13,1.0,True,743.0731688807768,9659.9511954501,6587.951195450099,32939.75597725049,2535.0,507,462,0.9112426035502958,45,0,472,13,13,13,8,8,2057.2490109255323,4961.2134188904865,488.11577981176504,9659.9511954501,40,0.04219606900005601
certified_clear_probe,10,14,8,14,1.0,True,653.9254830567413,9154.956762794378,6179.956762794378,30899.78381397189,2450.0,490,439,0.8959183673469387,51,0,455,14,14,14,8,8,1815.4743899408184,5330.800496137829,3911.2492465730984,9013.018488063655,300,0.04624975499609718
certified_clear_probe,11,13,8,13,1.0,True,697.2652048207455,9064.44766266969,6365.4476626696905,31827.238313348458,2225.0,445,403,0.9056179775280899,42,0,409,13,13,13,10,10,1598.4601085102827,5337.039270519436,731.7348583470529,7827.085939726796,59,0.034660113997233566
certified_clear_probe,12,13,10,13,1.0,True,710.8234664209472,9240.705063472313,6356.705063472314,31783.525317361557,2380.0,476,436,0.9159663865546218,40,0,439,13,13,13,7,7,2003.2446881224494,6432.85605139544,490.2435141061389,8664.399165845072,40,0.028963289994862862
certified_clear_probe,13,12,6,12,1.0,True,782.9030490340136,9394.836588408163,6353.836588408161,31769.182942040807,2515.0,503,461,0.9165009940357853,42,0,466,12,12,12,7,7,2376.0943803541845,8536.511449146883,774.8433221086632,9394.836588408163,60,0.046092256998235825
certified_clear_probe,14,10,6,10,1.0,True,972.7733883542072,9727.733883542072,6371.733883542073,31858.669417710364,2785.0,557,520,0.933572710951526,37,0,521,10,10,10,8,8,2454.285016279392,6792.375581584693,402.94169435937135,9262.812864751173,40,0.03684325500216801
certified_clear_probe,15,11,5,11,1.0,True,853.6318492752375,9389.950342027612,6210.950342027609,31054.751710138047,2635.0,527,489,0.9278937381404174,38,0,489,11,11,11,3,3,2172.254279360463,7526.37758343602,1749.398523545633,9389.950342027612,138,0.05758724100451218
certified_clear_probe,16,12,8,12,1.0,True,767.4285983314741,9209.14317997769,6322.143179977688,31610.715899888444,2385.0,477,434,0.909853249475891,43,0,442,12,12,12,6,6,1799.0070859413509,4788.324770181164,523.7521508905238,8458.448881564052,40,0.052734124001290184
certified_clear_probe,17,14,8,14,1.0,True,665.9502536749711,9323.303551449595,6138.303551449595,30691.517757247977,2625.0,525,471,0.8971428571428571,54,0,490,14,14,14,7,7,3076.0158370079366,6895.472133131696,1545.8480493243965,9323.303551449595,117,0.04446722199645592
certified_clear_probe,18,11,4,11,1.0,True,798.9143497011866,8788.057846713053,5836.0578467130545,29180.289233565272,2445.0,489,443,0.9059304703476483,46,0,452,11,11,11,2,2,1310.2974163958904,4276.919838501123,2019.1024995929724,7249.872200079755,153,0.04320641799859004
certified_clear_probe,19,15,10,15,1.0,True,708.9860595687267,10634.7908935309,7722.7908935309,38613.9544676545,2395.0,479,426,0.8893528183716075,53,0,442,15,15,15,10,10,2965.774776936459,7829.342236504445,447.98378313357387,10634.7908935309,40,0.07781109300412936
certified_clear_probe,20,15,6,15,1.0,True,603.140363666196,9047.10545499294,6235.10545499294,31175.527274964697,2310.0,462,407,0.8809523809523809,55,0,427,15,15,15,6,6,1644.8476445274675,7044.732110754399,500.9904123080294,8379.3407229957,40,0.049662544995953795
certified_clear_probe,21,11,5,11,1.0,True,819.9357157992083,9019.292873791292,6247.2928737912935,31236.464368956465,2295.0,459,423,0.9215686274509803,36,0,422,11,11,11,5,5,1030.2975887555867,5803.53662148173,465.4593564062068,8503.88568731215,40,0.04136910699889995
