strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
active_clear_probe,0,16,8,16,1.0,True,528.6780108175967,8458.848173081547,5433.848173081549,27169.240865407744,2485.0,497,430,0.8651911468812877,67,0,460,16,16,16,10,10,1833.3275959364266,6485.141073446015,489.4637186641315,8458.848173081547,40,0.05133385799854295
active_clear_probe,1,11,7,11,1.0,True,853.5819736762428,9389.401710438671,6348.401710438674,31742.008552193365,2520.0,504,463,0.9186507936507936,41,0,466,11,11,11,7,7,1546.787028752367,5795.134102620514,1315.9869784557202,9389.401710438671,98,0.04047600999911083
active_clear_probe,2,16,6,16,1.0,True,430.0695633860231,6881.11301417637,4615.113014176371,23075.56507088185,1850.0,370,297,0.8027027027027027,73,0,336,16,16,16,6,6,1544.4295060167633,4996.746275746135,1030.6309582310344,6881.11301417637,80,0.06042109899863135
active_clear_probe,3,11,2,11,1.0,True,856.6272377449269,9422.899615194196,6042.899615194197,30214.498075970983,2800.0,560,516,0.9214285714285714,44,0,525,11,11,11,4,4,2573.6668635026494,7395.802848794106,1745.6791874398764,9422.899615194196,137,0.04338521599856904
active_clear_probe,4,11,5,11,1.0,True,871.3765750284202,9585.142325312623,5926.142325312622,29630.71162656312,3035.0,607,559,0.9209225700164745,48,0,569,11,11,11,7,7,2299.1499828400115,7081.832844813026,3664.0418794916563,9532.142325312623,272,0.046902456000680104
active_clear_probe,5,14,6,14,1.0,True,660.1021432257876,9241.430005161026,6156.430005161027,30782.15002580514,2545.0,509,453,0.8899803536345776,56,0,470,14,14,14,5,5,2853.227947236263,7091.696996571317,1812.1265583866993,8745.229172367155,140,0.045046489001833834
active_clear_probe,6,16,6,16,1.0,True,489.40117684553974,7830.418829528636,5419.418829528635,27097.094147643173,1970.0,394,327,0.8299492385786802,67,0,361,16,16,16,8,8,1109.182928835873,5214.073846308492,501.7389155774529,7830.418829528636,40,0.05655639599717688
active_clear_probe,7,12,7,12,1.0,True,810.1226012512407,9721.471215014888,6473.471215014889,32367.356075074447,2690.0,538,490,0.9107806691449815,48,0,498,12,12,12,7,7,2731.3546372338024,6824.4010533083065,1993.3282122706578,9721.471215014888,153,0.05405538999912096
active_clear_probe,8,11,6,11,1.0,True,823.7620145990466,9061.382160589512,5544.38216058951,27721.91080294755,2915.0,583,550,0.9433962264150944,33,0,547,11,11,11,5,5,4562.887020393518,8306.803928800968,724.2713812523642,8839.909265253797,60,0.03596156799903838
active_clear_probe,9,13,8,13,1.0,True,766.599515263979,9965.793698431728,6459.793698431725,32298.96849215862,2905.0,581,528,0.9087779690189329,53,0,536,13,13,13,8,8,2473.639456069002,6961.732110860061,488.11577981176504,9965.793698431728,40,0.0736927010002546
active_clear_probe,10,14,8,14,1.0,True,659.712147080224,9235.970059123136,5828.970059123136,29144.850295615684,2815.0,563,494,0.8774422735346359,69,0,522,14,14,14,9,9,1863.2873006679263,5764.559668965411,3911.2492465730984,9199.970059123136,300,0.06834935899678385
active_clear_probe,11,13,8,13,1.0,True,677.8333187966806,8811.833144356848,5926.8331443568495,29634.165721784244,2385.0,477,425,0.8909853249475891,52,0,435,13,13,13,10,10,1600.2367081618065,5455.058429613398,731.7348583470529,6324.099392780838,59,0.04041046200291021
active_clear_probe,12,13,10,13,1.0,True,713.8921364640338,9280.59777403244,6152.597774032438,30762.988870162186,2585.0,517,463,0.8955512572533849,54,0,478,13,13,13,8,8,2016.8863534910654,6674.4027601307525,490.2435141061389,8460.171910996758,40,0.0413381649996154
active_clear_probe,13,12,6,12,1.0,True,786.5528362651754,9438.634035182105,6273.634035182105,31368.17017591053,2620.0,524,475,0.9064885496183206,49,0,485,12,12,12,7,7,2387.789283273159,8574.308895920825,774.8433221086632,9438.634035182105,60,0.052875654997478705
active_clear_probe,14,10,6,10,1.0,True,900.883161296709,9008.83161296709,5905.831612967089,29529.158064835447,2575.0,515,473,0.9184466019417475,42,0,478,10,10,10,5,5,1385.6694988599002,3207.1406868757995,402.94169435937135,7211.538095764662,40,0.04057928200199967
active_clear_probe,15,11,5,11,1.0,True,817.6438796022103,8994.082675624313,5654.082675624311,28270.41337812156,2770.0,554,510,0.9205776173285198,44,0,515,11,11,11,5,5,2273.8655421724657,8221.071622011033,1749.398523545633,8994.082675624313,138,0.05041801599872997
active_clear_probe,16,12,8,12,1.0,True,743.1680127950804,8918.016153540964,6003.016153540964,30015.080767704818,2410.0,482,437,0.9066390041493776,45,0,445,12,12,12,6,6,1567.731667797522,4283.063766635974,523.7521508905238,7974.056003025737,40,0.05013359100121306
active_clear_probe,17,14,8,14,1.0,True,649.0092865788845,9086.130012104382,5772.130012104381,28860.650060521897,2740.0,548,489,0.8923357664233577,59,0,504,14,14,14,10,10,3014.870249597981,6834.8425584909055,1545.8480493243965,9086.130012104382,117,0.048654600002919324
active_clear_probe,18,11,4,11,1.0,True,880.969363368774,9690.662997056514,6186.662997056513,30933.314985282555,2905.0,581,532,0.9156626506024096,49,0,544,11,11,11,4,4,2047.0524755630058,7574.6376768950895,2019.1024995929724,9153.353416872185,153,0.04628124099690467
active_clear_probe,19,15,10,15,1.0,True,665.5694788231518,9983.542182347277,6876.542182347276,34382.71091173637,2560.0,512,449,0.876953125,63,0,472,15,15,15,7,7,3650.2552508968947,8085.335594921197,447.98378313357387,9983.542182347277,40,0.11213884400058305
active_clear_probe,20,15,6,15,1.0,True,577.3354313749896,8660.031470624845,5622.031470624846,28110.157353124214,2505.0,501,436,0.8702594810379242,65,0,458,15,15,15,5,5,2038.0903788106411,6844.507052276592,500.9904123080294,7993.4372555640975,40,0.04931330299586989
active_clear_probe,21,11,5,11,1.0,True,861.6256499810611,9477.882149791672,6184.882149791673,30924.41074895837,2730.0,546,503,0.9212454212454212,43,0,508,11,11,11,9,9,1983.255477141311,7345.880770870173,465.4593564062068,8607.64266222531,40,0.04997687899594894
active_clear_probe,22,11,2,11,1.0,True,796.6151984336149,8762.767182769763,5523.767182769764,27618.835913848812,2685.0,537,499,0.9292364990689013,38,0,499,11,11,11,2,2,2386.9882103654145,6271.305165001821,717.3933322121983,8149.021614172744,60,0.045245863002492115
active_clear_probe,23,16,9,16,1.0,True,562.3072866209687,8996.9165859355,6168.916585935497,30844.58292967749,2325.0,465,402,0.864516129032258,63,0,423,16,16,16,10,10,1812.3468043909768,6360.746719370619,1493.8333434968235,8996.9165859355,117,0.049972569999226835
active_clear_probe,24,15,10,15,1.0,True,605.116208483744,9076.74312725616,6179.74312725616,30898.715636280787,2385.0,477,416,0.8721174004192872,61,0,437,15,15,15,8,8,2108.997928459392,5257.977411360384,1204.9736937949199,9076.74312725616,97,0.04522637499758275
active_clear_probe,25,13,7,13,1.0,True,668.5639515133324,8691.331369673322,5934.331369673322,29671.656848366594,2275.0,455,408,0.8967032967032967,47,0,417,13,13,13,6,6,764.9957423790015,5871.608087986493,509.8329947836284,8691.331369673322,40,0.03961855100351386
active_clear_probe,26,15,7,15,1.0,True,592.544127373399,8888.161910600984,5798.161910600987,28990.809553004936,2545.0,509,448,0.8801571709233792,61,0,470,15,15,15,8,8,1990.6153564802464,7122.652119526171,452.24033488166896,8888.161910600984,40,0.053290971998649184
active_clear_probe,27,15,6,15,1.0,True,606.1233105404334,9091.849658106501,6282.849658106502,31414.248290532512,2310.0,462,404,0.8744588744588745,58,0,424,15,15,15,9,9,1889.987363774191,7837.157642067767,522.300445590628,9091.849658106501,40,0.04408926799806068
active_clear_probe,28,10,6,10,1.0,True,913.1011332560171,9131.01133256017,5634.0113325601715,28170.05666280086,2905.0,581,547,0.9414802065404475,34,0,542,10,10,10,9,9,1576.208349350973,7596.96213719509,480.6410238406226,8979.94016314706,40,0.0374504649953451
