strategy,seed,channel,first_seen_time_s,directional
active_clear_probe,0,5,29.0,False
active_clear_probe,0,6,35.0,False
active_clear_probe,0,13,77.0,False
active_clear_probe,0,20,119.0,False
active_clear_probe,0,12,319.0,True
active_clear_probe,0,10,331.0,False
active_clear_probe,0,1,494.4637186641315,False
active_clear_probe,0,4,512.4637186641314,False
active_clear_probe,0,2,850.2524310942483,True
active_clear_probe,0,7,1340.2524310942483,True
active_clear_probe,0,18,1788.2524310942483,False
active_clear_probe,0,14,3057.7582191599295,True
active_clear_probe,0,8,3571.7582191599295,True
active_clear_probe,0,9,4049.7582191599295,True
active_clear_probe,0,3,6273.141073446015,True
active_clear_probe,0,16,6485.141073446015,True
active_clear_probe,1,7,41.0,False
active_clear_probe,1,13,77.0,True
active_clear_probe,1,14,83.0,False
active_clear_probe,1,19,113.0,False
active_clear_probe,1,17,289.0,True
active_clear_probe,1,8,579.0,True
active_clear_probe,1,11,1658.618159864412,False
active_clear_probe,1,16,1906.2250725881684,True
active_clear_probe,1,4,1960.2250725881684,True
active_clear_probe,1,3,4512.454908614773,True
active_clear_probe,1,9,5795.134102620514,True
active_clear_probe,2,6,35.0,False
active_clear_probe,2,13,77.0,False
active_clear_probe,2,15,89.0,True
active_clear_probe,2,17,289.0,False
active_clear_probe,2,16,295.0,False
active_clear_probe,2,4,367.0,True
active_clear_probe,2,2,379.0,False
active_clear_probe,2,20,1295.4812243659749,True
active_clear_probe,2,14,1331.4812243659749,True
active_clear_probe,2,10,1355.4812243659749,False
active_clear_probe,2,5,1971.7793863617505,False
active_clear_probe,2,3,2141.7793863617508,False
active_clear_probe,2,11,2183.7793863617508,False
active_clear_probe,2,1,3936.6719941694505,False
active_clear_probe,2,12,3966.6719941694505,True
active_clear_probe,2,19,4996.746275746135,True
active_clear_probe,3,1,5.0,False
active_clear_probe,3,2,11.0,True
active_clear_probe,3,8,47.0,False
active_clear_probe,3,16,95.0,False
active_clear_probe,3,19,113.0,False
active_clear_probe,3,18,1342.0,False
active_clear_probe,3,14,3054.0263164854555,False
active_clear_probe,3,12,4640.322472704084,False
active_clear_probe,3,11,5785.591930272749,False
active_clear_probe,3,5,5821.591930272749,False
active_clear_probe,3,10,7395.802848794106,True
active_clear_probe,4,2,11.0,False
active_clear_probe,4,4,23.0,True
active_clear_probe,4,9,53.0,False
active_clear_probe,4,17,101.0,True
active_clear_probe,4,10,331.0,True
active_clear_probe,4,5,361.0,False
active_clear_probe,4,7,1945.0,True
active_clear_probe,4,15,2725.0,False
active_clear_probe,4,1,6220.408483213551,False
active_clear_probe,4,16,6438.408483213551,False
active_clear_probe,4,13,7081.832844813026,True
active_clear_probe,5,3,17.0,False
active_clear_probe,5,8,47.0,False
active_clear_probe,5,9,53.0,False
active_clear_probe,5,12,71.0,False
active_clear_probe,5,17,101.0,True
active_clear_probe,5,13,2518.2991303946515,False
active_clear_probe,5,15,2530.2991303946515,False
active_clear_probe,5,18,2724.2991303946515,True
active_clear_probe,5,6,4772.3767622997175,True
active_clear_probe,5,1,4796.3767622997175,True
active_clear_probe,5,11,5058.281116317658,True
active_clear_probe,5,7,5070.281116317658,False
active_clear_probe,5,2,5094.281116317658,False
active_clear_probe,5,4,7091.696996571317,True
active_clear_probe,6,2,11.0,False
active_clear_probe,6,3,17.0,False
active_clear_probe,6,4,23.0,True
active_clear_probe,6,6,35.0,True
active_clear_probe,6,9,53.0,False
active_clear_probe,6,10,59.0,True
active_clear_probe,6,14,83.0,True
active_clear_probe,6,15,89.0,False
active_clear_probe,6,16,295.0,False
active_clear_probe,6,11,560.7389155774529,False
active_clear_probe,6,18,602.7389155774529,False
active_clear_probe,6,20,771.805283798371,False
active_clear_probe,6,12,819.805283798371,False
active_clear_probe,6,1,4390.482377367414,True
active_clear_probe,6,19,4722.282238946416,False
active_clear_probe,6,8,5214.073846308492,True
active_clear_probe,7,1,5.0,False
active_clear_probe,7,9,53.0,False
active_clear_probe,7,13,77.0,False
active_clear_probe,7,19,113.0,True
active_clear_probe,7,10,1631.0,True
active_clear_probe,7,6,1909.0,True
active_clear_probe,7,2,1933.0,False
active_clear_probe,7,3,4045.0262434403553,True
active_clear_probe,7,4,4215.026243440356,False
active_clear_probe,7,5,5570.4010533083065,True
active_clear_probe,7,16,6400.4010533083065,True
active_clear_probe,7,18,6824.4010533083065,True
active_clear_probe,8,19,277.0,False
active_clear_probe,8,4,367.0,False
active_clear_probe,8,2,2804.7861706319172,False
active_clear_probe,8,12,2858.7861706319172,True
active_clear_probe,8,17,3572.7861706319172,True
active_clear_probe,8,7,4909.8627949797365,False
active_clear_probe,8,13,4939.8627949797365,True
active_clear_probe,8,9,7003.515222002987,True
active_clear_probe,8,16,7033.515222002987,False
active_clear_probe,8,3,8117.838749666527,True
active_clear_probe,8,5,8306.803928800968,True
active_clear_probe,9,2,11.0,False
active_clear_probe,9,9,53.0,False
active_clear_probe,9,19,113.0,False
active_clear_probe,9,12,319.0,True
active_clear_probe,9,8,535.115779811765,False
active_clear_probe,9,20,1147.635607543593,True
active_clear_probe,9,5,1583.635607543593,True
active_clear_probe,9,6,3022.614995048194,True
active_clear_probe,9,11,3784.614995048194,True
active_clear_probe,9,1,4564.654611013875,False
active_clear_probe,9,16,4794.654611013875,True
active_clear_probe,9,14,5266.654611013875,True
active_clear_probe,9,18,6961.732110860061,True
active_clear_probe,10,2,11.0,False
active_clear_probe,10,7,41.0,False
active_clear_probe,10,10,59.0,False
active_clear_probe,10,13,77.0,False
active_clear_probe,10,14,83.0,True
active_clear_probe,10,16,95.0,True
active_clear_probe,10,19,645.0,True
active_clear_probe,10,17,821.0,True
active_clear_probe,10,1,3197.0,True
active_clear_probe,10,8,3239.0,False
active_clear_probe,10,15,3281.0,True
active_clear_probe,10,11,3789.0,False
active_clear_probe,10,5,4983.462540385558,True
active_clear_probe,10,3,5764.559668965411,True
active_clear_probe,11,3,17.0,False
active_clear_probe,11,7,41.0,True
active_clear_probe,11,8,47.0,True
active_clear_probe,11,17,101.0,False
