strategy,seed,channel,first_seen_time_s,directional
endgame_clear_probe,3000,12,71.0,True
endgame_clear_probe,3000,14,83.0,True
endgame_clear_probe,3000,20,271.0,True
endgame_clear_probe,3000,19,277.0,True
endgame_clear_probe,3000,8,343.0,True
endgame_clear_probe,3000,6,567.0,True
endgame_clear_probe,3000,16,627.0,True
endgame_clear_probe,3000,18,1960.0745938510624,True
endgame_clear_probe,3000,15,1978.0745938510624,True
endgame_clear_probe,3000,11,2002.0745938510624,True
endgame_clear_probe,3000,4,2032.0745938510624,True
endgame_clear_probe,3000,9,4863.925820031426,True
endgame_clear_probe,3000,5,5111.925820031426,True
endgame_clear_probe,3000,10,5535.925820031426,True
endgame_clear_probe,3000,3,7750.365392363503,True
endgame_clear_probe,3001,5,29.0,True
endgame_clear_probe,3001,12,71.0,True
endgame_clear_probe,3001,15,89.0,True
endgame_clear_probe,3001,19,113.0,True
endgame_clear_probe,3001,17,289.0,True
endgame_clear_probe,3001,11,325.0,True
endgame_clear_probe,3001,10,963.4106829469945,True
endgame_clear_probe,3001,6,987.4106829469945,True
endgame_clear_probe,3001,20,1423.4106829469945,True
endgame_clear_probe,3001,7,2828.1960430719196,True
endgame_clear_probe,3001,13,3058.1960430719196,True
endgame_clear_probe,3001,8,4598.414978239865,True
endgame_clear_probe,3002,13,77.0,True
endgame_clear_probe,3002,12,319.0,True
endgame_clear_probe,3002,6,355.0,True
endgame_clear_probe,3002,2,640.9564513011409,True
endgame_clear_probe,3002,19,736.9564513011409,True
endgame_clear_probe,3002,1,1002.9564513011409,True
endgame_clear_probe,3002,20,2816.956451301141,True
endgame_clear_probe,3002,3,3234.956451301141,True
endgame_clear_probe,3002,14,4020.956451301141,True
endgame_clear_probe,3002,17,5846.956451301141,True
endgame_clear_probe,3002,15,9082.427397668234,True
endgame_clear_probe,3003,4,23.0,True
endgame_clear_probe,3003,13,77.0,True
endgame_clear_probe,3003,19,113.0,True
endgame_clear_probe,3003,17,289.0,True
endgame_clear_probe,3003,15,301.0,True
endgame_clear_probe,3003,6,355.0,True
endgame_clear_probe,3003,3,549.0,True
endgame_clear_probe,3003,12,860.9165743547031,True
endgame_clear_probe,3003,8,2026.4702224461073,True
endgame_clear_probe,3003,18,3521.9986693996293,True
endgame_clear_probe,3003,20,4157.998669399629,True
endgame_clear_probe,3003,9,4417.998669399629,True
endgame_clear_probe,3003,2,4707.998669399629,True
endgame_clear_probe,3003,1,4865.998669399629,True
endgame_clear_probe,3004,3,17.0,True
