strategy,seed,channel,first_seen_time_s,directional
optimized_clear_probe,0,5,29.0,False
optimized_clear_probe,0,6,35.0,False
optimized_clear_probe,0,13,77.0,False
optimized_clear_probe,0,20,119.0,False
optimized_clear_probe,0,12,319.0,True
optimized_clear_probe,0,10,331.0,False
optimized_clear_probe,0,1,494.4637186641315,False
optimized_clear_probe,0,4,512.4637186641314,False
optimized_clear_probe,0,2,850.2524310942483,True
optimized_clear_probe,0,7,1340.2524310942483,True
optimized_clear_probe,0,18,1612.2524310942483,False
optimized_clear_probe,0,14,2587.7553589345853,True
optimized_clear_probe,0,9,3597.4627256824797,True
optimized_clear_probe,0,8,3815.4627256824797,True
optimized_clear_probe,0,3,6094.965644652447,True
optimized_clear_probe,0,16,6707.965644652447,True
optimized_clear_probe,1,7,41.0,False
optimized_clear_probe,1,13,77.0,True
optimized_clear_probe,1,14,83.0,False
optimized_clear_probe,1,19,113.0,False
optimized_clear_probe,1,17,289.0,True
optimized_clear_probe,1,8,579.0,True
optimized_clear_probe,1,9,1625.0,True
optimized_clear_probe,1,3,3870.5117176376707,True
optimized_clear_probe,1,4,4047.556915512125,True
optimized_clear_probe,1,11,4071.556915512125,False
optimized_clear_probe,1,16,4095.556915512125,True
optimized_clear_probe,2,6,35.0,False
optimized_clear_probe,2,13,77.0,False
optimized_clear_probe,2,15,89.0,True
optimized_clear_probe,2,17,289.0,False
optimized_clear_probe,2,16,295.0,False
optimized_clear_probe,2,4,367.0,True
optimized_clear_probe,2,2,379.0,False
optimized_clear_probe,2,1,1379.3544887375306,False
optimized_clear_probe,2,19,1965.3544887375306,True
optimized_clear_probe,2,12,2675.2396551124134,True
optimized_clear_probe,2,3,4975.239655112413,False
optimized_clear_probe,2,11,5011.239655112413,False
optimized_clear_probe,2,10,5253.239655112413,False
optimized_clear_probe,2,5,5277.239655112413,False
optimized_clear_probe,2,20,6364.468149261381,True
optimized_clear_probe,2,14,6388.468149261381,True
optimized_clear_probe,3,1,5.0,False
optimized_clear_probe,3,2,11.0,True
optimized_clear_probe,3,8,47.0,False
optimized_clear_probe,3,16,95.0,False
optimized_clear_probe,3,19,113.0,False
optimized_clear_probe,3,10,1390.0,True
optimized_clear_probe,3,5,1608.0,False
optimized_clear_probe,3,11,1644.0,False
optimized_clear_probe,3,12,2974.3871987575585,False
optimized_clear_probe,3,14,4438.100417276848,False
optimized_clear_probe,3,18,4862.100417276848,False
optimized_clear_probe,4,2,11.0,False
optimized_clear_probe,4,4,23.0,True
optimized_clear_probe,4,9,53.0,False
optimized_clear_probe,4,17,101.0,True
optimized_clear_probe,4,10,331.0,True
optimized_clear_probe,4,5,361.0,False
optimized_clear_probe,4,13,1377.0,True
optimized_clear_probe,4,1,1601.0,False
optimized_clear_probe,4,16,1685.0,False
optimized_clear_probe,4,7,3920.558849001908,True
optimized_clear_probe,4,15,4628.558849001908,False
optimized_clear_probe,5,3,17.0,False
optimized_clear_probe,5,8,47.0,False
optimized_clear_probe,5,9,53.0,False
optimized_clear_probe,5,12,71.0,False
optimized_clear_probe,5,17,101.0,True
optimized_clear_probe,5,6,2163.0,True
optimized_clear_probe,5,7,2169.0,False
optimized_clear_probe,5,1,2665.0,True
optimized_clear_probe,5,2,3039.580055158349,False
optimized_clear_probe,5,11,3093.580055158349,True
optimized_clear_probe,5,13,3535.934518299854,False
optimized_clear_probe,5,15,3774.9973801347055,False
optimized_clear_probe,5,18,4301.756508464685,True
optimized_clear_probe,5,4,8109.439495140806,True
optimized_clear_probe,6,2,11.0,False
optimized_clear_probe,6,3,17.0,False
optimized_clear_probe,6,4,23.0,True
optimized_clear_probe,6,6,35.0,True
optimized_clear_probe,6,9,53.0,False
optimized_clear_probe,6,10,59.0,True
optimized_clear_probe,6,14,83.0,True
optimized_clear_probe,6,15,89.0,False
optimized_clear_probe,6,16,295.0,False
optimized_clear_probe,6,11,560.7389155774529,False
optimized_clear_probe,6,18,602.7389155774529,False
optimized_clear_probe,6,20,771.805283798371,False
optimized_clear_probe,6,12,819.805283798371,False
optimized_clear_probe,6,19,5732.449725991936,False
optimized_clear_probe,6,8,6942.575807645287,True
optimized_clear_probe,6,1,7389.707458937538,True
optimized_clear_probe,7,1,5.0,False
optimized_clear_probe,7,9,53.0,False
optimized_clear_probe,7,13,77.0,False
optimized_clear_probe,7,19,113.0,True
optimized_clear_probe,7,18,1685.0,True
optimized_clear_probe,7,16,2123.5249153980253,True
optimized_clear_probe,7,5,3506.241202875997,True
optimized_clear_probe,7,4,3977.867946754684,False
optimized_clear_probe,7,2,4547.347402372211,False
optimized_clear_probe,7,6,4713.288260832629,True
optimized_clear_probe,7,10,5971.11279680405,True
optimized_clear_probe,7,3,6963.821459618996,True
optimized_clear_probe,8,19,277.0,False
optimized_clear_probe,8,4,367.0,False
optimized_clear_probe,8,16,2190.004886370039,False
optimized_clear_probe,8,9,2656.004886370039,True
optimized_clear_probe,8,3,2912.063577750446,True
optimized_clear_probe,8,7,3380.2234485785975,False
optimized_clear_probe,8,5,3580.2234485785975,True
optimized_clear_probe,8,13,4264.5348375922085,True
optimized_clear_probe,8,17,5185.604599487415,True
optimized_clear_probe,8,2,5409.604599487415,False
optimized_clear_probe,8,12,6049.505454260513,True
optimized_clear_probe,9,2,11.0,False
optimized_clear_probe,9,9,53.0,False
optimized_clear_probe,9,19,113.0,False
optimized_clear_probe,9,12,319.0,True
optimized_clear_probe,9,8,535.115779811765,False
optimized_clear_probe,9,11,810.7332076722357,True
optimized_clear_probe,9,6,840.7332076722357,True
optimized_clear_probe,9,20,2497.1516698412875,True
optimized_clear_probe,9,5,2927.1516698412875,True
optimized_clear_probe,9,14,2975.1516698412875,True
optimized_clear_probe,9,16,5129.119398577672,True
optimized_clear_probe,9,18,5413.119398577672,True
optimized_clear_probe,9,1,6187.070573509233,False
optimized_clear_probe,10,2,11.0,False
optimized_clear_probe,10,7,41.0,False
optimized_clear_probe,10,10,59.0,False
optimized_clear_probe,10,13,77.0,False
optimized_clear_probe,10,14,83.0,True
optimized_clear_probe,10,16,95.0,True
optimized_clear_probe,10,19,645.0,True
optimized_clear_probe,10,17,1165.0,True
optimized_clear_probe,10,5,2157.0,True
optimized_clear_probe,10,1,4836.587696316438,True
optimized_clear_probe,10,8,4872.587696316438,False
optimized_clear_probe,10,15,4908.587696316438,True
optimized_clear_probe,10,11,5410.951976573856,False
optimized_clear_probe,10,3,6886.963500207202,True
optimized_clear_probe,11,3,17.0,False
optimized_clear_probe,11,7,41.0,True
optimized_clear_probe,11,8,47.0,True
optimized_clear_probe,11,17,101.0,False
optimized_clear_probe,11,18,107.0,False
optimized_clear_probe,11,19,277.0,False
optimized_clear_probe,11,11,325.0,True
optimized_clear_probe,11,15,621.0,True
optimized_clear_probe,11,13,2214.716794788301,True
optimized_clear_probe,11,10,3191.3789765227134,True
optimized_clear_probe,11,9,3440.8660752482588,False
optimized_clear_probe,11,20,3628.8660752482588,True
optimized_clear_probe,11,2,4128.786458886705,True
optimized_clear_probe,12,5,29.0,False
optimized_clear_probe,12,6,35.0,False
optimized_clear_probe,12,8,47.0,False
optimized_clear_probe,12,15,89.0,True
optimized_clear_probe,12,17,101.0,True
optimized_clear_probe,12,13,313.0,True
optimized_clear_probe,12,19,1262.1963924846996,True
optimized_clear_probe,12,1,1854.418508843152,True
optimized_clear_probe,12,12,2328.0238102348876,True
optimized_clear_probe,12,11,4176.955713025511,True
optimized_clear_probe,12,4,4427.087179962947,True
optimized_clear_probe,12,9,4445.087179962947,True
optimized_clear_probe,12,16,6349.783116198257,True
optimized_clear_probe,13,5,29.0,False
optimized_clear_probe,13,8,47.0,True
optimized_clear_probe,13,12,71.0,False
optimized_clear_probe,13,18,283.0,False
optimized_clear_probe,13,3,373.0,False
optimized_clear_probe,13,2,379.0,False
optimized_clear_probe,13,6,1575.1714206973938,True
optimized_clear_probe,13,9,2436.495258090578,True
optimized_clear_probe,13,11,3920.3674044571076,False
optimized_clear_probe,13,13,4202.025612243499,True
optimized_clear_probe,13,4,6007.986817944521,True
optimized_clear_probe,13,10,6595.986817944521,True
optimized_clear_probe,14,9,53.0,True
optimized_clear_probe,14,18,107.0,False
