strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
replacement_aware_clear_probe,0,16,8,16,1.0,True,544.2987062771734,8708.779300434775,5834.779300434774,29173.896502173877,2355.0,471,413,0.8768577494692145,58,0,439,16,16,16,5,5,1830.271308197564,6761.987695125235,489.4637186641315,8708.779300434775,40,0.507906434002507
replacement_aware_clear_probe,1,11,7,11,1.0,True,870.3257875707742,9573.583663278516,6333.583663278516,31667.91831639258,2685.0,537,498,0.9273743016759777,39,0,500,11,11,11,7,7,942.9567199766666,3892.584837695428,808.4081198948035,9573.583663278516,60,0.4886008009998477
replacement_aware_clear_probe,2,16,6,16,1.0,True,551.6957529376095,8827.132047001753,5822.132047001753,29110.66023500876,2465.0,493,437,0.8864097363083164,56,0,460,16,16,16,6,6,2591.3067209084993,6625.000140749431,988.7558102236521,8827.132047001753,80,0.5708029300003545
replacement_aware_clear_probe,3,11,2,11,1.0,True,782.1711424210284,8603.882566631313,5637.882566631313,28189.41283315657,2455.0,491,443,0.9022403258655805,48,0,456,11,11,11,1,1,1589.234606367874,5384.138746598095,2558.2181824620943,8201.145871622428,193,0.561930513002153
replacement_aware_clear_probe,4,11,5,11,1.0,True,813.7983413719531,8951.781755091484,5746.781755091484,28733.908775457418,2655.0,531,488,0.9190207156308852,43,0,495,11,11,11,6,6,1579.5771193529167,7400.528948437032,2025.4436761776242,8365.468794807177,158,0.5855538930045441
replacement_aware_clear_probe,5,14,6,14,1.0,True,628.7982672971278,8803.17574215979,5625.175742159788,28125.878710798945,2620.0,524,472,0.9007633587786259,52,0,488,14,14,14,5,5,2481.274906775361,7860.525051386256,2815.2473968336813,8803.17574215979,220,0.5121978549941559
replacement_aware_clear_probe,6,16,6,16,1.0,True,554.2656916010305,8868.251065616489,6064.2510656164895,30321.255328082447,2300.0,460,393,0.8543478260869565,67,0,424,16,16,16,7,7,1441.9695866938646,7289.372346409164,501.7389155774529,8868.251065616489,40,0.5435895350019564
replacement_aware_clear_probe,7,12,7,12,1.0,True,825.487008964984,9905.84410757981,6438.844107579808,32194.220537899037,2870.0,574,530,0.9233449477351916,44,0,537,12,12,12,8,8,2715.796324920514,6687.402694409722,4020.5948089821195,9905.84410757981,298,0.5198761770006968
replacement_aware_clear_probe,8,11,6,11,1.0,True,811.3651594342257,8925.016753776483,5678.016753776483,28390.083768882418,2690.0,538,505,0.9386617100371747,33,0,502,11,11,11,5,5,3303.4336125886607,6019.505454260513,1525.2071264748163,8925.016753776483,116,0.5234288409992587
replacement_aware_clear_probe,9,13,8,13,1.0,True,719.4235818879116,9352.506564542851,6230.506564542852,31152.532822714264,2575.0,515,469,0.9106796116504854,46,0,482,13,13,13,8,8,2124.8952623375812,6499.429300816649,488.11577981176504,9352.506564542851,40,0.6159683050063904
replacement_aware_clear_probe,10,14,8,14,1.0,True,647.6311236489555,9066.835731085377,5840.835731085376,29204.17865542688,2660.0,532,476,0.8947368421052632,56,0,496,14,14,14,11,11,2071.7350202873176,5807.941029374635,2620.3602792864604,8480.227609077894,199,0.5341099109937204
replacement_aware_clear_probe,11,13,8,13,1.0,True,696.8796400858608,9059.43532111619,6054.43532111619,30272.17660558095,2480.0,496,454,0.9153225806451613,42,0,460,13,13,13,8,8,1681.8791086984763,7667.4241894380375,731.7348583470529,9059.43532111619,59,0.6309627080045175
replacement_aware_clear_probe,12,13,10,13,1.0,True,743.6429562984238,9667.35843187951,6461.358431879508,32306.79215939753,2650.0,530,484,0.9132075471698113,46,0,491,13,13,13,10,10,1860.5270626353379,5824.869775250517,490.2435141061389,9667.35843187951,40,0.5115908970037708
replacement_aware_clear_probe,13,12,6,12,1.0,True,749.7343107832262,8996.811729398714,6045.811729398713,30229.058646993562,2440.0,488,446,0.9139344262295082,42,0,451,12,12,12,6,6,1986.442478196808,5900.398909808769,774.8433221086632,8996.811729398714,60,0.6134188930009259
replacement_aware_clear_probe,14,10,6,10,1.0,True,882.9969815673161,8829.969815673161,5814.96981567316,29074.849078365805,2500.0,500,463,0.926,37,0,465,10,10,10,5,5,1587.7105455930916,3892.5030671795575,402.94169435937135,7575.727909775273,40,0.5937160300018149
