strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,0,16,8,16,1.0,True,468.2729974494782,7492.367959191652,5147.367959191652,25736.83979595825,1910.0,382,324,0.8481675392670157,58,0,355,16,16,16,4,4,1430.6295973738486,5104.744421991404,1548.3744347136956,7492.367959191652,120,0.04397699699620716
clear_probe,1,11,7,11,1.0,True,891.5258315210954,9806.784146732049,6476.784146732045,32383.920733660212,2760.0,552,511,0.9257246376811594,41,0,515,11,11,11,8,8,1359.9662907162017,2981.3920931766274,2309.5987184902756,9806.784146732049,173,0.04178535300161457
clear_probe,2,16,6,16,1.0,True,517.0801704174448,8273.282726679117,6072.282726679114,30361.41363339556,1795.0,359,304,0.8467966573816156,55,0,326,16,16,16,4,4,1746.0196762175508,6716.210804756365,975.5914715390504,8273.282726679117,80,0.0429107500021928
clear_probe,3,11,2,11,1.0,True,806.8730527119781,8875.603579831759,5826.603579831755,29133.01789915878,2525.0,505,454,0.899009900990099,51,0,469,11,11,11,5,5,867.8677072598416,3533.8590264444965,759.2969460223691,8638.757974773629,60,0.0440814670000691
clear_probe,4,11,5,11,1.0,True,822.663540257192,9049.298942829113,5911.29894282911,29556.49471414555,2600.0,520,482,0.926923076923077,38,0,483,11,11,11,2,2,2745.518637643411,5422.121002815505,3002.294169393368,7409.316240602344,219,0.037756316996819805
clear_probe,5,14,6,14,1.0,True,718.9719855721133,10065.607798009587,6891.607798009582,34458.03899004789,2620.0,524,470,0.8969465648854962,54,0,484,14,14,14,9,9,820.363352527162,4878.241352738724,718.516147002508,10065.607798009587,59,0.0782416980000562
clear_probe,6,16,6,16,1.0,True,570.1133915408914,9121.814264654262,6298.814264654261,31494.07132327131,2315.0,463,400,0.8639308855291576,63,0,428,16,16,16,11,11,1621.3457187943336,6415.307576116174,678.2425075873679,8665.78858690923,60,0.0460295969969593
clear_probe,7,12,7,12,1.0,True,825.8857431508433,9910.62891781012,6583.628917810114,32918.14458905057,2755.0,551,507,0.9201451905626135,44,0,512,12,12,12,8,8,2134.789708490192,8226.111259046695,782.2991480690771,9910.62891781012,60,0.07852208799886284
clear_probe,8,11,6,11,1.0,True,894.473720288142,9839.210923169561,6733.210923169555,33666.054615847774,2575.0,515,475,0.9223300970873787,40,0,476,11,11,11,4,4,1790.8622394431984,5266.308419988804,1355.2316745461455,9839.210923169561,98,0.03687593100039521
clear_probe,9,13,8,13,1.0,True,677.0920281903147,8802.196366474092,6210.19636647409,31050.98183237043,2135.0,427,385,0.9016393442622951,42,0,392,13,13,13,8,8,1589.1423237992055,3611.825647364769,961.4978008358519,8397.88649266353,80,0.03922368199710036
