strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
replacement_aware_clear_probe,0,16,8,16,1.0,True,544.721575969973,8715.545215519567,5662.545215519568,28312.72607759784,2505.0,501,438,0.874251497005988,63,0,468,16,16,16,4,4,1778.6468114632419,6505.62288312972,488.3856408101482,8715.545215519567,40,0.48513679299503565
replacement_aware_clear_probe,1,11,7,11,1.0,True,914.1027008359931,10055.129709195924,6695.129709195924,33475.64854597963,2785.0,557,511,0.9174147217235189,46,0,520,11,11,11,5,5,2298.453792867213,7524.069431955927,805.7568319866361,10055.129709195924,60,0.6189749289987958
replacement_aware_clear_probe,2,16,6,16,1.0,True,413.4388588570791,6615.021741713265,4773.021741713266,23865.10870856634,1490.0,298,236,0.7919463087248322,62,0,272,16,16,16,3,3,1504.6771898105453,5402.037668967835,1024.7100381977966,6615.021741713265,80,0.692328887002077
replacement_aware_clear_probe,3,11,2,11,1.0,True,822.4585051982529,9047.043557180781,5829.04355718078,29145.217785903915,2665.0,533,483,0.9061913696060038,50,0,498,11,11,11,5,5,1989.283501862597,4951.449335829004,2017.3979051076253,8994.043557180781,156,0.5691604189996724
replacement_aware_clear_probe,4,11,5,11,1.0,True,809.9581068698386,8909.539175568225,5873.539175568223,29367.69587784112,2515.0,503,457,0.9085487077534792,46,0,466,11,11,11,7,7,1155.861609173125,4068.635341624019,1324.396937185794,7861.952231522369,99,0.5726913979960955
replacement_aware_clear_probe,5,14,6,14,1.0,True,606.6871157361675,8493.619620306345,5405.619620306343,27028.098101531727,2545.0,509,461,0.9056974459724951,48,0,473,14,14,14,6,6,2336.511832500511,7653.396248328779,2541.893104065531,8493.619620306345,200,0.5379364730033558
replacement_aware_clear_probe,6,16,6,16,1.0,True,527.6383980803015,8442.214369284824,6007.214369284823,30036.071846424125,1995.0,399,336,0.8421052631578947,63,0,360,16,16,16,9,9,857.5807460147469,4555.0282323417405,500.6408669230328,8442.214369284824,40,0.6121983409975655
replacement_aware_clear_probe,7,12,7,12,1.0,True,758.690979763624,9104.291757163488,5757.291757163489,28786.458785817453,2770.0,554,507,0.9151624548736462,47,0,517,12,12,12,5,5,3046.7957082915837,7203.903110676462,2812.257638478274,9104.291757163488,212,0.45834057600586675
replacement_aware_clear_probe,8,11,6,11,1.0,True,850.1089697623461,9351.198667385806,5879.198667385803,29395.99333692903,2880.0,576,542,0.9409722222222222,34,0,537,11,11,11,3,3,4478.597475708974,6804.582736353559,721.7363987362885,9351.198667385806,60,0.5512200920056785
replacement_aware_clear_probe,9,13,8,13,1.0,True,743.912518114224,9670.862735484912,6354.8627354849095,31774.313677424558,2740.0,548,503,0.9178832116788321,45,0,511,13,13,13,5,5,2342.9885002480323,7462.313498421937,486.64098059199125,9670.862735484912,40,0.5350477259999025
replacement_aware_clear_probe,10,14,8,14,1.0,True,653.7919343007612,9153.087080210656,6011.087080210655,30055.435401053284,2590.0,518,466,0.8996138996138996,52,0,482,14,14,14,7,7,2068.3404493581606,6232.6766211067325,2349.276343869187,8568.493104480993,179,0.5546125490000122
replacement_aware_clear_probe,11,13,8,13,1.0,True,698.9181939447392,9085.93652128161,6094.936521281608,30474.68260640805,2470.0,494,454,0.9190283400809717,40,0,456,13,13,13,6,6,1602.083692769051,6993.5458915941135,729.2896959634774,9085.93652128161,59,0.6093514960011817
replacement_aware_clear_probe,12,13,10,13,1.0,True,692.5779921447839,9003.51389788219,6091.513897882188,30457.56948941095,2405.0,481,439,0.9126819126819127,42,0,442,13,13,13,8,8,2408.651585267198,7923.870335515584,489.0314665780419,9003.51389788219,40,0.584499151998898
replacement_aware_clear_probe,13,12,6,12,1.0,True,763.055713662931,9156.668563955172,6043.668563955172,30218.34281977587,2575.0,515,475,0.9223300970873787,40,0,478,12,12,12,5,5,1903.469853926348,5400.3248468066695,772.066704293392,9156.668563955172,60,0.5457545040044351
replacement_aware_clear_probe,14,10,6,10,1.0,True,879.6575010514327,8796.575010514327,5763.575010514325,28817.875052571635,2515.0,503,466,0.9264413518886679,37,0,468,10,10,10,4,4,1816.1426940679034,4690.89596654178,402.0951437485977,5364.346492621989,40,0.6148515029999544
