strategy,seed,channel,first_seen_time_s,directional
replacement_aware_clear_probe,3000,4,23.0,False
replacement_aware_clear_probe,3000,5,29.0,False
replacement_aware_clear_probe,3000,6,35.0,False
replacement_aware_clear_probe,3000,10,59.0,False
replacement_aware_clear_probe,3000,11,65.0,False
replacement_aware_clear_probe,3000,18,107.0,False
replacement_aware_clear_probe,3000,19,113.0,False
replacement_aware_clear_probe,3000,20,119.0,False
replacement_aware_clear_probe,3000,15,300.2,False
replacement_aware_clear_probe,3000,12,599.1861407954332,False
replacement_aware_clear_probe,3000,16,623.1861407954332,False
replacement_aware_clear_probe,3000,8,3208.368549698214,False
replacement_aware_clear_probe,3000,14,3871.9685496982133,False
replacement_aware_clear_probe,3000,9,4512.951884240696,False
replacement_aware_clear_probe,3000,3,5269.120087067714,False
replacement_aware_clear_probe,3001,7,41.0,False
replacement_aware_clear_probe,3001,10,59.0,False
replacement_aware_clear_probe,3001,11,65.0,False
replacement_aware_clear_probe,3001,15,89.0,False
replacement_aware_clear_probe,3001,20,119.0,False
replacement_aware_clear_probe,3001,17,288.2,False
replacement_aware_clear_probe,3001,5,360.2,False
replacement_aware_clear_probe,3001,12,638.0360326099102,False
replacement_aware_clear_probe,3001,8,3778.507807374572,False
replacement_aware_clear_probe,3001,6,4247.446580854633,False
replacement_aware_clear_probe,3001,19,4652.300171727073,False
replacement_aware_clear_probe,3001,13,5942.263106000032,False
replacement_aware_clear_probe,3002,2,11.0,False
replacement_aware_clear_probe,3002,3,17.0,False
replacement_aware_clear_probe,3002,12,71.0,False
replacement_aware_clear_probe,3002,13,77.0,False
replacement_aware_clear_probe,3002,15,89.0,False
replacement_aware_clear_probe,3002,17,101.0,False
replacement_aware_clear_probe,3002,19,113.0,False
replacement_aware_clear_probe,3002,20,739.9644865114036,False
replacement_aware_clear_probe,3002,14,1410.8284865579833,False
replacement_aware_clear_probe,3002,1,3867.6743248223147,False
replacement_aware_clear_probe,3002,6,4774.036169927768,False
replacement_aware_clear_probe,3003,4,23.0,False
replacement_aware_clear_probe,3003,8,47.0,False
replacement_aware_clear_probe,3003,9,53.0,False
replacement_aware_clear_probe,3003,13,77.0,False
replacement_aware_clear_probe,3003,17,101.0,False
replacement_aware_clear_probe,3003,18,107.0,False
replacement_aware_clear_probe,3003,20,119.0,False
replacement_aware_clear_probe,3003,15,300.2,False
replacement_aware_clear_probe,3003,6,354.2,False
replacement_aware_clear_probe,3003,19,1769.1269572823703,False
replacement_aware_clear_probe,3003,12,1805.1269572823703,False
replacement_aware_clear_probe,3003,1,2272.372887325699,False
replacement_aware_clear_probe,3003,3,4446.579338768761,False
replacement_aware_clear_probe,3003,2,4603.779338768761,False
replacement_aware_clear_probe,3004,10,59.0,False
replacement_aware_clear_probe,3004,11,65.0,False
replacement_aware_clear_probe,3004,17,101.0,False
replacement_aware_clear_probe,3004,18,107.0,False
replacement_aware_clear_probe,3004,19,113.0,False
replacement_aware_clear_probe,3004,20,119.0,False
replacement_aware_clear_probe,3004,16,294.2,False
replacement_aware_clear_probe,3004,15,300.2,False
replacement_aware_clear_probe,3004,6,354.2,False
replacement_aware_clear_probe,3004,1,894.1451761497616,False
replacement_aware_clear_probe,3004,7,1081.3451761497615,False
replacement_aware_clear_probe,3004,3,3330.5928048470705,False
replacement_aware_clear_probe,3004,8,3354.5928048470705,False
replacement_aware_clear_probe,3005,1,5.0,False
replacement_aware_clear_probe,3005,2,11.0,False
replacement_aware_clear_probe,3005,6,35.0,False
replacement_aware_clear_probe,3005,13,77.0,False
replacement_aware_clear_probe,3005,14,83.0,False
replacement_aware_clear_probe,3005,17,101.0,False
replacement_aware_clear_probe,3005,19,113.0,False
replacement_aware_clear_probe,3005,20,119.0,False
replacement_aware_clear_probe,3005,7,348.2,False
replacement_aware_clear_probe,3005,16,3675.3990130183893,False
replacement_aware_clear_probe,3005,4,3741.3990130183893,False
replacement_aware_clear_probe,3005,11,3912.4909444087407,False
replacement_aware_clear_probe,3005,12,3918.4909444087407,False
replacement_aware_clear_probe,3005,10,4524.472169808483,False
replacement_aware_clear_probe,3005,9,4530.472169808483,False
replacement_aware_clear_probe,3006,1,5.0,False
replacement_aware_clear_probe,3006,4,23.0,False
replacement_aware_clear_probe,3006,6,35.0,False
replacement_aware_clear_probe,3006,9,53.0,False
replacement_aware_clear_probe,3006,14,83.0,False
replacement_aware_clear_probe,3006,12,318.2,False
replacement_aware_clear_probe,3006,8,342.2,False
replacement_aware_clear_probe,3006,3,547.4,False
replacement_aware_clear_probe,3006,10,1107.8,False
replacement_aware_clear_probe,3006,11,1361.0,False
replacement_aware_clear_probe,3006,19,1846.605920526736,False
replacement_aware_clear_probe,3006,18,3205.1410043031956,False
replacement_aware_clear_probe,3006,20,3217.1410043031956,False
replacement_aware_clear_probe,3006,17,4736.703553148309,False
replacement_aware_clear_probe,3006,13,4754.703553148309,False
replacement_aware_clear_probe,3007,4,23.0,False
replacement_aware_clear_probe,3007,6,35.0,False
replacement_aware_clear_probe,3007,7,41.0,False
replacement_aware_clear_probe,3007,8,47.0,False
replacement_aware_clear_probe,3007,12,71.0,False
replacement_aware_clear_probe,3007,13,77.0,False
replacement_aware_clear_probe,3007,19,276.2,False
replacement_aware_clear_probe,3007,17,288.2,False
replacement_aware_clear_probe,3007,14,306.2,False
replacement_aware_clear_probe,3007,11,2245.0482268977676,False
replacement_aware_clear_probe,3007,2,2462.2482268977674,False
replacement_aware_clear_probe,3007,5,3004.7563880195275,False
replacement_aware_clear_probe,3007,18,3064.7563880195275,False
replacement_aware_clear_probe,3007,16,3207.5559549973814,False
replacement_aware_clear_probe,3007,3,3267.5559549973814,False
replacement_aware_clear_probe,3008,1,5.0,False
replacement_aware_clear_probe,3008,2,11.0,False
replacement_aware_clear_probe,3008,12,71.0,False
replacement_aware_clear_probe,3008,15,89.0,False
replacement_aware_clear_probe,3008,18,282.2,False
replacement_aware_clear_probe,3008,16,294.2,False
replacement_aware_clear_probe,3008,14,306.2,False
replacement_aware_clear_probe,3008,6,354.2,False
replacement_aware_clear_probe,3008,3,561.9601362417214,False
replacement_aware_clear_probe,3008,10,3427.2116893672614,False
replacement_aware_clear_probe,3008,13,4547.223568543994,False
replacement_aware_clear_probe,3008,11,4752.4235685439935,False
replacement_aware_clear_probe,3009,1,5.0,False
replacement_aware_clear_probe,3009,3,17.0,False
replacement_aware_clear_probe,3009,4,23.0,False
replacement_aware_clear_probe,3009,5,29.0,False
replacement_aware_clear_probe,3009,8,47.0,False
replacement_aware_clear_probe,3009,12,71.0,False
replacement_aware_clear_probe,3009,13,77.0,False
replacement_aware_clear_probe,3009,17,101.0,False
replacement_aware_clear_probe,3009,10,330.2,False
replacement_aware_clear_probe,3009,11,2366.8299301249376,False
replacement_aware_clear_probe,3009,14,2384.8299301249376,False
replacement_aware_clear_probe,3009,19,2408.8299301249376,False
replacement_aware_clear_probe,3009,20,3391.810008092357,False
replacement_aware_clear_probe,3010,2,11.0,False
replacement_aware_clear_probe,3010,4,23.0,False
replacement_aware_clear_probe,3010,7,41.0,False
replacement_aware_clear_probe,3010,11,65.0,False
replacement_aware_clear_probe,3010,12,71.0,False
replacement_aware_clear_probe,3010,14,83.0,False
replacement_aware_clear_probe,3010,16,95.0,False
replacement_aware_clear_probe,3010,17,101.0,False
replacement_aware_clear_probe,3010,18,107.0,False
replacement_aware_clear_probe,3010,1,384.2,False
replacement_aware_clear_probe,3010,3,1463.7469786465638,False
replacement_aware_clear_probe,3010,20,1547.7469786465638,False
replacement_aware_clear_probe,3010,19,2024.1469786465639,False
replacement_aware_clear_probe,3010,13,2218.346978646564,False
replacement_aware_clear_probe,3010,15,5678.186308200852,False
replacement_aware_clear_probe,3011,6,35.0,False
replacement_aware_clear_probe,3011,13,77.0,False
replacement_aware_clear_probe,3011,17,101.0,False
