strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_aware_clear_probe,0,16,8,16,1.0,True,452.28260142983595,7236.521622877375,5145.521622877377,25727.608114386883,1700.0,340,281,0.8264705882352941,59,0,311,16,16,16,5,5,1388.7398839487246,5498.400175809838,696.6054618438109,7236.521622877375,60,1.3181779860024108
geometry_aware_clear_probe,1,11,7,11,1.0,True,846.5785183750879,9312.363702125967,6085.363702125968,30426.818510629844,2675.0,535,495,0.9252336448598131,40,0,497,11,11,11,9,9,1075.2908541055933,6245.541789627846,793.6463630038395,9312.363702125967,60,1.1259665380057413
geometry_aware_clear_probe,2,16,6,16,1.0,True,522.3762126964841,8358.019403143746,6114.019403143745,30570.09701571873,1830.0,366,307,0.8387978142076503,59,0,334,16,16,16,6,6,1583.5093900022896,5959.120695836296,729.187830246039,8358.019403143746,60,1.1319758690005983
geometry_aware_clear_probe,3,11,2,11,1.0,True,776.9313022305826,8546.244324536408,5616.244324536408,28081.221622682046,2425.0,485,445,0.9175257731958762,40,0,450,11,11,11,2,2,1088.418837617556,6254.093670245174,762.7547850347703,7941.184511325571,60,0.7603587100020377
geometry_aware_clear_probe,4,11,5,11,1.0,True,761.2300999683109,8373.53109965142,5378.531099651423,26892.655498257114,2480.0,496,456,0.9193548387096774,40,0,460,11,11,11,7,7,1237.5300574833295,4339.0110266308575,494.69997281315136,7132.543251065815,40,0.9749934789942927
geometry_aware_clear_probe,5,14,6,14,1.0,True,585.890822784116,8202.471518977625,5732.471518977627,28662.357594888133,2030.0,406,354,0.8719211822660099,52,0,370,14,14,14,7,7,738.3251751287384,1571.8375995993833,968.8203342918926,8030.304185717572,78,1.3859835070034023
geometry_aware_clear_probe,6,16,6,16,1.0,True,423.34405401554477,6773.504864248716,4827.504864248717,24137.52432124359,1575.0,315,254,0.8063492063492064,61,0,291,16,16,16,6,6,1133.1364276591112,5014.644265771043,501.7389155774529,6773.504864248716,40,1.376730742995278
geometry_aware_clear_probe,7,12,7,12,1.0,True,773.4359966941555,9281.231960329866,6161.231960329864,30806.159801649323,2580.0,516,477,0.9244186046511628,39,0,480,12,12,12,2,2,2564.23121072084,7436.909202870357,399.3142986542449,9281.231960329866,40,1.0546364979963982
geometry_aware_clear_probe,8,11,6,11,1.0,True,814.7754684436047,8962.530152879652,5740.530152879652,28702.650764398244,2670.0,534,502,0.9400749063670412,32,0,497,11,11,11,3,3,3443.496895220413,8700.861243183479,1525.2071264748163,8962.530152879652,116,0.7639240329954191
geometry_aware_clear_probe,9,13,8,13,1.0,True,752.7633048874673,9785.922963537074,6866.922963537075,34334.61481768537,2410.0,482,436,0.9045643153526971,46,0,444,13,13,13,9,9,1202.4706950696643,3156.5414229541093,697.2643754238877,9785.922963537074,60,1.4918176110004424
geometry_aware_clear_probe,10,14,8,14,1.0,True,561.837324098497,7865.722537378958,5611.722537378958,28058.612686894798,1850.0,370,318,0.8594594594594595,52,0,334,14,14,14,7,7,766.1454887906332,2890.5896911940376,397.11625467411847,7302.192169849775,40,1.4093859860004159
geometry_aware_clear_probe,11,13,8,13,1.0,True,665.3207337400073,8649.169538620095,6027.169538620095,30135.847693100473,2160.0,432,392,0.9074074074074074,40,0,397,13,13,13,9,9,1208.8650838942212,4229.2625917856485,747.275040605746,7704.994265081706,60,1.0365299879995291
geometry_aware_clear_probe,12,13,10,13,1.0,True,714.5057768175209,9288.57509862777,6494.575098627769,32472.875493138847,2305.0,461,420,0.911062906724512,41,0,424,13,13,13,11,11,2178.424710950073,7001.658409686915,670.7491097369344,9288.57509862777,60,0.8714612160038087
geometry_aware_clear_probe,13,12,6,12,1.0,True,721.0465558812374,8652.558670574848,5821.558670574847,29107.793352874236,2340.0,468,429,0.9166666666666666,39,0,431,12,12,12,3,3,1972.3238795849404,6090.596567570442,736.5044782960165,8652.558670574848,60,0.8774427239986835
geometry_aware_clear_probe,14,10,6,10,1.0,True,839.456996212892,8394.56996212892,5619.569962128921,28097.84981064461,2300.0,460,424,0.9217391304347826,36,0,425,10,10,10,4,4,613.2016605968122,2755.329570206396,681.1511486321343,8394.56996212892,60,0.9457836900037364
geometry_aware_clear_probe,15,11,5,11,1.0,True,880.7685452737052,9688.453998010757,6575.453998010756,32877.26999005378,2580.0,516,474,0.9186046511627907,42,0,478,11,11,11,7,7,988.3799778612673,4491.5242564372065,770.1561770534669,9688.453998010757,60,0.9339382409962127
geometry_aware_clear_probe,16,12,8,12,1.0,True,732.0409999252562,8784.491999103075,5940.491999103074,29702.45999551537,2350.0,470,432,0.9191489361702128,38,0,434,12,12,12,7,7,1443.425076441814,3463.8051176494077,980.053686568645,7990.098430224107,78,1.4400296270032413
geometry_aware_clear_probe,17,14,8,14,1.0,True,667.5430767015113,9345.603073821158,6514.603073821156,32573.015369105786,2330.0,466,418,0.8969957081545065,48,0,431,14,14,14,7,7,2317.145922532212,7557.85932136791,1744.4741954017234,8366.245912893533,132,0.9801230259981821
geometry_aware_clear_probe,18,11,4,11,1.0,True,758.637713153709,8345.014844690799,5585.014844690798,27925.074223453987,2285.0,457,419,0.9168490153172867,38,0,420,11,11,11,2,2,1194.4017476387376,5254.839100365608,691.7896330652194,6753.331843539467,60,1.1226792149973335
geometry_aware_clear_probe,19,15,10,15,1.0,True,557.7678392274483,8366.517588411725,5932.517588411724,29662.587942058617,1995.0,399,348,0.8721804511278195,51,0,364,15,15,15,10,10,1540.9932001371683,4770.6836989896565,447.98378313357387,8366.517588411725,40,1.0132241169994813
geometry_aware_clear_probe,20,15,6,15,1.0,True,533.209942964465,7998.149144466975,5743.149144466975,28715.74572233487,1845.0,369,311,0.8428184281842819,58,0,335,15,15,15,7,7,1103.8805852397213,5021.2348652869105,534.218436953478,7998.149144466975,40,1.323482381994836
geometry_aware_clear_probe,21,11,5,11,1.0,True,759.4120137920704,8353.532151712774,5737.532151712772,28687.660758563863,2165.0,433,397,0.9168591224018475,36,0,396,11,11,11,2,2,939.9127503256409,3087.597224202242,462.836591818394,6601.082144060418,40,1.0194899900016026
geometry_aware_clear_probe,22,11,2,11,1.0,True,795.6311580843361,8751.942738927697,5564.942738927697,27824.713694638485,2640.0,528,481,0.9109848484848485,47,0,492,11,11,11,3,3,1732.6948913289668,4765.055270493991,703.8039351573459,8087.745712026931,60,1.1594893150031567
geometry_aware_clear_probe,23,16,9,16,1.0,True,556.1777335183875,8898.8437362942,6481.843736294199,32409.218681471,1975.0,395,338,0.8556962025316456,57,0,362,16,16,16,8,8,1480.9821228400508,5085.852181417636,693.055398018527,8898.8437362942,60,1.4938209239990101
geometry_aware_clear_probe,24,15,10,15,1.0,True,607.8604045198985,9117.906067798476,6147.906067798476,30739.530338992383,2440.0,488,430,0.8811475409836066,58,0,455,15,15,15,11,11,1804.5890314640267,4256.985046469714,1004.5276079169225,9117.906067798476,80,1.714555411002948
geometry_aware_clear_probe,25,13,7,13,1.0,True,697.5709090565161,9068.42181773471,6071.42181773471,30357.109088673544,2470.0,494,445,0.9008097165991903,49,0,462,13,13,13,10,10,396.9141884822568,2019.21611665623,1291.6233897027573,8544.057827867913,100,2.199185657998896
geometry_aware_clear_probe,26,15,7,15,1.0,True,637.502635536221,9562.539533043315,6805.539533043316,34027.69766521657,2265.0,453,401,0.8852097130242825,52,0,417,15,15,15,10,10,2082.8630911751648,5965.669838489449,451.3778812998795,9562.539533043315,40,1.1968581670007552
