strategy,seed,channel,first_seen_time_s,directional
geometry_aware_clear_probe,0,5,29.0,False
geometry_aware_clear_probe,0,6,35.0,False
geometry_aware_clear_probe,0,13,77.0,False
geometry_aware_clear_probe,0,20,119.0,False
geometry_aware_clear_probe,0,12,319.0,True
geometry_aware_clear_probe,0,4,367.0,False
geometry_aware_clear_probe,0,3,373.0,True
geometry_aware_clear_probe,0,1,385.0,False
geometry_aware_clear_probe,0,10,591.0,False
geometry_aware_clear_probe,0,16,627.0,True
geometry_aware_clear_probe,0,9,1967.0097320559348,True
geometry_aware_clear_probe,0,8,2149.009732055935,True
geometry_aware_clear_probe,0,18,2203.009732055935,False
geometry_aware_clear_probe,0,2,2984.5115232324474,True
geometry_aware_clear_probe,0,7,4495.897247969502,True
geometry_aware_clear_probe,0,14,5498.400175809838,True
geometry_aware_clear_probe,1,7,41.0,False
geometry_aware_clear_probe,1,13,77.0,True
geometry_aware_clear_probe,1,14,83.0,False
geometry_aware_clear_probe,1,19,113.0,False
geometry_aware_clear_probe,1,16,295.0,True
geometry_aware_clear_probe,1,11,325.0,False
geometry_aware_clear_probe,1,4,367.0,True
geometry_aware_clear_probe,1,3,1030.6597888240972,True
geometry_aware_clear_probe,1,8,1483.4989083547912,True
geometry_aware_clear_probe,1,17,1767.4989083547912,True
geometry_aware_clear_probe,1,9,6245.541789627846,True
geometry_aware_clear_probe,2,6,35.0,False
geometry_aware_clear_probe,2,13,77.0,False
geometry_aware_clear_probe,2,15,89.0,True
geometry_aware_clear_probe,2,20,271.0,True
geometry_aware_clear_probe,2,14,307.0,True
geometry_aware_clear_probe,2,11,325.0,False
geometry_aware_clear_probe,2,10,331.0,False
geometry_aware_clear_probe,2,5,361.0,False
geometry_aware_clear_probe,2,3,373.0,False
geometry_aware_clear_probe,2,16,627.0,False
geometry_aware_clear_probe,2,17,633.0,False
geometry_aware_clear_probe,2,2,2680.059163335874,False
geometry_aware_clear_probe,2,4,2960.059373079607,True
geometry_aware_clear_probe,2,1,4775.285156147268,False
geometry_aware_clear_probe,2,19,5532.625851637589,True
geometry_aware_clear_probe,2,12,5959.120695836296,True
geometry_aware_clear_probe,3,1,5.0,False
geometry_aware_clear_probe,3,2,11.0,True
geometry_aware_clear_probe,3,8,47.0,False
geometry_aware_clear_probe,3,16,95.0,False
geometry_aware_clear_probe,3,19,113.0,False
geometry_aware_clear_probe,3,12,319.0,False
geometry_aware_clear_probe,3,11,325.0,False
geometry_aware_clear_probe,3,5,361.0,False
geometry_aware_clear_probe,3,14,1728.2567717739703,False
geometry_aware_clear_probe,3,18,2714.2567717739703,False
geometry_aware_clear_probe,3,10,6254.093670245174,True
geometry_aware_clear_probe,4,2,11.0,False
geometry_aware_clear_probe,4,4,23.0,True
geometry_aware_clear_probe,4,9,53.0,False
geometry_aware_clear_probe,4,17,101.0,True
geometry_aware_clear_probe,4,15,301.0,False
geometry_aware_clear_probe,4,16,786.6270847896687,False
geometry_aware_clear_probe,4,10,822.6270847896687,True
geometry_aware_clear_probe,4,1,870.6270847896687,False
geometry_aware_clear_probe,4,13,3019.469175658381,True
geometry_aware_clear_probe,4,5,3285.469175658381,False
geometry_aware_clear_probe,4,7,4339.0110266308575,True
geometry_aware_clear_probe,5,3,17.0,False
geometry_aware_clear_probe,5,8,47.0,False
geometry_aware_clear_probe,5,9,53.0,False
geometry_aware_clear_probe,5,12,71.0,False
geometry_aware_clear_probe,5,17,101.0,True
geometry_aware_clear_probe,5,15,621.0,False
geometry_aware_clear_probe,5,18,639.0,True
geometry_aware_clear_probe,5,13,845.0,False
geometry_aware_clear_probe,5,1,1093.101026702402,True
geometry_aware_clear_probe,5,6,1117.101026702402,True
geometry_aware_clear_probe,5,11,1370.8375995993833,True
geometry_aware_clear_probe,5,7,1382.8375995993833,False
geometry_aware_clear_probe,5,2,1406.8375995993833,False
geometry_aware_clear_probe,5,4,1571.8375995993833,True
geometry_aware_clear_probe,6,2,11.0,False
geometry_aware_clear_probe,6,3,17.0,False
geometry_aware_clear_probe,6,4,23.0,True
geometry_aware_clear_probe,6,6,35.0,True
geometry_aware_clear_probe,6,9,53.0,False
geometry_aware_clear_probe,6,10,59.0,True
geometry_aware_clear_probe,6,14,83.0,True
geometry_aware_clear_probe,6,15,89.0,False
geometry_aware_clear_probe,6,16,295.0,False
geometry_aware_clear_probe,6,11,560.7389155774529,False
