strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_aware_clear_probe,0,16,8,16,1.0,True,468.386196468887,7494.179143502192,5266.179143502194,26330.89571751097,1815.0,363,306,0.8429752066115702,57,0,333,16,16,16,7,7,1562.8950931281374,5946.54973140282,697.8193682876761,7494.179143502192,60,1.3034805269999197
geometry_aware_clear_probe,1,11,7,11,1.0,True,842.1791595796178,9263.970755375796,6149.970755375794,30749.853776878987,2580.0,516,478,0.9263565891472868,38,0,479,11,11,11,10,10,1243.4598021979486,7003.7609652356,1075.2041437206003,8862.921919789525,79,1.2249606010009302
geometry_aware_clear_probe,2,16,6,16,1.0,True,395.09445419894644,6321.511267183143,4436.511267183143,22182.556335915717,1525.0,305,250,0.819672131147541,55,0,280,16,16,16,5,5,1527.6913298031147,5764.083406626717,724.0795937514415,6321.511267183143,60,1.3421921159970225
geometry_aware_clear_probe,3,11,2,11,1.0,True,784.8792945158889,8633.672239674777,5711.672239674777,28558.3611983739,2420.0,484,440,0.9090909090909091,44,0,447,11,11,11,3,3,939.5007882599889,5536.581403472322,759.9086729726758,8633.672239674777,60,1.1733526509997318
geometry_aware_clear_probe,4,11,5,11,1.0,True,768.502959378423,8453.532553162653,5434.532553162653,27172.662765813275,2500.0,500,462,0.924,38,0,464,11,11,11,6,6,1291.7957575831629,4965.201396715949,493.3004889203048,7815.644663957575,40,1.1123119199983194
geometry_aware_clear_probe,5,14,6,14,1.0,True,556.561193358759,7791.856707022626,5328.856707022627,26644.283535113147,2025.0,405,355,0.8765432098765432,50,0,368,14,14,14,6,6,1221.5548362126774,2948.527873438343,760.462791991577,7756.856707022626,60,1.1425266139995074
geometry_aware_clear_probe,6,16,6,16,1.0,True,494.2046404777619,7907.274247644191,5633.274247644192,28166.371238220956,1855.0,371,307,0.8274932614555256,64,0,339,16,16,16,8,8,1082.4341962459105,4604.478889545488,500.6408669230328,7907.274247644191,40,1.5125606849978794
geometry_aware_clear_probe,7,12,7,12,1.0,True,724.006720434275,8688.080645211301,5928.080645211298,29640.403226056493,2280.0,456,416,0.9122807017543859,40,0,420,12,12,12,5,5,1650.2421930710454,6337.670875246533,398.2430726520623,7264.2375855804075,40,0.8730462730018189
geometry_aware_clear_probe,8,11,6,11,1.0,True,838.5910893499506,9224.501982849457,6014.50198284946,30072.50991424731,2660.0,532,500,0.9398496240601504,32,0,495,11,11,11,1,1,3847.5833495573575,7520.890284105525,721.7363987362885,9224.501982849457,60,0.6079773450037464
geometry_aware_clear_probe,9,13,8,13,1.0,True,737.9899909423456,9593.869882250492,6692.869882250492,33464.34941125247,2395.0,479,434,0.906054279749478,45,0,441,13,13,13,8,8,1197.7650786803144,3139.2404358122485,692.9244562105202,9593.869882250492,60,1.3833585550019052
geometry_aware_clear_probe,10,14,8,14,1.0,True,548.5052643658876,7679.0737011224255,5425.073701122426,27125.36850561215,1850.0,370,315,0.8513513513513513,55,0,334,14,14,14,6,6,1083.8922726731812,4871.884612796477,396.4507960628565,7679.0737011224255,40,1.088781749996997
geometry_aware_clear_probe,11,13,8,13,1.0,True,691.5186991106798,8989.743088438838,6320.743088438835,31603.71544219419,2200.0,440,399,0.9068181818181819,41,0,404,13,13,13,10,10,1048.6875959463982,3055.090708521139,743.837992346415,8236.615142156044,60,1.1788663429979351
geometry_aware_clear_probe,12,13,10,13,1.0,True,744.5199795367657,9678.759733977955,6868.759733977952,34343.79866988978,2320.0,464,423,0.9116379310344828,41,0,425,13,13,13,12,12,2313.9724513955985,8126.491227259014,669.5658992445126,9678.759733977955,60,1.088810700995964
geometry_aware_clear_probe,13,12,6,12,1.0,True,745.1540328731618,8941.848394477942,5954.848394477939,29774.241972389715,2470.0,494,453,0.917004048582996,41,0,457,12,12,12,4,4,2311.4490038552126,7973.613074227749,735.4534329808665,8505.40068165486,60,0.9403879310048069
geometry_aware_clear_probe,14,10,6,10,1.0,True,820.3401530840589,8203.401530840589,5436.40153084059,27182.007654202964,2295.0,459,425,0.9259259259259259,34,0,422,10,10,10,3,3,752.7937302670955,2628.166040076658,725.6232501214859,5798.813657398058,60,1.1843748390019755
geometry_aware_clear_probe,15,11,5,11,1.0,True,822.931304863308,9052.244353496388,6057.244353496387,30286.221767481948,2480.0,496,458,0.9233870967741935,38,0,460,11,11,11,6,6,1524.4109086416743,7818.064774704224,768.5616078113594,9052.244353496388,60,1.02025479599979
geometry_aware_clear_probe,16,12,8,12,1.0,True,728.3068562817838,8739.682275381405,5895.682275381405,29478.41137690703,2350.0,470,432,0.9191489361702128,38,0,434,12,12,12,6,6,2061.012219402542,4805.295722928158,976.9792317366298,7506.655092627225,78,0.9942259390008985
geometry_aware_clear_probe,17,14,8,14,1.0,True,661.4406612006336,9260.169256808871,6009.16925680887,30045.846284044354,2680.0,536,483,0.9011194029850746,53,0,501,14,14,14,9,9,2263.8464646522175,6208.075801528314,1315.4550680633888,9260.169256808871,100,1.2874784289961099
geometry_aware_clear_probe,18,11,4,11,1.0,True,793.695165750368,8730.646823254048,5712.646823254049,28563.234116270254,2500.0,500,460,0.92,40,0,463,11,11,11,2,2,1520.5429693691426,4202.61074800534,691.1937546923673,8730.646823254048,60,1.2440750530004152
geometry_aware_clear_probe,19,15,10,15,1.0,True,622.3766490846078,9335.649736269117,6458.649736269119,32293.24868134561,2365.0,473,419,0.8858350951374208,54,0,437,15,15,15,9,9,2532.040388681701,5462.710122217127,447.09963166179915,9335.649736269117,40,1.427340351001476
geometry_aware_clear_probe,20,15,6,15,1.0,True,545.0983999053027,8176.475998579541,5831.475998579541,29157.37999289772,1920.0,384,336,0.875,48,0,350,15,15,15,5,5,1026.9520867278516,3056.403057628141,532.9521789702185,7102.820682644116,40,1.3012720800034003
geometry_aware_clear_probe,21,11,5,11,1.0,True,750.8676484734352,8259.544133207788,5577.54413320779,27887.720666038957,2220.0,444,409,0.9211711711711712,35,0,407,11,11,11,2,2,1290.0641146838295,7271.30616758157,461.7014546773032,8073.640726517584,40,0.9295012319998932
geometry_aware_clear_probe,22,11,2,11,1.0,True,789.6362103668573,8685.99831403543,5473.99831403543,27369.99157017716,2660.0,532,484,0.9097744360902256,48,0,497,11,11,11,2,2,1987.9266413806045,5689.803780754599,702.2155532951227,8685.99831403543,60,1.1818222729998524
