strategy,seed,channel,first_seen_time_s,directional
geometry_aware_clear_probe,0,5,29.0,False
geometry_aware_clear_probe,0,6,35.0,False
geometry_aware_clear_probe,0,13,77.0,False
geometry_aware_clear_probe,0,20,119.0,False
geometry_aware_clear_probe,0,12,318.2,True
geometry_aware_clear_probe,0,4,366.2,False
geometry_aware_clear_probe,0,3,372.2,True
geometry_aware_clear_probe,0,1,384.2,False
geometry_aware_clear_probe,0,10,589.4,False
geometry_aware_clear_probe,0,16,625.4,True
geometry_aware_clear_probe,0,9,2440.846943709388,True
geometry_aware_clear_probe,0,8,2622.046943709388,True
geometry_aware_clear_probe,0,18,2676.046943709388,False
geometry_aware_clear_probe,0,2,3455.012143553688,True
geometry_aware_clear_probe,0,7,4950.218783965525,True
geometry_aware_clear_probe,0,14,5946.54973140282,True
geometry_aware_clear_probe,1,7,41.0,False
geometry_aware_clear_probe,1,13,77.0,True
geometry_aware_clear_probe,1,14,83.0,False
geometry_aware_clear_probe,1,19,113.0,False
geometry_aware_clear_probe,1,16,294.2,True
geometry_aware_clear_probe,1,11,324.2,False
geometry_aware_clear_probe,1,4,366.2,True
geometry_aware_clear_probe,1,17,1303.3676050209835,True
geometry_aware_clear_probe,1,8,1568.5676050209836,True
geometry_aware_clear_probe,1,3,2503.7616488998665,True
geometry_aware_clear_probe,1,9,7003.7609652356,True
geometry_aware_clear_probe,2,6,35.0,False
geometry_aware_clear_probe,2,13,77.0,False
geometry_aware_clear_probe,2,15,89.0,True
geometry_aware_clear_probe,2,20,270.2,True
geometry_aware_clear_probe,2,14,306.2,True
geometry_aware_clear_probe,2,11,324.2,False
geometry_aware_clear_probe,2,10,330.2,False
geometry_aware_clear_probe,2,5,360.2,False
geometry_aware_clear_probe,2,3,372.2,False
geometry_aware_clear_probe,2,16,625.4,False
geometry_aware_clear_probe,2,17,631.4,False
geometry_aware_clear_probe,2,4,2536.1055284848426,True
geometry_aware_clear_probe,2,2,2705.3055284848424,False
geometry_aware_clear_probe,2,1,4833.083406626718,False
geometry_aware_clear_probe,2,12,5183.483406626718,True
geometry_aware_clear_probe,2,19,5764.083406626717,True
geometry_aware_clear_probe,3,1,5.0,False
geometry_aware_clear_probe,3,2,11.0,True
geometry_aware_clear_probe,3,8,47.0,False
geometry_aware_clear_probe,3,16,95.0,False
geometry_aware_clear_probe,3,19,113.0,False
geometry_aware_clear_probe,3,12,318.2,False
geometry_aware_clear_probe,3,11,324.2,False
geometry_aware_clear_probe,3,5,360.2,False
geometry_aware_clear_probe,3,14,1187.6874903057535,False
geometry_aware_clear_probe,3,18,2336.6397770818016,False
geometry_aware_clear_probe,3,10,5536.581403472322,True
geometry_aware_clear_probe,4,2,11.0,False
geometry_aware_clear_probe,4,4,23.0,True
geometry_aware_clear_probe,4,9,53.0,False
geometry_aware_clear_probe,4,17,101.0,True
geometry_aware_clear_probe,4,15,300.2,False
geometry_aware_clear_probe,4,16,784.4393747415918,False
geometry_aware_clear_probe,4,10,820.4393747415918,True
geometry_aware_clear_probe,4,1,868.4393747415918,False
geometry_aware_clear_probe,4,13,3008.9169062370343,True
geometry_aware_clear_probe,4,5,3274.116906237034,False
geometry_aware_clear_probe,4,7,4965.201396715949,True
geometry_aware_clear_probe,5,3,17.0,False
geometry_aware_clear_probe,5,8,47.0,False
geometry_aware_clear_probe,5,9,53.0,False
geometry_aware_clear_probe,5,12,71.0,False
geometry_aware_clear_probe,5,17,101.0,True
geometry_aware_clear_probe,5,15,619.4,False
geometry_aware_clear_probe,5,18,637.4,True
geometry_aware_clear_probe,5,1,1686.3520710747036,True
geometry_aware_clear_probe,5,6,1710.3520710747036,True
geometry_aware_clear_probe,5,7,1716.3520710747036,False
geometry_aware_clear_probe,5,11,2472.127873438343,True
geometry_aware_clear_probe,5,4,2508.127873438343,True
geometry_aware_clear_probe,5,2,2514.127873438343,False
geometry_aware_clear_probe,5,13,2948.527873438343,False
geometry_aware_clear_probe,6,2,11.0,False
geometry_aware_clear_probe,6,3,17.0,False
geometry_aware_clear_probe,6,4,23.0,True
geometry_aware_clear_probe,6,6,35.0,True
geometry_aware_clear_probe,6,9,53.0,False
geometry_aware_clear_probe,6,10,59.0,True
geometry_aware_clear_probe,6,14,83.0,True
geometry_aware_clear_probe,6,15,89.0,False
geometry_aware_clear_probe,6,16,294.2,False
geometry_aware_clear_probe,6,11,559.6408669230327,False
