strategy,seed,channel,first_seen_time_s,directional
geometry_aware_clear_probe,3000,4,23.0,False
geometry_aware_clear_probe,3000,5,29.0,False
geometry_aware_clear_probe,3000,6,35.0,False
geometry_aware_clear_probe,3000,10,59.0,False
geometry_aware_clear_probe,3000,11,65.0,False
geometry_aware_clear_probe,3000,18,107.0,False
geometry_aware_clear_probe,3000,19,113.0,False
geometry_aware_clear_probe,3000,20,119.0,False
geometry_aware_clear_probe,3000,16,294.2,False
geometry_aware_clear_probe,3000,8,571.4,False
geometry_aware_clear_probe,3000,14,813.5999999999999,False
geometry_aware_clear_probe,3000,9,1332.0,False
geometry_aware_clear_probe,3000,12,1844.4391032300962,False
geometry_aware_clear_probe,3000,15,3613.8645240674355,False
geometry_aware_clear_probe,3000,3,3825.0645240674353,False
geometry_aware_clear_probe,3001,7,41.0,False
geometry_aware_clear_probe,3001,10,59.0,False
geometry_aware_clear_probe,3001,11,65.0,False
geometry_aware_clear_probe,3001,15,89.0,False
geometry_aware_clear_probe,3001,20,119.0,False
geometry_aware_clear_probe,3001,12,318.2,False
geometry_aware_clear_probe,3001,5,637.231705973999,False
geometry_aware_clear_probe,3001,17,703.231705973999,False
geometry_aware_clear_probe,3001,19,866.431705973999,False
geometry_aware_clear_probe,3001,8,932.431705973999,False
geometry_aware_clear_probe,3001,6,938.431705973999,False
geometry_aware_clear_probe,3001,13,1692.0317059739991,False
geometry_aware_clear_probe,3002,2,11.0,False
geometry_aware_clear_probe,3002,3,17.0,False
geometry_aware_clear_probe,3002,12,71.0,False
geometry_aware_clear_probe,3002,13,77.0,False
geometry_aware_clear_probe,3002,15,89.0,False
geometry_aware_clear_probe,3002,17,101.0,False
geometry_aware_clear_probe,3002,19,113.0,False
geometry_aware_clear_probe,3002,20,270.2,False
geometry_aware_clear_probe,3002,14,306.2,False
geometry_aware_clear_probe,3002,6,540.8474546665284,False
geometry_aware_clear_probe,3002,1,2329.81086716007,False
geometry_aware_clear_probe,3003,4,23.0,False
geometry_aware_clear_probe,3003,8,47.0,False
geometry_aware_clear_probe,3003,9,53.0,False
geometry_aware_clear_probe,3003,13,77.0,False
geometry_aware_clear_probe,3003,17,101.0,False
geometry_aware_clear_probe,3003,18,107.0,False
geometry_aware_clear_probe,3003,20,119.0,False
geometry_aware_clear_probe,3003,15,300.2,False
geometry_aware_clear_probe,3003,6,354.2,False
geometry_aware_clear_probe,3003,1,535.4,False
geometry_aware_clear_probe,3003,12,601.4,False
geometry_aware_clear_probe,3003,19,643.4,False
geometry_aware_clear_probe,3003,2,1127.964014008172,False
geometry_aware_clear_probe,3003,3,3795.176213489896,False
geometry_aware_clear_probe,3004,10,59.0,False
geometry_aware_clear_probe,3004,11,65.0,False
geometry_aware_clear_probe,3004,17,101.0,False
geometry_aware_clear_probe,3004,18,107.0,False
geometry_aware_clear_probe,3004,19,113.0,False
geometry_aware_clear_probe,3004,20,119.0,False
geometry_aware_clear_probe,3004,6,354.2,False
geometry_aware_clear_probe,3004,1,384.2,False
geometry_aware_clear_probe,3004,15,593.6243356108378,False
geometry_aware_clear_probe,3004,16,599.6243356108378,False
geometry_aware_clear_probe,3004,7,1094.140473290508,False
geometry_aware_clear_probe,3004,3,1319.419997477782,False
geometry_aware_clear_probe,3004,8,1755.2509010498534,False
geometry_aware_clear_probe,3005,1,5.0,False
geometry_aware_clear_probe,3005,2,11.0,False
geometry_aware_clear_probe,3005,6,35.0,False
