strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
certified_geometry_clear_probe,3000,15,15,15,1.0,True,660.7625476093788,9911.438214140682,7251.43821414068,36257.191070703404,2185.0,437,390,0.8924485125858124,47,0,400,15,15,15,16,16,2059.288041153505,9241.92865132162,794.7810778965388,9726.982572097573,60,1.5057392829985474
certified_geometry_clear_probe,3001,12,12,12,1.0,True,830.7146373750871,9968.575648501046,6662.575648501048,33312.87824250524,2735.0,547,508,0.9287020109689214,39,0,511,12,12,12,8,8,3021.8598130200266,8929.964422363473,759.4572551451516,9968.575648501046,60,1.1578225460034446
certified_geometry_clear_probe,3002,11,11,11,1.0,True,886.3346748515073,9749.681423366581,6561.681423366581,32808.4071168329,2640.0,528,496,0.9393939393939394,32,0,493,11,11,11,11,11,1514.9289304505946,6386.020385564516,784.4900944353928,9563.824690415417,60,1.1998435279965634
certified_geometry_clear_probe,3003,14,14,14,1.0,True,661.4539735834585,9260.355630168418,6362.3556301684175,31811.778150842085,2385.0,477,427,0.8951781970649895,50,0,443,14,14,14,14,14,1485.6453263663568,4381.090664739302,1235.5026917199282,9260.355630168418,98,1.6157360799988965
certified_geometry_clear_probe,3004,13,13,13,1.0,True,691.7512301879337,8992.76599244314,6268.765992443137,31343.829962215692,2245.0,449,405,0.9020044543429844,44,0,414,13,13,13,17,17,950.0762305737013,5390.163482141547,738.3546424968191,8992.76599244314,60,1.1546947730021202
certified_geometry_clear_probe,3005,15,15,15,1.0,True,626.1363339119704,9392.045008679555,7068.045008679556,35340.225043397775,1905.0,381,336,0.8818897637795275,45,0,344,15,15,15,13,13,1782.8068053841982,7051.158202652252,726.6582397752201,9392.045008679555,60,1.3045798910025042
certified_geometry_clear_probe,3006,15,15,15,1.0,True,629.4853392697873,9442.28008904681,6542.280089046807,32711.400445234038,2385.0,477,426,0.8930817610062893,51,0,440,15,15,15,9,9,3084.172181479117,7609.196652459824,1474.1801302889985,9117.656662065825,114,1.753970190002292
certified_geometry_clear_probe,3007,15,15,15,1.0,True,636.9243943942816,9553.865915914224,6971.8659159142235,34859.32957957112,2120.0,424,376,0.8867924528301887,48,0,387,15,15,15,14,14,1756.0280322254278,7917.825737992823,451.97947388212856,9112.587555001617,40,1.4215936180044082
certified_geometry_clear_probe,3008,12,12,12,1.0,True,801.6126173776887,9619.351408532264,6325.351408532264,31626.75704266132,2725.0,545,506,0.9284403669724771,39,0,509,12,12,12,14,14,1806.6630728892123,3462.51379148869,959.2397077692099,9619.351408532264,80,1.766303964999679
certified_geometry_clear_probe,3009,13,13,13,1.0,True,794.144345164449,10323.876487137837,6974.876487137835,34874.382435689186,2770.0,554,509,0.9187725631768953,45,0,514,13,13,13,12,12,3676.129085809957,7422.003758665042,1611.2053184962451,10323.876487137837,120,0.9150965789958718
certified_geometry_clear_probe,3010,15,15,15,1.0,True,666.2784893988932,9994.177340983397,7015.1773409833995,35075.88670491699,2450.0,490,443,0.9040816326530612,47,0,454,15,15,15,11,11,3091.5332418964017,8483.046958796624,1819.435075418778,9780.595120752052,140,0.9857829289976507
certified_geometry_clear_probe,3011,11,11,11,1.0,True,870.9349549679922,9580.284504647914,6418.284504647916,32091.422523239577,2620.0,524,487,0.9293893129770993,37,0,487,11,11,11,12,12,2149.992498241751,7165.180139896616,1583.882019690191,9580.284504647914,120,0.9980842069999198
certified_geometry_clear_probe,3012,12,12,12,1.0,True,930.0520122397198,11160.624146876638,7694.624146876641,38473.1207343832,2870.0,574,533,0.9285714285714286,41,0,536,12,12,12,11,11,2994.70113332939,9340.95959646913,1057.8627081436093,11160.624146876638,80,1.5199698819997138
