strategy,seed,channel,first_seen_time_s,directional
certified_geometry_clear_probe,3000,12,71.0,True
certified_geometry_clear_probe,3000,14,83.0,True
certified_geometry_clear_probe,3000,20,271.0,True
certified_geometry_clear_probe,3000,19,277.0,True
certified_geometry_clear_probe,3000,15,301.0,True
certified_geometry_clear_probe,3000,4,367.0,True
certified_geometry_clear_probe,3000,8,579.0,True
certified_geometry_clear_probe,3000,18,926.2402785718862,True
certified_geometry_clear_probe,3000,11,968.2402785718862,True
certified_geometry_clear_probe,3000,9,1735.3675799737887,True
certified_geometry_clear_probe,3000,6,3122.5621735532004,True
certified_geometry_clear_probe,3000,16,3158.5621735532004,True
certified_geometry_clear_probe,3000,10,3364.5621735532004,True
certified_geometry_clear_probe,3000,5,6422.857308203796,True
certified_geometry_clear_probe,3000,3,9241.92865132162,True
certified_geometry_clear_probe,3001,5,29.0,True
certified_geometry_clear_probe,3001,12,71.0,True
certified_geometry_clear_probe,3001,15,89.0,True
certified_geometry_clear_probe,3001,19,113.0,True
certified_geometry_clear_probe,3001,17,289.0,True
certified_geometry_clear_probe,3001,11,2922.4104403674305,True
certified_geometry_clear_probe,3001,10,3547.1306813441424,True
certified_geometry_clear_probe,3001,6,3571.1306813441424,True
certified_geometry_clear_probe,3001,7,3789.1306813441424,True
certified_geometry_clear_probe,3001,8,6179.911862748546,True
certified_geometry_clear_probe,3001,13,6731.638986728446,True
certified_geometry_clear_probe,3001,20,8929.964422363473,True
certified_geometry_clear_probe,3002,13,77.0,True
certified_geometry_clear_probe,3002,19,277.0,True
certified_geometry_clear_probe,3002,12,319.0,True
certified_geometry_clear_probe,3002,6,355.0,True
certified_geometry_clear_probe,3002,2,379.0,True
certified_geometry_clear_probe,3002,17,944.6531085006794,True
certified_geometry_clear_probe,3002,15,956.6531085006794,True
certified_geometry_clear_probe,3002,1,1548.6531085006795,True
certified_geometry_clear_probe,3002,20,2559.619261944993,True
certified_geometry_clear_probe,3002,14,2861.619261944993,True
certified_geometry_clear_probe,3002,3,6386.020385564516,True
certified_geometry_clear_probe,3003,4,23.0,True
certified_geometry_clear_probe,3003,13,77.0,True
certified_geometry_clear_probe,3003,19,113.0,True
certified_geometry_clear_probe,3003,20,271.0,True
certified_geometry_clear_probe,3003,18,283.0,True
certified_geometry_clear_probe,3003,9,337.0,True
certified_geometry_clear_probe,3003,1,537.0,True
certified_geometry_clear_probe,3003,2,543.0,True
certified_geometry_clear_probe,3003,15,2489.9887808779386,True
certified_geometry_clear_probe,3003,12,2507.9887808779386,True
certified_geometry_clear_probe,3003,17,2973.9887808779386,True
certified_geometry_clear_probe,3003,6,3033.9887808779386,True
certified_geometry_clear_probe,3003,3,3227.9887808779386,True
certified_geometry_clear_probe,3003,8,4381.090664739302,True
certified_geometry_clear_probe,3004,3,17.0,True
certified_geometry_clear_probe,3004,6,35.0,True
certified_geometry_clear_probe,3004,7,41.0,True
certified_geometry_clear_probe,3004,15,89.0,True
certified_geometry_clear_probe,3004,17,101.0,True
certified_geometry_clear_probe,3004,20,119.0,True
certified_geometry_clear_probe,3004,19,277.0,True
certified_geometry_clear_probe,3004,8,343.0,True
certified_geometry_clear_probe,3004,18,639.0,True
certified_geometry_clear_probe,3004,11,869.4666069785779,True
certified_geometry_clear_probe,3004,16,1319.1914399705443,True
certified_geometry_clear_probe,3004,1,3111.169468367447,True
certified_geometry_clear_probe,3004,10,5390.163482141547,True
certified_geometry_clear_probe,3005,1,5.0,True
certified_geometry_clear_probe,3005,6,35.0,True
certified_geometry_clear_probe,3005,11,65.0,True
certified_geometry_clear_probe,3005,12,71.0,True
certified_geometry_clear_probe,3005,13,77.0,True
certified_geometry_clear_probe,3005,16,95.0,True
certified_geometry_clear_probe,3005,4,929.7385278821272,True
certified_geometry_clear_probe,3005,2,941.7385278821272,True
certified_geometry_clear_probe,3005,9,2177.011729444891,True
certified_geometry_clear_probe,3005,19,2219.011729444891,True
certified_geometry_clear_probe,3005,20,2835.761472443296,True
certified_geometry_clear_probe,3005,17,2847.761472443296,True
certified_geometry_clear_probe,3005,14,2865.761472443296,True
certified_geometry_clear_probe,3005,10,4526.158946126797,True
certified_geometry_clear_probe,3005,7,7051.158202652252,True
certified_geometry_clear_probe,3006,12,71.0,True
certified_geometry_clear_probe,3006,20,271.0,True
certified_geometry_clear_probe,3006,18,283.0,True
certified_geometry_clear_probe,3006,14,307.0,True
certified_geometry_clear_probe,3006,1,537.0,True
certified_geometry_clear_probe,3006,13,1883.3335052679672,True
certified_geometry_clear_probe,3006,11,2149.333505267967,True
certified_geometry_clear_probe,3006,9,2893.333505267967,True
certified_geometry_clear_probe,3006,19,3926.702935756635,True
certified_geometry_clear_probe,3006,6,3980.702935756635,True
