strategy,seed,channel,first_seen_time_s,directional
replacement_aware_clear_probe,3994878760,8,47.0,True
replacement_aware_clear_probe,3994878760,20,119.0,True
replacement_aware_clear_probe,3994878760,15,300.2,True
replacement_aware_clear_probe,3994878760,7,348.2,False
replacement_aware_clear_probe,3994878760,19,1332.7432456235406,False
replacement_aware_clear_probe,3994878760,11,3216.055309104797,True
replacement_aware_clear_probe,3994878760,17,3927.6553091047963,True
replacement_aware_clear_probe,3994878760,14,3939.6553091047963,True
replacement_aware_clear_probe,3994878760,3,4180.06474806493,True
replacement_aware_clear_probe,3994878760,9,4799.4632879470055,True
replacement_aware_clear_probe,3446493538,9,53.0,False
replacement_aware_clear_probe,3446493538,12,71.0,True
replacement_aware_clear_probe,3446493538,16,95.0,True
replacement_aware_clear_probe,3446493538,18,107.0,True
replacement_aware_clear_probe,3446493538,10,330.2,False
replacement_aware_clear_probe,3446493538,7,348.2,False
replacement_aware_clear_probe,3446493538,3,547.4,True
replacement_aware_clear_probe,3446493538,19,1337.0,False
replacement_aware_clear_probe,3446493538,4,1951.4,False
replacement_aware_clear_probe,3446493538,20,2300.692111917037,True
replacement_aware_clear_probe,3446493538,2,5569.535387900134,False
replacement_aware_clear_probe,1278112619,9,53.0,False
replacement_aware_clear_probe,1278112619,11,65.0,False
replacement_aware_clear_probe,1278112619,14,83.0,False
replacement_aware_clear_probe,1278112619,17,101.0,True
replacement_aware_clear_probe,1278112619,18,107.0,False
replacement_aware_clear_probe,1278112619,20,119.0,False
replacement_aware_clear_probe,1278112619,16,294.2,False
replacement_aware_clear_probe,1278112619,1,384.2,False
replacement_aware_clear_probe,1278112619,5,890.5999999999999,True
replacement_aware_clear_probe,1278112619,4,896.5999999999999,True
replacement_aware_clear_probe,1278112619,19,3234.2418770465865,True
replacement_aware_clear_probe,1278112619,6,3294.2418770465865,False
replacement_aware_clear_probe,1278112619,13,4727.975523840467,False
replacement_aware_clear_probe,1278112619,10,4745.975523840467,False
replacement_aware_clear_probe,1278112619,7,4757.975523840467,True
replacement_aware_clear_probe,1278112619,2,4951.175523840467,False
replacement_aware_clear_probe,4265401991,6,35.0,True
replacement_aware_clear_probe,4265401991,7,41.0,True
replacement_aware_clear_probe,4265401991,9,53.0,True
replacement_aware_clear_probe,4265401991,10,59.0,False
replacement_aware_clear_probe,4265401991,15,89.0,False
replacement_aware_clear_probe,4265401991,17,101.0,False
replacement_aware_clear_probe,4265401991,13,643.7358395139164,False
replacement_aware_clear_probe,4265401991,4,963.3534295911061,False
replacement_aware_clear_probe,4265401991,1,981.3534295911061,False
replacement_aware_clear_probe,4265401991,19,1375.3162383426964,True
replacement_aware_clear_probe,4265401991,3,1441.3162383426964,True
replacement_aware_clear_probe,4265401991,2,1917.7162383426964,True
replacement_aware_clear_probe,4265401991,11,2110.9162383426965,True
replacement_aware_clear_probe,4265401991,16,3262.9162383426956,True
replacement_aware_clear_probe,4265401991,5,3298.9162383426956,True
replacement_aware_clear_probe,428302697,10,59.0,True
replacement_aware_clear_probe,428302697,13,77.0,False
replacement_aware_clear_probe,428302697,14,83.0,False
replacement_aware_clear_probe,428302697,15,89.0,False
replacement_aware_clear_probe,428302697,19,276.2,False
replacement_aware_clear_probe,428302697,5,1567.4167765410489,True
replacement_aware_clear_probe,428302697,2,1875.6321745721164,True
replacement_aware_clear_probe,428302697,1,2155.8806417110054,False
replacement_aware_clear_probe,428302697,18,2239.8806417110054,True
replacement_aware_clear_probe,428302697,6,3145.6806417110047,True
replacement_aware_clear_probe,428302697,11,3169.6806417110047,False
replacement_aware_clear_probe,428302697,4,3520.3009697819793,False
replacement_aware_clear_probe,428302697,8,3859.002942054411,True
replacement_aware_clear_probe,428302697,20,4534.581591614892,False
replacement_aware_clear_probe,428302697,3,4863.702643499138,True
replacement_aware_clear_probe,428302697,12,6970.946177088,True
replacement_aware_clear_probe,4291446997,2,11.0,True
replacement_aware_clear_probe,4291446997,6,35.0,True
replacement_aware_clear_probe,4291446997,13,77.0,True
replacement_aware_clear_probe,4291446997,17,101.0,False
replacement_aware_clear_probe,4291446997,8,1909.4,False
replacement_aware_clear_probe,4291446997,5,2114.6,True
replacement_aware_clear_probe,4291446997,7,2126.6,True
replacement_aware_clear_probe,4291446997,20,3458.436505349643,True
replacement_aware_clear_probe,4291446997,16,5105.7340404762435,True
replacement_aware_clear_probe,4291446997,18,5382.934040476243,False
replacement_aware_clear_probe,4291446997,3,5942.127479350842,False
replacement_aware_clear_probe,1698866270,12,71.0,False
replacement_aware_clear_probe,1698866270,17,101.0,False
replacement_aware_clear_probe,1698866270,18,107.0,True
replacement_aware_clear_probe,1698866270,19,113.0,True
replacement_aware_clear_probe,1698866270,11,324.2,False
replacement_aware_clear_probe,1698866270,13,784.8499564870167,True
replacement_aware_clear_probe,1698866270,16,1662.2555650449435,False
replacement_aware_clear_probe,1698866270,2,2918.060579945863,True
replacement_aware_clear_probe,1698866270,15,6552.406295250908,True
replacement_aware_clear_probe,1698866270,3,6950.806295250908,False
replacement_aware_clear_probe,1698866270,4,6956.806295250908,True
replacement_aware_clear_probe,1698866270,5,7234.006295250908,True
replacement_aware_clear_probe,44365831,8,47.0,True
replacement_aware_clear_probe,44365831,9,53.0,False
replacement_aware_clear_probe,44365831,11,65.0,False
replacement_aware_clear_probe,44365831,13,77.0,False
replacement_aware_clear_probe,44365831,18,107.0,False
replacement_aware_clear_probe,44365831,17,288.2,False
replacement_aware_clear_probe,44365831,14,306.2,True
replacement_aware_clear_probe,44365831,4,366.2,True
replacement_aware_clear_probe,44365831,1,1382.0230092065694,True
replacement_aware_clear_probe,44365831,2,1983.782573529766,True
replacement_aware_clear_probe,44365831,5,2641.3825735297655,False
replacement_aware_clear_probe,44365831,7,2924.5825735297653,True
replacement_aware_clear_probe,44365831,6,4064.9451344200756,True
replacement_aware_clear_probe,44365831,15,5132.945134420074,False
replacement_aware_clear_probe,44365831,10,5338.145134420074,True
replacement_aware_clear_probe,1975052011,1,5.0,True
replacement_aware_clear_probe,1975052011,3,17.0,False
replacement_aware_clear_probe,1975052011,11,65.0,True
replacement_aware_clear_probe,1975052011,12,71.0,True
replacement_aware_clear_probe,1975052011,14,83.0,True
replacement_aware_clear_probe,1975052011,16,95.0,False
replacement_aware_clear_probe,1975052011,18,107.0,False
replacement_aware_clear_probe,1975052011,10,330.2,False
replacement_aware_clear_probe,1975052011,9,336.2,False
replacement_aware_clear_probe,1975052011,6,354.2,True
replacement_aware_clear_probe,1975052011,2,2681.535745196019,False
replacement_aware_clear_probe,1975052011,8,4269.691409180809,False
replacement_aware_clear_probe,1975052011,4,5150.199419820276,False
replacement_aware_clear_probe,1975052011,15,5349.399419820275,True
replacement_aware_clear_probe,1975052011,20,5367.399419820275,True
replacement_aware_clear_probe,1975052011,5,7018.792909724656,True
replacement_aware_clear_probe,2222203190,3,17.0,False
replacement_aware_clear_probe,2222203190,11,65.0,False
replacement_aware_clear_probe,2222203190,14,83.0,False
replacement_aware_clear_probe,2222203190,18,107.0,False
replacement_aware_clear_probe,2222203190,20,119.0,False
replacement_aware_clear_probe,2222203190,7,597.0578132015012,False
replacement_aware_clear_probe,2222203190,10,874.2578132015012,True
replacement_aware_clear_probe,2222203190,15,2470.1994926108478,False
replacement_aware_clear_probe,2222203190,4,2512.1994926108478,True
replacement_aware_clear_probe,2222203190,9,2674.3482028498925,True
replacement_aware_clear_probe,4203662554,4,23.0,False
replacement_aware_clear_probe,4203662554,9,53.0,False
replacement_aware_clear_probe,4203662554,10,59.0,False
replacement_aware_clear_probe,4203662554,12,71.0,False
replacement_aware_clear_probe,4203662554,13,77.0,True
replacement_aware_clear_probe,4203662554,15,89.0,False
replacement_aware_clear_probe,4203662554,17,101.0,False
replacement_aware_clear_probe,4203662554,18,107.0,False
replacement_aware_clear_probe,4203662554,3,372.2,False
replacement_aware_clear_probe,4203662554,1,384.2,True
replacement_aware_clear_probe,4203662554,7,577.234065025427,False
replacement_aware_clear_probe,4203662554,16,625.234065025427,True
replacement_aware_clear_probe,4203662554,20,1954.593096122569,True
replacement_aware_clear_probe,4203662554,11,2751.055065635953,False
replacement_aware_clear_probe,4203662554,8,5113.76721190565,True
replacement_aware_clear_probe,4203662554,6,6230.967211905649,True
replacement_aware_clear_probe,1822668520,4,23.0,True
replacement_aware_clear_probe,1822668520,5,29.0,False
replacement_aware_clear_probe,1822668520,8,47.0,False
replacement_aware_clear_probe,1822668520,13,77.0,True
replacement_aware_clear_probe,1822668520,14,83.0,True
replacement_aware_clear_probe,1822668520,16,95.0,True
replacement_aware_clear_probe,1822668520,17,101.0,True
replacement_aware_clear_probe,1822668520,19,113.0,False
replacement_aware_clear_probe,1822668520,18,282.2,False
replacement_aware_clear_probe,1822668520,15,300.2,False
replacement_aware_clear_probe,1822668520,9,336.2,True
replacement_aware_clear_probe,1822668520,11,595.4,True
replacement_aware_clear_probe,1822668520,10,1409.3267079817954,False
replacement_aware_clear_probe,1822668520,2,1843.1406858584983,True
replacement_aware_clear_probe,1822668520,3,4910.263025671934,True
replacement_aware_clear_probe,1822668520,1,5327.189933472665,True
replacement_aware_clear_probe,2826888429,7,41.0,False
replacement_aware_clear_probe,2826888429,8,47.0,False
replacement_aware_clear_probe,2826888429,15,89.0,True
replacement_aware_clear_probe,2826888429,14,306.2,False
replacement_aware_clear_probe,2826888429,3,372.2,False
replacement_aware_clear_probe,2826888429,6,1616.5067823891902,False
replacement_aware_clear_probe,2826888429,12,1887.7067823891903,True
replacement_aware_clear_probe,2826888429,4,2622.4687687920036,False
replacement_aware_clear_probe,2826888429,19,2851.6687687920034,False
replacement_aware_clear_probe,2826888429,18,2857.6687687920034,True
replacement_aware_clear_probe,2826888429,1,3428.1402273154467,True
replacement_aware_clear_probe,2826888429,9,3700.4005109821046,True
replacement_aware_clear_probe,2826888429,11,4661.5911771425035,True
replacement_aware_clear_probe,2826888429,2,4685.5911771425035,False
replacement_aware_clear_probe,941288844,4,23.0,True
replacement_aware_clear_probe,941288844,7,41.0,False
replacement_aware_clear_probe,941288844,8,47.0,False
replacement_aware_clear_probe,941288844,17,101.0,False
