strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
early_optical_clear_probe,3994878760,10,8,10,1.0,True,861.5528827692262,8615.528827692262,5334.528827692262,26672.64413846133,2720.0,544,515,0.9466911764705882,29,0,508,11,11,10,6,6,2412.1463800188008,6182.942590819856,764.3537704722153,8365.653628113698,60,0.5378836110030534
early_optical_clear_probe,3446493538,11,5,11,1.0,True,741.4374426341134,8155.811868975247,5351.811868975247,26759.059344876245,2320.0,464,433,0.9331896551724138,31,0,429,11,11,11,3,3,1216.6151634750445,3904.1804418887928,757.0686672934853,5867.372622141972,59,0.574072037001315
early_optical_clear_probe,1278112619,16,5,16,1.0,True,461.66305291422515,7386.608846627602,4853.608846627605,24268.04423313802,2070.0,414,365,0.8816425120772947,49,0,383,16,16,16,3,3,1664.6689710696357,4434.051981266098,1071.233250340239,7386.608846627602,80,0.545020513003692
early_optical_clear_probe,4265401991,15,9,15,1.0,True,524.1310684357514,7861.966026536272,5368.966026536272,26844.830132681378,2045.0,409,367,0.8973105134474327,42,0,373,15,15,15,4,4,1168.1408905564329,3870.2028531397896,448.9137458164762,7370.583403586493,40,0.6676644569961354
early_optical_clear_probe,428302697,16,8,16,1.0,True,471.72259994816125,7547.56159917058,5337.56159917058,26687.80799585291,1800.0,360,315,0.875,45,0,330,16,16,16,4,4,1620.3119250738184,5328.76964611434,482.91452464145186,7547.56159917058,40,0.6236189560004277
early_optical_clear_probe,4291446997,11,7,11,1.0,True,816.600566973045,8982.606236703496,5646.6062367034965,28233.03118351748,2765.0,553,520,0.9403254972875226,33,0,516,11,11,11,10,10,2103.872727272727,5365.199999999998,5452.798263311596,8982.606236703496,387,0.48880119800014654
early_optical_clear_probe,1698866270,12,7,12,1.0,True,685.9150774026156,8230.980928831386,5674.980928831385,28374.90464415694,2110.0,422,384,0.909952606635071,38,0,386,12,12,12,7,7,1165.4687014537233,4541.138143767643,535.519004556301,6666.842993954724,40,0.6169858600042062
early_optical_clear_probe,44365831,15,8,15,1.0,True,567.7280221796415,8515.920332694623,5769.920332694627,28849.60166347314,2255.0,451,400,0.8869179600886918,51,0,416,15,15,15,10,10,1755.4083438422608,5040.173865886616,738.2094711314122,8515.920332694623,60,0.6185710799982189
early_optical_clear_probe,1975052011,16,8,16,1.0,True,517.5135864940216,8280.217383904346,5867.217383904347,29336.086919521753,1975.0,395,348,0.8810126582278481,47,0,358,16,16,16,7,7,1610.02477433374,4496.220110854493,770.7852294803456,8280.217383904346,60,0.5789049140003044
early_optical_clear_probe,2222203190,10,3,10,1.0,True,840.452248405107,8404.52248405107,5541.522484051069,27707.61242025536,2375.0,475,440,0.9263157894736842,35,0,438,10,10,10,3,3,1017.3593582714315,6123.716693677435,464.6450885119639,8345.52248405107,40,0.615559577003296
early_optical_clear_probe,4203662554,16,6,16,1.0,True,475.1113027321933,7601.7808437150925,5466.780843715094,27333.90421857548,1735.0,347,301,0.8674351585014409,46,0,314,18,18,16,6,6,1194.048442899427,6645.232168874544,454.36394398186394,7601.7808437150925,40,0.6791350430066814
early_optical_clear_probe,1822668520,16,10,16,1.0,True,389.52246449682866,6232.359431949259,4453.35943194926,22266.797159746304,1435.0,287,239,0.8327526132404182,48,0,264,16,16,16,9,9,720.7292394638399,3449.949164356867,1071.9377939596523,6232.359431949259,77,0.6933419220003998
early_optical_clear_probe,2826888429,14,6,14,1.0,True,612.6530885068339,8577.143239095674,5885.143239095675,29425.716195478373,2215.0,443,401,0.9051918735891648,42,0,407,14,14,14,4,4,2020.4259868224824,4640.290728899275,690.1921170099174,8577.143239095674,60,0.5777332770012436
early_optical_clear_probe,941288844,16,8,16,1.0,True,400.71817124978406,6411.490739996545,4597.490739996544,22987.45369998272,1460.0,292,246,0.8424657534246576,46,0,268,18,18,16,6,6,1693.2795547527844,4532.192936519921,727.9914702024913,6411.490739996545,60,0.699188602004142
early_optical_clear_probe,2474560596,12,7,12,1.0,True,746.3277155045572,8955.932586054687,5834.932586054692,29174.662930273473,2580.0,516,479,0.9282945736434108,37,0,481,12,12,12,7,7,2179.200362243977,6132.900131437775,491.71914740635555,8955.932586054687,40,0.6732120509986999
early_optical_clear_probe,1460553863,13,7,13,1.0,True,678.4072234032584,8819.293904242359,6028.2939042423595,30141.46952121181,2300.0,460,422,0.9173913043478261,38,0,423,14,14,13,6,6,2357.4423094757462,6239.4944498968,475.83544763079266,8819.293904242359,40,0.8030452230013907
early_optical_clear_probe,1887144257,11,4,11,1.0,True,797.9163916903625,8777.080308593988,5693.080308593986,28465.401542969943,2555.0,511,482,0.9432485322896281,29,0,474,11,11,11,5,5,2176.43035169038,5020.0039056075575,2304.542914437467,8186.756439750808,174,0.5916494209959637
early_optical_clear_probe,897343921,15,5,15,1.0,True,572.5592947521271,8588.389421281907,5764.389421281906,28821.94710640953,2315.0,463,416,0.8984881209503239,47,0,425,18,18,15,4,4,1912.4123621043502,6361.178992184962,450.8914321854847,8588.389421281907,40,0.6639920210000128
early_optical_clear_probe,2306949962,12,6,12,1.0,True,735.84824499695,8830.1789399634,5788.178939963398,28940.894699817,2515.0,503,465,0.9244532803180915,38,0,467,12,12,12,4,4,1730.0230695371672,5430.584254548143,713.6702216368038,8054.175778955263,60,0.5760502350021852
early_optical_clear_probe,1752425034,16,12,16,1.0,True,504.65372460675593,8074.459593708095,5742.459593708095,28712.297968540486,1905.0,381,338,0.8871391076115486,43,0,344,17,17,16,11,11,1803.939322726815,5221.864571461633,778.9224016352986,8051.459593708095,60,0.6351783940044697
early_optical_clear_probe,1405562583,16,5,16,1.0,True,435.64758409259707,6970.361345481553,4973.361345481553,24866.80672740778,1620.0,324,278,0.8580246913580247,46,0,294,17,17,16,5,5,823.8368685814887,5865.545039447804,512.7751763077631,6970.361345481553,40,0.6484919940048712
early_optical_clear_probe,3462569163,12,5,12,1.0,True,716.2228684215189,8594.674421058227,5564.674421058225,27823.37210529114,2505.0,501,466,0.9301397205588823,35,0,465,12,12,12,5,5,2304.8051080613373,6051.188865712301,482.3796587589235,8371.59512003397,40,0.5718497229972854
early_optical_clear_probe,4048504386,12,7,12,1.0,True,737.449400070551,8849.392800846612,5759.39280084661,28796.964004233065,2555.0,511,477,0.9334637964774951,34,0,475,12,12,12,5,5,2141.443882298824,5824.13289765921,1577.1728480290865,8367.006043143418,120,0.5293332610017387
early_optical_clear_probe,3859238259,11,8,11,1.0,True,762.7507811269883,8390.25859239687,5430.25859239687,27151.29296198436,2450.0,490,455,0.9285714285714286,35,0,455,11,11,11,5,5,1160.4325128179537,4146.478820498745,1515.2935244670484,7544.160162396824,119,0.5807290279990411
early_optical_clear_probe,2369844340,16,7,16,1.0,True,474.0159654381233,7584.255447009973,5252.255447009974,26261.277235049867,1905.0,381,327,0.8582677165354331,54,0,347,16,16,16,2,2,1869.024625735958,5851.619978520535,468.1778780673468,7584.255447009973,40,0.608046932000434
early_optical_clear_probe,320511883,12,7,12,1.0,True,714.4393135141695,8573.271762170034,5664.271762170033,28321.358810850186,2405.0,481,441,0.9168399168399168,40,0,444,12,12,12,3,3,2036.7938958221973,6799.624539137989,516.7153210587003,7833.913471303136,40,0.49257183900044765
early_optical_clear_probe,1878977103,13,8,13,1.0,True,687.4977871967753,8937.471233558079,6035.471233558078,30177.3561677904,2395.0,479,440,0.918580375782881,39,0,442,13,13,13,6,6,1468.1057157087864,6680.492726515409,418.2727958014764,8937.471233558079,40,0.6914839210003265
early_optical_clear_probe,1570293519,13,7,13,1.0,True,625.9859199461242,8137.8169592996155,5444.816959299616,27224.084796498082,2220.0,444,404,0.9099099099099099,40,0,408,13,13,13,5,5,1000.9268943840136,5920.625789801054,491.7524787706341,8096.8169592996155,40,0.5370656320010312
early_optical_clear_probe,3063495776,12,5,12,1.0,True,655.9397873653019,7871.277448383622,5062.277448383623,25311.387241918128,2320.0,464,427,0.9202586206896551,37,0,429,12,12,12,5,5,1331.201714108003,5863.628649677749,742.144331125118,7871.277448383622,59,0.4463909049954964
early_optical_clear_probe,4200393811,13,5,13,1.0,True,642.212645041361,8348.764385537694,5356.7643855376955,26783.82192768848,2470.0,494,455,0.9210526315789473,39,0,457,13,13,13,1,1,1810.7395391126547,4128.412822311815,789.1347073147324,8348.764385537694,60,0.6036824049951974
early_optical_clear_probe,1909720803,10,6,10,1.0,True,871.3118233899155,8713.118233899155,5496.118233899156,27480.59116949579,2670.0,534,505,0.9456928838951311,29,0,497,10,10,10,5,5,2259.269527679189,5309.133482953569,506.99536379201186,8288.696687770207,40,0.5814670510008
early_optical_clear_probe,2542283703,11,5,11,1.0,True,751.4618271963976,8266.080099160374,5407.080099160375,27035.400495801878,2365.0,473,441,0.9323467230443975,32,0,436,12,12,11,3,3,1640.9853563433303,4131.160719703727,2017.1380631292018,8213.080099160374,151,0.581026154999563
early_optical_clear_probe,699429319,16,7,16,1.0,True,470.83935520276253,7533.4296832442005,5323.4296832442005,26617.14841622101,1800.0,360,309,0.8583333333333333,51,0,327,17,17,16,5,5,1258.8725691815216,3855.6927893997663,480.17223343934654,7533.4296832442005,40,0.6970798470065347
early_optical_clear_probe,1768351629,10,8,10,1.0,True,905.5804215093109,9055.804215093109,5748.804215093109,28744.02107546556,2745.0,549,523,0.9526411657559198,26,0,512,10,10,10,5,5,2485.6949710424174,4221.292356419475,2072.035587975444,8817.349549355353,153,0.5660214750023442
early_optical_clear_probe,373358200,11,10,11,1.0,True,798.411232720504,8782.523559925545,5577.523559925544,27887.61779962774,2655.0,531,501,0.943502824858757,30,0,495,11,11,11,11,11,2472.6116895473165,6023.057554558967,457.6406833749378,8533.369157970288,40,0.5268371929996647
early_optical_clear_probe,150288151,13,9,13,1.0,True,688.2527017616104,8947.285122900936,5809.2851229009375,29046.425614504707,2590.0,518,478,0.9227799227799228,40,0,483,13,13,13,10,10,1666.9642984929128,5698.167940203934,3066.528328301686,8947.285122900936,227,0.5139361460023792
early_optical_clear_probe,490643133,13,6,13,1.0,True,719.0010171293031,9347.01322268094,6144.013222680936,30720.06611340469,2645.0,529,487,0.9206049149338374,42,0,493,13,13,13,7,7,2026.260594970446,7409.535602978945,705.345206067488,8928.38268828322,60,0.5563460339981248
early_optical_clear_probe,1034207569,15,12,15,1.0,True,631.4242560858604,9471.363841287906,6813.3638412879045,34066.81920643953,2180.0,436,383,0.8784403669724771,53,0,400,16,16,15,14,14,1474.784713825093,5176.737914894204,2035.5780284468963,9471.363841287906,152,0.6454513460048474
early_optical_clear_probe,2431908849,15,6,15,1.0,True,580.0350799929079,8700.526199893618,5652.526199893617,28262.63099946809,2505.0,501,455,0.908183632734531,46,0,465,16,16,15,6,6,2757.54563401669,7460.864864067374,491.25515310657323,8700.526199893618,40,0.5706429519996163
early_optical_clear_probe,4280083111,14,7,14,1.0,True,613.5727227384228,8590.018118337919,5661.018118337921,28305.090591689615,2410.0,482,435,0.9024896265560166,47,0,446,15,15,14,10,10,1194.1727041932972,4971.248495543177,1011.7996746751998,8590.018118337919,80,0.6072464989993023
early_optical_clear_probe,2026414697,10,4,10,1.0,True,845.5347064712553,8455.347064712552,5410.347064712553,27051.735323562774,2525.0,505,474,0.9386138613861386,31,0,470,10,10,10,5,5,1870.8190427193022,5232.472921036545,447.73615576513,8077.075262193353,40,0.5787108690055902
early_optical_clear_probe,2117610097,14,5,14,1.0,True,595.6538997643986,8339.15459670158,5623.154596701582,28115.77298350792,2235.0,447,401,0.8970917225950783,46,0,411,14,14,14,5,5,2231.950128356952,6708.782924388696,473.3500817943971,7668.083471104898,40,0.6473583939950913
early_optical_clear_probe,2161903738,10,2,10,1.0,True,798.0392973774577,7980.3929737745775,5198.392973774578,25991.96486887291,2305.0,461,432,0.9370932754880694,29,0,427,10,10,10,1,1,696.0504615838593,2333.306375091218,431.7082202640454,6475.12871759227,40,0.5790476969996234
early_optical_clear_probe,1734095830,11,8,11,1.0,True,745.6184003890153,8201.802404279168,5266.80240427917,26334.012021395858,2430.0,486,452,0.9300411522633745,34,0,450,11,11,11,10,10,1110.417912571237,5820.21157168721,2275.2805854348794,8201.802404279168,168,0.6506394460011506
early_optical_clear_probe,127841267,15,12,15,1.0,True,562.3892146606267,8435.838219909401,5906.838219909403,29534.19109954702,2075.0,415,374,0.9012048192771084,41,0,379,15,15,15,11,11,1712.9764336267529,6327.045918335628,445.14493245529763,8435.838219909401,40,0.7565428279995103
early_optical_clear_probe,2452981113,16,12,16,1.0,True,511.0122156321773,8176.195450114837,5794.1954501148375,28970.977250574193,1945.0,389,337,0.8663239074550129,52,0,354,17,17,16,11,11,1720.4119370020999,5264.5234677320095,483.32976489366763,8176.195450114837,40,0.6933217870027875
early_optical_clear_probe,4047663185,11,4,11,1.0,True,783.1654613764902,8614.820075141391,5655.82007514139,28279.10037570696,2450.0,490,457,0.9326530612244898,33,0,451,12,12,11,5,5,1379.7319973931562,3245.6151604219367,1263.994541002325,8614.820075141391,93,0.6177854720008327
early_optical_clear_probe,649817966,11,5,11,1.0,True,770.898059302636,8479.878652328996,5533.878652328999,27669.393261645007,2440.0,488,458,0.9385245901639344,30,0,451,11,11,11,3,3,2323.3794310604067,5761.556140431974,2006.2213680448438,8479.878652328996,154,0.650778610004636
early_optical_clear_probe,2128994306,11,1,11,1.0,True,714.8087852518391,7862.89663777023,5233.896637770232,26169.48318885117,2175.0,435,402,0.9241379310344827,33,0,399,11,11,11,1,1,1134.2921058304144,2310.768860689093,716.0877784916987,7809.89663777023,60,0.711730406001152
early_optical_clear_probe,890894774,16,7,16,1.0,True,505.01831183686943,8080.292989389911,5696.2929893899145,28481.464946949585,1950.0,390,346,0.8871794871794871,44,0,354,16,16,16,2,2,1630.249114323345,5707.81484580928,457.15904843942013,8080.292989389911,40,0.6680142940022051
