strategy,seed,channel,first_seen_time_s,directional
replacement_aware_clear_probe,1053799946,8,47.0,True
replacement_aware_clear_probe,1053799946,11,65.0,True
replacement_aware_clear_probe,1053799946,16,95.0,True
replacement_aware_clear_probe,1053799946,12,318.2,True
replacement_aware_clear_probe,1053799946,10,330.2,True
replacement_aware_clear_probe,1053799946,3,372.2,True
replacement_aware_clear_probe,1053799946,9,583.4,True
replacement_aware_clear_probe,1053799946,17,631.4,True
replacement_aware_clear_probe,1053799946,4,1607.9772690787977,True
replacement_aware_clear_probe,1053799946,5,4621.243096821376,True
replacement_aware_clear_probe,1053799946,1,4639.243096821376,True
replacement_aware_clear_probe,1053799946,15,4856.443096821376,True
replacement_aware_clear_probe,1053799946,2,6651.7086032230945,True
replacement_aware_clear_probe,1053799946,6,8115.839536840235,True
replacement_aware_clear_probe,1053799946,19,8157.839536840235,True
replacement_aware_clear_probe,3769781415,5,29.0,True
replacement_aware_clear_probe,3769781415,12,71.0,True
replacement_aware_clear_probe,3769781415,13,77.0,True
replacement_aware_clear_probe,3769781415,7,348.2,True
replacement_aware_clear_probe,3769781415,2,378.2,True
replacement_aware_clear_probe,3769781415,11,854.5999999999999,True
replacement_aware_clear_probe,3769781415,1,1911.2727525718342,True
replacement_aware_clear_probe,3769781415,18,2658.8727525718336,True
replacement_aware_clear_probe,3769781415,14,3161.848015190155,True
replacement_aware_clear_probe,3769781415,16,3173.848015190155,True
replacement_aware_clear_probe,3769781415,4,4332.123536173542,True
replacement_aware_clear_probe,3769781415,8,5848.115959147151,True
replacement_aware_clear_probe,3769781415,19,6639.198903859703,True
replacement_aware_clear_probe,3769781415,6,7401.182939532905,True
replacement_aware_clear_probe,54363013,8,47.0,True
replacement_aware_clear_probe,54363013,11,65.0,True
replacement_aware_clear_probe,54363013,14,83.0,True
replacement_aware_clear_probe,54363013,17,101.0,True
replacement_aware_clear_probe,54363013,18,282.2,True
replacement_aware_clear_probe,54363013,15,619.4,True
replacement_aware_clear_probe,54363013,5,890.5999999999999,True
replacement_aware_clear_probe,54363013,4,1427.0,True
replacement_aware_clear_probe,54363013,2,1439.0,True
replacement_aware_clear_probe,54363013,20,1861.4,True
replacement_aware_clear_probe,54363013,19,2398.95927973265,True
replacement_aware_clear_probe,54363013,9,4529.746133559229,True
replacement_aware_clear_probe,54363013,12,5033.537842235229,True
replacement_aware_clear_probe,54363013,16,5473.937842235228,True
replacement_aware_clear_probe,54363013,7,6393.104087485059,True
replacement_aware_clear_probe,54363013,6,7961.375690569654,True
replacement_aware_clear_probe,1790261668,6,35.0,True
replacement_aware_clear_probe,1790261668,8,47.0,True
replacement_aware_clear_probe,1790261668,18,107.0,True
replacement_aware_clear_probe,1790261668,19,113.0,True
replacement_aware_clear_probe,1790261668,16,294.2,True
replacement_aware_clear_probe,1790261668,7,348.2,True
replacement_aware_clear_probe,1790261668,5,360.2,True
replacement_aware_clear_probe,1790261668,3,372.2,True
replacement_aware_clear_probe,1790261668,2,591.3383300089114,True
replacement_aware_clear_probe,1790261668,4,603.3383300089114,True
replacement_aware_clear_probe,1790261668,9,627.3383300089114,True
replacement_aware_clear_probe,1790261668,14,657.3383300089114,True
replacement_aware_clear_probe,1790261668,17,868.4990327829645,True
replacement_aware_clear_probe,1790261668,13,892.4990327829645,True
replacement_aware_clear_probe,1790261668,12,3430.4381267745016,True
replacement_aware_clear_probe,1790261668,1,6333.771893417669,True
replacement_aware_clear_probe,1842799737,9,53.0,True
replacement_aware_clear_probe,1842799737,10,59.0,True
replacement_aware_clear_probe,1842799737,16,95.0,True
replacement_aware_clear_probe,1842799737,8,342.2,True
replacement_aware_clear_probe,1842799737,5,360.2,True
replacement_aware_clear_probe,1842799737,15,619.4,True
replacement_aware_clear_probe,1842799737,19,643.4,True
replacement_aware_clear_probe,1842799737,12,3841.055140217583,True
replacement_aware_clear_probe,1842799737,20,4532.839200002933,True
