strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
replacement_aware_clear_probe,1053799946,15,0,15,1.0,True,534.6645056539525,8019.9675848092875,5275.967584809288,26379.837924046456,2255.0,451,395,0.8758314855875832,56,0,414,15,15,15,0,0,2142.375286696025,6552.644208937214,413.1519699147336,7990.9675848092875,40,0.8016801470002974
replacement_aware_clear_probe,3769781415,14,0,14,1.0,True,572.8634696182887,8020.088574656042,5495.0885746560425,27475.442873280215,2075.0,415,367,0.8843373493975903,48,0,380,14,14,14,0,0,1619.8458274379232,5116.093558932553,427.0170050583584,7063.214900790358,40,0.6169918599989614
replacement_aware_clear_probe,54363013,16,0,16,1.0,True,478.40727212167127,7654.51635394674,5200.51635394674,26002.581769733715,2005.0,401,330,0.8229426433915212,71,0,369,16,16,16,0,0,1021.6297158027743,5344.910432902457,789.824635464156,7654.51635394674,60,0.6771390319991042
replacement_aware_clear_probe,1790261668,16,0,16,1.0,True,402.9172241742259,6446.6755867876145,4258.675586787614,21293.377933938074,1780.0,356,294,0.8258426966292135,62,0,328,16,16,16,0,0,640.7974095718669,5550.611336577804,490.1594692830843,6446.6755867876145,40,0.6614819110036478
replacement_aware_clear_probe,1842799737,12,0,12,1.0,True,693.162772147119,8317.953265765427,5390.953265765429,26954.766328827154,2420.0,484,435,0.8987603305785123,49,0,447,12,12,12,0,0,1252.6475914803607,5492.0433459282785,1518.9015020957168,7941.3274048920985,113,0.5649506310001016
replacement_aware_clear_probe,164208968,15,0,15,1.0,True,496.16563562599634,7442.484534389945,5243.484534389944,26217.42267194973,1800.0,360,303,0.8416666666666667,57,0,324,15,15,15,0,0,828.1059728478428,3643.860286634283,431.38164465190357,6786.182573506786,40,0.6217609879968222
replacement_aware_clear_probe,278802184,13,0,13,1.0,True,639.3927909985257,8312.106282980834,5354.106282980836,26770.531414904184,2440.0,488,437,0.8954918032786885,51,0,453,13,13,13,0,0,2130.782390014613,5672.987525562359,481.3571649383751,8131.161254812459,40,0.5376289869964239
replacement_aware_clear_probe,184571676,14,0,14,1.0,True,583.7596361180596,8172.634905652834,5216.634905652838,26083.174528264193,2435.0,487,426,0.8747433264887063,61,0,451,14,14,14,0,0,1393.2409440769134,5069.012479613259,1289.4190842056885,7619.023730404357,100,0.670619014003023
replacement_aware_clear_probe,3873771518,11,0,11,1.0,True,739.1947915562038,8131.142707118242,5179.142707118243,25895.71353559122,2445.0,489,443,0.9059304703476483,46,0,452,11,11,11,0,0,1094.0101886525872,3376.9436896400903,466.48100625819006,8131.142707118242,40,0.6046796290029306
replacement_aware_clear_probe,886997678,15,0,15,1.0,True,532.4950722322151,7987.426083483227,5572.426083483228,27862.13041741614,1980.0,396,338,0.8535353535353535,58,0,360,15,15,15,0,0,1845.113322516325,5952.0657915709135,486.77136398953655,7641.32790436374,40,0.7402541720002773
replacement_aware_clear_probe,1087166466,16,0,16,1.0,True,478.67902089343875,7658.86433429502,5321.864334295021,26609.32167147511,1905.0,381,318,0.8346456692913385,63,0,352,16,16,16,0,0,1237.1842212904915,4883.118482384388,488.7468654568835,7658.86433429502,40,0.7493440219986951
replacement_aware_clear_probe,1162432340,11,0,11,1.0,True,732.3403734321802,8055.744107753982,5114.7441077539825,25573.720538769925,2435.0,487,445,0.9137577002053389,42,0,451,11,11,11,0,0,1386.7139838126504,3287.646669743118,473.58098911831723,6652.309042245929,40,0.5976925779978046
replacement_aware_clear_probe,1117783585,13,0,13,1.0,True,615.6639892604401,8003.631860385722,5184.631860385723,25923.15930192862,2325.0,465,416,0.8946236559139785,49,0,429,13,13,13,0,0,2056.3948401758207,4490.179496031873,1066.8149732905356,7238.801570631162,80,0.5803824700051337
replacement_aware_clear_probe,2534316816,16,0,16,1.0,True,488.79039308583293,7820.646289373327,5208.646289373328,26043.231446866652,2140.0,428,368,0.8598130841121495,60,0,392,16,16,16,0,0,1759.015699749888,4897.171097918096,1801.9912297698038,7820.646289373327,135,0.5890011340015917
replacement_aware_clear_probe,1904114223,10,0,10,1.0,True,864.9554668722405,8649.554668722405,5389.554668722406,26947.773343612047,2705.0,541,492,0.9094269870609981,49,0,505,10,10,10,0,0,413.87747900753146,2063.502581132881,762.0523673958198,8590.554668722405,60,0.6424023569998099
replacement_aware_clear_probe,1514700374,11,0,11,1.0,True,771.5416414257827,8486.95805568361,5520.958055683608,27604.790278418048,2455.0,491,452,0.9205702647657841,39,0,456,11,11,11,0,0,561.6716602131409,3588.450392980942,771.2307411195932,7924.656647986936,60,0.6485255910010892
replacement_aware_clear_probe,2642041299,16,0,16,1.0,True,280.24508640179636,4483.921382428742,3406.9213824287413,17034.606912143703,840.0,168,109,0.6488095238095238,59,0,157,16,16,16,0,0,556.5031382933389,1755.8076276384716,781.4349683819959,4483.921382428742,60,0.7790432689944282
replacement_aware_clear_probe,1843083214,14,0,14,1.0,True,582.5008575191453,8155.012005268034,5350.012005268034,26750.060026340183,2310.0,462,408,0.8831168831168831,54,0,425,14,14,14,0,0,2010.7445772480585,6197.014173554454,439.9773818274175,8120.012005268034,40,0.854629813999054
replacement_aware_clear_probe,3861206136,12,0,12,1.0,True,666.3313002379225,7995.97560285507,5132.975602855071,25664.87801427535,2365.0,473,430,0.9090909090909091,43,0,438,12,12,12,0,0,1894.1432219044289,5228.129883529507,474.13510792844886,7800.028815441329,40,0.607501685997704
replacement_aware_clear_probe,1999573381,16,0,16,1.0,True,408.1999008892834,6531.198414228535,4874.1984142285355,24370.99207114268,1335.0,267,198,0.7415730337078652,69,0,242,16,16,16,0,0,425.0811201876188,3547.92961238284,502.25610353968705,6531.198414228535,40,0.9333156829961808
replacement_aware_clear_probe,4264525963,13,0,13,1.0,True,623.660170633792,8107.582218239295,5383.582218239296,26917.911091196496,2245.0,449,397,0.8841870824053452,52,0,414,13,13,13,0,0,1267.5052600146048,5725.1285413321975,1034.2505501115118,7893.155884637399,80,0.5791668910023873
replacement_aware_clear_probe,3651140486,16,0,16,1.0,True,430.58865465795833,6889.418474527333,4916.418474527334,24582.09237263667,1600.0,320,261,0.815625,59,0,293,16,16,16,0,0,1153.7119196773513,4956.144950360586,478.62423891071165,6889.418474527333,40,0.7256396659940947
replacement_aware_clear_probe,4105295568,14,0,14,1.0,True,569.0044377348619,7966.062128288067,5362.062128288067,26810.31064144034,2140.0,428,372,0.8691588785046729,56,0,394,14,14,14,0,0,724.5274132994385,4480.09189309607,512.9304430528845,7931.062128288067,40,0.6271345119967009
replacement_aware_clear_probe,4248708046,11,0,11,1.0,True,724.8499601882515,7973.349562070767,5057.349562070769,25286.747810353856,2415.0,483,443,0.917184265010352,40,0,446,11,11,11,0,0,1170.6868478750928,3007.9625626697584,492.14824727154985,7210.493384323036,40,0.5025101110004471
replacement_aware_clear_probe,2800649260,10,0,10,1.0,True,820.9106568083835,8209.106568083835,5286.106568083835,26430.532840419193,2425.0,485,451,0.9298969072164949,34,0,448,10,10,10,0,0,488.4511426796642,2546.8019420851033,437.7987859939622,8209.106568083835,40,0.6013918469980126
replacement_aware_clear_probe,1642323226,15,0,15,1.0,True,521.1960454346869,7817.940681520303,5294.940681520303,26474.703407601533,2070.0,414,358,0.8647342995169082,55,1,378,15,15,15,0,0,1987.1261576703719,5326.32753388649,654.4,7375.994728980834,60,0.7378252310008975
replacement_aware_clear_probe,2274123099,10,0,10,1.0,True,810.7647434675357,8107.6474346753575,5363.647434675359,26818.237173376812,2275.0,455,413,0.9076923076923077,42,0,419,10,10,10,0,0,251.71572576111413,1455.7572576111413,770.0822304652963,4642.690624708236,60,0.6433033760040416
replacement_aware_clear_probe,1725951587,13,0,13,1.0,True,624.2450536311941,8115.185697205523,5285.185697205523,26425.928486027628,2335.0,467,417,0.892933618843683,50,0,430,13,13,13,0,0,1310.4563127253111,4116.476962202998,426.5766670582297,7723.119777877115,40,0.6170218389961519
replacement_aware_clear_probe,3226422763,14,0,14,1.0,True,523.9433878362901,7335.207429708062,4732.207429708063,23661.03714854032,2140.0,428,374,0.8738317757009346,54,0,393,14,14,14,0,0,1128.2719092368789,5410.672121100908,735.3009002314556,7335.207429708062,60,0.5046966330046416
