strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
certified_geometry_clear_probe,3994878760,10,8,10,1.0,True,924.0938221085098,9240.938221085098,5998.938221085099,29994.691105425496,2690.0,538,508,0.9442379182156134,30,0,502,10,10,10,9,9,2587.7737539590116,6166.78007903781,1464.5344195500625,8954.453377546368,114,0.9423826679994818
certified_geometry_clear_probe,3446493538,11,5,11,1.0,True,804.7577160112343,8852.334876123577,6025.334876123578,30126.674380617897,2340.0,468,434,0.9273504273504274,34,0,432,11,11,11,5,5,1246.4461547951576,3672.4092658615345,790.8295699038122,7993.397698824324,60,1.0856575880025048
certified_geometry_clear_probe,1278112619,16,5,16,1.0,True,449.62722754209574,7194.035640673532,5288.035640673532,26440.178203367665,1545.0,309,259,0.8381877022653722,50,0,281,16,16,16,3,3,1174.233948254222,5095.617733890235,676.2231064402195,7194.035640673532,58,1.6682118160024402
certified_geometry_clear_probe,4265401991,15,9,15,1.0,True,607.2965106071406,9109.447659107109,6544.447659107106,32722.23829553553,2105.0,421,373,0.8859857482185273,48,0,385,15,15,15,10,10,1506.0588446451916,5981.622881094715,445.56771149140366,8760.5934274401,40,1.177445177003392
certified_geometry_clear_probe,428302697,16,8,16,1.0,True,576.0634952764826,9217.015924423722,6665.015924423719,33325.07962211859,2090.0,418,375,0.8971291866028708,43,0,382,16,16,16,5,5,2835.8047192210743,7451.970828685747,962.2564775822033,9217.015924423722,78,1.181092565995641
certified_geometry_clear_probe,4291446997,11,7,11,1.0,True,781.5744099012009,8597.31850891321,5807.318508913211,29036.592544566058,2310.0,462,429,0.9285714285714286,33,0,425,11,11,11,9,9,597.4289277810544,2245.358656249846,468.4821992838513,6084.1516529956425,40,1.1568172460029018
certified_geometry_clear_probe,1698866270,12,7,12,1.0,True,702.6586752066365,8431.904102479639,5786.904102479637,28934.52051239818,2185.0,437,396,0.9061784897025171,41,0,400,12,12,12,4,4,1321.4884183039903,5330.217178579371,736.2884552820253,7248.2672346889185,60,1.1371592419964145
certified_geometry_clear_probe,44365831,15,8,15,1.0,True,574.7734132247912,8621.601198371867,6188.601198371868,30943.005991859347,1995.0,399,340,0.8521303258145363,59,0,363,15,15,15,5,5,1678.9441336647649,6695.394894288477,745.2649226747499,8372.958413832583,60,1.459254699999292
certified_geometry_clear_probe,1975052011,16,8,16,1.0,True,516.1094780095766,8257.751648153226,5739.751648153227,28698.75824076614,2060.0,412,358,0.8689320388349514,54,0,378,16,16,16,9,9,2134.9359599138647,6404.392867573292,1002.9970432229417,8257.751648153226,80,1.5416931470026611
certified_geometry_clear_probe,2222203190,10,3,10,1.0,True,834.1733661927183,8341.733661927183,5706.733661927183,28533.66830963591,2185.0,437,401,0.9176201372997712,36,0,400,10,10,10,1,1,673.1703299722888,1860.9227210306467,482.24773021729044,7836.231922329232,40,1.1655751020007301
