strategy,seed,channel,first_seen_time_s,directional
certified_geometry_clear_probe,3994878760,8,47.0,True
certified_geometry_clear_probe,3994878760,20,119.0,True
certified_geometry_clear_probe,3994878760,19,277.0,False
certified_geometry_clear_probe,3994878760,15,301.0,True
certified_geometry_clear_probe,3994878760,7,349.0,False
certified_geometry_clear_probe,3994878760,9,2095.729812987859,True
certified_geometry_clear_probe,3994878760,11,5011.409215854816,True
certified_geometry_clear_probe,3994878760,14,5749.409215854816,True
certified_geometry_clear_probe,3994878760,17,5761.409215854816,True
certified_geometry_clear_probe,3994878760,3,6166.78007903781,True
certified_geometry_clear_probe,3446493538,9,53.0,False
certified_geometry_clear_probe,3446493538,12,71.0,True
certified_geometry_clear_probe,3446493538,16,95.0,True
certified_geometry_clear_probe,3446493538,18,107.0,True
certified_geometry_clear_probe,3446493538,7,349.0,False
certified_geometry_clear_probe,3446493538,3,373.0,True
certified_geometry_clear_probe,3446493538,10,931.8399525810653,False
certified_geometry_clear_probe,3446493538,19,1227.8399525810653,False
certified_geometry_clear_probe,3446493538,4,3382.4092658615345,False
certified_geometry_clear_probe,3446493538,20,3448.4092658615345,True
certified_geometry_clear_probe,3446493538,2,3672.4092658615345,False
certified_geometry_clear_probe,1278112619,9,53.0,False
certified_geometry_clear_probe,1278112619,11,65.0,False
certified_geometry_clear_probe,1278112619,14,83.0,False
certified_geometry_clear_probe,1278112619,17,101.0,True
certified_geometry_clear_probe,1278112619,18,107.0,False
certified_geometry_clear_probe,1278112619,20,119.0,False
certified_geometry_clear_probe,1278112619,13,313.0,False
certified_geometry_clear_probe,1278112619,10,331.0,False
certified_geometry_clear_probe,1278112619,7,349.0,True
certified_geometry_clear_probe,1278112619,1,537.0,False
certified_geometry_clear_probe,1278112619,2,543.0,False
certified_geometry_clear_probe,1278112619,16,1715.325885292803,False
certified_geometry_clear_probe,1278112619,5,2155.0909094971394,True
certified_geometry_clear_probe,1278112619,4,2161.0909094971394,True
certified_geometry_clear_probe,1278112619,19,5059.617733890235,True
certified_geometry_clear_probe,1278112619,6,5095.617733890235,False
certified_geometry_clear_probe,4265401991,6,35.0,True
certified_geometry_clear_probe,4265401991,7,41.0,True
certified_geometry_clear_probe,4265401991,9,53.0,True
certified_geometry_clear_probe,4265401991,10,59.0,False
certified_geometry_clear_probe,4265401991,15,89.0,False
certified_geometry_clear_probe,4265401991,17,101.0,False
certified_geometry_clear_probe,4265401991,13,313.0,False
certified_geometry_clear_probe,4265401991,1,518.873306223737,False
certified_geometry_clear_probe,4265401991,4,536.873306223737,False
certified_geometry_clear_probe,4265401991,16,1583.416943620272,True
certified_geometry_clear_probe,4265401991,5,1836.6641229668605,True
certified_geometry_clear_probe,4265401991,19,3517.04111238134,True
certified_geometry_clear_probe,4265401991,3,3747.04111238134,True
certified_geometry_clear_probe,4265401991,11,4178.349884785872,True
certified_geometry_clear_probe,4265401991,2,5981.622881094715,True
certified_geometry_clear_probe,428302697,10,59.0,True
certified_geometry_clear_probe,428302697,13,77.0,False
certified_geometry_clear_probe,428302697,14,83.0,False
certified_geometry_clear_probe,428302697,15,89.0,False
certified_geometry_clear_probe,428302697,19,277.0,False
certified_geometry_clear_probe,428302697,5,361.0,True
certified_geometry_clear_probe,428302697,2,379.0,True
certified_geometry_clear_probe,428302697,12,1141.7020717510757,True
certified_geometry_clear_probe,428302697,1,4350.138223778326,False
certified_geometry_clear_probe,428302697,18,4410.138223778326,True
certified_geometry_clear_probe,428302697,11,4592.138223778326,False
certified_geometry_clear_probe,428302697,6,4616.138223778326,True
certified_geometry_clear_probe,428302697,4,4622.138223778326,False
certified_geometry_clear_probe,428302697,8,6142.323673565597,True
certified_geometry_clear_probe,428302697,20,6721.187814643139,False
certified_geometry_clear_probe,428302697,3,7451.970828685747,True
certified_geometry_clear_probe,4291446997,2,11.0,True
certified_geometry_clear_probe,4291446997,6,35.0,True
certified_geometry_clear_probe,4291446997,13,77.0,True
certified_geometry_clear_probe,4291446997,17,101.0,False
certified_geometry_clear_probe,4291446997,8,343.0,False
certified_geometry_clear_probe,4291446997,7,349.0,True
certified_geometry_clear_probe,4291446997,5,361.0,True
certified_geometry_clear_probe,4291446997,20,650.1046465791301,True
certified_geometry_clear_probe,4291446997,16,1118.2065233875073,True
certified_geometry_clear_probe,4291446997,18,1281.0483793751148,False
certified_geometry_clear_probe,4291446997,3,2245.358656249846,False
certified_geometry_clear_probe,1698866270,12,71.0,False
certified_geometry_clear_probe,1698866270,17,101.0,False
certified_geometry_clear_probe,1698866270,18,107.0,True
certified_geometry_clear_probe,1698866270,19,113.0,True
certified_geometry_clear_probe,1698866270,11,325.0,False
certified_geometry_clear_probe,1698866270,3,549.0,False
certified_geometry_clear_probe,1698866270,13,609.0,True
