strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
ida_heuristic_clear_probe,1053799946,15,15,15,1.0,True,586.0935312755337,8791.402969133005,6280.402969133003,31402.01484566502,2060.0,412,375,0.9101941747572816,37,0,376,15,15,15,10,10,2611.927757180748,7480.875549686336,786.556602847474,8104.69502091474,60,0.9022399749956094
ida_heuristic_clear_probe,3769781415,14,14,14,1.0,True,640.3002630935217,8964.203683309304,6044.203683309307,30221.018416546536,2405.0,481,439,0.9126819126819127,42,0,445,14,14,14,14,14,2022.9970206344838,7789.734655470736,1249.5682821185592,8726.530593269323,100,0.7517376399991917
ida_heuristic_clear_probe,54363013,16,16,16,1.0,True,563.5375311777976,9016.600498844762,6426.60049884476,32133.00249422381,2120.0,424,379,0.8938679245283019,45,0,390,16,16,16,11,11,2739.053889283108,7520.709437226045,420.78677379628056,9016.600498844762,40,0.9059894360034377
ida_heuristic_clear_probe,1790261668,16,16,16,1.0,True,401.82808595174026,6429.249375227844,4506.249375227845,22531.246876139234,1555.0,311,263,0.8456591639871383,48,0,285,17,17,16,15,15,1003.0367242620714,6011.182313779508,491.6928071326498,6429.249375227844,40,0.9475508339965018
ida_heuristic_clear_probe,1842799737,12,12,12,1.0,True,709.140904411472,8509.690852937663,5848.690852937662,29243.45426468832,2195.0,439,405,0.9225512528473804,34,0,403,13,13,12,5,5,1873.3349924670458,4382.301390424234,460.83279599277853,6492.508640239073,40,0.7020519799989415
ida_heuristic_clear_probe,164208968,15,15,15,1.0,True,575.9788901682225,8639.683352523338,5882.683352523333,29413.416762616678,2265.0,453,407,0.8984547461368654,46,0,417,15,15,15,12,12,2098.7631643177856,7576.175467079888,764.4630059156697,8281.498434191923,60,0.6808991780053475
ida_heuristic_clear_probe,278802184,13,13,13,1.0,True,658.1876837535606,8556.439888796287,5622.439888796285,28112.199443981444,2420.0,484,450,0.9297520661157025,34,0,449,13,13,13,6,6,3005.0185266095705,7798.138720214049,439.18710166340014,8556.439888796287,40,0.7272388619967387
ida_heuristic_clear_probe,184571676,14,14,14,1.0,True,632.8011271527695,8859.215780138773,6167.215780138771,30836.078900693872,2215.0,443,401,0.9051918735891648,42,0,407,14,14,14,16,16,1857.888799901805,6303.00268501181,1301.5128189782558,8859.215780138773,98,0.8264326950011309
ida_heuristic_clear_probe,3873771518,11,11,11,1.0,True,811.3782588977682,8925.16084787545,5982.160847875449,29910.804239377256,2435.0,487,454,0.9322381930184805,33,0,453,11,11,11,12,12,1737.5201641501737,8210.677096757472,762.5171650933954,8925.16084787545,60,0.6822962300066138
ida_heuristic_clear_probe,886997678,15,15,15,1.0,True,618.3562752254278,9275.344128381417,6226.344128381417,31131.720641907083,2510.0,502,456,0.9083665338645418,46,0,464,15,15,15,10,10,2631.828663820269,8201.263751518765,762.0856791308806,9275.344128381417,60,0.7780757129949052
