strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
ida_heuristic_clear_probe,1053799946,15,0,15,1.0,True,486.82091246269067,7302.31368694036,5077.313686940361,25386.568434701814,1820.0,364,321,0.8818681318681318,43,0,330,15,15,15,0,0,1304.8322891754772,3460.55254686254,462.21673964442436,6997.366332178091,40,0.8982251880006515
ida_heuristic_clear_probe,3769781415,14,0,14,1.0,True,545.689363822906,7639.651093520683,5574.651093520683,27873.255467603427,1685.0,337,294,0.8724035608308606,43,0,301,17,17,14,0,0,921.0070270601892,3830.6694963329273,423.5112081211297,7407.31812827537,40,1.1315738100020098
ida_heuristic_clear_probe,54363013,16,0,16,1.0,True,386.7900627263987,6188.641003622379,4410.641003622378,22053.205018111894,1435.0,287,237,0.8257839721254355,50,0,263,16,16,16,0,0,848.1240882792819,3894.699693498858,510.9499027963773,6188.641003622379,40,0.830087188995094
ida_heuristic_clear_probe,1790261668,16,0,16,1.0,True,399.97085435681157,6399.533669708985,4561.533669708987,22807.668348544932,1485.0,297,251,0.8451178451178452,46,0,270,17,17,16,0,0,1393.330099432626,5068.2150918620955,709.9834588840848,6399.533669708985,57,0.9479726459976519
ida_heuristic_clear_probe,1842799737,12,0,12,1.0,True,645.6213490902365,7747.456189082838,5205.456189082837,26027.280945414197,2095.0,419,384,0.9164677804295943,35,0,384,13,13,12,0,0,822.3344482122446,4096.955228956023,954.8346167920847,7345.869012797447,78,1.0633856620042934
ida_heuristic_clear_probe,164208968,15,0,15,1.0,True,462.33345611272847,6935.001841690927,5076.001841690928,25380.00920845464,1515.0,303,259,0.8547854785478548,44,0,269,15,15,15,0,0,540.1343792456092,2600.2464758536626,438.1804751584574,6436.534334627468,40,0.7901908450003248
ida_heuristic_clear_probe,278802184,13,0,13,1.0,True,597.8129435710231,7771.5682664233,5257.5682664233,26287.841332116514,2070.0,414,376,0.9082125603864735,38,0,379,13,13,13,0,0,1694.459120275003,5251.039374185744,443.9001213191815,7338.008076522416,40,0.7981254500045907
ida_heuristic_clear_probe,184571676,14,0,14,1.0,True,530.6200203768109,7428.680285275353,5277.6802852753535,26388.40142637678,1760.0,352,309,0.8778409090909091,43,0,318,15,15,14,0,0,1159.8354885745637,3981.5277208799007,483.2056347122825,6938.894062638584,40,0.8978304409974953
ida_heuristic_clear_probe,3873771518,11,0,11,1.0,True,736.9878383218049,8106.866221539854,5394.866221539855,26974.33110769929,2240.0,448,414,0.9241071428571429,34,0,414,12,12,11,0,0,1662.1811037982252,4024.1408723303625,962.8144736840699,7327.992609925867,78,0.6274920560026658
ida_heuristic_clear_probe,886997678,15,0,15,1.0,True,504.3726632135275,7565.589948202913,5617.589948202912,28087.94974101457,1590.0,318,275,0.8647798742138365,43,0,283,15,15,15,0,0,1246.3211513754527,5784.428804971305,459.70837838528894,6324.57530987252,40,1.2161241169960704
ida_heuristic_clear_probe,1087166466,16,0,16,1.0,True,400.52839088712335,6408.454254193974,4770.4542541939745,23852.271270969883,1320.0,264,218,0.8257575757575758,46,0,235,17,17,16,0,0,1048.2594745785,5643.085285078058,469.04903516235964,6408.454254193974,40,0.9169728310007486
ida_heuristic_clear_probe,1162432340,11,0,11,1.0,True,694.547980242688,7640.027782669568,5227.027782669569,26135.138913347855,1995.0,399,368,0.9223057644110275,31,0,363,11,11,11,0,0,708.7617703534319,3693.761157178049,476.0817882010955,7285.694397493552,40,1.0125462770010927
ida_heuristic_clear_probe,1117783585,13,0,13,1.0,True,584.7043068068567,7601.155988489137,5221.155988489137,26105.779942445697,1960.0,392,356,0.9081632653061225,36,0,355,13,13,13,0,0,1142.8908724504204,4060.5711752727907,441.72923521086403,7215.576133150401,40,0.6997657640022226
ida_heuristic_clear_probe,2534316816,16,0,16,1.0,True,379.13992017064646,6066.238722730343,3931.2387227303448,19656.19361365173,1735.0,347,297,0.8559077809798271,50,0,320,16,16,16,0,0,1546.936169821819,4649.495561731333,506.46513111303943,5926.747597927858,40,0.8042877970001427
ida_heuristic_clear_probe,1904114223,10,0,10,1.0,True,816.0588563921661,8160.588563921661,5465.588563921661,27327.942819608317,2230.0,446,417,0.9349775784753364,29,0,409,12,12,10,0,0,701.5523449548,5460.923449548,711.8033635818019,7729.474165075096,57,1.044430927002395
