strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,1053799946,15,15,15,1.0,True,545.8056549415779,8187.084824123669,5634.084824123668,28170.424120618354,2095.0,419,380,0.9069212410501193,39,0,383,15,15,15,11,11,2073.4954529665947,4926.835014263712,786.556602847474,8187.084824123669,60,1.1969736750033917
geometry_early_optical_clear_probe,3769781415,14,14,14,1.0,True,606.1664348358454,8486.330087701836,5495.3300877018355,27476.65043850918,2465.0,493,451,0.9148073022312373,42,0,456,14,14,14,9,9,2751.046993099702,7584.187793570133,740.5037389426484,8486.330087701836,60,0.8984414250007831
geometry_early_optical_clear_probe,54363013,16,16,16,1.0,True,569.2440121445724,9107.904194313158,6255.904194313158,31279.520971565802,2340.0,468,424,0.905982905982906,44,0,432,16,16,16,11,11,3415.99044469443,8709.091416213318,420.78677379628056,9107.904194313158,40,1.3564062750083394
geometry_early_optical_clear_probe,1790261668,16,16,16,1.0,True,422.6160293737407,6761.856469979851,4732.856469979853,23664.282349899273,1645.0,329,282,0.8571428571428571,47,0,304,16,16,16,13,13,1233.4376002766435,6335.477265604427,491.6928071326498,6761.856469979851,40,1.4759462930087466
geometry_early_optical_clear_probe,1842799737,12,12,12,1.0,True,728.116046269029,8737.392555228347,6007.392555228345,30036.962776141747,2255.0,451,421,0.9334811529933481,30,0,415,12,12,12,5,5,1849.8464850894406,8111.999783798061,460.83279599277853,8347.604297849022,40,0.817251608998049
geometry_early_optical_clear_probe,164208968,15,15,15,1.0,True,573.5788901682225,8603.683352523338,5882.683352523333,29413.416762616678,2235.0,447,401,0.8970917225950783,46,0,411,15,15,15,12,12,2073.0031643177854,7189.775467079889,764.4630059156697,7895.098434191922,60,1.067455930999131
geometry_early_optical_clear_probe,278802184,13,13,13,1.0,True,658.1876837535606,8556.439888796287,5622.439888796285,28112.199443981444,2420.0,484,450,0.9297520661157025,34,0,449,13,13,13,6,6,3005.0185266095705,7798.138720214049,439.18710166340014,8556.439888796287,40,0.8746812300087186
geometry_early_optical_clear_probe,184571676,14,14,14,1.0,True,628.801917858953,8803.226850025341,6075.226850025341,30376.13425012671,2245.0,449,406,0.9042316258351893,43,0,413,14,14,14,17,17,1652.1354744514942,5197.265335991856,1301.5128189782558,8803.226850025341,98,1.238621937998687
geometry_early_optical_clear_probe,3873771518,11,11,11,1.0,True,822.3090155036796,9045.399170540475,6175.399170540473,30876.995852702385,2375.0,475,443,0.9326315789473684,32,0,440,11,11,11,11,11,1822.835491413847,7807.281216279979,762.5171650933954,9045.399170540475,60,0.8983846170012839
geometry_early_optical_clear_probe,886997678,15,15,15,1.0,True,618.3562752254278,9275.344128381417,6226.344128381417,31131.720641907083,2510.0,502,456,0.9083665338645418,46,0,464,15,15,15,10,10,2631.828663820269,8201.263751518765,762.0856791308806,9275.344128381417,60,1.2674889430054463
geometry_early_optical_clear_probe,1087166466,16,16,16,1.0,True,518.5958347425833,8297.533355881333,5924.533355881334,29622.66677940668,1935.0,387,337,0.8708010335917312,50,0,358,16,16,16,7,7,2972.6910877920973,7918.906227999701,733.5235388990434,8297.533355881333,60,0.9347560630121734
geometry_early_optical_clear_probe,1162432340,11,11,11,1.0,True,784.2547681252962,8626.802449378258,5542.802449378259,27714.012246891307,2555.0,511,480,0.9393346379647749,31,0,474,11,11,11,10,10,1594.7829986613228,6273.308736011095,1438.008813720515,7990.902608785873,116,0.8875211070117075
geometry_early_optical_clear_probe,1117783585,13,13,13,1.0,True,676.5257452014038,8794.83468761825,6102.83468761825,30514.173438091268,2220.0,444,407,0.9166666666666666,37,0,407,13,13,13,11,11,1482.4534342958573,6872.47558935138,486.616409390468,8519.766296616874,40,1.0257826439919882
geometry_early_optical_clear_probe,2534316816,16,16,16,1.0,True,489.57507949503844,7833.201271920615,5694.201271920616,28471.006359603085,1740.0,348,301,0.8649425287356322,47,0,319,16,16,16,14,14,2330.3838055427436,7006.687586593043,1515.7072035214399,7833.201271920615,115,1.088124293994042
geometry_early_optical_clear_probe,1904114223,10,10,10,1.0,True,848.9114822939176,8489.114822939177,5517.114822939176,27585.57411469589,2465.0,493,468,0.949290060851927,25,0,457,10,10,10,5,5,1551.9808191473537,6660.815664353711,532.0124583080346,7232.137407833995,40,0.7373627870110795
geometry_early_optical_clear_probe,1514700374,11,11,11,1.0,True,856.5157806102609,9421.67358671287,6264.673586712866,31323.367933564343,2615.0,523,493,0.9426386233269598,30,0,487,11,11,11,6,6,2767.313507995852,8009.370198224831,3245.0903068973785,9421.67358671287,229,0.9458356579998508
