strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,1053799946,8,47.0,True
geometry_early_optical_clear_probe,1053799946,11,65.0,True
geometry_early_optical_clear_probe,1053799946,16,95.0,True
geometry_early_optical_clear_probe,1053799946,19,276.2,True
geometry_early_optical_clear_probe,1053799946,15,300.2,True
geometry_early_optical_clear_probe,1053799946,6,354.2,True
geometry_early_optical_clear_probe,1053799946,5,360.2,True
geometry_early_optical_clear_probe,1053799946,1,1281.1866946529326,True
geometry_early_optical_clear_probe,1053799946,17,3551.6350142637125,True
geometry_early_optical_clear_probe,1053799946,9,3581.6350142637125,True
geometry_early_optical_clear_probe,1053799946,3,3768.8350142637123,True
geometry_early_optical_clear_probe,1053799946,12,3804.8350142637123,True
geometry_early_optical_clear_probe,1053799946,4,4221.235014263712,True
geometry_early_optical_clear_probe,1053799946,10,4468.435014263712,True
geometry_early_optical_clear_probe,1053799946,2,4926.835014263712,True
geometry_early_optical_clear_probe,3769781415,5,29.0,True
geometry_early_optical_clear_probe,3769781415,12,71.0,True
geometry_early_optical_clear_probe,3769781415,13,77.0,True
geometry_early_optical_clear_probe,3769781415,2,378.2,True
geometry_early_optical_clear_probe,3769781415,1,384.2,True
geometry_early_optical_clear_probe,3769781415,18,1721.6558314187369,True
geometry_early_optical_clear_probe,3769781415,16,1953.566643984926,True
geometry_early_optical_clear_probe,3769781415,14,2142.003153065959,True
geometry_early_optical_clear_probe,3769781415,4,3240.451790582229,True
geometry_early_optical_clear_probe,3769781415,8,5062.948172693461,True
geometry_early_optical_clear_probe,3769781415,7,5068.948172693461,True
geometry_early_optical_clear_probe,3769781415,19,5298.148172693461,True
geometry_early_optical_clear_probe,3769781415,6,5503.348172693461,True
geometry_early_optical_clear_probe,3769781415,11,7584.187793570133,True
geometry_early_optical_clear_probe,54363013,8,47.0,True
geometry_early_optical_clear_probe,54363013,11,65.0,True
geometry_early_optical_clear_probe,54363013,14,83.0,True
geometry_early_optical_clear_probe,54363013,17,101.0,True
geometry_early_optical_clear_probe,54363013,18,282.2,True
geometry_early_optical_clear_probe,54363013,19,643.9781419760545,True
geometry_early_optical_clear_probe,54363013,9,2903.8503745349217,True
geometry_early_optical_clear_probe,54363013,12,3286.231728742391,True
geometry_early_optical_clear_probe,54363013,16,3786.631728742391,True
geometry_early_optical_clear_probe,54363013,5,4215.03172874239,True
geometry_early_optical_clear_probe,54363013,15,4257.03172874239,True
geometry_early_optical_clear_probe,54363013,7,4611.4462804299565,True
geometry_early_optical_clear_probe,54363013,6,5333.18694214639,True
geometry_early_optical_clear_probe,54363013,2,8159.583522420341,True
geometry_early_optical_clear_probe,54363013,4,8171.583522420341,True
geometry_early_optical_clear_probe,54363013,20,8709.091416213318,True
geometry_early_optical_clear_probe,1790261668,6,35.0,True
geometry_early_optical_clear_probe,1790261668,8,47.0,True
geometry_early_optical_clear_probe,1790261668,18,107.0,True
geometry_early_optical_clear_probe,1790261668,19,113.0,True
geometry_early_optical_clear_probe,1790261668,16,294.2,True
geometry_early_optical_clear_probe,1790261668,7,348.2,True
geometry_early_optical_clear_probe,1790261668,5,360.2,True
geometry_early_optical_clear_probe,1790261668,3,372.2,True
geometry_early_optical_clear_probe,1790261668,2,589.0504871449012,True
geometry_early_optical_clear_probe,1790261668,14,649.0504871449012,True
geometry_early_optical_clear_probe,1790261668,17,810.8208600247661,True
geometry_early_optical_clear_probe,1790261668,13,834.8208600247661,True
geometry_early_optical_clear_probe,1790261668,9,2670.8204649334243,True
geometry_early_optical_clear_probe,1790261668,4,2688.8204649334243,True
geometry_early_optical_clear_probe,1790261668,1,3479.3407146156846,True
geometry_early_optical_clear_probe,1790261668,12,6335.477265604427,True
geometry_early_optical_clear_probe,1842799737,9,53.0,True
geometry_early_optical_clear_probe,1842799737,10,59.0,True
geometry_early_optical_clear_probe,1842799737,16,95.0,True
geometry_early_optical_clear_probe,1842799737,12,318.2,True
geometry_early_optical_clear_probe,1842799737,6,583.6545254631208,True
geometry_early_optical_clear_probe,1842799737,8,1804.8898013962114,True
geometry_early_optical_clear_probe,1842799737,5,1822.8898013962114,True
geometry_early_optical_clear_probe,1842799737,15,2064.0898013962114,True
geometry_early_optical_clear_probe,1842799737,19,2082.0898013962114,True
geometry_early_optical_clear_probe,1842799737,13,2222.872740502014,True
geometry_early_optical_clear_probe,1842799737,20,2980.4715657252473,True
geometry_early_optical_clear_probe,1842799737,1,8111.999783798061,True
geometry_early_optical_clear_probe,164208968,2,11.0,True
geometry_early_optical_clear_probe,164208968,4,23.0,True
geometry_early_optical_clear_probe,164208968,11,65.0,True
geometry_early_optical_clear_probe,164208968,16,95.0,True
geometry_early_optical_clear_probe,164208968,17,101.0,True
geometry_early_optical_clear_probe,164208968,8,342.2,True
geometry_early_optical_clear_probe,164208968,15,619.4,True
geometry_early_optical_clear_probe,164208968,6,1851.345732312381,True
geometry_early_optical_clear_probe,164208968,1,1881.345732312381,True
geometry_early_optical_clear_probe,164208968,19,2416.7585636421404,True
geometry_early_optical_clear_probe,164208968,7,2655.1149621651653,True
geometry_early_optical_clear_probe,164208968,12,4202.89949379808,True
geometry_early_optical_clear_probe,164208968,14,4805.603756728373,True
geometry_early_optical_clear_probe,164208968,9,4835.603756728373,True
geometry_early_optical_clear_probe,164208968,20,7189.775467079889,True
geometry_early_optical_clear_probe,278802184,7,41.0,True
geometry_early_optical_clear_probe,278802184,9,53.0,True
geometry_early_optical_clear_probe,278802184,12,71.0,True
geometry_early_optical_clear_probe,278802184,16,294.2,True
geometry_early_optical_clear_probe,278802184,8,342.2,True
geometry_early_optical_clear_probe,278802184,6,2090.621133731608,True
geometry_early_optical_clear_probe,278802184,17,2138.621133731608,True
geometry_early_optical_clear_probe,278802184,19,4523.34311065473,True
geometry_early_optical_clear_probe,278802184,18,4692.543110654729,True
geometry_early_optical_clear_probe,278802184,5,4933.743110654729,True
geometry_early_optical_clear_probe,278802184,1,5916.815263141483,True
geometry_early_optical_clear_probe,278802184,4,6170.015263141483,True
geometry_early_optical_clear_probe,278802184,20,7798.138720214049,True
geometry_early_optical_clear_probe,184571676,1,5.0,True
geometry_early_optical_clear_probe,184571676,2,11.0,True
geometry_early_optical_clear_probe,184571676,4,23.0,True
geometry_early_optical_clear_probe,184571676,10,59.0,True
geometry_early_optical_clear_probe,184571676,13,77.0,True
geometry_early_optical_clear_probe,184571676,16,95.0,True
geometry_early_optical_clear_probe,184571676,15,300.2,True
geometry_early_optical_clear_probe,184571676,6,354.2,True
geometry_early_optical_clear_probe,184571676,7,2403.616179326168,True
geometry_early_optical_clear_probe,184571676,3,2427.616179326168,True
geometry_early_optical_clear_probe,184571676,5,2892.0161793261677,True
