strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,3994878760,10,8,10,1.0,True,866.9317180348778,8669.317180348778,5464.317180348779,27321.585901743903,2660.0,532,501,0.9417293233082706,31,0,495,10,10,10,6,6,2004.4549700888342,5012.232846383665,1515.8352421828297,8439.319919709029,113,0.8695363900042139
geometry_early_optical_clear_probe,3446493538,11,5,11,1.0,True,752.8178458335336,8280.99630416887,5669.99630416887,28349.98152084436,2160.0,432,399,0.9236111111111112,33,0,396,11,11,11,4,4,1259.6567059825193,3760.9505630134386,787.8580113856257,8133.998970146405,60,0.6883524220029358
geometry_early_optical_clear_probe,1278112619,16,5,16,1.0,True,379.9302086899752,6078.883339039603,4364.883339039604,21824.416695198022,1380.0,276,228,0.8260869565217391,48,0,254,16,16,16,4,4,1344.7812210417706,4929.421478565748,507.91830642012553,6078.883339039603,40,0.9905339020042447
geometry_early_optical_clear_probe,4265401991,15,9,15,1.0,True,563.8297141586788,8457.445712380182,6066.44571238018,30332.228561900916,1960.0,392,351,0.8954081632653061,41,0,356,15,15,15,5,5,1473.3518696203287,5442.642238670388,444.30324407595697,8103.505855841356,40,0.9825201919884421
geometry_early_optical_clear_probe,428302697,16,8,16,1.0,True,492.4545915940092,7879.273465504147,5533.273465504148,27666.367327520744,1915.0,383,341,0.8903394255874674,42,0,351,16,16,16,6,6,2604.6219244427693,6993.267948931166,484.4293622871532,7879.273465504147,40,0.9556288280000445
geometry_early_optical_clear_probe,4291446997,11,7,11,1.0,True,760.9355276436731,8370.290804080405,5508.290804080404,27541.454020402034,2370.0,474,445,0.9388185654008439,29,0,437,11,11,11,7,7,1252.4042836084893,5718.695091691294,467.26731270163395,7170.880859444413,40,0.8422179850022076
geometry_early_optical_clear_probe,1698866270,12,7,12,1.0,True,670.7166739259941,8048.6000871119295,5450.6000871119295,27253.000435559665,2145.0,429,396,0.9230769230769231,33,0,393,12,12,12,2,2,1801.8894192935659,4808.442315811063,1008.6868698424864,5704.949140529537,75,0.7652324119990226
geometry_early_optical_clear_probe,44365831,15,8,15,1.0,True,519.1968815079051,7787.953222618577,5618.953222618576,28094.766113092894,1775.0,355,308,0.8676056338028169,47,0,319,15,15,15,3,3,1309.0316474407714,4725.759043777818,741.7858822201202,7787.953222618577,60,1.3186873770027887
geometry_early_optical_clear_probe,1975052011,16,8,16,1.0,True,456.9699819606943,7311.519711371109,5241.51971137111,26207.598556855566,1690.0,338,289,0.8550295857988166,49,0,300,16,16,16,5,5,779.9797261796616,2618.160710242684,437.6762804090356,7311.519711371109,40,1.0834838580049109
geometry_early_optical_clear_probe,2222203190,10,3,10,1.0,True,840.3046419511638,8403.046419511638,5579.046419511639,27895.232097558204,2340.0,468,433,0.9252136752136753,35,0,431,11,11,10,2,2,854.772766311243,2589.6405826847017,479.9920696942342,8403.046419511638,40,1.0012482619931689
geometry_early_optical_clear_probe,4203662554,16,6,16,1.0,True,351.57665614118866,5625.226498259019,4235.226498259019,21176.1324912951,1110.0,222,179,0.8063063063063063,43,0,200,16,16,16,2,2,673.4616558685013,3621.1496017266513,443.5632561559598,5625.226498259019,40,1.1655560520011932
geometry_early_optical_clear_probe,1822668520,16,10,16,1.0,True,354.09394754946044,5665.503160791367,4088.5031607913666,20442.515803956834,1265.0,253,204,0.8063241106719368,49,0,232,16,16,16,9,9,726.5594260877855,3561.577892692358,454.92758413088075,5665.503160791367,40,1.3516256360016996
geometry_early_optical_clear_probe,2826888429,14,6,14,1.0,True,572.8817898144814,8020.34505740274,5572.345057402742,27861.725287013713,2010.0,402,360,0.8955223880597015,42,0,365,15,15,14,6,6,1080.4034523214457,3329.910262786405,713.2121471844687,8020.34505740274,60,0.9488440309942234
geometry_early_optical_clear_probe,941288844,16,8,16,1.0,True,317.8808303673048,5086.0932858768765,3735.093285876876,18675.46642938438,1075.0,215,167,0.7767441860465116,48,0,196,16,16,16,5,5,829.7054266028605,2483.1918662662465,768.0005645807965,5086.0932858768765,60,0.8922595769981854
geometry_early_optical_clear_probe,2474560596,12,7,12,1.0,True,710.2519809555976,8523.023771467171,5627.023771467171,28135.11885733586,2390.0,478,442,0.9246861924686193,36,0,443,13,13,12,6,6,1645.5807181619987,4933.810161805284,491.7747405139384,7617.445622284494,40,0.8323065619915724
geometry_early_optical_clear_probe,1460553863,13,7,13,1.0,True,654.7001056445517,8511.101373379173,5866.101373379174,29330.50686689588,2180.0,436,400,0.9174311926605505,36,0,400,13,13,13,3,3,2123.0174421352426,5603.34979481149,475.83544763079266,7909.727317197829,40,0.8566565100045409
geometry_early_optical_clear_probe,1887144257,11,4,11,1.0,True,756.3284367951711,8319.612804746883,5378.612804746882,26893.064023734423,2435.0,487,458,0.9404517453798767,29,0,451,11,11,11,5,5,2020.0038290531281,5234.286507631674,731.8058844828123,7954.248406625455,60,0.9232857530005276
geometry_early_optical_clear_probe,897343921,15,5,15,1.0,True,502.99176687730557,7544.876503159583,5581.876503159583,27909.382515797934,1600.0,320,274,0.85625,46,0,285,16,16,15,3,3,632.6537589197517,3258.6134995284656,720.4007219263619,5606.396657095024,59,1.024302773992531
geometry_early_optical_clear_probe,2306949962,12,6,12,1.0,True,711.3834779926656,8536.601735911987,5577.601735911987,27888.008679559935,2445.0,489,451,0.9222903885480572,38,0,454,12,12,12,4,4,2376.129415386009,7173.854520873744,741.2161535292096,7825.499560833901,60,0.6676367920008488
geometry_early_optical_clear_probe,1752425034,16,12,16,1.0,True,497.7413664619036,7963.861863390458,5727.861863390459,28639.309316952298,1825.0,365,314,0.8602739726027397,51,0,331,16,16,16,9,9,1778.026472725606,7081.042418721212,479.64393270283824,7963.861863390458,40,1.2785292700136779
geometry_early_optical_clear_probe,1405562583,16,5,16,1.0,True,373.98277429229347,5983.7243886766955,4391.724388676697,21958.621943383492,1280.0,256,205,0.80078125,51,0,232,16,16,16,6,6,1083.2891876273975,4126.082478800726,504.2220303188833,5983.7243886766955,40,0.9593937809986528
geometry_early_optical_clear_probe,3462569163,12,5,12,1.0,True,717.0546991079464,8604.656389295356,5678.656389295356,28393.28194647679,2420.0,484,448,0.9256198347107438,36,0,446,12,12,12,6,6,2457.3388581760028,7595.944809525298,732.6592018033633,8604.656389295356,59,0.758622295994428
geometry_early_optical_clear_probe,4048504386,12,7,12,1.0,True,753.4683938736631,9041.620726483958,6076.6207264839595,30383.103632419807,2450.0,490,459,0.936734693877551,31,0,455,12,12,12,3,3,2246.634238100821,6484.077095672287,695.0809950329026,8886.358969481425,58,0.9751003700075671
geometry_early_optical_clear_probe,3859238259,11,8,11,1.0,True,790.637472135189,8697.012193487079,5971.012193487077,29855.060967435395,2250.0,450,415,0.9222222222222223,35,0,415,13,13,11,4,4,1593.1431703890178,4525.683702504594,771.3326609092813,7482.120531737612,59,0.8467095260130009
geometry_early_optical_clear_probe,2369844340,16,7,16,1.0,True,478.928903465827,7662.862455453232,5562.862455453233,27814.312277266174,1710.0,342,293,0.8567251461988304,49,0,310,16,16,16,2,2,1973.4220492399425,5194.086050314674,468.1778780673468,7662.862455453232,40,0.9910010489984415
geometry_early_optical_clear_probe,320511883,12,7,12,1.0,True,700.7346731760931,8408.816078113117,5503.816078113118,27519.0803905656,2395.0,479,441,0.9206680584551148,38,0,447,13,13,12,8,8,2115.5417018040635,6584.528626961643,478.1658570006954,7771.381565331101,40,0.8549042230006307
geometry_early_optical_clear_probe,1878977103,13,8,13,1.0,True,696.9297619200756,9060.086904960983,6165.086904960981,30825.434524804918,2390.0,478,438,0.9163179916317992,40,0,440,13,13,13,7,7,2531.7783700867053,7811.323098700685,498.6920124582257,9060.086904960983,40,0.8187344179896172
geometry_early_optical_clear_probe,1570293519,13,7,13,1.0,True,641.508413827318,8339.609379755135,5652.609379755135,28263.04689877568,2215.0,443,407,0.9187358916478555,36,0,407,13,13,13,6,6,1506.8144181492255,7272.767133686008,410.25895712947056,8170.726362298169,40,0.9938040819979506
geometry_early_optical_clear_probe,3063495776,12,5,12,1.0,True,652.7407826091313,7832.889391309575,5221.8893913095735,26109.44695654788,2155.0,431,392,0.9095127610208816,39,0,396,12,12,12,4,4,853.0010035429295,2192.6214969932853,466.84871765900596,6231.018764157607,40,0.8459496580035193
geometry_early_optical_clear_probe,4200393811,13,5,13,1.0,True,605.3578363221316,7869.651872187711,5183.651872187712,25918.259360938573,2215.0,443,406,0.9164785553047404,37,0,406,13,13,13,3,3,1164.519231891904,6002.181440241086,436.04293688119367,7828.651872187711,40,0.9361794109863695
geometry_early_optical_clear_probe,1909720803,10,6,10,1.0,True,893.5659346199236,8935.659346199236,5790.659346199235,28953.296730996186,2610.0,522,493,0.9444444444444444,29,0,485,10,10,10,2,2,1921.6980569204468,5088.712849303486,453.8212729983563,8475.744494963083,40,0.9643351510021603
