strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,1053799946,11,65.0,True
geometry_early_optical_clear_probe,1053799946,6,354.2,True
geometry_early_optical_clear_probe,1053799946,5,360.2,False
geometry_early_optical_clear_probe,1053799946,4,366.2,False
geometry_early_optical_clear_probe,1053799946,16,1025.2747993187413,True
geometry_early_optical_clear_probe,1053799946,8,1902.9222607829229,True
geometry_early_optical_clear_probe,1053799946,2,2192.1222607829227,False
geometry_early_optical_clear_probe,1053799946,17,2602.5222607829223,False
geometry_early_optical_clear_probe,1053799946,1,3126.922260782922,False
geometry_early_optical_clear_probe,1053799946,9,3341.912220893618,True
geometry_early_optical_clear_probe,1053799946,12,3577.1122208936176,True
geometry_early_optical_clear_probe,1053799946,15,4560.179125332562,True
geometry_early_optical_clear_probe,1053799946,3,4759.379125332562,True
geometry_early_optical_clear_probe,1053799946,19,4819.379125332562,True
geometry_early_optical_clear_probe,1053799946,10,6668.499627406836,False
geometry_early_optical_clear_probe,3769781415,5,29.0,True
geometry_early_optical_clear_probe,3769781415,11,65.0,False
geometry_early_optical_clear_probe,3769781415,14,306.2,True
geometry_early_optical_clear_probe,3769781415,13,312.2,False
geometry_early_optical_clear_probe,3769781415,4,366.2,True
geometry_early_optical_clear_probe,3769781415,18,1102.3063078406567,True
geometry_early_optical_clear_probe,3769781415,19,2229.7940356535782,False
geometry_early_optical_clear_probe,3769781415,2,2295.7940356535782,True
geometry_early_optical_clear_probe,3769781415,7,2476.994035653578,False
geometry_early_optical_clear_probe,3769781415,6,2917.3940356535777,False
geometry_early_optical_clear_probe,3769781415,12,3385.0479038795115,True
geometry_early_optical_clear_probe,3769781415,16,3397.0479038795115,True
geometry_early_optical_clear_probe,3769781415,1,4118.958318439426,False
geometry_early_optical_clear_probe,3769781415,8,4130.958318439426,False
geometry_early_optical_clear_probe,54363013,5,29.0,False
geometry_early_optical_clear_probe,54363013,6,35.0,False
geometry_early_optical_clear_probe,54363013,7,41.0,True
geometry_early_optical_clear_probe,54363013,8,47.0,True
geometry_early_optical_clear_probe,54363013,17,101.0,True
geometry_early_optical_clear_probe,54363013,19,276.2,True
geometry_early_optical_clear_probe,54363013,14,306.2,True
geometry_early_optical_clear_probe,54363013,2,541.4,False
geometry_early_optical_clear_probe,54363013,4,553.4,False
geometry_early_optical_clear_probe,54363013,18,637.4,False
geometry_early_optical_clear_probe,54363013,12,842.5999999999999,True
geometry_early_optical_clear_probe,54363013,9,1819.5017398598786,True
geometry_early_optical_clear_probe,54363013,20,2746.6888302764437,True
geometry_early_optical_clear_probe,54363013,16,3331.5472562752743,True
geometry_early_optical_clear_probe,54363013,11,4417.882529702615,True
geometry_early_optical_clear_probe,54363013,15,5328.363439244895,True
geometry_early_optical_clear_probe,1790261668,2,11.0,True
geometry_early_optical_clear_probe,1790261668,4,23.0,False
geometry_early_optical_clear_probe,1790261668,6,35.0,True
geometry_early_optical_clear_probe,1790261668,7,41.0,True
geometry_early_optical_clear_probe,1790261668,16,95.0,True
geometry_early_optical_clear_probe,1790261668,18,107.0,False
geometry_early_optical_clear_probe,1790261668,19,276.2,False
geometry_early_optical_clear_probe,1790261668,3,372.2,False
geometry_early_optical_clear_probe,1790261668,5,1055.4577406316741,True
geometry_early_optical_clear_probe,1790261668,14,1853.2998827506126,False
geometry_early_optical_clear_probe,1790261668,17,2173.4648384859365,True
geometry_early_optical_clear_probe,1790261668,9,2475.115464787292,True
geometry_early_optical_clear_probe,1790261668,1,2499.115464787292,True
geometry_early_optical_clear_probe,1790261668,13,4871.0728280463,True
geometry_early_optical_clear_probe,1790261668,12,5474.672828046299,True
geometry_early_optical_clear_probe,1790261668,8,6731.144122123253,False
geometry_early_optical_clear_probe,1842799737,8,47.0,False
geometry_early_optical_clear_probe,1842799737,16,95.0,False
geometry_early_optical_clear_probe,1842799737,20,119.0,False
geometry_early_optical_clear_probe,1842799737,15,300.2,False
geometry_early_optical_clear_probe,1842799737,6,354.2,False
geometry_early_optical_clear_probe,1842799737,9,609.8370746156991,True
geometry_early_optical_clear_probe,1842799737,13,633.8370746156991,True
geometry_early_optical_clear_probe,1842799737,5,1348.9317926708127,True
geometry_early_optical_clear_probe,1842799737,12,2230.82553516325,False
geometry_early_optical_clear_probe,1842799737,19,5239.96277616256,False
geometry_early_optical_clear_probe,1842799737,10,5421.16277616256,True
geometry_early_optical_clear_probe,1842799737,1,5602.362776162559,True
geometry_early_optical_clear_probe,164208968,2,11.0,True
geometry_early_optical_clear_probe,164208968,7,41.0,False
geometry_early_optical_clear_probe,164208968,8,47.0,False
geometry_early_optical_clear_probe,164208968,9,53.0,True
geometry_early_optical_clear_probe,164208968,11,65.0,True
geometry_early_optical_clear_probe,164208968,15,89.0,False
geometry_early_optical_clear_probe,164208968,17,101.0,False
geometry_early_optical_clear_probe,164208968,16,580.8503881063072,False
geometry_early_optical_clear_probe,164208968,14,796.7067133692142,False
geometry_early_optical_clear_probe,164208968,12,1101.5868579111966,True
geometry_early_optical_clear_probe,164208968,20,1286.1275897451976,False
geometry_early_optical_clear_probe,164208968,19,1292.1275897451976,False
geometry_early_optical_clear_probe,164208968,1,1376.1275897451976,False
geometry_early_optical_clear_probe,164208968,4,1762.9553974701334,True
geometry_early_optical_clear_probe,164208968,6,3711.3929990946285,True
geometry_early_optical_clear_probe,278802184,1,5.0,False
geometry_early_optical_clear_probe,278802184,6,35.0,False
geometry_early_optical_clear_probe,278802184,9,53.0,False
geometry_early_optical_clear_probe,278802184,7,348.2,True
geometry_early_optical_clear_probe,278802184,4,366.2,False
geometry_early_optical_clear_probe,278802184,17,2883.545640596038,True
geometry_early_optical_clear_probe,278802184,8,2937.545640596038,True
geometry_early_optical_clear_probe,278802184,19,3802.2150275424638,False
geometry_early_optical_clear_probe,278802184,12,3838.2150275424638,False
geometry_early_optical_clear_probe,278802184,16,4097.415027542464,False
geometry_early_optical_clear_probe,278802184,5,4283.365135221448,False
geometry_early_optical_clear_probe,278802184,20,4601.3941891139375,True
geometry_early_optical_clear_probe,278802184,18,5618.158615498539,True
geometry_early_optical_clear_probe,184571676,2,11.0,True
geometry_early_optical_clear_probe,184571676,3,17.0,True
geometry_early_optical_clear_probe,184571676,4,23.0,False
geometry_early_optical_clear_probe,184571676,7,41.0,True
geometry_early_optical_clear_probe,184571676,10,59.0,True
geometry_early_optical_clear_probe,184571676,16,95.0,True
geometry_early_optical_clear_probe,184571676,15,300.2,False
geometry_early_optical_clear_probe,184571676,14,613.4,True
geometry_early_optical_clear_probe,184571676,6,1616.2549603672742,True
geometry_early_optical_clear_probe,184571676,5,3079.2874220487515,False
geometry_early_optical_clear_probe,184571676,13,3935.074107341874,True
geometry_early_optical_clear_probe,184571676,18,3953.074107341874,False
geometry_early_optical_clear_probe,184571676,20,3965.074107341874,False
geometry_early_optical_clear_probe,184571676,1,7750.464501777959,True
geometry_early_optical_clear_probe,3873771518,1,5.0,True
geometry_early_optical_clear_probe,3873771518,12,71.0,False
geometry_early_optical_clear_probe,3873771518,13,77.0,True
geometry_early_optical_clear_probe,3873771518,15,89.0,False
geometry_early_optical_clear_probe,3873771518,20,119.0,False
geometry_early_optical_clear_probe,3873771518,16,294.2,False
geometry_early_optical_clear_probe,3873771518,4,366.2,False
geometry_early_optical_clear_probe,3873771518,14,547.1512134729469,True
geometry_early_optical_clear_probe,3873771518,2,3399.738888728409,True
geometry_early_optical_clear_probe,3873771518,5,3411.738888728409,True
geometry_early_optical_clear_probe,3873771518,3,4836.68252786741,False
geometry_early_optical_clear_probe,886997678,1,5.0,False
geometry_early_optical_clear_probe,886997678,8,47.0,False
geometry_early_optical_clear_probe,886997678,10,59.0,False
geometry_early_optical_clear_probe,886997678,14,83.0,False
geometry_early_optical_clear_probe,886997678,15,89.0,True
