strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,1576459951,14,14,14,1.0,True,566.8880533173365,7936.432746442711,5552.432746442711,27762.163732213558,1955.0,391,353,0.9028132992327366,38,0,356,15,15,14,7,7,1771.431754369738,6194.012459749984,1559.5779395483632,7373.027356944707,111,0.9709474539995426
geometry_early_optical_clear_probe,384323245,15,15,15,1.0,True,593.3778017499561,8900.667026249343,6438.66702624934,32193.33513124671,2015.0,403,360,0.8933002481389578,43,0,369,16,16,15,12,12,1534.1095516543205,5896.809686598938,443.7076167508858,8900.667026249343,40,1.2063555640052073
geometry_early_optical_clear_probe,1041717488,10,10,10,1.0,True,866.3088945897229,8663.088945897229,5775.088945897228,28875.444729486157,2395.0,479,451,0.941544885177453,28,0,443,10,10,10,7,7,1457.9817028046177,4445.717253027175,752.5095171754374,5515.316423705188,60,0.772888994004461
geometry_early_optical_clear_probe,1125002599,13,13,13,1.0,True,700.4159423119783,9105.407250055718,6109.407250055719,30547.036250278605,2470.0,494,462,0.9352226720647774,32,0,461,13,13,13,9,9,2593.927527479061,7090.7500478096645,1046.382719870074,9105.407250055718,79,0.8986451219971059
geometry_early_optical_clear_probe,3255090548,15,15,15,1.0,True,562.0644776966755,8430.967165450133,6186.9671654501335,30934.835827250678,1835.0,367,327,0.8910081743869209,40,0,331,16,16,15,8,8,1440.5482129890374,6252.3007070967005,454.71166817520384,8136.791130385289,40,1.1413566970004467
geometry_early_optical_clear_probe,2470809481,11,11,11,1.0,True,815.2165962677867,8967.382558945654,5795.382558945657,28976.91279472829,2625.0,525,495,0.9428571428571428,30,0,489,12,12,11,6,6,2981.5186639904136,6805.44510091542,1073.8455206594022,8967.382558945654,80,0.7486342280026292
geometry_early_optical_clear_probe,4271233244,14,14,14,1.0,True,604.0018539431048,8456.025955203468,6023.025955203467,30115.129776017344,2000.0,400,364,0.91,36,0,363,14,14,14,8,8,2192.440440642343,5217.1480650565345,1287.6053384695872,7379.223050604048,96,1.0024951380037237
geometry_early_optical_clear_probe,916723418,10,10,10,1.0,True,912.900321502022,9129.00321502022,6077.003215020222,30385.01607510112,2525.0,505,475,0.9405940594059405,30,0,468,13,13,10,11,11,1312.5828028804112,4020.5112741570983,716.3316750535722,9129.00321502022,60,0.8391604619973805
geometry_early_optical_clear_probe,465826193,12,12,12,1.0,True,750.3932865761376,9004.719438913651,5851.719438913653,29258.59719456827,2610.0,522,488,0.9348659003831418,34,0,483,12,12,12,9,9,2948.4656996375256,7632.035445279034,473.994841432061,9004.719438913651,40,1.0591868969931966
geometry_early_optical_clear_probe,3322109742,16,16,16,1.0,True,475.73662080914767,7611.785932946363,5418.785932946363,27093.929664731833,1785.0,357,311,0.8711484593837535,46,0,325,17,17,16,10,10,2250.7923669076376,7320.679880581345,763.0063539629368,7611.785932946363,60,1.3581488399941009
geometry_early_optical_clear_probe,3955963,11,11,11,1.0,True,733.0328409443335,8063.361250387669,5357.36125038767,26786.80625193836,2240.0,448,421,0.9397321428571429,27,0,411,11,11,11,6,6,856.5363423201452,3283.959467424317,441.55447350118254,7011.922135711938,40,0.8792601199966157
geometry_early_optical_clear_probe,1937370126,13,13,13,1.0,True,680.6813782626042,8848.857917413854,5871.857917413855,29359.289587069285,2455.0,491,456,0.9287169042769857,35,0,454,14,14,13,7,7,3408.018831031705,8276.210779914112,991.8778490379434,8649.576627769513,76,0.8028758900036337
geometry_early_optical_clear_probe,3297476196,14,14,14,1.0,True,620.7206863042005,8690.089608258808,6004.089608258808,30020.448041294057,2205.0,441,407,0.9229024943310657,34,0,405,16,16,14,3,3,3132.9132640789835,7534.101265102392,466.21545849067996,8690.089608258808,40,1.0204731629928574
