strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,3004209202,3,17.0,True
geometry_early_optical_clear_probe,3004209202,8,47.0,False
geometry_early_optical_clear_probe,3004209202,14,83.0,False
geometry_early_optical_clear_probe,3004209202,17,101.0,False
geometry_early_optical_clear_probe,3004209202,19,276.2,False
geometry_early_optical_clear_probe,3004209202,7,1388.5085173052319,True
geometry_early_optical_clear_probe,3004209202,12,4276.946276184819,True
geometry_early_optical_clear_probe,3004209202,6,4512.146276184819,False
geometry_early_optical_clear_probe,3004209202,20,5211.746276184818,True
geometry_early_optical_clear_probe,3004209202,10,6219.219478261251,True
geometry_early_optical_clear_probe,1075638280,2,11.0,False
geometry_early_optical_clear_probe,1075638280,5,29.0,False
geometry_early_optical_clear_probe,1075638280,6,35.0,True
geometry_early_optical_clear_probe,1075638280,9,53.0,True
geometry_early_optical_clear_probe,1075638280,14,83.0,False
geometry_early_optical_clear_probe,1075638280,15,89.0,True
geometry_early_optical_clear_probe,1075638280,16,95.0,False
geometry_early_optical_clear_probe,1075638280,20,270.2,False
geometry_early_optical_clear_probe,1075638280,19,276.2,False
geometry_early_optical_clear_probe,1075638280,18,282.2,False
geometry_early_optical_clear_probe,1075638280,17,288.2,True
geometry_early_optical_clear_probe,1075638280,8,342.2,True
geometry_early_optical_clear_probe,1075638280,3,372.2,True
geometry_early_optical_clear_probe,1075638280,7,631.311649894859,False
geometry_early_optical_clear_probe,1075638280,11,649.311649894859,False
geometry_early_optical_clear_probe,1075638280,12,1179.1895401298586,True
geometry_early_optical_clear_probe,3435766820,1,5.0,True
geometry_early_optical_clear_probe,3435766820,2,11.0,False
geometry_early_optical_clear_probe,3435766820,5,29.0,True
geometry_early_optical_clear_probe,3435766820,10,59.0,False
geometry_early_optical_clear_probe,3435766820,11,65.0,False
geometry_early_optical_clear_probe,3435766820,12,71.0,False
geometry_early_optical_clear_probe,3435766820,13,77.0,False
geometry_early_optical_clear_probe,3435766820,17,101.0,False
geometry_early_optical_clear_probe,3435766820,18,107.0,True
geometry_early_optical_clear_probe,3435766820,7,727.358211439329,True
geometry_early_optical_clear_probe,3435766820,14,751.358211439329,False
geometry_early_optical_clear_probe,3435766820,3,2362.9987427833735,False
geometry_early_optical_clear_probe,2741131346,3,17.0,False
geometry_early_optical_clear_probe,2741131346,10,59.0,True
geometry_early_optical_clear_probe,2741131346,12,71.0,False
geometry_early_optical_clear_probe,2741131346,14,83.0,True
geometry_early_optical_clear_probe,2741131346,2,2335.6203289328037,False
geometry_early_optical_clear_probe,2741131346,11,3189.070551965875,False
geometry_early_optical_clear_probe,2741131346,20,3382.270551965875,False
geometry_early_optical_clear_probe,2741131346,8,3442.270551965875,True
geometry_early_optical_clear_probe,2741131346,7,3448.270551965875,False
geometry_early_optical_clear_probe,2741131346,1,6148.867926840509,False
geometry_early_optical_clear_probe,2072736783,4,23.0,False
geometry_early_optical_clear_probe,2072736783,5,29.0,True
geometry_early_optical_clear_probe,2072736783,6,35.0,False
geometry_early_optical_clear_probe,2072736783,10,59.0,False
geometry_early_optical_clear_probe,2072736783,17,101.0,True
geometry_early_optical_clear_probe,2072736783,13,312.2,True
geometry_early_optical_clear_probe,2072736783,9,565.4825561862141,False
geometry_early_optical_clear_probe,2072736783,20,625.4825561862141,True
geometry_early_optical_clear_probe,2072736783,2,1094.5375784745347,False
geometry_early_optical_clear_probe,2072736783,1,1100.5375784745347,True
geometry_early_optical_clear_probe,2072736783,3,1226.8788812404803,True
geometry_early_optical_clear_probe,2072736783,14,1262.8788812404803,False
geometry_early_optical_clear_probe,2072736783,18,1280.8788812404803,False
geometry_early_optical_clear_probe,2072736783,12,3845.4945822246,True
geometry_early_optical_clear_probe,2072736783,7,3869.4945822246,True
geometry_early_optical_clear_probe,2072736783,15,6238.974075046448,True
geometry_early_optical_clear_probe,1943678328,5,29.0,False
geometry_early_optical_clear_probe,1943678328,7,41.0,True
geometry_early_optical_clear_probe,1943678328,18,107.0,True
geometry_early_optical_clear_probe,1943678328,19,113.0,False
geometry_early_optical_clear_probe,1943678328,9,336.2,False
geometry_early_optical_clear_probe,1943678328,4,366.2,True
geometry_early_optical_clear_probe,1943678328,1,508.02898128126316,False
geometry_early_optical_clear_probe,1943678328,20,616.0289812812632,False
