strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,3994878760,10,8,10,1.0,True,887.0732546012944,8870.732546012943,5751.732546012943,28758.662730064734,2585.0,517,491,0.9497098646034816,26,0,481,11,11,10,3,3,2589.507321170523,5995.191909339187,772.794832309029,8870.732546012943,60,0.7191056340088835
geometry_early_optical_clear_probe,3446493538,11,5,11,1.0,True,744.1131400130755,8185.244540143831,5442.244540143831,27211.222700719165,2270.0,454,422,0.9295154185022027,32,0,418,11,11,11,4,4,1097.271228913462,4029.598841174345,511.27421373199314,8185.244540143831,40,0.7784768679994158
geometry_early_optical_clear_probe,1278112619,16,5,16,1.0,True,389.9956578517787,6239.930525628459,4512.93052562846,22564.652628142303,1390.0,278,238,0.8561151079136691,40,0,254,17,17,16,3,3,1076.8351335432385,3680.7742524883192,507.91830642012553,6239.930525628459,40,1.0885517739952775
geometry_early_optical_clear_probe,4265401991,15,9,15,1.0,True,611.7889141648959,9176.833712473439,6826.833712473437,34134.1685623672,1925.0,385,346,0.8987012987012987,39,0,347,16,16,15,5,5,1468.1842098290813,5397.884790236032,444.30324407595697,9176.833712473439,40,0.900425476997043
geometry_early_optical_clear_probe,428302697,16,8,16,1.0,True,492.88386770388,7886.14188326208,5536.141883262081,27680.70941631041,1920.0,384,345,0.8984375,39,0,350,16,16,16,6,6,2600.1088703358396,6957.163516075728,484.4293622871532,7759.59377717242,40,0.9671860609960277
geometry_early_optical_clear_probe,4291446997,11,7,11,1.0,True,784.6052443856187,8630.657688241805,5801.657688241806,29008.288441209043,2340.0,468,440,0.9401709401709402,28,0,431,12,12,11,7,7,1276.5255911225358,5984.029474345805,467.26731270163395,7430.553194514933,40,0.8555227790056961
geometry_early_optical_clear_probe,1698866270,12,7,12,1.0,True,685.6931386999428,8228.317664399314,5597.317664399314,27986.588321996587,2170.0,434,400,0.9216589861751152,34,0,398,13,13,12,2,2,1901.9990061668657,4988.159893098447,1259.6568418186937,5884.666717816921,92,0.891456355995615
geometry_early_optical_clear_probe,44365831,15,8,15,1.0,True,527.9799870750454,7919.699806125682,5804.699806125684,29023.49903062843,1725.0,345,302,0.8753623188405797,43,0,309,17,17,15,3,3,1345.197999490065,4861.382863962668,741.7858822201202,7919.699806125682,60,1.4790467400016496
geometry_early_optical_clear_probe,1975052011,16,8,16,1.0,True,384.5672529131706,6153.0760466107295,4459.076046610729,22295.38023305365,1365.0,273,228,0.8351648351648352,45,0,246,17,17,16,5,5,744.350429572064,2157.522317996747,437.6762804090356,6153.0760466107295,40,1.1765446700010216
geometry_early_optical_clear_probe,2222203190,10,3,10,1.0,True,825.833941371241,8258.33941371241,5503.339413712411,27516.69706856207,2280.0,456,421,0.9232456140350878,35,0,419,12,12,10,3,3,897.1234448628672,2719.793975442823,479.9920696942342,8199.33941371241,40,0.9083317240001634
