strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,3994878760,10,8,10,1.0,True,882.3851906098473,8823.851906098473,5738.851906098473,28694.25953049238,2560.0,512,482,0.94140625,30,0,475,10,10,10,6,6,1918.2541782827489,4469.628887353238,1515.8352421828297,8823.851906098473,113,0.8590847960003885
geometry_early_optical_clear_probe,3446493538,11,5,11,1.0,True,755.3794104000397,8309.173514400436,5577.173514400437,27885.867572002197,2260.0,452,419,0.9269911504424779,33,0,417,11,11,11,5,5,1194.041173521379,5094.068231861434,511.27421373199314,8309.173514400436,40,0.7693125229998259
geometry_early_optical_clear_probe,1278112619,16,5,16,1.0,True,368.75867141835465,5900.138742693674,4221.138742693674,21105.693713468383,1350.0,270,224,0.8296296296296296,46,0,249,16,16,16,4,4,1344.1996528322977,4920.1163872141815,507.91830642012553,5900.138742693674,40,1.0007059339986881
geometry_early_optical_clear_probe,4265401991,15,9,15,1.0,True,610.6562787766044,9159.844181649065,6802.844181649064,34014.220908245334,1930.0,386,345,0.8937823834196891,41,0,349,16,16,15,5,5,1469.3518696203287,5406.642238670388,444.30324407595697,9159.844181649065,40,0.8990424670046195
geometry_early_optical_clear_probe,428302697,16,8,16,1.0,True,493.5154464568489,7896.2471433095825,5535.247143309583,27676.235716547926,1930.0,386,345,0.8937823834196891,41,0,351,16,16,16,6,6,2600.7283876035235,6962.119654217199,484.4293622871532,7769.6990372199225,40,0.9504482389893383
geometry_early_optical_clear_probe,4291446997,11,7,11,1.0,True,784.6052443856187,8630.657688241805,5801.657688241806,29008.288441209043,2340.0,468,440,0.9401709401709402,28,0,431,12,12,11,7,7,1276.5255911225358,5984.029474345805,467.26731270163395,7430.553194514933,40,0.8468796020024456
geometry_early_optical_clear_probe,1698866270,12,7,12,1.0,True,685.6931386999428,8228.317664399314,5597.317664399314,27986.588321996587,2170.0,434,400,0.9216589861751152,34,0,398,13,13,12,2,2,1901.9990061668657,4988.159893098447,1259.6568418186937,5884.666717816921,92,0.8994854560005479
geometry_early_optical_clear_probe,44365831,15,8,15,1.0,True,522.8003265820832,7842.004898731248,5715.004898731249,28575.024493656256,1740.0,348,302,0.867816091954023,46,0,312,15,15,15,3,3,1298.057650181069,5159.883839898987,741.7858822201202,7842.004898731248,60,1.3194706580106867
geometry_early_optical_clear_probe,1975052011,16,8,16,1.0,True,392.27292248469917,6276.366759755187,4468.366759755187,22341.83379877594,1460.0,292,245,0.839041095890411,47,0,265,17,17,16,5,5,753.5797261796616,2195.7607102426846,437.6762804090356,6276.366759755187,40,1.405292538998765
geometry_early_optical_clear_probe,2222203190,10,3,10,1.0,True,840.3046419511638,8403.046419511638,5579.046419511639,27895.232097558204,2340.0,468,433,0.9252136752136753,35,0,431,11,11,10,2,2,854.772766311243,2589.6405826847017,479.9920696942342,8403.046419511638,40,0.9897485919937026
geometry_early_optical_clear_probe,4203662554,16,6,16,1.0,True,453.53024031933586,7256.483845109374,5302.483845109376,26512.419225546888,1590.0,318,276,0.8679245283018868,42,0,284,16,16,16,3,3,1295.9093636955952,6568.942621680515,465.4552565638566,7256.483845109374,40,1.0301021889899857
geometry_early_optical_clear_probe,1822668520,16,10,16,1.0,True,476.07642499099114,7617.222799855858,5370.222799855858,26851.113999279303,1830.0,366,319,0.8715846994535519,47,0,331,18,18,16,9,9,863.6225500040294,6134.420097154082,454.92758413088075,7617.222799855858,40,1.8940594360028626
geometry_early_optical_clear_probe,2826888429,14,6,14,1.0,True,560.2783395171916,7843.896753240683,5399.896753240683,26999.483766203426,2000.0,400,361,0.9025,39,0,365,17,17,14,5,5,1591.7403852952934,4324.2385317229555,713.2121471844687,7479.291139569479,60,1.0742403480107896
geometry_early_optical_clear_probe,941288844,16,8,16,1.0,True,315.0409944639416,5040.655911423066,3630.655911423066,18153.279557115333,1125.0,225,179,0.7955555555555556,46,0,205,16,16,16,5,5,876.0628649870025,2668.7356690955007,768.0005645807965,5040.655911423066,60,0.8186165540100774
geometry_early_optical_clear_probe,2474560596,12,7,12,1.0,True,709.0405808491174,8508.48697018941,5630.4869701894095,28152.434850947055,2375.0,475,442,0.9305263157894736,33,0,440,13,13,12,6,6,1641.7869958728327,4926.63527264862,491.7747405139384,7604.027118345705,40,0.8286930779868271
geometry_early_optical_clear_probe,1460553863,13,7,13,1.0,True,653.1967960848377,8491.55834910289,5864.558349102892,29322.791745514467,2165.0,433,398,0.9191685912240185,35,0,397,13,13,13,3,3,2112.7316635674415,5583.806770535207,475.83544763079266,7890.184292921545,40,0.8427765800006455
