strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
relocate_geometry_clear_probe,3994878760,10,8,10,1.0,True,858.6853968938788,8586.853968938787,5459.85396893879,27299.26984469396,2595.0,519,489,0.9421965317919075,30,0,482,10,10,10,5,5,2004.4549700888342,5012.232846383665,1515.8352421828297,8360.080824427709,113,1.2109319459996186
relocate_geometry_clear_probe,3446493538,11,5,11,1.0,True,786.6089912276452,8652.698903504097,5626.698903504093,28133.494517520463,2505.0,501,471,0.9401197604790419,30,0,466,11,11,11,5,5,1702.03052594919,5142.185587358458,511.27421373199314,8090.151799770264,40,1.1124985630012816
relocate_geometry_clear_probe,1278112619,16,5,16,1.0,True,368.75867141835465,5900.138742693674,4221.138742693674,21105.693713468383,1350.0,270,224,0.8296296296296296,46,0,249,16,16,16,4,4,1344.1996528322977,4920.1163872141815,507.91830642012553,5900.138742693674,40,1.5840377539861947
relocate_geometry_clear_probe,4265401991,15,9,15,1.0,True,566.6378776246931,8499.568164370397,6137.5681643703965,30687.840821852005,1935.0,387,347,0.896640826873385,40,0,352,15,15,15,5,5,1478.7855724440844,5203.903467275662,444.30324407595697,8145.628307831572,40,1.2076681569888024
relocate_geometry_clear_probe,428302697,16,8,16,1.0,True,489.21857278525204,7827.497164564033,5472.4971645640335,27362.485822820174,1925.0,385,344,0.8935064935064935,41,0,350,16,16,16,6,6,2574.947145573942,6893.369675471649,484.4293622871532,7700.949058474373,40,1.332492032990558
relocate_geometry_clear_probe,4291446997,11,7,11,1.0,True,799.4009406843189,8793.410347527508,6048.410347527507,30242.051737637546,2270.0,454,425,0.9361233480176211,29,0,417,12,12,11,7,7,1103.6945057043586,4082.887534745855,467.26731270163395,6418.873542080177,40,1.2990731220052112
relocate_geometry_clear_probe,1698866270,12,7,12,1.0,True,693.3088464525448,8319.706157430537,5334.706157430538,26673.530787152693,2465.0,493,461,0.9350912778904665,32,0,457,13,13,12,2,2,2854.523433226284,7476.767376205702,1259.6568418186937,8319.706157430537,92,1.3979888940084493
relocate_geometry_clear_probe,44365831,15,8,15,1.0,True,552.0765732366511,8281.148598549767,6010.1485985497675,30050.74299274885,1860.0,372,324,0.8709677419354839,48,0,336,15,15,15,6,6,1255.8316474407716,4393.3590437778175,741.7858822201202,8281.148598549767,60,1.9863156539940974
relocate_geometry_clear_probe,1975052011,16,8,16,1.0,True,392.27292248469917,6276.366759755187,4468.366759755187,22341.83379877594,1460.0,292,245,0.839041095890411,47,0,265,17,17,16,5,5,753.5797261796616,2195.7607102426846,437.6762804090356,6276.366759755187,40,2.001331140010734
relocate_geometry_clear_probe,2222203190,10,3,10,1.0,True,811.2796666134983,8112.796666134983,5365.796666134985,26828.983330674928,2275.0,455,418,0.9186813186813186,37,0,419,11,11,10,2,2,676.1741183064735,1946.8043925941274,479.9920696942342,7087.29087273291,40,1.3193279289989732
