strategy,seed,channel,first_seen_time_s,directional
relocate_geometry_clear_probe,3994878760,8,47.0,True
relocate_geometry_clear_probe,3994878760,20,119.0,True
relocate_geometry_clear_probe,3994878760,19,276.2,False
relocate_geometry_clear_probe,3994878760,15,300.2,True
relocate_geometry_clear_probe,3994878760,7,348.2,False
relocate_geometry_clear_probe,3994878760,9,1907.8262334145368,True
relocate_geometry_clear_probe,3994878760,3,3293.6288873532385,True
relocate_geometry_clear_probe,3994878760,14,3987.228887353238,True
relocate_geometry_clear_probe,3994878760,17,4753.032846383665,True
relocate_geometry_clear_probe,3994878760,11,5012.232846383665,True
relocate_geometry_clear_probe,3446493538,9,53.0,False
relocate_geometry_clear_probe,3446493538,12,71.0,True
relocate_geometry_clear_probe,3446493538,16,95.0,True
relocate_geometry_clear_probe,3446493538,18,107.0,True
relocate_geometry_clear_probe,3446493538,7,348.2,False
relocate_geometry_clear_probe,3446493538,3,372.2,True
relocate_geometry_clear_probe,3446493538,2,1025.6261948127544,False
relocate_geometry_clear_probe,3446493538,19,3796.0413344232925,False
relocate_geometry_clear_probe,3446493538,10,3844.0413344232925,False
relocate_geometry_clear_probe,3446493538,4,3868.0413344232925,False
relocate_geometry_clear_probe,3446493538,20,5142.185587358458,True
relocate_geometry_clear_probe,1278112619,9,53.0,False
relocate_geometry_clear_probe,1278112619,11,65.0,False
relocate_geometry_clear_probe,1278112619,14,83.0,False
relocate_geometry_clear_probe,1278112619,17,101.0,True
relocate_geometry_clear_probe,1278112619,18,107.0,False
relocate_geometry_clear_probe,1278112619,20,119.0,False
relocate_geometry_clear_probe,1278112619,13,312.2,False
relocate_geometry_clear_probe,1278112619,10,330.2,False
relocate_geometry_clear_probe,1278112619,7,348.2,True
relocate_geometry_clear_probe,1278112619,6,542.9183064201255,False
relocate_geometry_clear_probe,1278112619,19,1152.4454314671002,True
relocate_geometry_clear_probe,1278112619,1,3006.1263051753717,False
relocate_geometry_clear_probe,1278112619,2,3012.1263051753717,False
relocate_geometry_clear_probe,1278112619,5,3674.430854932307,True
relocate_geometry_clear_probe,1278112619,4,3680.430854932307,True
relocate_geometry_clear_probe,1278112619,16,4920.1163872141815,False
relocate_geometry_clear_probe,4265401991,6,35.0,True
relocate_geometry_clear_probe,4265401991,7,41.0,True
relocate_geometry_clear_probe,4265401991,9,53.0,True
relocate_geometry_clear_probe,4265401991,10,59.0,False
relocate_geometry_clear_probe,4265401991,15,89.0,False
relocate_geometry_clear_probe,4265401991,17,101.0,False
relocate_geometry_clear_probe,4265401991,13,312.2,False
relocate_geometry_clear_probe,4265401991,1,517.7529897127581,False
relocate_geometry_clear_probe,4265401991,4,535.7529897127581,False
relocate_geometry_clear_probe,4265401991,2,1439.974412972224,True
relocate_geometry_clear_probe,4265401991,19,2507.364832333178,True
relocate_geometry_clear_probe,4265401991,3,2962.865713689513,True
relocate_geometry_clear_probe,4265401991,11,3150.065713689513,True
relocate_geometry_clear_probe,4265401991,5,5173.903467275662,True
relocate_geometry_clear_probe,4265401991,16,5203.903467275662,True
relocate_geometry_clear_probe,428302697,10,59.0,True
relocate_geometry_clear_probe,428302697,13,77.0,False
relocate_geometry_clear_probe,428302697,14,83.0,False
relocate_geometry_clear_probe,428302697,15,89.0,False
relocate_geometry_clear_probe,428302697,19,276.2,False
relocate_geometry_clear_probe,428302697,5,360.2,True
relocate_geometry_clear_probe,428302697,2,378.2,True
relocate_geometry_clear_probe,428302697,1,1043.640345526581,False
relocate_geometry_clear_probe,428302697,18,1115.640345526581,True
relocate_geometry_clear_probe,428302697,12,3010.060829511351,True
relocate_geometry_clear_probe,428302697,3,4747.8447170455975,True
relocate_geometry_clear_probe,428302697,20,5272.076246876556,False
relocate_geometry_clear_probe,428302697,11,5441.276246876556,False
relocate_geometry_clear_probe,428302697,4,5471.276246876556,False
relocate_geometry_clear_probe,428302697,6,6881.369675471649,True
relocate_geometry_clear_probe,428302697,8,6893.369675471649,True
relocate_geometry_clear_probe,4291446997,2,11.0,True
relocate_geometry_clear_probe,4291446997,6,35.0,True
relocate_geometry_clear_probe,4291446997,13,77.0,True
relocate_geometry_clear_probe,4291446997,17,101.0,False
relocate_geometry_clear_probe,4291446997,8,342.2,False
relocate_geometry_clear_probe,4291446997,7,348.2,True
relocate_geometry_clear_probe,4291446997,5,360.2,True
relocate_geometry_clear_probe,4291446997,20,580.267312701634,True
relocate_geometry_clear_probe,4291446997,16,3019.007141140955,True
relocate_geometry_clear_probe,4291446997,18,3183.8775741595,False
relocate_geometry_clear_probe,4291446997,3,4082.887534745855,False
relocate_geometry_clear_probe,1698866270,12,71.0,False
relocate_geometry_clear_probe,1698866270,17,101.0,False
relocate_geometry_clear_probe,1698866270,18,107.0,True
relocate_geometry_clear_probe,1698866270,19,113.0,True
relocate_geometry_clear_probe,1698866270,11,324.2,False
relocate_geometry_clear_probe,1698866270,16,625.4,False
relocate_geometry_clear_probe,1698866270,2,2429.837971661067,True
relocate_geometry_clear_probe,1698866270,15,5149.128597242807,True
relocate_geometry_clear_probe,1698866270,4,5836.728597242806,True
relocate_geometry_clear_probe,1698866270,3,5842.728597242806,False
relocate_geometry_clear_probe,1698866270,5,6177.490059120215,True
relocate_geometry_clear_probe,1698866270,13,7476.767376205702,True
relocate_geometry_clear_probe,44365831,8,47.0,True
relocate_geometry_clear_probe,44365831,9,53.0,False
relocate_geometry_clear_probe,44365831,11,65.0,False
relocate_geometry_clear_probe,44365831,13,77.0,False
relocate_geometry_clear_probe,44365831,18,107.0,False
relocate_geometry_clear_probe,44365831,14,306.2,True
relocate_geometry_clear_probe,44365831,7,348.2,True
relocate_geometry_clear_probe,44365831,5,360.2,False
relocate_geometry_clear_probe,44365831,4,366.2,True
relocate_geometry_clear_probe,44365831,2,378.2,True
relocate_geometry_clear_probe,44365831,17,1151.4672011119997,False
relocate_geometry_clear_probe,44365831,6,3158.7303791661184,True
relocate_geometry_clear_probe,44365831,10,4006.959043777818,True
relocate_geometry_clear_probe,44365831,15,4018.959043777818,False
relocate_geometry_clear_probe,44365831,1,4393.3590437778175,True
relocate_geometry_clear_probe,1975052011,1,5.0,True
relocate_geometry_clear_probe,1975052011,3,17.0,False
relocate_geometry_clear_probe,1975052011,11,65.0,True
relocate_geometry_clear_probe,1975052011,12,71.0,True
relocate_geometry_clear_probe,1975052011,14,83.0,True
relocate_geometry_clear_probe,1975052011,16,95.0,False
relocate_geometry_clear_probe,1975052011,18,107.0,False
relocate_geometry_clear_probe,1975052011,2,378.2,False
relocate_geometry_clear_probe,1975052011,8,798.9108196414801,False
relocate_geometry_clear_probe,1975052011,20,1252.1673481650703,True
relocate_geometry_clear_probe,1975052011,15,1276.1673481650703,True
relocate_geometry_clear_probe,1975052011,5,1324.1673481650703,True
relocate_geometry_clear_probe,1975052011,4,1330.1673481650703,False
relocate_geometry_clear_probe,1975052011,6,1517.3673481650703,True
relocate_geometry_clear_probe,1975052011,10,1541.3673481650703,False
relocate_geometry_clear_probe,1975052011,9,2195.7607102426846,False
relocate_geometry_clear_probe,2222203190,3,17.0,False
relocate_geometry_clear_probe,2222203190,11,65.0,False
relocate_geometry_clear_probe,2222203190,14,83.0,False
relocate_geometry_clear_probe,2222203190,18,107.0,False
relocate_geometry_clear_probe,2222203190,20,119.0,False
relocate_geometry_clear_probe,2222203190,7,348.2,False
relocate_geometry_clear_probe,2222203190,10,817.2232488715132,True
relocate_geometry_clear_probe,2222203190,9,1620.2567707995472,True
relocate_geometry_clear_probe,2222203190,15,1638.2567707995472,False
relocate_geometry_clear_probe,2222203190,4,1946.8043925941274,True
relocate_geometry_clear_probe,4203662554,4,23.0,False
relocate_geometry_clear_probe,4203662554,9,53.0,False
relocate_geometry_clear_probe,4203662554,10,59.0,False
relocate_geometry_clear_probe,4203662554,12,71.0,False
relocate_geometry_clear_probe,4203662554,13,77.0,True
relocate_geometry_clear_probe,4203662554,15,89.0,False
relocate_geometry_clear_probe,4203662554,17,101.0,False
relocate_geometry_clear_probe,4203662554,18,107.0,False
relocate_geometry_clear_probe,4203662554,20,270.2,True
relocate_geometry_clear_probe,4203662554,11,324.2,False
relocate_geometry_clear_probe,4203662554,1,384.2,True
relocate_geometry_clear_probe,4203662554,3,1143.4048174760796,False
relocate_geometry_clear_probe,4203662554,7,1637.4792011336683,False
relocate_geometry_clear_probe,4203662554,16,3871.2446555235824,True
relocate_geometry_clear_probe,4203662554,6,5954.878523315678,True
relocate_geometry_clear_probe,4203662554,8,6568.942621680515,True
relocate_geometry_clear_probe,1822668520,4,23.0,True
relocate_geometry_clear_probe,1822668520,5,29.0,False
relocate_geometry_clear_probe,1822668520,8,47.0,False
relocate_geometry_clear_probe,1822668520,13,77.0,True
relocate_geometry_clear_probe,1822668520,14,83.0,True
relocate_geometry_clear_probe,1822668520,16,95.0,True
relocate_geometry_clear_probe,1822668520,17,101.0,True
relocate_geometry_clear_probe,1822668520,19,113.0,False
relocate_geometry_clear_probe,1822668520,2,546.4001011140372,True
relocate_geometry_clear_probe,1822668520,18,811.6001011140372,False
relocate_geometry_clear_probe,1822668520,15,829.6001011140372,False
relocate_geometry_clear_probe,1822668520,9,865.6001011140372,True
relocate_geometry_clear_probe,1822668520,1,1058.8001011140373,True
relocate_geometry_clear_probe,1822668520,10,1100.8001011140373,False
relocate_geometry_clear_probe,1822668520,3,1455.3727971956441,True
relocate_geometry_clear_probe,1822668520,11,7313.065174810162,True
relocate_geometry_clear_probe,2826888429,7,41.0,False
relocate_geometry_clear_probe,2826888429,8,47.0,False
relocate_geometry_clear_probe,2826888429,15,89.0,True
relocate_geometry_clear_probe,2826888429,18,282.2,True
relocate_geometry_clear_probe,2826888429,9,336.2,True
relocate_geometry_clear_probe,2826888429,2,378.2,False
relocate_geometry_clear_probe,2826888429,4,553.4,False
relocate_geometry_clear_probe,2826888429,19,643.4,False
relocate_geometry_clear_probe,2826888429,1,901.6427803993824,True
relocate_geometry_clear_probe,2826888429,6,1532.7645009552336,False
relocate_geometry_clear_probe,2826888429,12,2231.898720255496,True
relocate_geometry_clear_probe,2826888429,3,2261.898720255496,False
relocate_geometry_clear_probe,2826888429,14,2473.0987202554957,False
relocate_geometry_clear_probe,2826888429,11,3622.3641854157463,True
relocate_geometry_clear_probe,941288844,4,23.0,True
relocate_geometry_clear_probe,941288844,7,41.0,False
relocate_geometry_clear_probe,941288844,8,47.0,False
relocate_geometry_clear_probe,941288844,17,101.0,False
relocate_geometry_clear_probe,941288844,18,107.0,False
relocate_geometry_clear_probe,941288844,16,294.2,False
relocate_geometry_clear_probe,941288844,2,378.2,True
