strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,1053799946,15,15,15,1.0,True,569.0094649541581,8535.141974312372,6015.141974312372,30075.70987156186,2065.0,413,375,0.9079903147699758,38,0,377,16,16,15,9,9,2253.8520859084942,7428.814554865703,786.556602847474,8052.634026094107,60,1.1612296919920482
geometry_early_optical_clear_probe,3769781415,14,14,14,1.0,True,630.0468304362455,8820.655626107437,5999.655626107437,29998.278130537186,2315.0,463,426,0.9200863930885529,37,0,430,16,16,14,9,9,2588.376792294786,7243.8049990963655,740.5037389426484,8820.655626107437,60,1.0154800840100506
geometry_early_optical_clear_probe,54363013,16,16,16,1.0,True,530.8706697476304,8493.930715962086,5942.930715962085,29714.653579810438,2085.0,417,373,0.894484412470024,44,0,386,16,16,16,8,8,3364.9906198786703,8062.660621851117,420.78677379628056,8493.930715962086,40,0.9201074470038293
geometry_early_optical_clear_probe,1790261668,16,16,16,1.0,True,297.4713953191987,4759.542325107179,3355.5423251071775,16777.711625535892,1115.0,223,185,0.8295964125560538,38,0,206,17,17,16,8,8,1036.2856406073552,3195.2236491242825,491.6928071326498,4759.542325107179,40,0.8850777560001006
geometry_early_optical_clear_probe,1842799737,12,12,12,1.0,True,722.8028130581712,8673.633756698055,5888.6337566980565,29443.168783490295,2300.0,460,426,0.9260869565217391,34,0,425,12,12,12,4,4,1752.1322208500815,5597.566179679708,460.83279599277853,8479.462762943247,40,0.8013399479968939
geometry_early_optical_clear_probe,164208968,15,15,15,1.0,True,575.6390667785181,8634.586001677771,5946.586001677769,29732.93000838886,2205.0,441,402,0.9115646258503401,39,0,405,16,16,15,12,12,2086.5016519627766,6449.780975986575,1025.2642734098654,7814.048474619506,78,1.071574873989448
geometry_early_optical_clear_probe,278802184,13,13,13,1.0,True,601.0906923780891,7814.179000915158,5346.179000915159,26730.895004575803,2030.0,406,373,0.9187192118226601,33,0,373,13,13,13,5,5,2055.2349487135975,5976.360281672063,439.18710166340014,7773.179000915158,40,0.809315033009625
geometry_early_optical_clear_probe,184571676,14,14,14,1.0,True,594.7756281785532,8326.858794499745,5847.858794499748,29239.29397249876,2035.0,407,369,0.9066339066339066,38,0,374,14,14,14,12,12,1475.3348252008186,4638.206656180624,1295.5128189782558,8326.858794499745,97,1.1455664489913033
geometry_early_optical_clear_probe,3873771518,11,11,11,1.0,True,834.2377648175948,9176.615412993542,6327.61541299354,31638.077064967714,2355.0,471,441,0.9363057324840764,30,0,436,12,12,11,8,8,1710.0613833516713,7114.433664648763,762.5171650933954,7772.075846835763,60,0.863395214008051
geometry_early_optical_clear_probe,886997678,15,15,15,1.0,True,641.016431404534,9615.24647106801,6907.246471068009,34536.232355340064,2225.0,445,404,0.9078651685393259,41,0,408,15,15,15,10,10,2498.625575813072,6693.931056711555,735.8581691538448,9615.24647106801,59,1.0867745479918085
geometry_early_optical_clear_probe,1087166466,16,16,16,1.0,True,562.9077584145625,9006.524134633,6457.524134632997,32287.620673164987,2085.0,417,373,0.894484412470024,44,0,384,16,16,16,10,10,2083.018282629415,4627.4760256900945,733.5235388990434,9006.524134633,60,1.4828499420109438
geometry_early_optical_clear_probe,1162432340,11,11,11,1.0,True,784.2547681252962,8626.802449378258,5542.802449378259,27714.012246891307,2555.0,511,480,0.9393346379647749,31,0,474,11,11,11,10,10,1594.7829986613228,6273.308736011095,1438.008813720515,7990.902608785873,116,0.8993288130004657
geometry_early_optical_clear_probe,1117783585,13,13,13,1.0,True,654.5167805783406,8508.718147518428,6137.718147518429,30688.59073759216,1950.0,390,355,0.9102564102564102,35,0,353,14,14,13,10,10,1191.4336934652538,4962.960511994254,486.616409390468,8288.841747164262,40,0.9735052229952998
geometry_early_optical_clear_probe,2534316816,16,16,16,1.0,True,569.8132102459083,9117.011363934533,6407.011363934533,32035.056819672674,2215.0,443,398,0.8984198645598194,45,0,409,18,18,16,18,18,1859.9603481199324,5390.335169790727,1268.54240521942,9117.011363934533,95,1.321407586990972
geometry_early_optical_clear_probe,1904114223,10,10,10,1.0,True,848.9114822939176,8489.114822939177,5517.114822939176,27585.57411469589,2465.0,493,468,0.949290060851927,25,0,457,10,10,10,5,5,1551.9808191473537,6660.815664353711,532.0124583080346,7232.137407833995,40,0.809103392995894
geometry_early_optical_clear_probe,1514700374,11,11,11,1.0,True,850.8801862380344,9359.682048618379,6236.682048618377,31183.410243091887,2585.0,517,485,0.9381044487427466,32,0,483,11,11,11,8,8,2706.7071885575137,7977.378660130341,3245.0903068973785,9359.682048618379,229,0.9746849939983804
