strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,2536405696,14,14,14,1.0,True,622.0429005825132,8708.600608155184,5987.600608155185,29938.003040775937,2240.0,448,407,0.9084821428571429,41,0,411,14,14,14,12,12,1101.1496726263094,5544.823433294446,741.3045960493246,8708.600608155184,59,1.234613573004026
geometry_early_optical_clear_probe,3148226517,15,15,15,1.0,True,549.1693831181215,8237.540746771821,5650.540746771821,28252.703733859114,2120.0,424,386,0.910377358490566,38,0,389,16,16,15,10,10,2581.8986395627444,7139.078599230162,684.8208620345076,7835.018232127821,59,1.000360998994438
geometry_early_optical_clear_probe,3687940394,14,14,14,1.0,True,626.9202558638924,8776.883582094493,5976.883582094496,29884.417910472486,2305.0,461,424,0.9197396963123644,37,0,425,14,14,14,3,3,3090.402383396191,7000.679744939818,1022.7000710982426,8776.883582094493,76,0.8612417449912755
geometry_early_optical_clear_probe,2786347462,15,15,15,1.0,True,529.5446680664194,7943.170020996291,5972.170020996293,29860.850104981477,1610.0,322,282,0.8757763975155279,40,0,286,15,15,15,10,10,999.16764761827,6338.821018825119,989.1431094302765,6824.199572196005,77,1.124797809010488
geometry_early_optical_clear_probe,3160937056,13,13,13,1.0,True,669.1737835438945,8699.259186070629,6053.259186070629,30266.29593035315,2180.0,436,403,0.9243119266055045,33,0,401,13,13,13,6,6,2375.8166005124835,7212.407449222659,443.978289826005,8557.978658667682,40,0.7928668719978305
geometry_early_optical_clear_probe,1165535844,16,16,16,1.0,True,559.5297844734557,8952.476551575292,6612.476551575291,33062.38275787647,1910.0,382,335,0.8769633507853403,47,0,347,17,17,16,13,13,1382.8809794436638,5196.473583774157,977.6391363323812,8952.476551575292,80,0.9383097969985101
geometry_early_optical_clear_probe,118804943,14,14,14,1.0,True,650.2240979566925,9103.137371393696,6226.137371393697,31130.686856968496,2360.0,472,427,0.9046610169491526,45,0,435,18,18,14,9,9,2488.227855615402,8050.152013158863,459.77534364728734,9103.137371393696,40,1.1801024380110903
geometry_early_optical_clear_probe,3769986099,15,15,15,1.0,True,579.2651833505795,8688.977750258693,6155.97775025869,30779.88875129347,2075.0,415,373,0.8987951807228916,42,0,383,15,15,15,10,10,2034.4137929391918,6266.533693257652,728.9909618975016,8688.977750258693,60,0.924479456996778
geometry_early_optical_clear_probe,2380256217,15,15,15,1.0,True,508.5059444986881,7627.5891674803215,5587.589167480322,27937.945837401618,1665.0,333,291,0.8738738738738738,42,0,300,15,15,15,11,11,1292.0837556598954,4427.4950607905785,500.46836763434334,5421.715285213621,40,0.883255354987341
geometry_early_optical_clear_probe,3946674426,12,12,12,1.0,True,794.1284683626504,9529.541620351805,6470.541620351802,32352.708101759014,2525.0,505,470,0.9306930693069307,35,0,468,14,14,12,12,12,1817.8770510493478,7249.5166074127,779.8775169651624,9529.541620351805,60,0.9431908870028565
