strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,1053799946,15,0,15,1.0,True,473.15333166128426,7097.299974919264,5205.299974919265,26026.49987459633,1540.0,308,266,0.8636363636363636,42,0,274,16,16,15,0,0,1104.6409505008858,5363.648330030046,462.21673964442436,6510.9377338187,40,0.9476512390101561
geometry_early_optical_clear_probe,3769781415,14,0,14,1.0,True,533.6354051291536,7470.89567180815,5339.895671808152,26699.47835904077,1745.0,349,310,0.8882521489971347,39,0,313,15,15,14,0,0,619.0748428588488,3488.0912427670837,423.5112081211297,5251.484087172633,40,1.1078863089933293
geometry_early_optical_clear_probe,54363013,16,0,16,1.0,True,409.7277466479715,6555.643946367544,4588.643946367544,22943.219731837733,1595.0,319,272,0.8526645768025078,47,0,289,17,17,16,0,0,1294.6831837429431,5848.851558550013,510.9499027963773,6555.643946367544,40,0.9324913529999321
geometry_early_optical_clear_probe,1790261668,16,0,16,1.0,True,295.01921223661316,4720.3073957858105,3553.3073957858105,17766.536978929053,910.0,182,135,0.7417582417582418,47,0,168,19,19,16,0,0,697.1873072191493,2202.3498327718,424.01545134940255,4720.3073957858105,40,1.0778469830111135
geometry_early_optical_clear_probe,1842799737,12,0,12,1.0,True,632.5607192376654,7590.728630851984,5310.728630851985,26553.643154259935,1875.0,375,343,0.9146666666666666,32,0,342,13,13,12,0,0,726.411407882419,2970.9871634513593,948.8346167920847,6410.24296677042,77,0.8690398070029914
geometry_early_optical_clear_probe,164208968,15,0,15,1.0,True,478.0440754821272,7170.661132231908,4977.6611322319095,24888.305661159553,1795.0,359,320,0.8913649025069638,39,0,323,15,15,15,0,0,934.6826257028475,4909.242415308673,438.1804751584574,7141.661132231908,40,0.9117554190015653
geometry_early_optical_clear_probe,278802184,13,0,13,1.0,True,598.6924296597808,7783.001585577151,5251.001585577154,26255.00792788578,2085.0,417,382,0.9160671462829736,35,0,382,13,13,13,0,0,2331.0187286195014,4808.759712674134,436.43702461045535,7585.74428433519,40,0.7084435909928288
geometry_early_optical_clear_probe,184571676,14,0,14,1.0,True,522.0200802698072,7308.281123777301,4993.281123777302,24966.40561888652,1895.0,379,339,0.8944591029023746,40,0,344,16,16,14,0,0,502.1726576998273,1955.6826154206772,493.86600322025686,6750.002930156931,40,1.1788526410091436
geometry_early_optical_clear_probe,3873771518,11,0,11,1.0,True,751.8800624584351,8270.680687042786,5490.680687042789,27453.403435213953,2290.0,458,423,0.9235807860262009,35,0,423,15,15,11,0,0,2071.2587659090864,5556.769194944341,740.690668897224,8053.7361372891855,59,0.6533905579999555
geometry_early_optical_clear_probe,886997678,15,0,15,1.0,True,479.97144305711856,7199.571645856779,5516.571645856779,27582.858229283902,1370.0,274,235,0.8576642335766423,39,0,238,15,15,15,0,0,710.9204133572923,2576.0936884011726,459.70837838528894,6363.488723493933,40,1.120418892998714
geometry_early_optical_clear_probe,1087166466,16,0,16,1.0,True,430.0212270926375,6880.3396334822,5116.339633482202,25581.698167411017,1425.0,285,241,0.8456140350877193,44,0,256,17,17,16,0,0,866.6445803799846,5312.537334544192,443.29684818876456,6880.3396334822,40,1.2765122580021853
