strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,3994878760,10,8,10,1.0,True,858.6853968938788,8586.853968938787,5459.85396893879,27299.26984469396,2595.0,519,489,0.9421965317919075,30,0,482,10,10,10,5,5,2004.4549700888342,5012.232846383665,1515.8352421828297,8360.080824427709,113,0.8718793039879529
geometry_early_optical_clear_probe,3446493538,11,5,11,1.0,True,729.2835886688333,8022.119475357166,5296.119475357165,26480.597376785838,2255.0,451,420,0.9312638580931264,31,0,416,11,11,11,5,5,1392.0723015585588,7272.410640270412,511.27421373199314,8022.119475357166,40,0.6908360689994879
geometry_early_optical_clear_probe,1278112619,16,5,16,1.0,True,369.7835514589635,5916.536823343416,4231.5368233434165,21157.684116717093,1355.0,271,224,0.8265682656826568,47,0,250,16,16,16,4,4,1320.5630034666674,4541.929997364096,507.91830642012553,5916.536823343416,40,0.9460489820048679
geometry_early_optical_clear_probe,4265401991,15,9,15,1.0,True,610.6562787766044,9159.844181649065,6802.844181649064,34014.220908245334,1930.0,386,345,0.8937823834196891,41,0,349,16,16,15,5,5,1469.3518696203287,5406.642238670388,444.30324407595697,9159.844181649065,40,0.8808736549981404
geometry_early_optical_clear_probe,428302697,16,8,16,1.0,True,482.66476910006685,7722.63630560107,5378.6363056010705,26893.181528005356,1915.0,383,343,0.8955613577023499,40,0,349,16,16,16,5,5,2516.0201838457697,6736.231110863189,484.4293622871532,7543.810493865913,40,0.8276441539928783
geometry_early_optical_clear_probe,4291446997,11,7,11,1.0,True,742.1098782275999,8163.208660503598,5336.208660503598,26681.043302517992,2340.0,468,437,0.9337606837606838,31,0,432,11,11,11,6,6,1435.409747379086,5548.356195405451,467.26731270163395,7140.982597357322,40,0.7113936039968394
geometry_early_optical_clear_probe,1698866270,12,7,12,1.0,True,742.9099243483078,8914.919092179693,5815.91909217969,29079.595460898465,2560.0,512,477,0.931640625,35,0,476,13,13,12,6,6,2749.2997735603985,7194.378637843902,1548.390155685981,8914.919092179693,108,0.8230259539996041
geometry_early_optical_clear_probe,44365831,15,8,15,1.0,True,515.1313690926396,7726.970536389595,5582.9705363895955,27914.852681947992,1755.0,351,303,0.8632478632478633,48,0,314,15,15,15,3,3,1297.1592859687778,5044.279358776594,741.7858822201202,7726.970536389595,60,1.2141120979940752
geometry_early_optical_clear_probe,1975052011,16,8,16,1.0,True,456.16160544193355,7298.585687070937,5264.585687070937,26322.92843535469,1655.0,331,287,0.8670694864048338,44,0,296,17,17,16,5,5,1353.4700786751575,3457.6446499215745,437.6762804090356,7298.585687070937,40,0.8990286299958825
geometry_early_optical_clear_probe,2222203190,10,3,10,1.0,True,799.9806240193823,7999.806240193823,5261.806240193824,26309.03120096912,2270.0,454,418,0.920704845814978,36,0,418,10,10,10,1,1,743.8107902476268,2074.660691360948,479.9920696942342,7663.224059326697,40,0.7043904050078709
