strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,3035852885,11,4,11,1.0,True,672.0383841848061,7392.422226032867,5127.422226032868,25637.111130164354,1870.0,374,344,0.9197860962566845,30,0,340,11,11,11,1,1,846.5171175133055,2948.510386291627,517.6682782469416,7392.422226032867,40,0.7542575690022204
geometry_early_optical_clear_probe,2198734117,16,9,16,1.0,True,462.2659851193516,7396.255761909626,5448.255761909625,27241.278809548134,1575.0,315,269,0.8539682539682539,46,0,284,19,19,16,4,4,1383.0670731909672,6059.812617412986,719.8320826355282,7396.255761909626,58,1.2526168240001425
geometry_early_optical_clear_probe,809768615,14,8,14,1.0,True,618.2140311483952,8654.996436077532,6099.996436077532,30499.982180387666,2100.0,420,379,0.9023809523809524,41,0,385,14,14,14,5,5,1911.318711463591,6648.82883035681,464.480150210215,8654.996436077532,40,0.7933433699945454
geometry_early_optical_clear_probe,1887358130,12,5,12,1.0,True,616.2451821045447,7394.9421852545365,5147.9421852545365,25739.710926272695,1850.0,370,344,0.9297297297297298,26,0,337,12,12,12,3,3,1185.9407592824634,4074.9824498691737,527.9573782448915,6835.716704585173,40,0.6052407349925488
geometry_early_optical_clear_probe,3210563942,16,6,16,1.0,True,424.29985340361316,6788.7976544578105,4829.797654457812,24148.98827228906,1590.0,318,275,0.8647798742138365,43,0,286,17,17,16,3,3,1584.3759023482835,6417.285571868029,424.66270728209645,6788.7976544578105,40,0.6303564030095004
geometry_early_optical_clear_probe,4159334655,11,7,11,1.0,True,729.1267385105389,8020.394123615928,5540.394123615929,27701.970618079664,2050.0,410,380,0.926829268292683,30,0,375,11,11,11,4,4,394.9050360016911,1677.2776980093013,475.5940714242422,8020.394123615928,40,0.9736557110009016
geometry_early_optical_clear_probe,3856792250,10,4,10,1.0,True,783.0674678200994,7830.674678200994,5248.674678200996,26243.373391004992,2140.0,428,399,0.9322429906542056,29,0,392,10,10,10,2,2,599.4304095678045,2557.1100930267457,420.30312483401,7771.674678200994,40,0.7325947440112941
geometry_early_optical_clear_probe,3551936568,11,5,11,1.0,True,749.476359906143,8244.239958967573,5510.239958967575,27551.19979483788,2260.0,452,424,0.9380530973451328,28,0,416,12,12,11,1,1,1419.006872172406,4440.03289568544,460.71738302858887,8244.239958967573,40,0.7052949299977627
geometry_early_optical_clear_probe,4170685950,15,10,15,1.0,True,528.133732249404,7922.005983741061,5600.005983741064,28000.02991870532,1900.0,380,334,0.8789473684210526,46,0,347,15,15,15,8,8,1202.8219015761658,4055.813871659117,801.0676081051885,7922.005983741061,60,1.0840577899944037
geometry_early_optical_clear_probe,1129241151,16,10,16,1.0,True,493.74152305261174,7899.864368841788,5680.86436884179,28404.321844208953,1805.0,361,310,0.8587257617728532,51,0,328,18,18,16,6,6,1662.0137186180089,5823.878578931119,440.95286082759907,7899.864368841788,40,0.9532956969924271
