strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,1053799946,11,65.0,True
geometry_early_optical_clear_probe,1053799946,6,354.2,True
geometry_early_optical_clear_probe,1053799946,5,360.2,False
geometry_early_optical_clear_probe,1053799946,4,366.2,False
geometry_early_optical_clear_probe,1053799946,16,1018.7856975525162,True
geometry_early_optical_clear_probe,1053799946,2,1310.578436153878,False
geometry_early_optical_clear_probe,1053799946,19,1787.2517250557908,True
geometry_early_optical_clear_probe,1053799946,15,1811.2517250557908,True
geometry_early_optical_clear_probe,1053799946,3,1859.2517250557908,True
geometry_early_optical_clear_probe,1053799946,1,2022.4517250557908,False
geometry_early_optical_clear_probe,1053799946,12,2064.451725055791,True
geometry_early_optical_clear_probe,1053799946,17,2094.451725055791,False
geometry_early_optical_clear_probe,1053799946,9,2323.651725055791,True
geometry_early_optical_clear_probe,1053799946,8,3968.82673900591,True
geometry_early_optical_clear_probe,1053799946,10,5469.163663107809,False
geometry_early_optical_clear_probe,3769781415,5,29.0,True
geometry_early_optical_clear_probe,3769781415,11,65.0,False
geometry_early_optical_clear_probe,3769781415,14,306.2,True
geometry_early_optical_clear_probe,3769781415,13,312.2,False
geometry_early_optical_clear_probe,3769781415,4,366.2,True
geometry_early_optical_clear_probe,3769781415,18,1102.3063078406567,True
geometry_early_optical_clear_probe,3769781415,1,2614.711201989571,False
geometry_early_optical_clear_probe,3769781415,8,2644.711201989571,False
geometry_early_optical_clear_probe,3769781415,16,3596.8563536691604,True
geometry_early_optical_clear_probe,3769781415,6,3808.05635366916,False
geometry_early_optical_clear_probe,3769781415,12,4043.25635366916,True
geometry_early_optical_clear_probe,3769781415,7,4244.635667401801,False
geometry_early_optical_clear_probe,3769781415,19,4410.8222964999495,False
geometry_early_optical_clear_probe,3769781415,2,5187.093122417699,True
geometry_early_optical_clear_probe,54363013,5,29.0,False
geometry_early_optical_clear_probe,54363013,6,35.0,False
geometry_early_optical_clear_probe,54363013,7,41.0,True
geometry_early_optical_clear_probe,54363013,8,47.0,True
geometry_early_optical_clear_probe,54363013,17,101.0,True
geometry_early_optical_clear_probe,54363013,19,276.2,True
geometry_early_optical_clear_probe,54363013,14,306.2,True
geometry_early_optical_clear_probe,54363013,2,541.4,False
geometry_early_optical_clear_probe,54363013,4,553.4,False
geometry_early_optical_clear_probe,54363013,18,637.4,False
geometry_early_optical_clear_probe,54363013,12,805.8309582640512,True
geometry_early_optical_clear_probe,54363013,9,1680.6076846806022,True
geometry_early_optical_clear_probe,54363013,15,1923.2656289998172,True
geometry_early_optical_clear_probe,54363013,11,3030.4509383309046,True
geometry_early_optical_clear_probe,54363013,16,3605.876868582165,True
geometry_early_optical_clear_probe,54363013,20,4473.689414014452,True
geometry_early_optical_clear_probe,1790261668,2,11.0,True
geometry_early_optical_clear_probe,1790261668,4,23.0,False
geometry_early_optical_clear_probe,1790261668,6,35.0,True
geometry_early_optical_clear_probe,1790261668,7,41.0,True
geometry_early_optical_clear_probe,1790261668,16,95.0,True
geometry_early_optical_clear_probe,1790261668,18,107.0,False
geometry_early_optical_clear_probe,1790261668,19,276.2,False
geometry_early_optical_clear_probe,1790261668,3,372.2,False
geometry_early_optical_clear_probe,1790261668,8,937.4155958400786,False
geometry_early_optical_clear_probe,1790261668,12,1627.4557168688114,True
geometry_early_optical_clear_probe,1790261668,13,1856.6557168688114,True
geometry_early_optical_clear_probe,1790261668,14,2061.855716868811,False
geometry_early_optical_clear_probe,1790261668,5,2353.431822377205,True
geometry_early_optical_clear_probe,1790261668,17,2395.431822377205,True
geometry_early_optical_clear_probe,1790261668,1,2653.0544197971253,True
geometry_early_optical_clear_probe,1790261668,9,6506.389179010786,True
geometry_early_optical_clear_probe,1842799737,8,47.0,False
geometry_early_optical_clear_probe,1842799737,16,95.0,False
geometry_early_optical_clear_probe,1842799737,20,119.0,False
geometry_early_optical_clear_probe,1842799737,15,300.2,False
geometry_early_optical_clear_probe,1842799737,6,354.2,False
geometry_early_optical_clear_probe,1842799737,13,552.6540239329466,True
geometry_early_optical_clear_probe,1842799737,9,778.6082733075503,True
geometry_early_optical_clear_probe,1842799737,5,1280.379644550572,True
geometry_early_optical_clear_probe,1842799737,12,1963.6378502062641,False
geometry_early_optical_clear_probe,1842799737,1,2375.494278398337,True
geometry_early_optical_clear_probe,1842799737,19,5617.602309859357,False
geometry_early_optical_clear_probe,1842799737,10,5864.802309859357,True
geometry_early_optical_clear_probe,164208968,2,11.0,True
geometry_early_optical_clear_probe,164208968,7,41.0,False
geometry_early_optical_clear_probe,164208968,8,47.0,False
geometry_early_optical_clear_probe,164208968,9,53.0,True
geometry_early_optical_clear_probe,164208968,11,65.0,True
geometry_early_optical_clear_probe,164208968,15,89.0,False
geometry_early_optical_clear_probe,164208968,17,101.0,False
geometry_early_optical_clear_probe,164208968,16,574.8503881063072,False
geometry_early_optical_clear_probe,164208968,20,750.5911822623904,False
geometry_early_optical_clear_probe,164208968,19,756.5911822623904,False
geometry_early_optical_clear_probe,164208968,1,840.5911822623904,False
geometry_early_optical_clear_probe,164208968,12,1039.7911822623903,True
geometry_early_optical_clear_probe,164208968,14,1246.8689136531812,False
geometry_early_optical_clear_probe,164208968,4,3394.0246245930725,True
geometry_early_optical_clear_probe,164208968,6,4447.284668166983,True
geometry_early_optical_clear_probe,278802184,1,5.0,False
geometry_early_optical_clear_probe,278802184,6,35.0,False
geometry_early_optical_clear_probe,278802184,9,53.0,False
geometry_early_optical_clear_probe,278802184,7,348.2,True
geometry_early_optical_clear_probe,278802184,4,366.2,False
geometry_early_optical_clear_probe,278802184,18,1108.2274994411425,True
geometry_early_optical_clear_probe,278802184,19,1963.123854361106,False
geometry_early_optical_clear_probe,278802184,16,1981.123854361106,False
geometry_early_optical_clear_probe,278802184,12,2005.123854361106,False
geometry_early_optical_clear_probe,278802184,5,2029.123854361106,False
geometry_early_optical_clear_probe,278802184,20,2368.6991641773043,True
geometry_early_optical_clear_probe,278802184,17,5940.386226234887,True
geometry_early_optical_clear_probe,278802184,8,6593.622450299912,True
geometry_early_optical_clear_probe,184571676,2,11.0,True
geometry_early_optical_clear_probe,184571676,3,17.0,True
geometry_early_optical_clear_probe,184571676,4,23.0,False
geometry_early_optical_clear_probe,184571676,7,41.0,True
geometry_early_optical_clear_probe,184571676,10,59.0,True
geometry_early_optical_clear_probe,184571676,16,95.0,True
geometry_early_optical_clear_probe,184571676,15,300.2,False
geometry_early_optical_clear_probe,184571676,14,613.4,True
geometry_early_optical_clear_probe,184571676,6,1321.4964469289073,True
geometry_early_optical_clear_probe,184571676,1,2853.0435882461406,True
geometry_early_optical_clear_probe,184571676,5,3306.4435882461403,False
geometry_early_optical_clear_probe,184571676,20,4551.656618869005,False
geometry_early_optical_clear_probe,184571676,18,4563.656618869005,False
geometry_early_optical_clear_probe,184571676,13,4575.656618869005,True
geometry_early_optical_clear_probe,3873771518,1,5.0,True
geometry_early_optical_clear_probe,3873771518,12,71.0,False
geometry_early_optical_clear_probe,3873771518,13,77.0,True
geometry_early_optical_clear_probe,3873771518,15,89.0,False
geometry_early_optical_clear_probe,3873771518,20,119.0,False
geometry_early_optical_clear_probe,3873771518,16,294.2,False
geometry_early_optical_clear_probe,3873771518,4,366.2,False
geometry_early_optical_clear_probe,3873771518,14,547.1512134729469,True
geometry_early_optical_clear_probe,3873771518,3,2798.6121207163956,False
geometry_early_optical_clear_probe,3873771518,2,3599.00264830724,True
geometry_early_optical_clear_probe,3873771518,5,3734.7690534471794,True
geometry_early_optical_clear_probe,886997678,1,5.0,False
geometry_early_optical_clear_probe,886997678,8,47.0,False
geometry_early_optical_clear_probe,886997678,10,59.0,False
geometry_early_optical_clear_probe,886997678,14,83.0,False
geometry_early_optical_clear_probe,886997678,15,89.0,True
